solver,metric,SNR,value
TREX-DA+BT: TLARS,FDR,0.100000,0.095000
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.289645
TREX-DA+BT: TLARS,TPR,0.100000,0.005000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.031303
TREX-DA+BT: TLARS,Avg_L,0.100000,1.915000
TREX-DA+BT: TLARS,Avg_T,0.100000,10.815000
TREX-DA+BT: TLARS,FDR,0.200000,0.135833
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.321862
TREX-DA+BT: TLARS,TPR,0.200000,0.038000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.090537
TREX-DA+BT: TLARS,Avg_L,0.200000,2.465000
TREX-DA+BT: TLARS,Avg_T,0.200000,9.230000
TREX-DA+BT: TLARS,FDR,0.500000,0.115250
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.239111
TREX-DA+BT: TLARS,TPR,0.500000,0.285000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.243457
TREX-DA+BT: TLARS,Avg_L,0.500000,3.145000
TREX-DA+BT: TLARS,Avg_T,0.500000,10.860000
TREX-DA+BT: TLARS,FDR,0.600000,0.121393
TREX-DA+BT: TLARS,sd_FDR,0.600000,0.242170
TREX-DA+BT: TLARS,TPR,0.600000,0.353000
TREX-DA+BT: TLARS,sd_TPR,0.600000,0.273432
TREX-DA+BT: TLARS,Avg_L,0.600000,3.090000
TREX-DA+BT: TLARS,Avg_T,0.600000,8.830000
TREX-DA+BT: TLARS,FDR,1.000000,0.071929
TREX-DA+BT: TLARS,sd_FDR,1.000000,0.153476
TREX-DA+BT: TLARS,TPR,1.000000,0.591000
TREX-DA+BT: TLARS,sd_TPR,1.000000,0.287982
TREX-DA+BT: TLARS,Avg_L,1.000000,2.280000
TREX-DA+BT: TLARS,Avg_T,1.000000,15.535000
TREX-DA+BT: TLARS,FDR,2.000000,0.047000
TREX-DA+BT: TLARS,sd_FDR,2.000000,0.112243
TREX-DA+BT: TLARS,TPR,2.000000,0.758000
TREX-DA+BT: TLARS,sd_TPR,2.000000,0.230873
TREX-DA+BT: TLARS,Avg_L,2.000000,1.800000
TREX-DA+BT: TLARS,Avg_T,2.000000,18.000000
TREX-DA+BT: TLARS,FDR,5.000000,0.035940
TREX-DA+BT: TLARS,sd_FDR,5.000000,0.084512
TREX-DA+BT: TLARS,TPR,5.000000,0.802000
TREX-DA+BT: TLARS,sd_TPR,5.000000,0.215938
TREX-DA+BT: TLARS,Avg_L,5.000000,1.590000
TREX-DA+BT: TLARS,Avg_T,5.000000,22.845000
TREX-DA+BT: TAFS,FDR,0.100000,0.107500
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.308496
TREX-DA+BT: TAFS,TPR,0.100000,0.009000
