solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.027667
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.084892
TREX-DA+BT: TLARS,TPR,0.050000,0.615000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.265192
TREX-DA+BT: TLARS,Avg_L,0.050000,6.410000
TREX-DA+BT: TLARS,Avg_T,0.050000,17.740000
TREX-DA+BT: TLARS,FDR,0.100000,0.036393
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.114685
TREX-DA+BT: TLARS,TPR,0.100000,0.725000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.240967
TREX-DA+BT: TLARS,Avg_L,0.100000,3.540000
TREX-DA+BT: TLARS,Avg_T,0.100000,16.715000
TREX-DA+BT: TLARS,FDR,0.150000,0.048321
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.105614
TREX-DA+BT: TLARS,TPR,0.150000,0.725000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.220039
TREX-DA+BT: TLARS,Avg_L,0.150000,2.385000
TREX-DA+BT: TLARS,Avg_T,0.150000,14.795000
TREX-DA+BT: TLARS,FDR,0.200000,0.056929
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.111411
TREX-DA+BT: TLARS,TPR,0.200000,0.778000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.186790
TREX-DA+BT: TLARS,Avg_L,0.200000,1.845000
TREX-DA+BT: TLARS,Avg_T,0.200000,12.560000
TREX-DA+BT: TLARS,FDR,0.250000,0.098042
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.140470
TREX-DA+BT: TLARS,TPR,0.250000,0.758000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.200090
TREX-DA+BT: TLARS,Avg_L,0.250000,1.245000
TREX-DA+BT: TLARS,Avg_T,0.250000,9.885000
TREX-DA+BT: TLARS,FDR,0.300000,0.102226
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.144561
TREX-DA+BT: TLARS,TPR,0.300000,0.765000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.212605
TREX-DA+BT: TLARS,Avg_L,0.300000,1.080000
TREX-DA+BT: TLARS,Avg_T,0.300000,8.235000
TREX-DA+BT: TLARS,FDR,0.350000,0.170787
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.171223
TREX-DA+BT: TLARS,TPR,0.350000,0.799000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.193874
TREX-DA+BT: TLARS,Avg_L,0.350000,1.050000
TREX-DA+BT: TLARS,Avg_T,0.350000,9.750000
TREX-DA+BT: TLARS,FDR,0.400000,0.244220
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.184990
TREX-DA+BT: TLARS,TPR,0.400000,0.815000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.216818
TREX-DA+BT: TLARS,Avg_L,0.400000,1.015000
TREX-DA+BT: TLARS,Avg_T,0.400000,11.680000
TREX-DA+BT: TLARS,FDR,0.450000,0.292003
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.182162
TREX-DA+BT: TLARS,TPR,0.450000,0.899000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.172475
TREX-DA+BT: TLARS,Avg_L,0.450000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.450000,15.520000
TREX-DA+BT: TLARS,FDR,0.500000,0.373114
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.163341
TREX-DA+BT: TLARS,TPR,0.500000,0.907000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.168800
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,22.410000
TREX-DA+BT: TAFS,FDR,0.050000,0.057250
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.114762
TREX-DA+BT: TAFS,TPR,0.050000,0.794000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.223188
TREX-DA+BT: TAFS,Avg_L,0.050000,5.255000
TREX-DA+BT: TAFS,Avg_T,0.050000,6.845000
TREX-DA+BT: TAFS,FDR,0.100000,0.041179
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.091211
TREX-DA+BT: TAFS,TPR,0.100000,0.836000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.210059
TREX-DA+BT: TAFS,Avg_L,0.100000,2.805000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.815000
TREX-DA+BT: TAFS,FDR,0.150000,0.070018
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.114826
TREX-DA+BT: TAFS,TPR,0.150000,0.855000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.156517
TREX-DA+BT: TAFS,Avg_L,0.150000,2.145000
TREX-DA+BT: TAFS,Avg_T,0.150000,6.800000
TREX-DA+BT: TAFS,FDR,0.200000,0.074518
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.123639
TREX-DA+BT: TAFS,TPR,0.200000,0.884000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.157058
TREX-DA+BT: TAFS,Avg_L,0.200000,1.550000
TREX-DA+BT: TAFS,Avg_T,0.200000,6.610000
TREX-DA+BT: TAFS,FDR,0.250000,0.101940
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.134377
TREX-DA+BT: TAFS,TPR,0.250000,0.850000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.167452
TREX-DA+BT: TAFS,Avg_L,0.250000,1.095000
TREX-DA+BT: TAFS,Avg_T,0.250000,6.515000
TREX-DA+BT: TAFS,FDR,0.300000,0.137601
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.152892
TREX-DA+BT: TAFS,TPR,0.300000,0.875000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.171821
TREX-DA+BT: TAFS,Avg_L,0.300000,1.020000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.615000
TREX-DA+BT: TAFS,FDR,0.350000,0.179988
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.150922
TREX-DA+BT: TAFS,TPR,0.350000,0.916000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.162097
TREX-DA+BT: TAFS,Avg_L,0.350000,1.010000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.385000
TREX-DA+BT: TAFS,FDR,0.400000,0.234738
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.139624
TREX-DA+BT: TAFS,TPR,0.400000,0.916000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.160852
TREX-DA+BT: TAFS,Avg_L,0.400000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.400000,8.005000
TREX-DA+BT: TAFS,FDR,0.450000,0.286015
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.135405
TREX-DA+BT: TAFS,TPR,0.450000,0.939000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.118953
TREX-DA+BT: TAFS,Avg_L,0.450000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.450000,8.445000
TREX-DA+BT: TAFS,FDR,0.500000,0.314204
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.134647
TREX-DA+BT: TAFS,TPR,0.500000,0.938000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.138026
TREX-DA+BT: TAFS,Avg_L,0.500000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.500000,8.530000
TREX-DA+BT: TOMP,FDR,0.050000,0.052000
TREX-DA+BT: TOMP,sd_FDR,0.050000,0.107372
TREX-DA+BT: TOMP,TPR,0.050000,0.917000
TREX-DA+BT: TOMP,sd_TPR,0.050000,0.156953
TREX-DA+BT: TOMP,Avg_L,0.050000,4.505000
TREX-DA+BT: TOMP,Avg_T,0.050000,7.760000
TREX-DA+BT: TOMP,FDR,0.100000,0.052179
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.108107
TREX-DA+BT: TOMP,TPR,0.100000,0.925000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.155873
TREX-DA+BT: TOMP,Avg_L,0.100000,2.395000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.555000
TREX-DA+BT: TOMP,FDR,0.150000,0.063024
TREX-DA+BT: TOMP,sd_FDR,0.150000,0.103969
TREX-DA+BT: TOMP,TPR,0.150000,0.941000
TREX-DA+BT: TOMP,sd_TPR,0.150000,0.119962
TREX-DA+BT: TOMP,Avg_L,0.150000,2.065000
TREX-DA+BT: TOMP,Avg_T,0.150000,7.480000
TREX-DA+BT: TOMP,FDR,0.200000,0.067762
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.117886
TREX-DA+BT: TOMP,TPR,0.200000,0.950000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.107507
TREX-DA+BT: TOMP,Avg_L,0.200000,1.140000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.305000
TREX-DA+BT: TOMP,FDR,0.250000,0.101161
TREX-DA+BT: TOMP,sd_FDR,0.250000,0.129820
TREX-DA+BT: TOMP,TPR,0.250000,0.943000
TREX-DA+BT: TOMP,sd_TPR,0.250000,0.133567
TREX-DA+BT: TOMP,Avg_L,0.250000,1.035000
TREX-DA+BT: TOMP,Avg_T,0.250000,7.395000
TREX-DA+BT: TOMP,FDR,0.300000,0.123440
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.143896
TREX-DA+BT: TOMP,TPR,0.300000,0.931000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.136867
TREX-DA+BT: TOMP,Avg_L,0.300000,1.005000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.185000
TREX-DA+BT: TOMP,FDR,0.350000,0.176667
TREX-DA+BT: TOMP,sd_FDR,0.350000,0.139651
TREX-DA+BT: TOMP,TPR,0.350000,0.952000
TREX-DA+BT: TOMP,sd_TPR,0.350000,0.136341
TREX-DA+BT: TOMP,Avg_L,0.350000,1.020000
TREX-DA+BT: TOMP,Avg_T,0.350000,7.825000
TREX-DA+BT: TOMP,FDR,0.400000,0.184821
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.146417
TREX-DA+BT: TOMP,TPR,0.400000,0.955000
TREX-DA+BT: TOMP,sd_TPR,0.400000,0.105025
TREX-DA+BT: TOMP,Avg_L,0.400000,1.000000
TREX-DA+BT: TOMP,Avg_T,0.400000,8.085000
TREX-DA+BT: TOMP,FDR,0.450000,0.217355
TREX-DA+BT: TOMP,sd_FDR,0.450000,0.148570
TREX-DA+BT: TOMP,TPR,0.450000,0.959000
TREX-DA+BT: TOMP,sd_TPR,0.450000,0.088078
TREX-DA+BT: TOMP,Avg_L,0.450000,1.000000
TREX-DA+BT: TOMP,Avg_T,0.450000,8.225000
TREX-DA+BT: TOMP,FDR,0.500000,0.213077
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.155273
TREX-DA+BT: TOMP,TPR,0.500000,0.936000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.132635
TREX-DA+BT: TOMP,Avg_L,0.500000,1.005000
TREX-DA+BT: TOMP,Avg_T,0.500000,8.215000
