solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.032083
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.088994
TREX-DA+BT: TLARS,TPR,0.050000,0.630000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.256572
TREX-DA+BT: TLARS,Avg_L,0.050000,6.480000
TREX-DA+BT: TLARS,Avg_T,0.050000,17.020000
TREX-DA+BT: TLARS,FDR,0.100000,0.037893
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.116651
TREX-DA+BT: TLARS,TPR,0.100000,0.731000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.234336
TREX-DA+BT: TLARS,Avg_L,0.100000,3.535000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.350000
TREX-DA+BT: TLARS,FDR,0.150000,0.057369
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.114273
TREX-DA+BT: TLARS,TPR,0.150000,0.750000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.222141
TREX-DA+BT: TLARS,Avg_L,0.150000,2.370000
TREX-DA+BT: TLARS,Avg_T,0.150000,14.275000
TREX-DA+BT: TLARS,FDR,0.200000,0.075893
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.126020
TREX-DA+BT: TLARS,TPR,0.200000,0.782000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.191466
TREX-DA+BT: TLARS,Avg_L,0.200000,1.810000
TREX-DA+BT: TLARS,Avg_T,0.200000,10.600000
TREX-DA+BT: TLARS,FDR,0.250000,0.101173
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.137130
TREX-DA+BT: TLARS,TPR,0.250000,0.792000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.180273
TREX-DA+BT: TLARS,Avg_L,0.250000,1.265000
TREX-DA+BT: TLARS,Avg_T,0.250000,9.800000
TREX-DA+BT: TLARS,FDR,0.300000,0.129966
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.152043
TREX-DA+BT: TLARS,TPR,0.300000,0.774000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.205756
TREX-DA+BT: TLARS,Avg_L,0.300000,1.070000
TREX-DA+BT: TLARS,Avg_T,0.300000,8.995000
TREX-DA+BT: TLARS,FDR,0.350000,0.179369
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.174021
TREX-DA+BT: TLARS,TPR,0.350000,0.817000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.201280
TREX-DA+BT: TLARS,Avg_L,0.350000,1.040000
TREX-DA+BT: TLARS,Avg_T,0.350000,12.460000
TREX-DA+BT: TLARS,FDR,0.400000,0.257210
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.183858
TREX-DA+BT: TLARS,TPR,0.400000,0.819000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.208943
TREX-DA+BT: TLARS,Avg_L,0.400000,1.025000
TREX-DA+BT: TLARS,Avg_T,0.400000,11.770000
TREX-DA+BT: TLARS,FDR,0.450000,0.325649
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.176883
TREX-DA+BT: TLARS,TPR,0.450000,0.886000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.181019
TREX-DA+BT: TLARS,Avg_L,0.450000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.450000,14.800000
TREX-DA+BT: TLARS,FDR,0.500000,0.383014
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.160733
TREX-DA+BT: TLARS,TPR,0.500000,0.913000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.170812
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,19.340000
TREX-DA+BT: TAFS,FDR,0.050000,0.062083
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.118665
TREX-DA+BT: TAFS,TPR,0.050000,0.793000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.227176
TREX-DA+BT: TAFS,Avg_L,0.050000,5.375000
TREX-DA+BT: TAFS,Avg_T,0.050000,6.745000
TREX-DA+BT: TAFS,FDR,0.100000,0.041095
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.088728
TREX-DA+BT: TAFS,TPR,0.100000,0.829000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.218167
TREX-DA+BT: TAFS,Avg_L,0.100000,2.775000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.500000
TREX-DA+BT: TAFS,FDR,0.150000,0.080845
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.129935
TREX-DA+BT: TAFS,TPR,0.150000,0.848000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.170415
TREX-DA+BT: TAFS,Avg_L,0.150000,2.105000
TREX-DA+BT: TAFS,Avg_T,0.150000,6.560000
TREX-DA+BT: TAFS,FDR,0.200000,0.073512
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.120961
TREX-DA+BT: TAFS,TPR,0.200000,0.895000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.145881
TREX-DA+BT: TAFS,Avg_L,0.200000,1.560000
TREX-DA+BT: TAFS,Avg_T,0.200000,6.880000
TREX-DA+BT: TAFS,FDR,0.250000,0.108210
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.137518
TREX-DA+BT: TAFS,TPR,0.250000,0.859000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.165092
TREX-DA+BT: TAFS,Avg_L,0.250000,1.105000
TREX-DA+BT: TAFS,Avg_T,0.250000,6.485000
TREX-DA+BT: TAFS,FDR,0.300000,0.153595
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.154842
TREX-DA+BT: TAFS,TPR,0.300000,0.878000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.168696
TREX-DA+BT: TAFS,Avg_L,0.300000,1.030000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.725000
TREX-DA+BT: TAFS,FDR,0.350000,0.192207
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.163779
TREX-DA+BT: TAFS,TPR,0.350000,0.915000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.172987
TREX-DA+BT: TAFS,Avg_L,0.350000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.605000
TREX-DA+BT: TAFS,FDR,0.400000,0.224254
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.138617
TREX-DA+BT: TAFS,TPR,0.400000,0.921000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.159014
TREX-DA+BT: TAFS,Avg_L,0.400000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.400000,7.665000
TREX-DA+BT: TAFS,FDR,0.450000,0.293872
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.134794
TREX-DA+BT: TAFS,TPR,0.450000,0.945000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.107857
TREX-DA+BT: TAFS,Avg_L,0.450000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.450000,8.550000
TREX-DA+BT: TAFS,FDR,0.500000,0.321227
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.134749
TREX-DA+BT: TAFS,TPR,0.500000,0.935000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.138821
TREX-DA+BT: TAFS,Avg_L,0.500000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.500000,8.600000
TREX-DA+BT: TOMP,FDR,0.050000,0.055750
TREX-DA+BT: TOMP,sd_FDR,0.050000,0.112266
TREX-DA+BT: TOMP,TPR,0.050000,0.916000
TREX-DA+BT: TOMP,sd_TPR,0.050000,0.165775
TREX-DA+BT: TOMP,Avg_L,0.050000,4.510000
TREX-DA+BT: TOMP,Avg_T,0.050000,7.880000
TREX-DA+BT: TOMP,FDR,0.100000,0.051917
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.102620
TREX-DA+BT: TOMP,TPR,0.100000,0.932000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.147937
TREX-DA+BT: TOMP,Avg_L,0.100000,2.320000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.705000
TREX-DA+BT: TOMP,FDR,0.150000,0.061595
TREX-DA+BT: TOMP,sd_FDR,0.150000,0.102647
TREX-DA+BT: TOMP,TPR,0.150000,0.939000
TREX-DA+BT: TOMP,sd_TPR,0.150000,0.127121
TREX-DA+BT: TOMP,Avg_L,0.150000,2.060000
TREX-DA+BT: TOMP,Avg_T,0.150000,7.535000
TREX-DA+BT: TOMP,FDR,0.200000,0.079476
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.122065
TREX-DA+BT: TOMP,TPR,0.200000,0.949000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.107969
TREX-DA+BT: TOMP,Avg_L,0.200000,1.175000
TREX-DA+BT: TOMP,Avg_T,0.200000,7.415000
TREX-DA+BT: TOMP,FDR,0.250000,0.098123
TREX-DA+BT: TOMP,sd_FDR,0.250000,0.135124
TREX-DA+BT: TOMP,TPR,0.250000,0.942000
TREX-DA+BT: TOMP,sd_TPR,0.250000,0.139763
TREX-DA+BT: TOMP,Avg_L,0.250000,1.025000
TREX-DA+BT: TOMP,Avg_T,0.250000,7.515000
TREX-DA+BT: TOMP,FDR,0.300000,0.129488
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.149792
TREX-DA+BT: TOMP,TPR,0.300000,0.929000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.143043
TREX-DA+BT: TOMP,Avg_L,0.300000,1.020000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.470000
TREX-DA+BT: TOMP,FDR,0.350000,0.175298
TREX-DA+BT: TOMP,sd_FDR,0.350000,0.137373
TREX-DA+BT: TOMP,TPR,0.350000,0.954000
TREX-DA+BT: TOMP,sd_TPR,0.350000,0.124747
TREX-DA+BT: TOMP,Avg_L,0.350000,1.025000
TREX-DA+BT: TOMP,Avg_T,0.350000,8.025000
TREX-DA+BT: TOMP,FDR,0.400000,0.182974
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.147508
