solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.017667
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.076743
TREX-DA+BT: TLARS,TPR,0.050000,0.602000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.282836
TREX-DA+BT: TLARS,Avg_L,0.050000,6.340000
TREX-DA+BT: TLARS,Avg_T,0.050000,20.765000
TREX-DA+BT: TLARS,FDR,0.100000,0.019167
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.092604
TREX-DA+BT: TLARS,TPR,0.100000,0.719000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.248086
TREX-DA+BT: TLARS,Avg_L,0.100000,3.650000
TREX-DA+BT: TLARS,Avg_T,0.100000,23.740000
TREX-DA+BT: TLARS,FDR,0.150000,0.021333
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.070516
TREX-DA+BT: TLARS,TPR,0.150000,0.724000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.240234
TREX-DA+BT: TLARS,Avg_L,0.150000,2.420000
TREX-DA+BT: TLARS,Avg_T,0.150000,25.740000
TREX-DA+BT: TLARS,FDR,0.200000,0.022917
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.072705
TREX-DA+BT: TLARS,TPR,0.200000,0.779000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.201898
TREX-DA+BT: TLARS,Avg_L,0.200000,1.910000
TREX-DA+BT: TLARS,Avg_T,0.200000,18.180000
TREX-DA+BT: TLARS,FDR,0.250000,0.031095
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.082345
TREX-DA+BT: TLARS,TPR,0.250000,0.775000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.203425
TREX-DA+BT: TLARS,Avg_L,0.250000,1.385000
TREX-DA+BT: TLARS,Avg_T,0.250000,16.445000
TREX-DA+BT: TLARS,FDR,0.300000,0.058119
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.110463
TREX-DA+BT: TLARS,TPR,0.300000,0.762000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.216310
TREX-DA+BT: TLARS,Avg_L,0.300000,1.135000
TREX-DA+BT: TLARS,Avg_T,0.300000,13.190000
TREX-DA+BT: TLARS,FDR,0.350000,0.081161
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.114901
TREX-DA+BT: TLARS,TPR,0.350000,0.807000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.202871
TREX-DA+BT: TLARS,Avg_L,0.350000,1.085000
TREX-DA+BT: TLARS,Avg_T,0.350000,14.095000
TREX-DA+BT: TLARS,FDR,0.400000,0.132444
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.136436
TREX-DA+BT: TLARS,TPR,0.400000,0.817000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.210075
TREX-DA+BT: TLARS,Avg_L,0.400000,1.050000
TREX-DA+BT: TLARS,Avg_T,0.400000,15.005000
TREX-DA+BT: TLARS,FDR,0.450000,0.196772
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.137195
TREX-DA+BT: TLARS,TPR,0.450000,0.901000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.165335
TREX-DA+BT: TLARS,Avg_L,0.450000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.450000,20.060000
TREX-DA+BT: TLARS,FDR,0.500000,0.273967
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.141385
TREX-DA+BT: TLARS,TPR,0.500000,0.925000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.163427
TREX-DA+BT: TLARS,Avg_L,0.500000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.500000,27.630000
TREX-DA+BT: TAFS,FDR,0.050000,0.052500
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.115358
