solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.047500
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.133644
TREX-DA+BT: TLARS,TPR,0.050000,0.633000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.258155
TREX-DA+BT: TLARS,Avg_L,0.050000,6.330000
TREX-DA+BT: TLARS,Avg_T,0.050000,15.060000
TREX-DA+BT: TLARS,FDR,0.100000,0.059679
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.116353
TREX-DA+BT: TLARS,TPR,0.100000,0.724000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.214603
TREX-DA+BT: TLARS,Avg_L,0.100000,3.505000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.280000
TREX-DA+BT: TLARS,FDR,0.150000,0.079720
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.147737
TREX-DA+BT: TLARS,TPR,0.150000,0.745000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.216818
TREX-DA+BT: TLARS,Avg_L,0.150000,2.355000
TREX-DA+BT: TLARS,Avg_T,0.150000,15.870000
TREX-DA+BT: TLARS,FDR,0.200000,0.107448
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.151005
TREX-DA+BT: TLARS,TPR,0.200000,0.771000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.202891
TREX-DA+BT: TLARS,Avg_L,0.200000,1.705000
TREX-DA+BT: TLARS,Avg_T,0.200000,12.350000
TREX-DA+BT: TLARS,FDR,0.250000,0.126540
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.162996
TREX-DA+BT: TLARS,TPR,0.250000,0.764000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.219419
TREX-DA+BT: TLARS,Avg_L,0.250000,1.300000
TREX-DA+BT: TLARS,Avg_T,0.250000,10.055000
TREX-DA+BT: TLARS,FDR,0.300000,0.179587
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.164249
TREX-DA+BT: TLARS,TPR,0.300000,0.791000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.197774
TREX-DA+BT: TLARS,Avg_L,0.300000,1.055000
TREX-DA+BT: TLARS,Avg_T,0.300000,8.455000
TREX-DA+BT: TLARS,FDR,0.350000,0.277908
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.198838
TREX-DA+BT: TLARS,TPR,0.350000,0.781000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.237743
TREX-DA+BT: TLARS,Avg_L,0.350000,1.050000
TREX-DA+BT: TLARS,Avg_T,0.350000,10.875000
TREX-DA+BT: TLARS,FDR,0.400000,0.273025
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.185065
TREX-DA+BT: TLARS,TPR,0.400000,0.831000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.217891
TREX-DA+BT: TLARS,Avg_L,0.400000,1.010000
TREX-DA+BT: TLARS,Avg_T,0.400000,12.655000
TREX-DA+BT: TLARS,FDR,0.450000,0.364284
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.198710
TREX-DA+BT: TLARS,TPR,0.450000,0.880000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.177078
TREX-DA+BT: TLARS,Avg_L,0.450000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.450000,18.960000
TREX-DA+BT: TLARS,FDR,0.500000,0.425302
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.171367
TREX-DA+BT: TLARS,TPR,0.500000,0.901000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.160398
TREX-DA+BT: TLARS,Avg_L,0.500000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.500000,23.695000
TREX-DA+BT: TAFS,FDR,0.050000,0.074875
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.136191
TREX-DA+BT: TAFS,TPR,0.050000,0.781000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.235193
TREX-DA+BT: TAFS,Avg_L,0.050000,5.385000
TREX-DA+BT: TAFS,Avg_T,0.050000,6.155000
TREX-DA+BT: TAFS,FDR,0.100000,0.079942
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.126295
TREX-DA+BT: TAFS,TPR,0.100000,0.825000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.185870
TREX-DA+BT: TAFS,Avg_L,0.100000,2.755000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.340000
TREX-DA+BT: TAFS,FDR,0.150000,0.103302
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.163590
TREX-DA+BT: TAFS,TPR,0.150000,0.826000
