solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.056226
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.141372
TREX-DA+BT: TLARS,TPR,0.050000,0.644000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.265360
TREX-DA+BT: TLARS,Avg_L,0.050000,6.345000
TREX-DA+BT: TLARS,Avg_T,0.050000,16.285000
TREX-DA+BT: TLARS,FDR,0.100000,0.064976
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.128248
TREX-DA+BT: TLARS,TPR,0.100000,0.729000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.217706
TREX-DA+BT: TLARS,Avg_L,0.100000,3.355000
TREX-DA+BT: TLARS,Avg_T,0.100000,14.750000
TREX-DA+BT: TLARS,FDR,0.150000,0.101048
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.159703
TREX-DA+BT: TLARS,TPR,0.150000,0.747000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.213586
TREX-DA+BT: TLARS,Avg_L,0.150000,2.340000
TREX-DA+BT: TLARS,Avg_T,0.150000,17.455000
TREX-DA+BT: TLARS,FDR,0.200000,0.123354
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.157788
TREX-DA+BT: TLARS,TPR,0.200000,0.793000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.198869
TREX-DA+BT: TLARS,Avg_L,0.200000,1.680000
TREX-DA+BT: TLARS,Avg_T,0.200000,10.950000
TREX-DA+BT: TLARS,FDR,0.250000,0.141775
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.171020
TREX-DA+BT: TLARS,TPR,0.250000,0.778000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.210087
TREX-DA+BT: TLARS,Avg_L,0.250000,1.270000
TREX-DA+BT: TLARS,Avg_T,0.250000,9.530000
TREX-DA+BT: TLARS,FDR,0.300000,0.196882
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.182040
TREX-DA+BT: TLARS,TPR,0.300000,0.802000
TREX-DA+BT: TLARS,sd_TPR,0.300000,0.201492
TREX-DA+BT: TLARS,Avg_L,0.300000,1.085000
TREX-DA+BT: TLARS,Avg_T,0.300000,7.875000
TREX-DA+BT: TLARS,FDR,0.350000,0.284556
TREX-DA+BT: TLARS,sd_FDR,0.350000,0.188197
TREX-DA+BT: TLARS,TPR,0.350000,0.816000
TREX-DA+BT: TLARS,sd_TPR,0.350000,0.224490
TREX-DA+BT: TLARS,Avg_L,0.350000,1.065000
TREX-DA+BT: TLARS,Avg_T,0.350000,10.715000
TREX-DA+BT: TLARS,FDR,0.400000,0.309682
TREX-DA+BT: TLARS,sd_FDR,0.400000,0.184792
TREX-DA+BT: TLARS,TPR,0.400000,0.825000
TREX-DA+BT: TLARS,sd_TPR,0.400000,0.216818
TREX-DA+BT: TLARS,Avg_L,0.400000,1.015000
TREX-DA+BT: TLARS,Avg_T,0.400000,13.420000
TREX-DA+BT: TLARS,FDR,0.450000,0.384207
TREX-DA+BT: TLARS,sd_FDR,0.450000,0.187305
TREX-DA+BT: TLARS,TPR,0.450000,0.878000
TREX-DA+BT: TLARS,sd_TPR,0.450000,0.172233
TREX-DA+BT: TLARS,Avg_L,0.450000,1.005000
TREX-DA+BT: TLARS,Avg_T,0.450000,18.285000
TREX-DA+BT: TLARS,FDR,0.500000,0.429203
TREX-DA+BT: TLARS,sd_FDR,0.500000,0.171450
TREX-DA+BT: TLARS,TPR,0.500000,0.911000
TREX-DA+BT: TLARS,sd_TPR,0.500000,0.158761
TREX-DA+BT: TLARS,Avg_L,0.500000,1.000000
TREX-DA+BT: TLARS,Avg_T,0.500000,21.740000
TREX-DA+BT: TAFS,FDR,0.050000,0.070774
TREX-DA+BT: TAFS,sd_FDR,0.050000,0.131235
TREX-DA+BT: TAFS,TPR,0.050000,0.793000
TREX-DA+BT: TAFS,sd_TPR,0.050000,0.225400
TREX-DA+BT: TAFS,Avg_L,0.050000,5.195000
TREX-DA+BT: TAFS,Avg_T,0.050000,6.190000
TREX-DA+BT: TAFS,FDR,0.100000,0.084024
TREX-DA+BT: TAFS,sd_FDR,0.100000,0.127774
TREX-DA+BT: TAFS,TPR,0.100000,0.838000
TREX-DA+BT: TAFS,sd_TPR,0.100000,0.177521
TREX-DA+BT: TAFS,Avg_L,0.100000,2.765000
TREX-DA+BT: TAFS,Avg_T,0.100000,6.625000
TREX-DA+BT: TAFS,FDR,0.150000,0.117423
TREX-DA+BT: TAFS,sd_FDR,0.150000,0.157681
TREX-DA+BT: TAFS,TPR,0.150000,0.836000
TREX-DA+BT: TAFS,sd_TPR,0.150000,0.191014
TREX-DA+BT: TAFS,Avg_L,0.150000,2.135000
TREX-DA+BT: TAFS,Avg_T,0.150000,6.700000
TREX-DA+BT: TAFS,FDR,0.200000,0.139300
TREX-DA+BT: TAFS,sd_FDR,0.200000,0.154163
TREX-DA+BT: TAFS,TPR,0.200000,0.886000
TREX-DA+BT: TAFS,sd_TPR,0.200000,0.161039
TREX-DA+BT: TAFS,Avg_L,0.200000,1.520000
TREX-DA+BT: TAFS,Avg_T,0.200000,6.275000
TREX-DA+BT: TAFS,FDR,0.250000,0.148061
TREX-DA+BT: TAFS,sd_FDR,0.250000,0.156678
TREX-DA+BT: TAFS,TPR,0.250000,0.845000
TREX-DA+BT: TAFS,sd_TPR,0.250000,0.172987
TREX-DA+BT: TAFS,Avg_L,0.250000,1.100000
TREX-DA+BT: TAFS,Avg_T,0.250000,6.260000
TREX-DA+BT: TAFS,FDR,0.300000,0.211081
TREX-DA+BT: TAFS,sd_FDR,0.300000,0.171892
TREX-DA+BT: TAFS,TPR,0.300000,0.901000
TREX-DA+BT: TAFS,sd_TPR,0.300000,0.132994
TREX-DA+BT: TAFS,Avg_L,0.300000,1.010000
TREX-DA+BT: TAFS,Avg_T,0.300000,6.890000
TREX-DA+BT: TAFS,FDR,0.350000,0.286534
TREX-DA+BT: TAFS,sd_FDR,0.350000,0.175282
TREX-DA+BT: TAFS,TPR,0.350000,0.905000
TREX-DA+BT: TAFS,sd_TPR,0.350000,0.175868
TREX-DA+BT: TAFS,Avg_L,0.350000,1.030000
TREX-DA+BT: TAFS,Avg_T,0.350000,7.875000
TREX-DA+BT: TAFS,FDR,0.400000,0.323025
TREX-DA+BT: TAFS,sd_FDR,0.400000,0.152277
TREX-DA+BT: TAFS,TPR,0.400000,0.915000
TREX-DA+BT: TAFS,sd_TPR,0.400000,0.159695
TREX-DA+BT: TAFS,Avg_L,0.400000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.400000,8.425000
TREX-DA+BT: TAFS,FDR,0.450000,0.336640
TREX-DA+BT: TAFS,sd_FDR,0.450000,0.152450
TREX-DA+BT: TAFS,TPR,0.450000,0.949000
TREX-DA+BT: TAFS,sd_TPR,0.450000,0.100246
TREX-DA+BT: TAFS,Avg_L,0.450000,1.005000
TREX-DA+BT: TAFS,Avg_T,0.450000,8.645000
TREX-DA+BT: TAFS,FDR,0.500000,0.389496
TREX-DA+BT: TAFS,sd_FDR,0.500000,0.129808
TREX-DA+BT: TAFS,TPR,0.500000,0.944000
TREX-DA+BT: TAFS,sd_TPR,0.500000,0.102550
TREX-DA+BT: TAFS,Avg_L,0.500000,1.000000
TREX-DA+BT: TAFS,Avg_T,0.500000,8.800000
TREX-DA+BT: TOMP,FDR,0.050000,0.082262
TREX-DA+BT: TOMP,sd_FDR,0.050000,0.132185
TREX-DA+BT: TOMP,TPR,0.050000,0.894000
TREX-DA+BT: TOMP,sd_TPR,0.050000,0.204384
TREX-DA+BT: TOMP,Avg_L,0.050000,4.650000
TREX-DA+BT: TOMP,Avg_T,0.050000,7.395000
TREX-DA+BT: TOMP,FDR,0.100000,0.088054
TREX-DA+BT: TOMP,sd_FDR,0.100000,0.122221
TREX-DA+BT: TOMP,TPR,0.100000,0.928000
TREX-DA+BT: TOMP,sd_TPR,0.100000,0.155360
TREX-DA+BT: TOMP,Avg_L,0.100000,2.285000
TREX-DA+BT: TOMP,Avg_T,0.100000,7.510000
TREX-DA+BT: TOMP,FDR,0.150000,0.117827
TREX-DA+BT: TOMP,sd_FDR,0.150000,0.142557
TREX-DA+BT: TOMP,TPR,0.150000,0.931000
TREX-DA+BT: TOMP,sd_TPR,0.150000,0.167269
TREX-DA+BT: TOMP,Avg_L,0.150000,2.085000
TREX-DA+BT: TOMP,Avg_T,0.150000,7.185000
TREX-DA+BT: TOMP,FDR,0.200000,0.133710
TREX-DA+BT: TOMP,sd_FDR,0.200000,0.148542
TREX-DA+BT: TOMP,TPR,0.200000,0.938000
TREX-DA+BT: TOMP,sd_TPR,0.200000,0.158371
TREX-DA+BT: TOMP,Avg_L,0.200000,1.135000
TREX-DA+BT: TOMP,Avg_T,0.200000,6.995000
TREX-DA+BT: TOMP,FDR,0.250000,0.160698
TREX-DA+BT: TOMP,sd_FDR,0.250000,0.144540
TREX-DA+BT: TOMP,TPR,0.250000,0.947000
TREX-DA+BT: TOMP,sd_TPR,0.250000,0.141034
TREX-DA+BT: TOMP,Avg_L,0.250000,1.060000
TREX-DA+BT: TOMP,Avg_T,0.250000,7.290000
TREX-DA+BT: TOMP,FDR,0.300000,0.209863
TREX-DA+BT: TOMP,sd_FDR,0.300000,0.148570
TREX-DA+BT: TOMP,TPR,0.300000,0.952000
TREX-DA+BT: TOMP,sd_TPR,0.300000,0.106549
TREX-DA+BT: TOMP,Avg_L,0.300000,1.005000
TREX-DA+BT: TOMP,Avg_T,0.300000,7.455000
TREX-DA+BT: TOMP,FDR,0.350000,0.260123
TREX-DA+BT: TOMP,sd_FDR,0.350000,0.149204
TREX-DA+BT: TOMP,TPR,0.350000,0.940000
TREX-DA+BT: TOMP,sd_TPR,0.350000,0.164118
TREX-DA+BT: TOMP,Avg_L,0.350000,1.035000
TREX-DA+BT: TOMP,Avg_T,0.350000,8.090000
TREX-DA+BT: TOMP,FDR,0.400000,0.267569
TREX-DA+BT: TOMP,sd_FDR,0.400000,0.154582
TREX-DA+BT: TOMP,TPR,0.400000,0.935000
TREX-DA+BT: TOMP,sd_TPR,0.400000,0.135895
TREX-DA+BT: TOMP,Avg_L,0.400000,1.015000
TREX-DA+BT: TOMP,Avg_T,0.400000,8.355000
TREX-DA+BT: TOMP,FDR,0.450000,0.260683
TREX-DA+BT: TOMP,sd_FDR,0.450000,0.157134
TREX-DA+BT: TOMP,TPR,0.450000,0.948000
TREX-DA+BT: TOMP,sd_TPR,0.450000,0.104646
TREX-DA+BT: TOMP,Avg_L,0.450000,1.000000
TREX-DA+BT: TOMP,Avg_T,0.450000,8.305000
TREX-DA+BT: TOMP,FDR,0.500000,0.284732
TREX-DA+BT: TOMP,sd_FDR,0.500000,0.153823
TREX-DA+BT: TOMP,TPR,0.500000,0.956000
TREX-DA+BT: TOMP,sd_TPR,0.500000,0.087764
TREX-DA+BT: TOMP,Avg_L,0.500000,1.000000
TREX-DA+BT: TOMP,Avg_T,0.500000,8.360000
