solver,metric,tFDR,value
TREX-DA+BT: TLARS,FDR,0.050000,0.026333
TREX-DA+BT: TLARS,sd_FDR,0.050000,0.110091
TREX-DA+BT: TLARS,TPR,0.050000,0.616000
TREX-DA+BT: TLARS,sd_TPR,0.050000,0.275907
TREX-DA+BT: TLARS,Avg_L,0.050000,6.255000
TREX-DA+BT: TLARS,Avg_T,0.050000,21.825000
TREX-DA+BT: TLARS,FDR,0.100000,0.024929
TREX-DA+BT: TLARS,sd_FDR,0.100000,0.079347
TREX-DA+BT: TLARS,TPR,0.100000,0.729000
TREX-DA+BT: TLARS,sd_TPR,0.100000,0.215852
TREX-DA+BT: TLARS,Avg_L,0.100000,3.640000
TREX-DA+BT: TLARS,Avg_T,0.100000,24.400000
TREX-DA+BT: TLARS,FDR,0.150000,0.043833
TREX-DA+BT: TLARS,sd_FDR,0.150000,0.133284
TREX-DA+BT: TLARS,TPR,0.150000,0.722000
TREX-DA+BT: TLARS,sd_TPR,0.150000,0.232781
TREX-DA+BT: TLARS,Avg_L,0.150000,2.395000
TREX-DA+BT: TLARS,Avg_T,0.150000,23.770000
TREX-DA+BT: TLARS,FDR,0.200000,0.050208
TREX-DA+BT: TLARS,sd_FDR,0.200000,0.118083
TREX-DA+BT: TLARS,TPR,0.200000,0.775000
TREX-DA+BT: TLARS,sd_TPR,0.200000,0.217743
TREX-DA+BT: TLARS,Avg_L,0.200000,1.795000
TREX-DA+BT: TLARS,Avg_T,0.200000,17.390000
TREX-DA+BT: TLARS,FDR,0.250000,0.054875
TREX-DA+BT: TLARS,sd_FDR,0.250000,0.105741
TREX-DA+BT: TLARS,TPR,0.250000,0.761000
TREX-DA+BT: TLARS,sd_TPR,0.250000,0.225685
TREX-DA+BT: TLARS,Avg_L,0.250000,1.395000
TREX-DA+BT: TLARS,Avg_T,0.250000,17.130000
TREX-DA+BT: TLARS,FDR,0.300000,0.068958
TREX-DA+BT: TLARS,sd_FDR,0.300000,0.108365
