solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.072500
TREX-DA: TLARS,sd_FDR,1.000000,0.237224
TREX-DA: TLARS,TPR,1.000000,0.210000
TREX-DA: TLARS,sd_TPR,1.000000,0.408330
TREX-DA: TLARS,Avg_L,1.000000,1.690000
TREX-DA: TLARS,Avg_T,1.000000,6.985000
TREX-DA: TLARS,FDR,3.000000,0.148500
TREX-DA: TLARS,sd_FDR,3.000000,0.253266
TREX-DA: TLARS,TPR,3.000000,0.548333
TREX-DA: TLARS,sd_TPR,3.000000,0.392415
TREX-DA: TLARS,Avg_L,3.000000,2.065000
TREX-DA: TLARS,Avg_T,3.000000,20.845000
TREX-DA: TLARS,FDR,5.000000,0.214363
TREX-DA: TLARS,sd_FDR,5.000000,0.199194
TREX-DA: TLARS,TPR,5.000000,0.662000
TREX-DA: TLARS,sd_TPR,5.000000,0.235015
TREX-DA: TLARS,Avg_L,5.000000,1.635000
TREX-DA: TLARS,Avg_T,5.000000,22.950000
TREX-DA: TLARS,FDR,10.000000,0.223148
TREX-DA: TLARS,sd_FDR,10.000000,0.168893
TREX-DA: TLARS,TPR,10.000000,0.589500
TREX-DA: TLARS,sd_TPR,10.000000,0.192940
TREX-DA: TLARS,Avg_L,10.000000,1.655000
TREX-DA: TLARS,Avg_T,10.000000,19.995000
TREX-DA: TLARS,FDR,15.000000,0.243750
TREX-DA: TLARS,sd_FDR,15.000000,0.167861
TREX-DA: TLARS,TPR,15.000000,0.404333
TREX-DA: TLARS,sd_TPR,15.000000,0.185104
TREX-DA: TLARS,Avg_L,15.000000,2.100000
TREX-DA: TLARS,Avg_T,15.000000,13.335000
TREX-DA: TLARS,FDR,20.000000,0.243164
TREX-DA: TLARS,sd_FDR,20.000000,0.233240
TREX-DA: TLARS,TPR,20.000000,0.202750
TREX-DA: TLARS,sd_TPR,20.000000,0.144427
TREX-DA: TLARS,Avg_L,20.000000,2.380000
TREX-DA: TLARS,Avg_T,20.000000,9.025000
TREX-DA: TLARS,FDR,30.000000,0.219759
TREX-DA: TLARS,sd_FDR,30.000000,0.257248
TREX-DA: TLARS,TPR,30.000000,0.079000
TREX-DA: TLARS,sd_TPR,30.000000,0.084030
TREX-DA: TLARS,Avg_L,30.000000,2.885000
TREX-DA: TLARS,Avg_T,30.000000,8.410000
TREX-DA: TAFS,FDR,1.000000,0.050000
TREX-DA: TAFS,sd_FDR,1.000000,0.218492
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.070000
TREX-DA: TAFS,Avg_T,1.000000,5.120000
TREX-DA: TAFS,FDR,3.000000,0.191167
