solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.072500
TREX-DA: TLARS,sd_FDR,1.000000,0.247589
TREX-DA: TLARS,TPR,1.000000,0.195000
TREX-DA: TLARS,sd_TPR,1.000000,0.397195
TREX-DA: TLARS,Avg_L,1.000000,1.705000
TREX-DA: TLARS,Avg_T,1.000000,7.065000
TREX-DA: TLARS,FDR,3.000000,0.151667
TREX-DA: TLARS,sd_FDR,3.000000,0.270549
TREX-DA: TLARS,TPR,3.000000,0.443333
TREX-DA: TLARS,sd_TPR,3.000000,0.408057
TREX-DA: TLARS,Avg_L,3.000000,1.925000
TREX-DA: TLARS,Avg_T,3.000000,21.935000
TREX-DA: TLARS,FDR,5.000000,0.192440
TREX-DA: TLARS,sd_FDR,5.000000,0.239202
TREX-DA: TLARS,TPR,5.000000,0.608000
TREX-DA: TLARS,sd_TPR,5.000000,0.282729
TREX-DA: TLARS,Avg_L,5.000000,1.655000
TREX-DA: TLARS,Avg_T,5.000000,29.185000
TREX-DA: TLARS,FDR,10.000000,0.168846
TREX-DA: TLARS,sd_FDR,10.000000,0.178672
TREX-DA: TLARS,TPR,10.000000,0.539500
TREX-DA: TLARS,sd_TPR,10.000000,0.220529
TREX-DA: TLARS,Avg_L,10.000000,1.815000
TREX-DA: TLARS,Avg_T,10.000000,23.860000
TREX-DA: TLARS,FDR,15.000000,0.186682
TREX-DA: TLARS,sd_FDR,15.000000,0.170648
TREX-DA: TLARS,TPR,15.000000,0.368333
TREX-DA: TLARS,sd_TPR,15.000000,0.181554
TREX-DA: TLARS,Avg_L,15.000000,2.355000
TREX-DA: TLARS,Avg_T,15.000000,14.675000
TREX-DA: TLARS,FDR,20.000000,0.236485
TREX-DA: TLARS,sd_FDR,20.000000,0.244826
TREX-DA: TLARS,TPR,20.000000,0.173500
TREX-DA: TLARS,sd_TPR,20.000000,0.141147
TREX-DA: TLARS,Avg_L,20.000000,2.305000
TREX-DA: TLARS,Avg_T,20.000000,9.335000
TREX-DA: TLARS,FDR,30.000000,0.166717
TREX-DA: TLARS,sd_FDR,30.000000,0.243053
TREX-DA: TLARS,TPR,30.000000,0.064000
TREX-DA: TLARS,sd_TPR,30.000000,0.076302
TREX-DA: TLARS,Avg_L,30.000000,2.710000
TREX-DA: TLARS,Avg_T,30.000000,6.485000
TREX-DA: TAFS,FDR,1.000000,0.060000
TREX-DA: TAFS,sd_FDR,1.000000,0.238083
