solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.045000
TREX-DA: TLARS,sd_FDR,1.000000,0.188821
TREX-DA: TLARS,TPR,1.000000,0.195000
TREX-DA: TLARS,sd_TPR,1.000000,0.397195
TREX-DA: TLARS,Avg_L,1.000000,1.680000
TREX-DA: TLARS,Avg_T,1.000000,6.185000
TREX-DA: TLARS,FDR,3.000000,0.135750
TREX-DA: TLARS,sd_FDR,3.000000,0.214080
TREX-DA: TLARS,TPR,3.000000,0.598333
TREX-DA: TLARS,sd_TPR,3.000000,0.385814
TREX-DA: TLARS,Avg_L,3.000000,2.100000
TREX-DA: TLARS,Avg_T,3.000000,21.000000
TREX-DA: TLARS,FDR,5.000000,0.203167
TREX-DA: TLARS,sd_FDR,5.000000,0.221681
TREX-DA: TLARS,TPR,5.000000,0.674000
TREX-DA: TLARS,sd_TPR,5.000000,0.257010
TREX-DA: TLARS,Avg_L,5.000000,1.720000
TREX-DA: TLARS,Avg_T,5.000000,24.865000
TREX-DA: TLARS,FDR,10.000000,0.221579
TREX-DA: TLARS,sd_FDR,10.000000,0.185526
TREX-DA: TLARS,TPR,10.000000,0.565000
TREX-DA: TLARS,sd_TPR,10.000000,0.215423
TREX-DA: TLARS,Avg_L,10.000000,1.740000
TREX-DA: TLARS,Avg_T,10.000000,22.080000
TREX-DA: TLARS,FDR,15.000000,0.209586
TREX-DA: TLARS,sd_FDR,15.000000,0.174830
TREX-DA: TLARS,TPR,15.000000,0.426000
TREX-DA: TLARS,sd_TPR,15.000000,0.208345
TREX-DA: TLARS,Avg_L,15.000000,2.170000
TREX-DA: TLARS,Avg_T,15.000000,14.895000
TREX-DA: TLARS,FDR,20.000000,0.273189
TREX-DA: TLARS,sd_FDR,20.000000,0.232572
TREX-DA: TLARS,TPR,20.000000,0.235250
TREX-DA: TLARS,sd_TPR,20.000000,0.159522
TREX-DA: TLARS,Avg_L,20.000000,2.530000
TREX-DA: TLARS,Avg_T,20.000000,9.775000
TREX-DA: TLARS,FDR,30.000000,0.221433
TREX-DA: TLARS,sd_FDR,30.000000,0.260181
TREX-DA: TLARS,TPR,30.000000,0.083333
TREX-DA: TLARS,sd_TPR,30.000000,0.090164
TREX-DA: TLARS,Avg_L,30.000000,2.750000
TREX-DA: TLARS,Avg_T,30.000000,7.800000
TREX-DA: TAFS,FDR,1.000000,0.040000
TREX-DA: TAFS,sd_FDR,1.000000,0.196451
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.075000
TREX-DA: TAFS,Avg_T,1.000000,5.180000
TREX-DA: TAFS,FDR,3.000000,0.218000
TREX-DA: TAFS,sd_FDR,3.000000,0.306223
TREX-DA: TAFS,TPR,3.000000,0.351667
TREX-DA: TAFS,sd_TPR,3.000000,0.297388
TREX-DA: TAFS,Avg_L,3.000000,1.775000
TREX-DA: TAFS,Avg_T,3.000000,7.685000
TREX-DA: TAFS,FDR,5.000000,0.138917
TREX-DA: TAFS,sd_FDR,5.000000,0.173123
TREX-DA: TAFS,TPR,5.000000,0.765000
TREX-DA: TAFS,sd_TPR,5.000000,0.211658
TREX-DA: TAFS,Avg_L,5.000000,1.795000
TREX-DA: TAFS,Avg_T,5.000000,7.515000
TREX-DA: TAFS,FDR,10.000000,0.148808
TREX-DA: TAFS,sd_FDR,10.000000,0.118901
TREX-DA: TAFS,TPR,10.000000,0.784000
TREX-DA: TAFS,sd_TPR,10.000000,0.201362
TREX-DA: TAFS,Avg_L,10.000000,1.355000
TREX-DA: TAFS,Avg_T,10.000000,6.505000
TREX-DA: TAFS,FDR,15.000000,0.187825
TREX-DA: TAFS,sd_FDR,15.000000,0.128416
TREX-DA: TAFS,TPR,15.000000,0.584000
TREX-DA: TAFS,sd_TPR,15.000000,0.223793
TREX-DA: TAFS,Avg_L,15.000000,1.905000
TREX-DA: TAFS,Avg_T,15.000000,6.780000
TREX-DA: TAFS,FDR,20.000000,0.260059
TREX-DA: TAFS,sd_FDR,20.000000,0.217908
TREX-DA: TAFS,TPR,20.000000,0.273750
TREX-DA: TAFS,sd_TPR,20.000000,0.191000
TREX-DA: TAFS,Avg_L,20.000000,2.275000
TREX-DA: TAFS,Avg_T,20.000000,6.100000
TREX-DA: TAFS,FDR,30.000000,0.223015
TREX-DA: TAFS,sd_FDR,30.000000,0.278676
TREX-DA: TAFS,TPR,30.000000,0.069167
TREX-DA: TAFS,sd_TPR,30.000000,0.069852
TREX-DA: TAFS,Avg_L,30.000000,2.740000
TREX-DA: TAFS,Avg_T,30.000000,5.420000
TREX-DA: TOMP,FDR,1.000000,0.000000
TREX-DA: TOMP,sd_FDR,1.000000,0.000000
TREX-DA: TOMP,TPR,1.000000,0.275000
TREX-DA: TOMP,sd_TPR,1.000000,0.447635
TREX-DA: TOMP,Avg_L,1.000000,1.825000
TREX-DA: TOMP,Avg_T,1.000000,5.630000
TREX-DA: TOMP,FDR,3.000000,0.024583
TREX-DA: TOMP,sd_FDR,3.000000,0.090672
TREX-DA: TOMP,TPR,3.000000,0.786667
TREX-DA: TOMP,sd_TPR,3.000000,0.392618
TREX-DA: TOMP,Avg_L,3.000000,2.315000
TREX-DA: TOMP,Avg_T,3.000000,7.785000
TREX-DA: TOMP,FDR,5.000000,0.050179
TREX-DA: TOMP,sd_FDR,5.000000,0.096722
TREX-DA: TOMP,TPR,5.000000,0.952000
TREX-DA: TOMP,sd_TPR,5.000000,0.106549
TREX-DA: TOMP,Avg_L,5.000000,1.950000
TREX-DA: TOMP,Avg_T,5.000000,7.800000
TREX-DA: TOMP,FDR,10.000000,0.138973
TREX-DA: TOMP,sd_FDR,10.000000,0.120994
TREX-DA: TOMP,TPR,10.000000,0.810500
TREX-DA: TOMP,sd_TPR,10.000000,0.191371
TREX-DA: TOMP,Avg_L,10.000000,1.410000
TREX-DA: TOMP,Avg_T,10.000000,6.940000
TREX-DA: TOMP,FDR,15.000000,0.184879
TREX-DA: TOMP,sd_FDR,15.000000,0.146465
TREX-DA: TOMP,TPR,15.000000,0.561667
TREX-DA: TOMP,sd_TPR,15.000000,0.244692
TREX-DA: TOMP,Avg_L,15.000000,1.840000
TREX-DA: TOMP,Avg_T,15.000000,6.675000
TREX-DA: TOMP,FDR,20.000000,0.226448
TREX-DA: TOMP,sd_FDR,20.000000,0.202654
TREX-DA: TOMP,TPR,20.000000,0.245250
TREX-DA: TOMP,sd_TPR,20.000000,0.175195
TREX-DA: TOMP,Avg_L,20.000000,2.425000
TREX-DA: TOMP,Avg_T,20.000000,6.680000
TREX-DA: TOMP,FDR,30.000000,0.213995
TREX-DA: TOMP,sd_FDR,30.000000,0.302641
TREX-DA: TOMP,TPR,30.000000,0.047667
TREX-DA: TOMP,sd_TPR,30.000000,0.055366
TREX-DA: TOMP,Avg_L,30.000000,2.890000
TREX-DA: TOMP,Avg_T,30.000000,6.525000
