solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.249500
TREX-DA: TLARS,sd_FDR,5.000000,0.233458
TREX-DA: TLARS,TPR,5.000000,0.647000
TREX-DA: TLARS,sd_TPR,5.000000,0.254391
TREX-DA: TLARS,Avg_L,5.000000,1.640000
TREX-DA: TLARS,Avg_T,5.000000,24.330000
TREX-DA: TLARS,FDR,10.000000,0.257137
TREX-DA: TLARS,sd_FDR,10.000000,0.222030
TREX-DA: TLARS,TPR,10.000000,0.689000
TREX-DA: TLARS,sd_TPR,10.000000,0.233563
TREX-DA: TLARS,Avg_L,10.000000,1.845000
TREX-DA: TLARS,Avg_T,10.000000,29.135000
TREX-DA: TLARS,FDR,15.000000,0.251145
TREX-DA: TLARS,sd_FDR,15.000000,0.230880
TREX-DA: TLARS,TPR,15.000000,0.645000
TREX-DA: TLARS,sd_TPR,15.000000,0.281730
TREX-DA: TLARS,Avg_L,15.000000,1.745000
TREX-DA: TLARS,Avg_T,15.000000,31.235000
TREX-DA: TLARS,FDR,20.000000,0.290706
TREX-DA: TLARS,sd_FDR,20.000000,0.239942
TREX-DA: TLARS,TPR,20.000000,0.647000
TREX-DA: TLARS,sd_TPR,20.000000,0.273432
TREX-DA: TLARS,Avg_L,20.000000,1.820000
TREX-DA: TLARS,Avg_T,20.000000,27.730000
TREX-DA: TLARS,FDR,25.000000,0.284331
TREX-DA: TLARS,sd_FDR,25.000000,0.245244
TREX-DA: TLARS,TPR,25.000000,0.636000
TREX-DA: TLARS,sd_TPR,25.000000,0.269569
TREX-DA: TLARS,Avg_L,25.000000,1.860000
TREX-DA: TLARS,Avg_T,25.000000,25.455000
TREX-DA: TLARS,FDR,30.000000,0.252280
TREX-DA: TLARS,sd_FDR,30.000000,0.205064
TREX-DA: TLARS,TPR,30.000000,0.673000
TREX-DA: TLARS,sd_TPR,30.000000,0.254549
TREX-DA: TLARS,Avg_L,30.000000,1.755000
TREX-DA: TLARS,Avg_T,30.000000,25.195000
TREX-DA: TLARS,FDR,35.000000,0.255970
TREX-DA: TLARS,sd_FDR,35.000000,0.215950
TREX-DA: TLARS,TPR,35.000000,0.691000
TREX-DA: TLARS,sd_TPR,35.000000,0.274034
TREX-DA: TLARS,Avg_L,35.000000,1.855000
TREX-DA: TLARS,Avg_T,35.000000,21.650000
TREX-DA: TLARS,FDR,40.000000,0.268206
TREX-DA: TLARS,sd_FDR,40.000000,0.231930
TREX-DA: TLARS,TPR,40.000000,0.679000
TREX-DA: TLARS,sd_TPR,40.000000,0.278472
TREX-DA: TLARS,Avg_L,40.000000,1.910000
TREX-DA: TLARS,Avg_T,40.000000,24.125000
TREX-DA: TLARS,FDR,45.000000,0.255685
TREX-DA: TLARS,sd_FDR,45.000000,0.223633
TREX-DA: TLARS,TPR,45.000000,0.651000
TREX-DA: TLARS,sd_TPR,45.000000,0.285669
TREX-DA: TLARS,Avg_L,45.000000,1.820000
TREX-DA: TLARS,Avg_T,45.000000,23.635000
TREX-DA: TLARS,FDR,50.000000,0.273744
TREX-DA: TLARS,sd_FDR,50.000000,0.221564
TREX-DA: TLARS,TPR,50.000000,0.681000
TREX-DA: TLARS,sd_TPR,50.000000,0.252105
TREX-DA: TLARS,Avg_L,50.000000,1.885000
TREX-DA: TLARS,Avg_T,50.000000,22.675000
TREX-DA: TAFS,FDR,5.000000,0.151821
TREX-DA: TAFS,sd_FDR,5.000000,0.169388
TREX-DA: TAFS,TPR,5.000000,0.785000
TREX-DA: TAFS,sd_TPR,5.000000,0.213077
TREX-DA: TAFS,Avg_L,5.000000,1.745000
TREX-DA: TAFS,Avg_T,5.000000,7.640000
TREX-DA: TAFS,FDR,10.000000,0.132363
TREX-DA: TAFS,sd_FDR,10.000000,0.143804
TREX-DA: TAFS,TPR,10.000000,0.821000
TREX-DA: TAFS,sd_TPR,10.000000,0.193770
TREX-DA: TAFS,Avg_L,10.000000,1.820000
