solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.224643
TREX-DA: TLARS,sd_FDR,5.000000,0.225217
TREX-DA: TLARS,TPR,5.000000,0.673000
TREX-DA: TLARS,sd_TPR,5.000000,0.258467
TREX-DA: TLARS,Avg_L,5.000000,1.655000
TREX-DA: TLARS,Avg_T,5.000000,24.795000
TREX-DA: TLARS,FDR,10.000000,0.273956
TREX-DA: TLARS,sd_FDR,10.000000,0.225185
TREX-DA: TLARS,TPR,10.000000,0.663000
TREX-DA: TLARS,sd_TPR,10.000000,0.246852
TREX-DA: TLARS,Avg_L,10.000000,1.805000
TREX-DA: TLARS,Avg_T,10.000000,28.010000
TREX-DA: TLARS,FDR,15.000000,0.246726
TREX-DA: TLARS,sd_FDR,15.000000,0.247168
TREX-DA: TLARS,TPR,15.000000,0.641000
TREX-DA: TLARS,sd_TPR,15.000000,0.281630
TREX-DA: TLARS,Avg_L,15.000000,1.815000
TREX-DA: TLARS,Avg_T,15.000000,28.140000
TREX-DA: TLARS,FDR,20.000000,0.244381
TREX-DA: TLARS,sd_FDR,20.000000,0.220531
TREX-DA: TLARS,TPR,20.000000,0.689000
TREX-DA: TLARS,sd_TPR,20.000000,0.264250
TREX-DA: TLARS,Avg_L,20.000000,1.900000
TREX-DA: TLARS,Avg_T,20.000000,26.745000
TREX-DA: TLARS,FDR,25.000000,0.247744
TREX-DA: TLARS,sd_FDR,25.000000,0.219865
TREX-DA: TLARS,TPR,25.000000,0.641000
TREX-DA: TLARS,sd_TPR,25.000000,0.285880
TREX-DA: TLARS,Avg_L,25.000000,1.820000
TREX-DA: TLARS,Avg_T,25.000000,30.590000
TREX-DA: TLARS,FDR,30.000000,0.274502
TREX-DA: TLARS,sd_FDR,30.000000,0.227102
TREX-DA: TLARS,TPR,30.000000,0.686000
TREX-DA: TLARS,sd_TPR,30.000000,0.254811
TREX-DA: TLARS,Avg_L,30.000000,1.860000
TREX-DA: TLARS,Avg_T,30.000000,27.580000
TREX-DA: TLARS,FDR,35.000000,0.271718
TREX-DA: TLARS,sd_FDR,35.000000,0.212302
TREX-DA: TLARS,TPR,35.000000,0.666000
TREX-DA: TLARS,sd_TPR,35.000000,0.263040
TREX-DA: TLARS,Avg_L,35.000000,1.925000
TREX-DA: TLARS,Avg_T,35.000000,26.075000
TREX-DA: TLARS,FDR,40.000000,0.266375
TREX-DA: TLARS,sd_FDR,40.000000,0.226573
TREX-DA: TLARS,TPR,40.000000,0.647000
TREX-DA: TLARS,sd_TPR,40.000000,0.274898
TREX-DA: TLARS,Avg_L,40.000000,1.915000
TREX-DA: TLARS,Avg_T,40.000000,26.130000
TREX-DA: TLARS,FDR,45.000000,0.242819
TREX-DA: TLARS,sd_FDR,45.000000,0.217700
TREX-DA: TLARS,TPR,45.000000,0.675000
TREX-DA: TLARS,sd_TPR,45.000000,0.284570
TREX-DA: TLARS,Avg_L,45.000000,1.825000
TREX-DA: TLARS,Avg_T,45.000000,22.075000
TREX-DA: TLARS,FDR,50.000000,0.289279
TREX-DA: TLARS,sd_FDR,50.000000,0.232439
TREX-DA: TLARS,TPR,50.000000,0.661000
TREX-DA: TLARS,sd_TPR,50.000000,0.258482
TREX-DA: TLARS,Avg_L,50.000000,1.925000
TREX-DA: TLARS,Avg_T,50.000000,23.840000
TREX-DA: TAFS,FDR,5.000000,0.149250
TREX-DA: TAFS,sd_FDR,5.000000,0.160469
TREX-DA: TAFS,TPR,5.000000,0.763000
