solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.203821
TREX-DA: TLARS,sd_FDR,5.000000,0.253840
TREX-DA: TLARS,TPR,5.000000,0.640000
TREX-DA: TLARS,sd_TPR,5.000000,0.288472
TREX-DA: TLARS,Avg_L,5.000000,1.650000
TREX-DA: TLARS,Avg_T,5.000000,26.315000
TREX-DA: TLARS,FDR,10.000000,0.225274
TREX-DA: TLARS,sd_FDR,10.000000,0.260561
TREX-DA: TLARS,TPR,10.000000,0.601000
TREX-DA: TLARS,sd_TPR,10.000000,0.282485
TREX-DA: TLARS,Avg_L,10.000000,1.815000
TREX-DA: TLARS,Avg_T,10.000000,36.580000
TREX-DA: TLARS,FDR,15.000000,0.245179
TREX-DA: TLARS,sd_FDR,15.000000,0.278486
TREX-DA: TLARS,TPR,15.000000,0.540000
TREX-DA: TLARS,sd_TPR,15.000000,0.318287
TREX-DA: TLARS,Avg_L,15.000000,1.765000
TREX-DA: TLARS,Avg_T,15.000000,41.385000
TREX-DA: TLARS,FDR,20.000000,0.244000
TREX-DA: TLARS,sd_FDR,20.000000,0.264567
TREX-DA: TLARS,TPR,20.000000,0.570000
TREX-DA: TLARS,sd_TPR,20.000000,0.313675
TREX-DA: TLARS,Avg_L,20.000000,1.775000
TREX-DA: TLARS,Avg_T,20.000000,36.910000
TREX-DA: TLARS,FDR,25.000000,0.212048
TREX-DA: TLARS,sd_FDR,25.000000,0.227403
TREX-DA: TLARS,TPR,25.000000,0.525000
TREX-DA: TLARS,sd_TPR,25.000000,0.299707
TREX-DA: TLARS,Avg_L,25.000000,1.745000
TREX-DA: TLARS,Avg_T,25.000000,36.025000
TREX-DA: TLARS,FDR,30.000000,0.213571
TREX-DA: TLARS,sd_FDR,30.000000,0.223710
TREX-DA: TLARS,TPR,30.000000,0.592000
TREX-DA: TLARS,sd_TPR,30.000000,0.302645
TREX-DA: TLARS,Avg_L,30.000000,1.880000
TREX-DA: TLARS,Avg_T,30.000000,35.840000
TREX-DA: TLARS,FDR,35.000000,0.240905
TREX-DA: TLARS,sd_FDR,35.000000,0.266511
TREX-DA: TLARS,TPR,35.000000,0.519000
TREX-DA: TLARS,sd_TPR,35.000000,0.312614
TREX-DA: TLARS,Avg_L,35.000000,1.795000
TREX-DA: TLARS,Avg_T,35.000000,34.205000
TREX-DA: TLARS,FDR,40.000000,0.251183
TREX-DA: TLARS,sd_FDR,40.000000,0.243912
TREX-DA: TLARS,TPR,40.000000,0.538000
TREX-DA: TLARS,sd_TPR,40.000000,0.307619
TREX-DA: TLARS,Avg_L,40.000000,1.870000
TREX-DA: TLARS,Avg_T,40.000000,30.830000
TREX-DA: TLARS,FDR,45.000000,0.245435
TREX-DA: TLARS,sd_FDR,45.000000,0.260530
TREX-DA: TLARS,TPR,45.000000,0.544000
TREX-DA: TLARS,sd_TPR,45.000000,0.315215
TREX-DA: TLARS,Avg_L,45.000000,1.815000
TREX-DA: TLARS,Avg_T,45.000000,31.850000
TREX-DA: TLARS,FDR,50.000000,0.266137
TREX-DA: TLARS,sd_FDR,50.000000,0.279641
TREX-DA: TLARS,TPR,50.000000,0.511000
TREX-DA: TLARS,sd_TPR,50.000000,0.305854
TREX-DA: TLARS,Avg_L,50.000000,1.800000
TREX-DA: TLARS,Avg_T,50.000000,28.370000
TREX-DA: TAFS,FDR,5.000000,0.107107
TREX-DA: TAFS,sd_FDR,5.000000,0.148503
TREX-DA: TAFS,TPR,5.000000,0.745000
TREX-DA: TAFS,sd_TPR,5.000000,0.228552
TREX-DA: TAFS,Avg_L,5.000000,1.820000
TREX-DA: TAFS,Avg_T,5.000000,7.485000
TREX-DA: TAFS,FDR,10.000000,0.122750
TREX-DA: TAFS,sd_FDR,10.000000,0.151414
TREX-DA: TAFS,TPR,10.000000,0.735000
TREX-DA: TAFS,sd_TPR,10.000000,0.232044
TREX-DA: TAFS,Avg_L,10.000000,1.810000
TREX-DA: TAFS,Avg_T,10.000000,7.480000
TREX-DA: TAFS,FDR,15.000000,0.135333
TREX-DA: TAFS,sd_FDR,15.000000,0.176807
TREX-DA: TAFS,TPR,15.000000,0.669000
TREX-DA: TAFS,sd_TPR,15.000000,0.310356
TREX-DA: TAFS,Avg_L,15.000000,1.805000
TREX-DA: TAFS,Avg_T,15.000000,7.510000
TREX-DA: TAFS,FDR,20.000000,0.120321
