solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.124286
TREX-DA: TLARS,sd_FDR,0.000000,0.172797
TREX-DA: TLARS,TPR,0.000000,0.771000
TREX-DA: TLARS,sd_TPR,0.000000,0.249943
TREX-DA: TLARS,Avg_L,0.000000,1.875000
TREX-DA: TLARS,Avg_T,0.000000,26.940000
TREX-DA: TLARS,FDR,0.100000,0.102488
TREX-DA: TLARS,sd_FDR,0.100000,0.164667
TREX-DA: TLARS,TPR,0.100000,0.790000
TREX-DA: TLARS,sd_TPR,0.100000,0.215714
TREX-DA: TLARS,Avg_L,0.100000,1.915000
TREX-DA: TLARS,Avg_T,0.100000,28.675000
TREX-DA: TLARS,FDR,0.200000,0.116274
TREX-DA: TLARS,sd_FDR,0.200000,0.174096
TREX-DA: TLARS,TPR,0.200000,0.770000
TREX-DA: TLARS,sd_TPR,0.200000,0.256572
TREX-DA: TLARS,Avg_L,0.200000,1.845000
TREX-DA: TLARS,Avg_T,0.200000,26.080000
TREX-DA: TLARS,FDR,0.300000,0.137036
TREX-DA: TLARS,sd_FDR,0.300000,0.183473
TREX-DA: TLARS,TPR,0.300000,0.765000
TREX-DA: TLARS,sd_TPR,0.300000,0.257110
TREX-DA: TLARS,Avg_L,0.300000,1.855000
TREX-DA: TLARS,Avg_T,0.300000,24.605000
TREX-DA: TLARS,FDR,0.400000,0.138036
TREX-DA: TLARS,sd_FDR,0.400000,0.185268
TREX-DA: TLARS,TPR,0.400000,0.779000
TREX-DA: TLARS,sd_TPR,0.400000,0.245889
TREX-DA: TLARS,Avg_L,0.400000,1.875000
TREX-DA: TLARS,Avg_T,0.400000,25.235000
TREX-DA: TLARS,FDR,0.500000,0.155750
TREX-DA: TLARS,sd_FDR,0.500000,0.207623
TREX-DA: TLARS,TPR,0.500000,0.761000
TREX-DA: TLARS,sd_TPR,0.500000,0.247762
TREX-DA: TLARS,Avg_L,0.500000,1.820000
TREX-DA: TLARS,Avg_T,0.500000,25.355000
TREX-DA: TLARS,FDR,0.600000,0.144083
TREX-DA: TLARS,sd_FDR,0.600000,0.182018
TREX-DA: TLARS,TPR,0.600000,0.775000
TREX-DA: TLARS,sd_TPR,0.600000,0.247144
TREX-DA: TLARS,Avg_L,0.600000,1.850000
TREX-DA: TLARS,Avg_T,0.600000,21.255000
TREX-DA: TLARS,FDR,0.700000,0.169893
TREX-DA: TLARS,sd_FDR,0.700000,0.214209
TREX-DA: TLARS,TPR,0.700000,0.718000
TREX-DA: TLARS,sd_TPR,0.700000,0.257698
TREX-DA: TLARS,Avg_L,0.700000,1.725000
TREX-DA: TLARS,Avg_T,0.700000,22.780000
TREX-DA: TLARS,FDR,0.800000,0.221940
TREX-DA: TLARS,sd_FDR,0.800000,0.221443
