solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.121774
TREX-DA: TLARS,sd_FDR,0.000000,0.165566
TREX-DA: TLARS,TPR,0.000000,0.727000
TREX-DA: TLARS,sd_TPR,0.000000,0.250569
TREX-DA: TLARS,Avg_L,0.000000,1.895000
TREX-DA: TLARS,Avg_T,0.000000,30.545000
TREX-DA: TLARS,FDR,0.100000,0.137750
TREX-DA: TLARS,sd_FDR,0.100000,0.170160
TREX-DA: TLARS,TPR,0.100000,0.743000
TREX-DA: TLARS,sd_TPR,0.100000,0.244232
TREX-DA: TLARS,Avg_L,0.100000,1.940000
TREX-DA: TLARS,Avg_T,0.100000,30.025000
TREX-DA: TLARS,FDR,0.200000,0.103333
TREX-DA: TLARS,sd_FDR,0.200000,0.164432
TREX-DA: TLARS,TPR,0.200000,0.752000
TREX-DA: TLARS,sd_TPR,0.200000,0.226168
TREX-DA: TLARS,Avg_L,0.200000,1.870000
TREX-DA: TLARS,Avg_T,0.200000,28.020000
TREX-DA: TLARS,FDR,0.300000,0.116560
TREX-DA: TLARS,sd_FDR,0.300000,0.187114
TREX-DA: TLARS,TPR,0.300000,0.770000
TREX-DA: TLARS,sd_TPR,0.300000,0.261999
TREX-DA: TLARS,Avg_L,0.300000,1.875000
TREX-DA: TLARS,Avg_T,0.300000,28.105000
TREX-DA: TLARS,FDR,0.400000,0.126107
TREX-DA: TLARS,sd_FDR,0.400000,0.193482
TREX-DA: TLARS,TPR,0.400000,0.768000
TREX-DA: TLARS,sd_TPR,0.400000,0.249171
TREX-DA: TLARS,Avg_L,0.400000,1.790000
TREX-DA: TLARS,Avg_T,0.400000,24.335000
TREX-DA: TLARS,FDR,0.500000,0.134250
TREX-DA: TLARS,sd_FDR,0.500000,0.198045
TREX-DA: TLARS,TPR,0.500000,0.738000
TREX-DA: TLARS,sd_TPR,0.500000,0.264776
TREX-DA: TLARS,Avg_L,0.500000,1.795000
TREX-DA: TLARS,Avg_T,0.500000,21.045000
TREX-DA: TLARS,FDR,0.600000,0.159476
TREX-DA: TLARS,sd_FDR,0.600000,0.176390
TREX-DA: TLARS,TPR,0.600000,0.729000
TREX-DA: TLARS,sd_TPR,0.600000,0.223177
TREX-DA: TLARS,Avg_L,0.600000,1.810000
TREX-DA: TLARS,Avg_T,0.600000,25.190000
TREX-DA: TLARS,FDR,0.700000,0.176333
TREX-DA: TLARS,sd_FDR,0.700000,0.213021
TREX-DA: TLARS,TPR,0.700000,0.736000
TREX-DA: TLARS,sd_TPR,0.700000,0.244547
TREX-DA: TLARS,Avg_L,0.700000,1.750000
TREX-DA: TLARS,Avg_T,0.700000,26.645000
TREX-DA: TLARS,FDR,0.800000,0.205030
TREX-DA: TLARS,sd_FDR,0.800000,0.237277
TREX-DA: TLARS,TPR,0.800000,0.675000
TREX-DA: TLARS,sd_TPR,0.800000,0.257891
TREX-DA: TLARS,Avg_L,0.800000,1.670000
TREX-DA: TLARS,Avg_T,0.800000,25.565000
TREX-DA: TLARS,FDR,0.900000,0.311917
TREX-DA: TLARS,sd_FDR,0.900000,0.258379
TREX-DA: TLARS,TPR,0.900000,0.573000
TREX-DA: TLARS,sd_TPR,0.900000,0.269507
TREX-DA: TLARS,Avg_L,0.900000,1.430000
