solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.051667
TREX-DA: TLARS,sd_FDR,0.100000,0.213575
TREX-DA: TLARS,TPR,0.100000,0.016000
TREX-DA: TLARS,sd_TPR,0.100000,0.057972
TREX-DA: TLARS,Avg_L,0.100000,1.740000
TREX-DA: TLARS,Avg_T,0.100000,9.815000
TREX-DA: TLARS,FDR,0.200000,0.131917
TREX-DA: TLARS,sd_FDR,0.200000,0.274242
TREX-DA: TLARS,TPR,0.200000,0.103000
TREX-DA: TLARS,sd_TPR,0.200000,0.172452
TREX-DA: TLARS,Avg_L,0.200000,2.555000
TREX-DA: TLARS,Avg_T,0.200000,14.725000
TREX-DA: TLARS,FDR,0.500000,0.202762
TREX-DA: TLARS,sd_FDR,0.500000,0.237560
TREX-DA: TLARS,TPR,0.500000,0.429000
TREX-DA: TLARS,sd_TPR,0.500000,0.296307
TREX-DA: TLARS,Avg_L,0.500000,2.400000
TREX-DA: TLARS,Avg_T,0.500000,21.685000
TREX-DA: TLARS,FDR,0.600000,0.220774
TREX-DA: TLARS,sd_FDR,0.600000,0.236945
TREX-DA: TLARS,TPR,0.600000,0.509000
TREX-DA: TLARS,sd_TPR,0.600000,0.279840
TREX-DA: TLARS,Avg_L,0.600000,2.380000
TREX-DA: TLARS,Avg_T,0.600000,22.200000
TREX-DA: TLARS,FDR,1.000000,0.229405
TREX-DA: TLARS,sd_FDR,1.000000,0.216875
TREX-DA: TLARS,TPR,1.000000,0.640000
TREX-DA: TLARS,sd_TPR,1.000000,0.249623
TREX-DA: TLARS,Avg_L,1.000000,1.930000
TREX-DA: TLARS,Avg_T,1.000000,27.325000
TREX-DA: TLARS,FDR,2.000000,0.236663
TREX-DA: TLARS,sd_FDR,2.000000,0.223722
TREX-DA: TLARS,TPR,2.000000,0.663000
TREX-DA: TLARS,sd_TPR,2.000000,0.256437
TREX-DA: TLARS,Avg_L,2.000000,1.575000
TREX-DA: TLARS,Avg_T,2.000000,23.345000
TREX-DA: TLARS,FDR,5.000000,0.210143
TREX-DA: TLARS,sd_FDR,5.000000,0.203388
TREX-DA: TLARS,TPR,5.000000,0.715000
TREX-DA: TLARS,sd_TPR,5.000000,0.249169
TREX-DA: TLARS,Avg_L,5.000000,1.620000
TREX-DA: TLARS,Avg_T,5.000000,24.265000
TREX-DA: TAFS,FDR,0.100000,0.044167
TREX-DA: TAFS,sd_FDR,0.100000,0.193759
TREX-DA: TAFS,TPR,0.100000,0.018000
TREX-DA: TAFS,sd_TPR,0.100000,0.060782
TREX-DA: TAFS,Avg_L,0.100000,1.840000
TREX-DA: TAFS,Avg_T,0.100000,5.660000
TREX-DA: TAFS,FDR,0.200000,0.104333
TREX-DA: TAFS,sd_FDR,0.200000,0.247986
TREX-DA: TAFS,TPR,0.200000,0.109000
TREX-DA: TAFS,sd_TPR,0.200000,0.188938
TREX-DA: TAFS,Avg_L,0.200000,2.545000
TREX-DA: TAFS,Avg_T,0.200000,5.250000
TREX-DA: TAFS,FDR,0.500000,0.151083
TREX-DA: TAFS,sd_FDR,0.500000,0.208073
TREX-DA: TAFS,TPR,0.500000,0.511000
TREX-DA: TAFS,sd_TPR,0.500000,0.318096
TREX-DA: TAFS,Avg_L,0.500000,2.485000
TREX-DA: TAFS,Avg_T,0.500000,6.075000
TREX-DA: TAFS,FDR,0.600000,0.177262
TREX-DA: TAFS,sd_FDR,0.600000,0.208703
TREX-DA: TAFS,TPR,0.600000,0.631000
TREX-DA: TAFS,sd_TPR,0.600000,0.278616
TREX-DA: TAFS,Avg_L,0.600000,2.480000
TREX-DA: TAFS,Avg_T,0.600000,6.735000
TREX-DA: TAFS,FDR,1.000000,0.151905
TREX-DA: TAFS,sd_FDR,1.000000,0.190011
TREX-DA: TAFS,TPR,1.000000,0.779000
TREX-DA: TAFS,sd_TPR,1.000000,0.245070
TREX-DA: TAFS,Avg_L,1.000000,1.940000
TREX-DA: TAFS,Avg_T,1.000000,7.260000
TREX-DA: TAFS,FDR,2.000000,0.126905
TREX-DA: TAFS,sd_FDR,2.000000,0.165627
TREX-DA: TAFS,TPR,2.000000,0.797000
TREX-DA: TAFS,sd_TPR,2.000000,0.195916
TREX-DA: TAFS,Avg_L,2.000000,1.770000
TREX-DA: TAFS,Avg_T,2.000000,7.535000
TREX-DA: TAFS,FDR,5.000000,0.150810
TREX-DA: TAFS,sd_FDR,5.000000,0.158286
TREX-DA: TAFS,TPR,5.000000,0.697000
TREX-DA: TAFS,sd_TPR,5.000000,0.181537
TREX-DA: TAFS,Avg_L,5.000000,1.585000
TREX-DA: TAFS,Avg_T,5.000000,7.415000
TREX-DA: TOMP,FDR,0.100000,0.083333
TREX-DA: TOMP,sd_FDR,0.100000,0.265765
TREX-DA: TOMP,TPR,0.100000,0.019000
TREX-DA: TOMP,sd_TPR,0.100000,0.062115
TREX-DA: TOMP,Avg_L,0.100000,1.970000
TREX-DA: TOMP,Avg_T,0.100000,6.285000
TREX-DA: TOMP,FDR,0.200000,0.102250
TREX-DA: TOMP,sd_FDR,0.200000,0.252959
TREX-DA: TOMP,TPR,0.200000,0.103000
TREX-DA: TOMP,sd_TPR,0.200000,0.171282
TREX-DA: TOMP,Avg_L,0.200000,2.785000
TREX-DA: TOMP,Avg_T,0.200000,5.855000
TREX-DA: TOMP,FDR,0.500000,0.183333
TREX-DA: TOMP,sd_FDR,0.500000,0.234670
TREX-DA: TOMP,TPR,0.500000,0.539000
TREX-DA: TOMP,sd_TPR,0.500000,0.310744
TREX-DA: TOMP,Avg_L,0.500000,2.660000
TREX-DA: TOMP,Avg_T,0.500000,6.585000
TREX-DA: TOMP,FDR,0.600000,0.155167
TREX-DA: TOMP,sd_FDR,0.600000,0.199290
TREX-DA: TOMP,TPR,0.600000,0.661000
TREX-DA: TOMP,sd_TPR,0.600000,0.266899
TREX-DA: TOMP,Avg_L,0.600000,2.435000
TREX-DA: TOMP,Avg_T,0.600000,6.885000
TREX-DA: TOMP,FDR,1.000000,0.107667
TREX-DA: TOMP,sd_FDR,1.000000,0.147847
TREX-DA: TOMP,TPR,1.000000,0.865000
TREX-DA: TOMP,sd_TPR,1.000000,0.182597
TREX-DA: TOMP,Avg_L,1.000000,2.065000
TREX-DA: TOMP,Avg_T,1.000000,7.665000
TREX-DA: TOMP,FDR,2.000000,0.061583
TREX-DA: TOMP,sd_FDR,2.000000,0.115642
TREX-DA: TOMP,TPR,2.000000,0.938000
TREX-DA: TOMP,sd_TPR,2.000000,0.122602
TREX-DA: TOMP,Avg_L,2.000000,1.895000
TREX-DA: TOMP,Avg_T,2.000000,7.800000
TREX-DA: TOMP,FDR,5.000000,0.032917
TREX-DA: TOMP,sd_FDR,5.000000,0.075954
TREX-DA: TOMP,TPR,5.000000,0.968000
TREX-DA: TOMP,sd_TPR,5.000000,0.081296
TREX-DA: TOMP,Avg_L,5.000000,1.905000
TREX-DA: TOMP,Avg_T,5.000000,7.785000
