solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.081167
TREX-DA: TLARS,sd_FDR,0.100000,0.249462
TREX-DA: TLARS,TPR,0.100000,0.037000
TREX-DA: TLARS,sd_TPR,0.100000,0.111774
TREX-DA: TLARS,Avg_L,0.100000,2.130000
TREX-DA: TLARS,Avg_T,0.100000,13.040000
TREX-DA: TLARS,FDR,0.200000,0.131167
TREX-DA: TLARS,sd_FDR,0.200000,0.271395
TREX-DA: TLARS,TPR,0.200000,0.155000
TREX-DA: TLARS,sd_TPR,0.200000,0.224560
TREX-DA: TLARS,Avg_L,0.200000,2.640000
TREX-DA: TLARS,Avg_T,0.200000,14.820000
TREX-DA: TLARS,FDR,0.500000,0.208560
TREX-DA: TLARS,sd_FDR,0.500000,0.263902
TREX-DA: TLARS,TPR,0.500000,0.446000
TREX-DA: TLARS,sd_TPR,0.500000,0.305862
TREX-DA: TLARS,Avg_L,0.500000,2.410000
TREX-DA: TLARS,Avg_T,0.500000,24.655000
TREX-DA: TLARS,FDR,0.600000,0.223512
TREX-DA: TLARS,sd_FDR,0.600000,0.256853
TREX-DA: TLARS,TPR,0.600000,0.528000
TREX-DA: TLARS,sd_TPR,0.600000,0.302778
TREX-DA: TLARS,Avg_L,0.600000,2.280000
TREX-DA: TLARS,Avg_T,0.600000,26.130000
TREX-DA: TLARS,FDR,1.000000,0.220464
TREX-DA: TLARS,sd_FDR,1.000000,0.233344
TREX-DA: TLARS,TPR,1.000000,0.637000
TREX-DA: TLARS,sd_TPR,1.000000,0.277155
TREX-DA: TLARS,Avg_L,1.000000,1.820000
TREX-DA: TLARS,Avg_T,1.000000,25.450000
TREX-DA: TLARS,FDR,2.000000,0.235806
TREX-DA: TLARS,sd_FDR,2.000000,0.231546
TREX-DA: TLARS,TPR,2.000000,0.651000
TREX-DA: TLARS,sd_TPR,2.000000,0.257547
TREX-DA: TLARS,Avg_L,2.000000,1.665000
TREX-DA: TLARS,Avg_T,2.000000,25.635000
TREX-DA: TLARS,FDR,5.000000,0.227964
TREX-DA: TLARS,sd_FDR,5.000000,0.222254
TREX-DA: TLARS,TPR,5.000000,0.644000
TREX-DA: TLARS,sd_TPR,5.000000,0.246511
TREX-DA: TLARS,Avg_L,5.000000,1.595000
TREX-DA: TLARS,Avg_T,5.000000,23.385000
TREX-DA: TAFS,FDR,0.100000,0.055000
TREX-DA: TAFS,sd_FDR,0.100000,0.206071
TREX-DA: TAFS,TPR,0.100000,0.036000
TREX-DA: TAFS,sd_TPR,0.100000,0.097733
TREX-DA: TAFS,Avg_L,0.100000,1.900000
TREX-DA: TAFS,Avg_T,0.100000,5.375000
TREX-DA: TAFS,FDR,0.200000,0.136583
TREX-DA: TAFS,sd_FDR,0.200000,0.269586
TREX-DA: TAFS,TPR,0.200000,0.157000
TREX-DA: TAFS,sd_TPR,0.200000,0.216762
TREX-DA: TAFS,Avg_L,0.200000,2.565000
TREX-DA: TAFS,Avg_T,0.200000,5.545000
TREX-DA: TAFS,FDR,0.500000,0.162083
TREX-DA: TAFS,sd_FDR,0.500000,0.199755
TREX-DA: TAFS,TPR,0.500000,0.567000
TREX-DA: TAFS,sd_TPR,0.500000,0.325640
TREX-DA: TAFS,Avg_L,0.500000,2.395000
TREX-DA: TAFS,Avg_T,0.500000,6.380000
TREX-DA: TAFS,FDR,0.600000,0.132750
TREX-DA: TAFS,sd_FDR,0.600000,0.168494
TREX-DA: TAFS,TPR,0.600000,0.662000
TREX-DA: TAFS,sd_TPR,0.600000,0.288744
TREX-DA: TAFS,Avg_L,0.600000,2.335000
TREX-DA: TAFS,Avg_T,0.600000,7.015000
TREX-DA: TAFS,FDR,1.000000,0.133845
TREX-DA: TAFS,sd_FDR,1.000000,0.159854
TREX-DA: TAFS,TPR,1.000000,0.776000
TREX-DA: TAFS,sd_TPR,1.000000,0.254850
TREX-DA: TAFS,Avg_L,1.000000,1.905000
TREX-DA: TAFS,Avg_T,1.000000,7.135000
TREX-DA: TAFS,FDR,2.000000,0.142679
TREX-DA: TAFS,sd_FDR,2.000000,0.157644
TREX-DA: TAFS,TPR,2.000000,0.734000
TREX-DA: TAFS,sd_TPR,2.000000,0.210393
TREX-DA: TAFS,Avg_L,2.000000,1.685000
TREX-DA: TAFS,Avg_T,2.000000,7.255000
TREX-DA: TAFS,FDR,5.000000,0.183821
TREX-DA: TAFS,sd_FDR,5.000000,0.185855
TREX-DA: TAFS,TPR,5.000000,0.647000
TREX-DA: TAFS,sd_TPR,5.000000,0.192291
TREX-DA: TAFS,Avg_L,5.000000,1.475000
TREX-DA: TAFS,Avg_T,5.000000,7.275000
TREX-DA: TOMP,FDR,0.100000,0.085000
TREX-DA: TOMP,sd_FDR,0.100000,0.259380
TREX-DA: TOMP,TPR,0.100000,0.036000
TREX-DA: TOMP,sd_TPR,0.100000,0.097733
TREX-DA: TOMP,Avg_L,0.100000,2.115000
TREX-DA: TOMP,Avg_T,0.100000,6.455000
TREX-DA: TOMP,FDR,0.200000,0.192833
TREX-DA: TOMP,sd_FDR,0.200000,0.329973
TREX-DA: TOMP,TPR,0.200000,0.148000
TREX-DA: TOMP,sd_TPR,0.200000,0.200742
TREX-DA: TOMP,Avg_L,0.200000,2.900000
TREX-DA: TOMP,Avg_T,0.200000,6.690000
TREX-DA: TOMP,FDR,0.500000,0.166750
TREX-DA: TOMP,sd_FDR,0.500000,0.204292
TREX-DA: TOMP,TPR,0.500000,0.563000
TREX-DA: TOMP,sd_TPR,0.500000,0.319596
TREX-DA: TOMP,Avg_L,0.500000,2.485000
TREX-DA: TOMP,Avg_T,0.500000,6.735000
TREX-DA: TOMP,FDR,0.600000,0.141333
TREX-DA: TOMP,sd_FDR,0.600000,0.186515
TREX-DA: TOMP,TPR,0.600000,0.691000
TREX-DA: TOMP,sd_TPR,0.600000,0.301952
TREX-DA: TOMP,Avg_L,0.600000,2.235000
TREX-DA: TOMP,Avg_T,0.600000,6.780000
TREX-DA: TOMP,FDR,1.000000,0.084083
TREX-DA: TOMP,sd_FDR,1.000000,0.139586
TREX-DA: TOMP,TPR,1.000000,0.862000
TREX-DA: TOMP,sd_TPR,1.000000,0.228950
TREX-DA: TOMP,Avg_L,1.000000,2.055000
TREX-DA: TOMP,Avg_T,1.000000,7.670000
TREX-DA: TOMP,FDR,2.000000,0.069167
TREX-DA: TOMP,sd_FDR,2.000000,0.104808
TREX-DA: TOMP,TPR,2.000000,0.923000
TREX-DA: TOMP,sd_TPR,2.000000,0.145523
TREX-DA: TOMP,Avg_L,2.000000,1.880000
TREX-DA: TOMP,Avg_T,2.000000,7.650000
TREX-DA: TOMP,FDR,5.000000,0.037917
TREX-DA: TOMP,sd_FDR,5.000000,0.083190
TREX-DA: TOMP,TPR,5.000000,0.970000
TREX-DA: TOMP,sd_TPR,5.000000,0.077004
TREX-DA: TOMP,Avg_L,5.000000,1.900000
TREX-DA: TOMP,Avg_T,5.000000,7.890000
