solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.123417
TREX-DA: TLARS,sd_FDR,0.050000,0.192518
TREX-DA: TLARS,TPR,0.050000,0.556000
TREX-DA: TLARS,sd_TPR,0.050000,0.322777
TREX-DA: TLARS,Avg_L,0.050000,4.635000
TREX-DA: TLARS,Avg_T,0.050000,27.170000
TREX-DA: TLARS,FDR,0.100000,0.137000
TREX-DA: TLARS,sd_FDR,0.100000,0.196821
TREX-DA: TLARS,TPR,0.100000,0.567000
TREX-DA: TLARS,sd_TPR,0.100000,0.328099
TREX-DA: TLARS,Avg_L,0.100000,2.625000
TREX-DA: TLARS,Avg_T,0.100000,21.600000
TREX-DA: TLARS,FDR,0.150000,0.191762
TREX-DA: TLARS,sd_FDR,0.150000,0.216307
TREX-DA: TLARS,TPR,0.150000,0.576000
TREX-DA: TLARS,sd_TPR,0.150000,0.301794
TREX-DA: TLARS,Avg_L,0.150000,2.015000
TREX-DA: TLARS,Avg_T,0.150000,25.560000
TREX-DA: TLARS,FDR,0.200000,0.212470
TREX-DA: TLARS,sd_FDR,0.200000,0.203424
TREX-DA: TLARS,TPR,0.200000,0.692000
TREX-DA: TLARS,sd_TPR,0.200000,0.238791
TREX-DA: TLARS,Avg_L,0.200000,1.645000
TREX-DA: TLARS,Avg_T,0.200000,24.210000
TREX-DA: TLARS,FDR,0.250000,0.242286
TREX-DA: TLARS,sd_FDR,0.250000,0.222808
TREX-DA: TLARS,TPR,0.250000,0.679000
TREX-DA: TLARS,sd_TPR,0.250000,0.252742
TREX-DA: TLARS,Avg_L,0.250000,1.245000
TREX-DA: TLARS,Avg_T,0.250000,17.165000
TREX-DA: TLARS,FDR,0.300000,0.283167
TREX-DA: TLARS,sd_FDR,0.300000,0.223263
TREX-DA: TLARS,TPR,0.300000,0.697000
TREX-DA: TLARS,sd_TPR,0.300000,0.260635
TREX-DA: TLARS,Avg_L,0.300000,1.075000
TREX-DA: TLARS,Avg_T,0.300000,16.860000
TREX-DA: TLARS,FDR,0.350000,0.307835
TREX-DA: TLARS,sd_FDR,0.350000,0.226347
TREX-DA: TLARS,TPR,0.350000,0.746000
TREX-DA: TLARS,sd_TPR,0.350000,0.283347
TREX-DA: TLARS,Avg_L,0.350000,1.050000
TREX-DA: TLARS,Avg_T,0.350000,15.560000
TREX-DA: TLARS,FDR,0.400000,0.335448
TREX-DA: TLARS,sd_FDR,0.400000,0.239218
TREX-DA: TLARS,TPR,0.400000,0.786000
TREX-DA: TLARS,sd_TPR,0.400000,0.301760
TREX-DA: TLARS,Avg_L,0.400000,1.010000
TREX-DA: TLARS,Avg_T,0.400000,16.710000
TREX-DA: TLARS,FDR,0.450000,0.326254
TREX-DA: TLARS,sd_FDR,0.450000,0.167757
TREX-DA: TLARS,TPR,0.450000,0.906000
TREX-DA: TLARS,sd_TPR,0.450000,0.213052
TREX-DA: TLARS,Avg_L,0.450000,1.005000
TREX-DA: TLARS,Avg_T,0.450000,15.635000
TREX-DA: TLARS,FDR,0.500000,0.353456
TREX-DA: TLARS,sd_FDR,0.500000,0.137301
TREX-DA: TLARS,TPR,0.500000,0.944000
TREX-DA: TLARS,sd_TPR,0.500000,0.137691
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,17.255000
TREX-DA: TAFS,FDR,0.050000,0.064583
TREX-DA: TAFS,sd_FDR,0.050000,0.126024
TREX-DA: TAFS,TPR,0.050000,0.668000
TREX-DA: TAFS,sd_TPR,0.050000,0.285981
TREX-DA: TAFS,Avg_L,0.050000,5.075000
TREX-DA: TAFS,Avg_T,0.050000,7.760000
TREX-DA: TAFS,FDR,0.100000,0.064417
TREX-DA: TAFS,sd_FDR,0.100000,0.133988
TREX-DA: TAFS,TPR,0.100000,0.642000
TREX-DA: TAFS,sd_TPR,0.100000,0.297791
