solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.129250
TREX-DA: TLARS,sd_FDR,0.050000,0.192071
TREX-DA: TLARS,TPR,0.050000,0.584000
TREX-DA: TLARS,sd_TPR,0.050000,0.324764
TREX-DA: TLARS,Avg_L,0.050000,4.900000
TREX-DA: TLARS,Avg_T,0.050000,25.335000
TREX-DA: TLARS,FDR,0.100000,0.153429
TREX-DA: TLARS,sd_FDR,0.100000,0.197637
TREX-DA: TLARS,TPR,0.100000,0.567000
TREX-DA: TLARS,sd_TPR,0.100000,0.303929
TREX-DA: TLARS,Avg_L,0.100000,2.760000
TREX-DA: TLARS,Avg_T,0.100000,25.130000
TREX-DA: TLARS,FDR,0.150000,0.178417
TREX-DA: TLARS,sd_FDR,0.150000,0.217299
TREX-DA: TLARS,TPR,0.150000,0.618000
TREX-DA: TLARS,sd_TPR,0.150000,0.298869
TREX-DA: TLARS,Avg_L,0.150000,2.040000
TREX-DA: TLARS,Avg_T,0.150000,25.770000
TREX-DA: TLARS,FDR,0.200000,0.233155
TREX-DA: TLARS,sd_FDR,0.200000,0.244276
TREX-DA: TLARS,TPR,0.200000,0.665000
TREX-DA: TLARS,sd_TPR,0.200000,0.269701
TREX-DA: TLARS,Avg_L,0.200000,1.660000
TREX-DA: TLARS,Avg_T,0.200000,24.985000
TREX-DA: TLARS,FDR,0.250000,0.240280
TREX-DA: TLARS,sd_FDR,0.250000,0.225189
TREX-DA: TLARS,TPR,0.250000,0.686000
TREX-DA: TLARS,sd_TPR,0.250000,0.252433
TREX-DA: TLARS,Avg_L,0.250000,1.285000
TREX-DA: TLARS,Avg_T,0.250000,19.220000
TREX-DA: TLARS,FDR,0.300000,0.306449
TREX-DA: TLARS,sd_FDR,0.300000,0.232873
TREX-DA: TLARS,TPR,0.300000,0.674000
TREX-DA: TLARS,sd_TPR,0.300000,0.280925
TREX-DA: TLARS,Avg_L,0.300000,1.090000
TREX-DA: TLARS,Avg_T,0.300000,16.540000
TREX-DA: TLARS,FDR,0.350000,0.316651
TREX-DA: TLARS,sd_FDR,0.350000,0.223194
TREX-DA: TLARS,TPR,0.350000,0.715000
TREX-DA: TLARS,sd_TPR,0.350000,0.288080
TREX-DA: TLARS,Avg_L,0.350000,1.020000
TREX-DA: TLARS,Avg_T,0.350000,15.595000
TREX-DA: TLARS,FDR,0.400000,0.309813
TREX-DA: TLARS,sd_FDR,0.400000,0.197774
TREX-DA: TLARS,TPR,0.400000,0.841000
TREX-DA: TLARS,sd_TPR,0.400000,0.251466
TREX-DA: TLARS,Avg_L,0.400000,1.020000
TREX-DA: TLARS,Avg_T,0.400000,17.395000
TREX-DA: TLARS,FDR,0.450000,0.318698
TREX-DA: TLARS,sd_FDR,0.450000,0.191095
TREX-DA: TLARS,TPR,0.450000,0.884000
TREX-DA: TLARS,sd_TPR,0.450000,0.226274
TREX-DA: TLARS,Avg_L,0.450000,1.010000
TREX-DA: TLARS,Avg_T,0.450000,15.730000
TREX-DA: TLARS,FDR,0.500000,0.345818
TREX-DA: TLARS,sd_FDR,0.500000,0.145284
TREX-DA: TLARS,TPR,0.500000,0.944000
TREX-DA: TLARS,sd_TPR,0.500000,0.152908
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,18.160000
TREX-DA: TAFS,FDR,0.050000,0.065845
TREX-DA: TAFS,sd_FDR,0.050000,0.125599
TREX-DA: TAFS,TPR,0.050000,0.652000
TREX-DA: TAFS,sd_TPR,0.050000,0.283013
TREX-DA: TAFS,Avg_L,0.050000,5.100000
TREX-DA: TAFS,Avg_T,0.050000,7.685000
TREX-DA: TAFS,FDR,0.100000,0.077595
TREX-DA: TAFS,sd_FDR,0.100000,0.133620
TREX-DA: TAFS,TPR,0.100000,0.630000
TREX-DA: TAFS,sd_TPR,0.100000,0.284790
TREX-DA: TAFS,Avg_L,0.100000,2.705000
TREX-DA: TAFS,Avg_T,0.100000,7.575000
TREX-DA: TAFS,FDR,0.150000,0.093929
TREX-DA: TAFS,sd_FDR,0.150000,0.141873
TREX-DA: TAFS,TPR,0.150000,0.666000
TREX-DA: TAFS,sd_TPR,0.150000,0.283630
TREX-DA: TAFS,Avg_L,0.150000,1.990000
TREX-DA: TAFS,Avg_T,0.150000,7.440000
TREX-DA: TAFS,FDR,0.200000,0.108083
TREX-DA: TAFS,sd_FDR,0.200000,0.144444
TREX-DA: TAFS,TPR,0.200000,0.783000
TREX-DA: TAFS,sd_TPR,0.200000,0.197245
TREX-DA: TAFS,Avg_L,0.200000,1.735000
TREX-DA: TAFS,Avg_T,0.200000,7.500000
TREX-DA: TAFS,FDR,0.250000,0.148970
TREX-DA: TAFS,sd_FDR,0.250000,0.168604
TREX-DA: TAFS,TPR,0.250000,0.762000
TREX-DA: TAFS,sd_TPR,0.250000,0.194797
TREX-DA: TAFS,Avg_L,0.250000,1.235000
TREX-DA: TAFS,Avg_T,0.250000,7.305000
TREX-DA: TAFS,FDR,0.300000,0.198556
TREX-DA: TAFS,sd_FDR,0.300000,0.164713
TREX-DA: TAFS,TPR,0.300000,0.780000
TREX-DA: TAFS,sd_TPR,0.300000,0.217801
TREX-DA: TAFS,Avg_L,0.300000,1.070000
TREX-DA: TAFS,Avg_T,0.300000,7.190000
TREX-DA: TAFS,FDR,0.350000,0.220613
TREX-DA: TAFS,sd_FDR,0.350000,0.154511
TREX-DA: TAFS,TPR,0.350000,0.851000
TREX-DA: TAFS,sd_TPR,0.350000,0.205451
TREX-DA: TAFS,Avg_L,0.350000,1.020000
TREX-DA: TAFS,Avg_T,0.350000,7.230000
TREX-DA: TAFS,FDR,0.400000,0.197641
TREX-DA: TAFS,sd_FDR,0.400000,0.126818
TREX-DA: TAFS,TPR,0.400000,0.949000
TREX-DA: TAFS,sd_TPR,0.400000,0.134497
TREX-DA: TAFS,Avg_L,0.400000,1.005000
TREX-DA: TAFS,Avg_T,0.400000,7.525000
TREX-DA: TAFS,FDR,0.450000,0.217169
TREX-DA: TAFS,sd_FDR,0.450000,0.113986
TREX-DA: TAFS,TPR,0.450000,0.972000
TREX-DA: TAFS,sd_TPR,0.450000,0.089757
TREX-DA: TAFS,Avg_L,0.450000,1.000000
TREX-DA: TAFS,Avg_T,0.450000,7.420000
TREX-DA: TAFS,FDR,0.500000,0.255385
TREX-DA: TAFS,sd_FDR,0.500000,0.112037
TREX-DA: TAFS,TPR,0.500000,0.974000
TREX-DA: TAFS,sd_TPR,0.500000,0.102844
TREX-DA: TAFS,Avg_L,0.500000,1.005000
TREX-DA: TAFS,Avg_T,0.500000,7.780000
