solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.104333
TREX-DA: TLARS,sd_FDR,0.050000,0.194797
TREX-DA: TLARS,TPR,0.050000,0.510000
TREX-DA: TLARS,sd_TPR,0.050000,0.359648
TREX-DA: TLARS,Avg_L,0.050000,4.490000
TREX-DA: TLARS,Avg_T,0.050000,26.865000
TREX-DA: TLARS,FDR,0.100000,0.120000
TREX-DA: TLARS,sd_FDR,0.100000,0.201086
TREX-DA: TLARS,TPR,0.100000,0.511000
TREX-DA: TLARS,sd_TPR,0.100000,0.331100
TREX-DA: TLARS,Avg_L,0.100000,2.615000
TREX-DA: TLARS,Avg_T,0.100000,25.825000
TREX-DA: TLARS,FDR,0.150000,0.133333
TREX-DA: TLARS,sd_FDR,0.150000,0.204561
TREX-DA: TLARS,TPR,0.150000,0.587000
TREX-DA: TLARS,sd_TPR,0.150000,0.309370
TREX-DA: TLARS,Avg_L,0.150000,2.040000
TREX-DA: TLARS,Avg_T,0.150000,25.080000
TREX-DA: TLARS,FDR,0.200000,0.198083
TREX-DA: TLARS,sd_FDR,0.200000,0.248362
TREX-DA: TLARS,TPR,0.200000,0.641000
TREX-DA: TLARS,sd_TPR,0.200000,0.275861
TREX-DA: TLARS,Avg_L,0.200000,1.640000
TREX-DA: TLARS,Avg_T,0.200000,26.965000
TREX-DA: TLARS,FDR,0.250000,0.183024
TREX-DA: TLARS,sd_FDR,0.250000,0.224284
TREX-DA: TLARS,TPR,0.250000,0.664000
TREX-DA: TLARS,sd_TPR,0.250000,0.271797
TREX-DA: TLARS,Avg_L,0.250000,1.335000
TREX-DA: TLARS,Avg_T,0.250000,22.105000
TREX-DA: TLARS,FDR,0.300000,0.220143
TREX-DA: TLARS,sd_FDR,0.300000,0.232157
TREX-DA: TLARS,TPR,0.300000,0.673000
TREX-DA: TLARS,sd_TPR,0.300000,0.280830
TREX-DA: TLARS,Avg_L,0.300000,1.085000
TREX-DA: TLARS,Avg_T,0.300000,18.950000
TREX-DA: TLARS,FDR,0.350000,0.240548
TREX-DA: TLARS,sd_FDR,0.350000,0.221156
TREX-DA: TLARS,TPR,0.350000,0.716000
TREX-DA: TLARS,sd_TPR,0.350000,0.288723
TREX-DA: TLARS,Avg_L,0.350000,1.035000
TREX-DA: TLARS,Avg_T,0.350000,19.255000
TREX-DA: TLARS,FDR,0.400000,0.221010
TREX-DA: TLARS,sd_FDR,0.400000,0.187316
TREX-DA: TLARS,TPR,0.400000,0.870000
TREX-DA: TLARS,sd_TPR,0.400000,0.249421
