solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.072500
TREX-DA: TLARS,sd_FDR,1.000000,0.242462
TREX-DA: TLARS,TPR,1.000000,0.205000
TREX-DA: TLARS,sd_TPR,1.000000,0.404715
TREX-DA: TLARS,Avg_L,1.000000,1.695000
TREX-DA: TLARS,Avg_T,1.000000,6.850000
TREX-DA: TLARS,FDR,3.000000,0.162083
TREX-DA: TLARS,sd_FDR,3.000000,0.273739
TREX-DA: TLARS,TPR,3.000000,0.551667
TREX-DA: TLARS,sd_TPR,3.000000,0.399046
TREX-DA: TLARS,Avg_L,3.000000,2.065000
TREX-DA: TLARS,Avg_T,3.000000,22.220000
TREX-DA: TLARS,FDR,5.000000,0.247685
TREX-DA: TLARS,sd_FDR,5.000000,0.222315
TREX-DA: TLARS,TPR,5.000000,0.621000
TREX-DA: TLARS,sd_TPR,5.000000,0.254722
TREX-DA: TLARS,Avg_L,5.000000,1.610000
TREX-DA: TLARS,Avg_T,5.000000,24.415000
TREX-DA: TLARS,FDR,10.000000,0.234368
TREX-DA: TLARS,sd_FDR,10.000000,0.171996
TREX-DA: TLARS,TPR,10.000000,0.572000
TREX-DA: TLARS,sd_TPR,10.000000,0.209128
TREX-DA: TLARS,Avg_L,10.000000,1.725000
TREX-DA: TLARS,Avg_T,10.000000,20.315000
TREX-DA: TLARS,FDR,15.000000,0.243148
TREX-DA: TLARS,sd_FDR,15.000000,0.179870
TREX-DA: TLARS,TPR,15.000000,0.396333
TREX-DA: TLARS,sd_TPR,15.000000,0.187516
TREX-DA: TLARS,Avg_L,15.000000,2.225000
TREX-DA: TLARS,Avg_T,15.000000,13.635000
TREX-DA: TLARS,FDR,20.000000,0.255596
TREX-DA: TLARS,sd_FDR,20.000000,0.240225
TREX-DA: TLARS,TPR,20.000000,0.201750
TREX-DA: TLARS,sd_TPR,20.000000,0.145050
TREX-DA: TLARS,Avg_L,20.000000,2.495000
TREX-DA: TLARS,Avg_T,20.000000,9.605000
TREX-DA: TLARS,FDR,30.000000,0.221616
TREX-DA: TLARS,sd_FDR,30.000000,0.265209
TREX-DA: TLARS,TPR,30.000000,0.072000
TREX-DA: TLARS,sd_TPR,30.000000,0.078543
TREX-DA: TLARS,Avg_L,30.000000,2.800000
TREX-DA: TLARS,Avg_T,30.000000,7.325000
TREX-DA: TAFS,FDR,1.000000,0.040000
TREX-DA: TAFS,sd_FDR,1.000000,0.196451
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.065000
TREX-DA: TAFS,Avg_T,1.000000,5.140000
TREX-DA: TAFS,FDR,3.000000,0.203167
TREX-DA: TAFS,sd_FDR,3.000000,0.300481
TREX-DA: TAFS,TPR,3.000000,0.316667
TREX-DA: TAFS,sd_TPR,3.000000,0.302142
TREX-DA: TAFS,Avg_L,3.000000,1.685000
TREX-DA: TAFS,Avg_T,3.000000,7.515000
TREX-DA: TAFS,FDR,5.000000,0.134714
TREX-DA: TAFS,sd_FDR,5.000000,0.156119
TREX-DA: TAFS,TPR,5.000000,0.774000
TREX-DA: TAFS,sd_TPR,5.000000,0.193679
TREX-DA: TAFS,Avg_L,5.000000,1.775000
TREX-DA: TAFS,Avg_T,5.000000,7.625000
TREX-DA: TAFS,FDR,10.000000,0.163921
TREX-DA: TAFS,sd_FDR,10.000000,0.131669
TREX-DA: TAFS,TPR,10.000000,0.791500
TREX-DA: TAFS,sd_TPR,10.000000,0.166784
TREX-DA: TAFS,Avg_L,10.000000,1.475000
TREX-DA: TAFS,Avg_T,10.000000,6.665000
TREX-DA: TAFS,FDR,15.000000,0.199551
TREX-DA: TAFS,sd_FDR,15.000000,0.133083
TREX-DA: TAFS,TPR,15.000000,0.521667
TREX-DA: TAFS,sd_TPR,15.000000,0.203206
TREX-DA: TAFS,Avg_L,15.000000,1.985000
TREX-DA: TAFS,Avg_T,15.000000,6.575000
TREX-DA: TAFS,FDR,20.000000,0.244260
TREX-DA: TAFS,sd_FDR,20.000000,0.207518
TREX-DA: TAFS,TPR,20.000000,0.226250
TREX-DA: TAFS,sd_TPR,20.000000,0.148013
TREX-DA: TAFS,Avg_L,20.000000,2.370000
TREX-DA: TAFS,Avg_T,20.000000,6.205000
TREX-DA: TAFS,FDR,30.000000,0.215788
TREX-DA: TAFS,sd_FDR,30.000000,0.267915
TREX-DA: TAFS,TPR,30.000000,0.066833
TREX-DA: TAFS,sd_TPR,30.000000,0.074085
TREX-DA: TAFS,Avg_L,30.000000,3.010000
TREX-DA: TAFS,Avg_T,30.000000,5.510000
TREX-DA: TOMP,FDR,1.000000,0.002500
TREX-DA: TOMP,sd_FDR,1.000000,0.035355
TREX-DA: TOMP,TPR,1.000000,0.265000
TREX-DA: TOMP,sd_TPR,1.000000,0.442441
TREX-DA: TOMP,Avg_L,1.000000,1.785000
TREX-DA: TOMP,Avg_T,1.000000,5.620000
TREX-DA: TOMP,FDR,3.000000,0.015000
TREX-DA: TOMP,sd_FDR,3.000000,0.078263
TREX-DA: TOMP,TPR,3.000000,0.800000
TREX-DA: TOMP,sd_TPR,3.000000,0.391136
TREX-DA: TOMP,Avg_L,3.000000,2.345000
TREX-DA: TOMP,Avg_T,3.000000,7.845000
TREX-DA: TOMP,FDR,5.000000,0.057000
TREX-DA: TOMP,sd_FDR,5.000000,0.105441
TREX-DA: TOMP,TPR,5.000000,0.934000
TREX-DA: TOMP,sd_TPR,5.000000,0.113616
TREX-DA: TOMP,Avg_L,5.000000,1.870000
TREX-DA: TOMP,Avg_T,5.000000,7.905000
TREX-DA: TOMP,FDR,10.000000,0.148819
TREX-DA: TOMP,sd_FDR,10.000000,0.129541
TREX-DA: TOMP,TPR,10.000000,0.805000
TREX-DA: TOMP,sd_TPR,10.000000,0.166474
TREX-DA: TOMP,Avg_L,10.000000,1.385000
TREX-DA: TOMP,Avg_T,10.000000,6.615000
TREX-DA: TOMP,FDR,15.000000,0.208428
TREX-DA: TOMP,sd_FDR,15.000000,0.157085
TREX-DA: TOMP,TPR,15.000000,0.495667
TREX-DA: TOMP,sd_TPR,15.000000,0.193308
TREX-DA: TOMP,Avg_L,15.000000,1.960000
TREX-DA: TOMP,Avg_T,15.000000,7.040000
TREX-DA: TOMP,FDR,20.000000,0.229977
TREX-DA: TOMP,sd_FDR,20.000000,0.226833
TREX-DA: TOMP,TPR,20.000000,0.177500
TREX-DA: TOMP,sd_TPR,20.000000,0.132501
TREX-DA: TOMP,Avg_L,20.000000,2.500000
TREX-DA: TOMP,Avg_T,20.000000,6.510000
TREX-DA: TOMP,FDR,30.000000,0.206935
TREX-DA: TOMP,sd_FDR,30.000000,0.296303
TREX-DA: TOMP,TPR,30.000000,0.045333
TREX-DA: TOMP,sd_TPR,30.000000,0.053991
TREX-DA: TOMP,Avg_L,30.000000,3.060000
TREX-DA: TOMP,Avg_T,30.000000,6.735000
