solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.062500
TREX-DA: TLARS,sd_FDR,1.000000,0.218132
TREX-DA: TLARS,TPR,1.000000,0.215000
TREX-DA: TLARS,sd_TPR,1.000000,0.411853
TREX-DA: TLARS,Avg_L,1.000000,1.715000
TREX-DA: TLARS,Avg_T,1.000000,6.705000
TREX-DA: TLARS,FDR,3.000000,0.128750
TREX-DA: TLARS,sd_FDR,3.000000,0.207891
TREX-DA: TLARS,TPR,3.000000,0.630000
TREX-DA: TLARS,sd_TPR,3.000000,0.377760
TREX-DA: TLARS,Avg_L,3.000000,2.080000
TREX-DA: TLARS,Avg_T,3.000000,20.840000
TREX-DA: TLARS,FDR,5.000000,0.184000
TREX-DA: TLARS,sd_FDR,5.000000,0.201084
TREX-DA: TLARS,TPR,5.000000,0.700000
TREX-DA: TLARS,sd_TPR,5.000000,0.243921
TREX-DA: TLARS,Avg_L,5.000000,1.730000
TREX-DA: TLARS,Avg_T,5.000000,25.115000
TREX-DA: TLARS,FDR,10.000000,0.228311
TREX-DA: TLARS,sd_FDR,10.000000,0.179997
TREX-DA: TLARS,TPR,10.000000,0.592000
TREX-DA: TLARS,sd_TPR,10.000000,0.204315
TREX-DA: TLARS,Avg_L,10.000000,1.565000
TREX-DA: TLARS,Avg_T,10.000000,17.170000
TREX-DA: TLARS,FDR,15.000000,0.216756
TREX-DA: TLARS,sd_FDR,15.000000,0.174718
TREX-DA: TLARS,TPR,15.000000,0.437333
TREX-DA: TLARS,sd_TPR,15.000000,0.201018
TREX-DA: TLARS,Avg_L,15.000000,2.145000
TREX-DA: TLARS,Avg_T,15.000000,14.305000
TREX-DA: TLARS,FDR,20.000000,0.270727
TREX-DA: TLARS,sd_FDR,20.000000,0.220664
TREX-DA: TLARS,TPR,20.000000,0.236500
TREX-DA: TLARS,sd_TPR,20.000000,0.167580
TREX-DA: TLARS,Avg_L,20.000000,2.445000
TREX-DA: TLARS,Avg_T,20.000000,8.265000
TREX-DA: TLARS,FDR,30.000000,0.242142
TREX-DA: TLARS,sd_FDR,30.000000,0.272531
TREX-DA: TLARS,TPR,30.000000,0.089500
TREX-DA: TLARS,sd_TPR,30.000000,0.095082
TREX-DA: TLARS,Avg_L,30.000000,2.600000
TREX-DA: TLARS,Avg_T,30.000000,8.220000
TREX-DA: TAFS,FDR,1.000000,0.055000
TREX-DA: TAFS,sd_FDR,1.000000,0.228552
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.070000
TREX-DA: TAFS,Avg_T,1.000000,5.150000
TREX-DA: TAFS,FDR,3.000000,0.203167
TREX-DA: TAFS,sd_FDR,3.000000,0.286693
TREX-DA: TAFS,TPR,3.000000,0.368333
TREX-DA: TAFS,sd_TPR,3.000000,0.305171
TREX-DA: TAFS,Avg_L,3.000000,1.770000
TREX-DA: TAFS,Avg_T,3.000000,7.540000
TREX-DA: TAFS,FDR,5.000000,0.146810
TREX-DA: TAFS,sd_FDR,5.000000,0.172280
TREX-DA: TAFS,TPR,5.000000,0.772000
TREX-DA: TAFS,sd_TPR,5.000000,0.207440
TREX-DA: TAFS,Avg_L,5.000000,1.750000
TREX-DA: TAFS,Avg_T,5.000000,7.340000
TREX-DA: TAFS,FDR,10.000000,0.152962
TREX-DA: TAFS,sd_FDR,10.000000,0.109664
TREX-DA: TAFS,TPR,10.000000,0.799500
TREX-DA: TAFS,sd_TPR,10.000000,0.186612
TREX-DA: TAFS,Avg_L,10.000000,1.340000
TREX-DA: TAFS,Avg_T,10.000000,6.570000
TREX-DA: TAFS,FDR,15.000000,0.190958
TREX-DA: TAFS,sd_FDR,15.000000,0.134134
TREX-DA: TAFS,TPR,15.000000,0.578000
TREX-DA: TAFS,sd_TPR,15.000000,0.230467
TREX-DA: TAFS,Avg_L,15.000000,1.790000
TREX-DA: TAFS,Avg_T,15.000000,6.345000
TREX-DA: TAFS,FDR,20.000000,0.254424
TREX-DA: TAFS,sd_FDR,20.000000,0.214577
TREX-DA: TAFS,TPR,20.000000,0.269500
TREX-DA: TAFS,sd_TPR,20.000000,0.189272
TREX-DA: TAFS,Avg_L,20.000000,2.285000
TREX-DA: TAFS,Avg_T,20.000000,6.070000
TREX-DA: TAFS,FDR,30.000000,0.217108
TREX-DA: TAFS,sd_FDR,30.000000,0.278223
TREX-DA: TAFS,TPR,30.000000,0.067500
TREX-DA: TAFS,sd_TPR,30.000000,0.069169
TREX-DA: TAFS,Avg_L,30.000000,2.750000
TREX-DA: TAFS,Avg_T,30.000000,5.885000
TREX-DA: TOMP,FDR,1.000000,0.002500
TREX-DA: TOMP,sd_FDR,1.000000,0.035355
TREX-DA: TOMP,TPR,1.000000,0.275000
TREX-DA: TOMP,sd_TPR,1.000000,0.447635
TREX-DA: TOMP,Avg_L,1.000000,1.835000
TREX-DA: TOMP,Avg_T,1.000000,5.640000
TREX-DA: TOMP,FDR,3.000000,0.025833
TREX-DA: TOMP,sd_FDR,3.000000,0.093175
TREX-DA: TOMP,TPR,3.000000,0.801667
TREX-DA: TOMP,sd_TPR,3.000000,0.382617
TREX-DA: TOMP,Avg_L,3.000000,2.320000
TREX-DA: TOMP,Avg_T,3.000000,7.835000
TREX-DA: TOMP,FDR,5.000000,0.054595
TREX-DA: TOMP,sd_FDR,5.000000,0.101687
TREX-DA: TOMP,TPR,5.000000,0.949000
TREX-DA: TOMP,sd_TPR,5.000000,0.107969
TREX-DA: TOMP,Avg_L,5.000000,1.895000
TREX-DA: TOMP,Avg_T,5.000000,7.615000
TREX-DA: TOMP,FDR,10.000000,0.131641
TREX-DA: TOMP,sd_FDR,10.000000,0.116091
TREX-DA: TOMP,TPR,10.000000,0.816500
TREX-DA: TOMP,sd_TPR,10.000000,0.195625
TREX-DA: TOMP,Avg_L,10.000000,1.405000
TREX-DA: TOMP,Avg_T,10.000000,7.140000
TREX-DA: TOMP,FDR,15.000000,0.185647
TREX-DA: TOMP,sd_FDR,15.000000,0.135768
TREX-DA: TOMP,TPR,15.000000,0.561667
TREX-DA: TOMP,sd_TPR,15.000000,0.244144
TREX-DA: TOMP,Avg_L,15.000000,1.835000
TREX-DA: TOMP,Avg_T,15.000000,6.720000
TREX-DA: TOMP,FDR,20.000000,0.235193
TREX-DA: TOMP,sd_FDR,20.000000,0.235494
TREX-DA: TOMP,TPR,20.000000,0.245000
TREX-DA: TOMP,sd_TPR,20.000000,0.188154
TREX-DA: TOMP,Avg_L,20.000000,2.410000
TREX-DA: TOMP,Avg_T,20.000000,6.635000
TREX-DA: TOMP,FDR,30.000000,0.208427
TREX-DA: TOMP,sd_FDR,30.000000,0.291520
TREX-DA: TOMP,TPR,30.000000,0.048667
TREX-DA: TOMP,sd_TPR,30.000000,0.053763
TREX-DA: TOMP,Avg_L,30.000000,2.830000
TREX-DA: TOMP,Avg_T,30.000000,6.575000
