solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.060000
TREX-DA: TLARS,sd_FDR,1.000000,0.227285
TREX-DA: TLARS,TPR,1.000000,0.180000
TREX-DA: TLARS,sd_TPR,1.000000,0.385152
TREX-DA: TLARS,Avg_L,1.000000,1.630000
TREX-DA: TLARS,Avg_T,1.000000,6.490000
TREX-DA: TLARS,FDR,3.000000,0.122500
TREX-DA: TLARS,sd_FDR,3.000000,0.235541
TREX-DA: TLARS,TPR,3.000000,0.511667
TREX-DA: TLARS,sd_TPR,3.000000,0.399438
TREX-DA: TLARS,Avg_L,3.000000,2.050000
TREX-DA: TLARS,Avg_T,3.000000,21.390000
TREX-DA: TLARS,FDR,5.000000,0.196357
TREX-DA: TLARS,sd_FDR,5.000000,0.245562
TREX-DA: TLARS,TPR,5.000000,0.631000
TREX-DA: TLARS,sd_TPR,5.000000,0.276444
TREX-DA: TLARS,Avg_L,5.000000,1.775000
TREX-DA: TLARS,Avg_T,5.000000,31.940000
TREX-DA: TLARS,FDR,10.000000,0.166715
TREX-DA: TLARS,sd_FDR,10.000000,0.183654
TREX-DA: TLARS,TPR,10.000000,0.563000
TREX-DA: TLARS,sd_TPR,10.000000,0.210839
TREX-DA: TLARS,Avg_L,10.000000,1.680000
TREX-DA: TLARS,Avg_T,10.000000,24.780000
TREX-DA: TLARS,FDR,15.000000,0.176948
TREX-DA: TLARS,sd_FDR,15.000000,0.192353
TREX-DA: TLARS,TPR,15.000000,0.396667
TREX-DA: TLARS,sd_TPR,15.000000,0.198796
TREX-DA: TLARS,Avg_L,15.000000,2.220000
TREX-DA: TLARS,Avg_T,15.000000,14.170000
TREX-DA: TLARS,FDR,20.000000,0.214805
TREX-DA: TLARS,sd_FDR,20.000000,0.222373
TREX-DA: TLARS,TPR,20.000000,0.214750
TREX-DA: TLARS,sd_TPR,20.000000,0.163796
TREX-DA: TLARS,Avg_L,20.000000,2.455000
TREX-DA: TLARS,Avg_T,20.000000,9.850000
TREX-DA: TLARS,FDR,30.000000,0.222748
TREX-DA: TLARS,sd_FDR,30.000000,0.268471
TREX-DA: TLARS,TPR,30.000000,0.078833
TREX-DA: TLARS,sd_TPR,30.000000,0.085861
TREX-DA: TLARS,Avg_L,30.000000,2.895000
TREX-DA: TLARS,Avg_T,30.000000,7.805000
TREX-DA: TAFS,FDR,1.000000,0.050000
TREX-DA: TAFS,sd_FDR,1.000000,0.218492
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.110000
TREX-DA: TAFS,Avg_T,1.000000,5.185000
TREX-DA: TAFS,FDR,3.000000,0.150833
TREX-DA: TAFS,sd_FDR,3.000000,0.268689
TREX-DA: TAFS,TPR,3.000000,0.270000
TREX-DA: TAFS,sd_TPR,3.000000,0.280364
TREX-DA: TAFS,Avg_L,3.000000,1.635000
TREX-DA: TAFS,Avg_T,3.000000,7.680000
TREX-DA: TAFS,FDR,5.000000,0.121869
TREX-DA: TAFS,sd_FDR,5.000000,0.174414
TREX-DA: TAFS,TPR,5.000000,0.752000
TREX-DA: TAFS,sd_TPR,5.000000,0.222584
TREX-DA: TAFS,Avg_L,5.000000,1.850000
TREX-DA: TAFS,Avg_T,5.000000,7.605000
TREX-DA: TAFS,FDR,10.000000,0.139894
TREX-DA: TAFS,sd_FDR,10.000000,0.113431
TREX-DA: TAFS,TPR,10.000000,0.796500
TREX-DA: TAFS,sd_TPR,10.000000,0.184412
TREX-DA: TAFS,Avg_L,10.000000,1.455000
TREX-DA: TAFS,Avg_T,10.000000,6.880000
TREX-DA: TAFS,FDR,15.000000,0.194367
TREX-DA: TAFS,sd_FDR,15.000000,0.145173
TREX-DA: TAFS,TPR,15.000000,0.558333
TREX-DA: TAFS,sd_TPR,15.000000,0.231369
TREX-DA: TAFS,Avg_L,15.000000,1.930000
TREX-DA: TAFS,Avg_T,15.000000,6.335000
TREX-DA: TAFS,FDR,20.000000,0.249840
TREX-DA: TAFS,sd_FDR,20.000000,0.209048
TREX-DA: TAFS,TPR,20.000000,0.268750
TREX-DA: TAFS,sd_TPR,20.000000,0.182283
TREX-DA: TAFS,Avg_L,20.000000,2.375000
TREX-DA: TAFS,Avg_T,20.000000,6.325000
TREX-DA: TAFS,FDR,30.000000,0.218226
TREX-DA: TAFS,sd_FDR,30.000000,0.282403
TREX-DA: TAFS,TPR,30.000000,0.067667
TREX-DA: TAFS,sd_TPR,30.000000,0.072285
TREX-DA: TAFS,Avg_L,30.000000,2.675000
TREX-DA: TAFS,Avg_T,30.000000,5.440000
TREX-DA: TOMP,FDR,1.000000,0.000000
TREX-DA: TOMP,sd_FDR,1.000000,0.000000
TREX-DA: TOMP,TPR,1.000000,0.270000
TREX-DA: TOMP,sd_TPR,1.000000,0.445074
TREX-DA: TOMP,Avg_L,1.000000,1.810000
TREX-DA: TOMP,Avg_T,1.000000,5.525000
TREX-DA: TOMP,FDR,3.000000,0.022500
TREX-DA: TOMP,sd_FDR,3.000000,0.090253
TREX-DA: TOMP,TPR,3.000000,0.765000
TREX-DA: TOMP,sd_TPR,3.000000,0.407629
TREX-DA: TOMP,Avg_L,3.000000,2.345000
TREX-DA: TOMP,Avg_T,3.000000,7.890000
TREX-DA: TOMP,FDR,5.000000,0.052750
TREX-DA: TOMP,sd_FDR,5.000000,0.097824
TREX-DA: TOMP,TPR,5.000000,0.940000
TREX-DA: TOMP,sd_TPR,5.000000,0.118619
TREX-DA: TOMP,Avg_L,5.000000,1.915000
TREX-DA: TOMP,Avg_T,5.000000,7.845000
TREX-DA: TOMP,FDR,10.000000,0.127354
TREX-DA: TOMP,sd_FDR,10.000000,0.121357
TREX-DA: TOMP,TPR,10.000000,0.800000
TREX-DA: TOMP,sd_TPR,10.000000,0.208126
TREX-DA: TOMP,Avg_L,10.000000,1.380000
TREX-DA: TOMP,Avg_T,10.000000,6.825000
TREX-DA: TOMP,FDR,15.000000,0.173246
TREX-DA: TOMP,sd_FDR,15.000000,0.153371
TREX-DA: TOMP,TPR,15.000000,0.530333
TREX-DA: TOMP,sd_TPR,15.000000,0.255486
TREX-DA: TOMP,Avg_L,15.000000,1.960000
TREX-DA: TOMP,Avg_T,15.000000,6.960000
TREX-DA: TOMP,FDR,20.000000,0.223237
TREX-DA: TOMP,sd_FDR,20.000000,0.208523
TREX-DA: TOMP,TPR,20.000000,0.243000
TREX-DA: TOMP,sd_TPR,20.000000,0.166024
TREX-DA: TOMP,Avg_L,20.000000,2.610000
TREX-DA: TOMP,Avg_T,20.000000,6.880000
TREX-DA: TOMP,FDR,30.000000,0.201046
TREX-DA: TOMP,sd_FDR,30.000000,0.287984
TREX-DA: TOMP,TPR,30.000000,0.049833
TREX-DA: TOMP,sd_TPR,30.000000,0.054909
TREX-DA: TOMP,Avg_L,30.000000,2.830000
TREX-DA: TOMP,Avg_T,30.000000,6.180000
