solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.251833
TREX-DA: TLARS,sd_FDR,5.000000,0.231798
TREX-DA: TLARS,TPR,5.000000,0.623000
TREX-DA: TLARS,sd_TPR,5.000000,0.255337
TREX-DA: TLARS,Avg_L,5.000000,1.630000
TREX-DA: TLARS,Avg_T,5.000000,26.195000
TREX-DA: TLARS,FDR,10.000000,0.242643
TREX-DA: TLARS,sd_FDR,10.000000,0.206903
TREX-DA: TLARS,TPR,10.000000,0.675000
TREX-DA: TLARS,sd_TPR,10.000000,0.243457
TREX-DA: TLARS,Avg_L,10.000000,1.770000
TREX-DA: TLARS,Avg_T,10.000000,30.185000
TREX-DA: TLARS,FDR,15.000000,0.273315
TREX-DA: TLARS,sd_FDR,15.000000,0.253581
TREX-DA: TLARS,TPR,15.000000,0.613000
TREX-DA: TLARS,sd_TPR,15.000000,0.305446
TREX-DA: TLARS,Avg_L,15.000000,1.750000
TREX-DA: TLARS,Avg_T,15.000000,30.025000
TREX-DA: TLARS,FDR,20.000000,0.264500
TREX-DA: TLARS,sd_FDR,20.000000,0.233946
TREX-DA: TLARS,TPR,20.000000,0.657000
TREX-DA: TLARS,sd_TPR,20.000000,0.255494
TREX-DA: TLARS,Avg_L,20.000000,1.815000
TREX-DA: TLARS,Avg_T,20.000000,29.090000
TREX-DA: TLARS,FDR,25.000000,0.285399
TREX-DA: TLARS,sd_FDR,25.000000,0.226580
TREX-DA: TLARS,TPR,25.000000,0.616000
TREX-DA: TLARS,sd_TPR,25.000000,0.262466
TREX-DA: TLARS,Avg_L,25.000000,1.840000
TREX-DA: TLARS,Avg_T,25.000000,27.515000
TREX-DA: TLARS,FDR,30.000000,0.268950
TREX-DA: TLARS,sd_FDR,30.000000,0.229745
TREX-DA: TLARS,TPR,30.000000,0.650000
TREX-DA: TLARS,sd_TPR,30.000000,0.255787
TREX-DA: TLARS,Avg_L,30.000000,1.840000
TREX-DA: TLARS,Avg_T,30.000000,27.960000
TREX-DA: TLARS,FDR,35.000000,0.255857
TREX-DA: TLARS,sd_FDR,35.000000,0.210117
TREX-DA: TLARS,TPR,35.000000,0.673000
TREX-DA: TLARS,sd_TPR,35.000000,0.275774
TREX-DA: TLARS,Avg_L,35.000000,1.860000
TREX-DA: TLARS,Avg_T,35.000000,22.665000
TREX-DA: TLARS,FDR,40.000000,0.257345
TREX-DA: TLARS,sd_FDR,40.000000,0.226469
TREX-DA: TLARS,TPR,40.000000,0.661000
TREX-DA: TLARS,sd_TPR,40.000000,0.266899
TREX-DA: TLARS,Avg_L,40.000000,1.905000
TREX-DA: TLARS,Avg_T,40.000000,27.745000
TREX-DA: TLARS,FDR,45.000000,0.229373
TREX-DA: TLARS,sd_FDR,45.000000,0.216474
TREX-DA: TLARS,TPR,45.000000,0.642000
TREX-DA: TLARS,sd_TPR,45.000000,0.287488
TREX-DA: TLARS,Avg_L,45.000000,1.880000
TREX-DA: TLARS,Avg_T,45.000000,23.280000
TREX-DA: TLARS,FDR,50.000000,0.264831
TREX-DA: TLARS,sd_FDR,50.000000,0.214349
TREX-DA: TLARS,TPR,50.000000,0.679000
TREX-DA: TLARS,sd_TPR,50.000000,0.243011
TREX-DA: TLARS,Avg_L,50.000000,1.960000
TREX-DA: TLARS,Avg_T,50.000000,24.275000
TREX-DA: TAFS,FDR,5.000000,0.149345
TREX-DA: TAFS,sd_FDR,5.000000,0.169943
TREX-DA: TAFS,TPR,5.000000,0.777000
TREX-DA: TAFS,sd_TPR,5.000000,0.205627
TREX-DA: TAFS,Avg_L,5.000000,1.780000
TREX-DA: TAFS,Avg_T,5.000000,7.675000
TREX-DA: TAFS,FDR,10.000000,0.122940
TREX-DA: TAFS,sd_FDR,10.000000,0.147183
TREX-DA: TAFS,TPR,10.000000,0.804000
TREX-DA: TAFS,sd_TPR,10.000000,0.204433
TREX-DA: TAFS,Avg_L,10.000000,1.810000
TREX-DA: TAFS,Avg_T,10.000000,7.535000
TREX-DA: TAFS,FDR,15.000000,0.129982
TREX-DA: TAFS,sd_FDR,15.000000,0.155458
TREX-DA: TAFS,TPR,15.000000,0.803000
TREX-DA: TAFS,sd_TPR,15.000000,0.239327
TREX-DA: TAFS,Avg_L,15.000000,1.835000
TREX-DA: TAFS,Avg_T,15.000000,7.550000
TREX-DA: TAFS,FDR,20.000000,0.135238
TREX-DA: TAFS,sd_FDR,20.000000,0.140167
TREX-DA: TAFS,TPR,20.000000,0.781000
TREX-DA: TAFS,sd_TPR,20.000000,0.271676
TREX-DA: TAFS,Avg_L,20.000000,1.895000
TREX-DA: TAFS,Avg_T,20.000000,7.670000
TREX-DA: TAFS,FDR,25.000000,0.123923
TREX-DA: TAFS,sd_FDR,25.000000,0.146373
TREX-DA: TAFS,TPR,25.000000,0.819000
TREX-DA: TAFS,sd_TPR,25.000000,0.247681
TREX-DA: TAFS,Avg_L,25.000000,1.865000
TREX-DA: TAFS,Avg_T,25.000000,7.400000
TREX-DA: TAFS,FDR,30.000000,0.132583
TREX-DA: TAFS,sd_FDR,30.000000,0.143754
TREX-DA: TAFS,TPR,30.000000,0.843000
TREX-DA: TAFS,sd_TPR,30.000000,0.202375
TREX-DA: TAFS,Avg_L,30.000000,1.890000
TREX-DA: TAFS,Avg_T,30.000000,7.465000
TREX-DA: TAFS,FDR,35.000000,0.111685
TREX-DA: TAFS,sd_FDR,35.000000,0.141789
TREX-DA: TAFS,TPR,35.000000,0.828000
TREX-DA: TAFS,sd_TPR,35.000000,0.237271
TREX-DA: TAFS,Avg_L,35.000000,1.875000
TREX-DA: TAFS,Avg_T,35.000000,7.285000
TREX-DA: TAFS,FDR,40.000000,0.135571
TREX-DA: TAFS,sd_FDR,40.000000,0.160796
TREX-DA: TAFS,TPR,40.000000,0.814000
TREX-DA: TAFS,sd_TPR,40.000000,0.256384
TREX-DA: TAFS,Avg_L,40.000000,1.835000
TREX-DA: TAFS,Avg_T,40.000000,7.435000
TREX-DA: TAFS,FDR,45.000000,0.107387
TREX-DA: TAFS,sd_FDR,45.000000,0.142625
TREX-DA: TAFS,TPR,45.000000,0.795000
TREX-DA: TAFS,sd_TPR,45.000000,0.278140
TREX-DA: TAFS,Avg_L,45.000000,1.870000
TREX-DA: TAFS,Avg_T,45.000000,7.365000
TREX-DA: TAFS,FDR,50.000000,0.132446
TREX-DA: TAFS,sd_FDR,50.000000,0.144725
TREX-DA: TAFS,TPR,50.000000,0.838000
TREX-DA: TAFS,sd_TPR,50.000000,0.206809
TREX-DA: TAFS,Avg_L,50.000000,1.970000
TREX-DA: TAFS,Avg_T,50.000000,7.330000
TREX-DA: TOMP,FDR,5.000000,0.062012
TREX-DA: TOMP,sd_FDR,5.000000,0.107482
TREX-DA: TOMP,TPR,5.000000,0.937000
TREX-DA: TOMP,sd_TPR,5.000000,0.114440
TREX-DA: TOMP,Avg_L,5.000000,1.930000
TREX-DA: TOMP,Avg_T,5.000000,7.890000
TREX-DA: TOMP,FDR,10.000000,0.055667
TREX-DA: TOMP,sd_FDR,10.000000,0.105680
TREX-DA: TOMP,TPR,10.000000,0.928000
TREX-DA: TOMP,sd_TPR,10.000000,0.173686
TREX-DA: TOMP,Avg_L,10.000000,1.865000
TREX-DA: TOMP,Avg_T,10.000000,7.845000
TREX-DA: TOMP,FDR,15.000000,0.061750
TREX-DA: TOMP,sd_FDR,15.000000,0.112752
TREX-DA: TOMP,TPR,15.000000,0.927000
TREX-DA: TOMP,sd_TPR,15.000000,0.142028
TREX-DA: TOMP,Avg_L,15.000000,1.920000
TREX-DA: TOMP,Avg_T,15.000000,7.950000
TREX-DA: TOMP,FDR,20.000000,0.060274
TREX-DA: TOMP,sd_FDR,20.000000,0.101641
TREX-DA: TOMP,TPR,20.000000,0.952000
TREX-DA: TOMP,sd_TPR,20.000000,0.092405
TREX-DA: TOMP,Avg_L,20.000000,1.910000
TREX-DA: TOMP,Avg_T,20.000000,7.875000
TREX-DA: TOMP,FDR,25.000000,0.074298
TREX-DA: TOMP,sd_FDR,25.000000,0.122587
TREX-DA: TOMP,TPR,25.000000,0.936000
TREX-DA: TOMP,sd_TPR,25.000000,0.126428
TREX-DA: TOMP,Avg_L,25.000000,1.855000
TREX-DA: TOMP,Avg_T,25.000000,7.840000
TREX-DA: TOMP,FDR,30.000000,0.068429
TREX-DA: TOMP,sd_FDR,30.000000,0.116052
TREX-DA: TOMP,TPR,30.000000,0.939000
TREX-DA: TOMP,sd_TPR,30.000000,0.120631
TREX-DA: TOMP,Avg_L,30.000000,1.945000
TREX-DA: TOMP,Avg_T,30.000000,7.770000
TREX-DA: TOMP,FDR,35.000000,0.060024
TREX-DA: TOMP,sd_FDR,35.000000,0.111075
TREX-DA: TOMP,TPR,35.000000,0.951000
TREX-DA: TOMP,sd_TPR,35.000000,0.108896
TREX-DA: TOMP,Avg_L,35.000000,1.915000
TREX-DA: TOMP,Avg_T,35.000000,7.760000
TREX-DA: TOMP,FDR,40.000000,0.062393
TREX-DA: TOMP,sd_FDR,40.000000,0.113201
TREX-DA: TOMP,TPR,40.000000,0.950000
TREX-DA: TOMP,sd_TPR,40.000000,0.111184
TREX-DA: TOMP,Avg_L,40.000000,1.845000
TREX-DA: TOMP,Avg_T,40.000000,7.795000
TREX-DA: TOMP,FDR,45.000000,0.065321
TREX-DA: TOMP,sd_FDR,45.000000,0.111271
TREX-DA: TOMP,TPR,45.000000,0.919000
TREX-DA: TOMP,sd_TPR,45.000000,0.181670
TREX-DA: TOMP,Avg_L,45.000000,1.925000
TREX-DA: TOMP,Avg_T,45.000000,7.915000
TREX-DA: TOMP,FDR,50.000000,0.062667
TREX-DA: TOMP,sd_FDR,50.000000,0.107899
TREX-DA: TOMP,TPR,50.000000,0.935000
TREX-DA: TOMP,sd_TPR,50.000000,0.138821
TREX-DA: TOMP,Avg_L,50.000000,1.945000
TREX-DA: TOMP,Avg_T,50.000000,7.880000
