solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.181917
TREX-DA: TLARS,sd_FDR,5.000000,0.237165
TREX-DA: TLARS,TPR,5.000000,0.629000
TREX-DA: TLARS,sd_TPR,5.000000,0.260959
TREX-DA: TLARS,Avg_L,5.000000,1.620000
TREX-DA: TLARS,Avg_T,5.000000,28.985000
TREX-DA: TLARS,FDR,10.000000,0.241083
TREX-DA: TLARS,sd_FDR,10.000000,0.269769
TREX-DA: TLARS,TPR,10.000000,0.607000
TREX-DA: TLARS,sd_TPR,10.000000,0.285937
TREX-DA: TLARS,Avg_L,10.000000,1.750000
TREX-DA: TLARS,Avg_T,10.000000,39.645000
TREX-DA: TLARS,FDR,15.000000,0.222179
TREX-DA: TLARS,sd_FDR,15.000000,0.282233
TREX-DA: TLARS,TPR,15.000000,0.548000
TREX-DA: TLARS,sd_TPR,15.000000,0.322827
TREX-DA: TLARS,Avg_L,15.000000,1.710000
TREX-DA: TLARS,Avg_T,15.000000,40.205000
TREX-DA: TLARS,FDR,20.000000,0.258286
TREX-DA: TLARS,sd_FDR,20.000000,0.267548
TREX-DA: TLARS,TPR,20.000000,0.528000
TREX-DA: TLARS,sd_TPR,20.000000,0.327033
TREX-DA: TLARS,Avg_L,20.000000,1.770000
TREX-DA: TLARS,Avg_T,20.000000,39.515000
TREX-DA: TLARS,FDR,25.000000,0.256655
TREX-DA: TLARS,sd_FDR,25.000000,0.262543
TREX-DA: TLARS,TPR,25.000000,0.534000
TREX-DA: TLARS,sd_TPR,25.000000,0.287152
TREX-DA: TLARS,Avg_L,25.000000,1.870000
TREX-DA: TLARS,Avg_T,25.000000,32.690000
TREX-DA: TLARS,FDR,30.000000,0.236333
TREX-DA: TLARS,sd_FDR,30.000000,0.228567
TREX-DA: TLARS,TPR,30.000000,0.529000
TREX-DA: TLARS,sd_TPR,30.000000,0.286302
TREX-DA: TLARS,Avg_L,30.000000,1.765000
TREX-DA: TLARS,Avg_T,30.000000,31.345000
TREX-DA: TLARS,FDR,35.000000,0.233577
TREX-DA: TLARS,sd_FDR,35.000000,0.246991
TREX-DA: TLARS,TPR,35.000000,0.548000
TREX-DA: TLARS,sd_TPR,35.000000,0.319069
TREX-DA: TLARS,Avg_L,35.000000,1.795000
TREX-DA: TLARS,Avg_T,35.000000,29.295000
TREX-DA: TLARS,FDR,40.000000,0.229024
TREX-DA: TLARS,sd_FDR,40.000000,0.228985
TREX-DA: TLARS,TPR,40.000000,0.584000
TREX-DA: TLARS,sd_TPR,40.000000,0.299655
TREX-DA: TLARS,Avg_L,40.000000,1.920000
TREX-DA: TLARS,Avg_T,40.000000,31.245000
TREX-DA: TLARS,FDR,45.000000,0.243744
TREX-DA: TLARS,sd_FDR,45.000000,0.262963
TREX-DA: TLARS,TPR,45.000000,0.512000
TREX-DA: TLARS,sd_TPR,45.000000,0.330457
TREX-DA: TLARS,Avg_L,45.000000,1.840000
TREX-DA: TLARS,Avg_T,45.000000,31.855000
TREX-DA: TLARS,FDR,50.000000,0.264482
TREX-DA: TLARS,sd_FDR,50.000000,0.250990
TREX-DA: TLARS,TPR,50.000000,0.553000
TREX-DA: TLARS,sd_TPR,50.000000,0.294661
TREX-DA: TLARS,Avg_L,50.000000,1.905000
TREX-DA: TLARS,Avg_T,50.000000,31.740000
TREX-DA: TAFS,FDR,5.000000,0.110750
TREX-DA: TAFS,sd_FDR,5.000000,0.165700
TREX-DA: TAFS,TPR,5.000000,0.761000
TREX-DA: TAFS,sd_TPR,5.000000,0.215665
TREX-DA: TAFS,Avg_L,5.000000,1.770000
TREX-DA: TAFS,Avg_T,5.000000,7.800000
TREX-DA: TAFS,FDR,10.000000,0.107024
TREX-DA: TAFS,sd_FDR,10.000000,0.138209
TREX-DA: TAFS,TPR,10.000000,0.752000
TREX-DA: TAFS,sd_TPR,10.000000,0.227055
TREX-DA: TAFS,Avg_L,10.000000,1.780000
TREX-DA: TAFS,Avg_T,10.000000,7.545000
TREX-DA: TAFS,FDR,15.000000,0.106929
TREX-DA: TAFS,sd_FDR,15.000000,0.143536
TREX-DA: TAFS,TPR,15.000000,0.716000
TREX-DA: TAFS,sd_TPR,15.000000,0.290112
