solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.231310
TREX-DA: TLARS,sd_FDR,5.000000,0.223486
TREX-DA: TLARS,TPR,5.000000,0.659000
TREX-DA: TLARS,sd_TPR,5.000000,0.262035
TREX-DA: TLARS,Avg_L,5.000000,1.700000
TREX-DA: TLARS,Avg_T,5.000000,25.650000
TREX-DA: TLARS,FDR,10.000000,0.269544
TREX-DA: TLARS,sd_FDR,10.000000,0.236001
TREX-DA: TLARS,TPR,10.000000,0.645000
TREX-DA: TLARS,sd_TPR,10.000000,0.261759
TREX-DA: TLARS,Avg_L,10.000000,1.830000
TREX-DA: TLARS,Avg_T,10.000000,31.460000
TREX-DA: TLARS,FDR,15.000000,0.270232
TREX-DA: TLARS,sd_FDR,15.000000,0.239742
TREX-DA: TLARS,TPR,15.000000,0.620000
TREX-DA: TLARS,sd_TPR,15.000000,0.279986
TREX-DA: TLARS,Avg_L,15.000000,1.790000
TREX-DA: TLARS,Avg_T,15.000000,30.675000
TREX-DA: TLARS,FDR,20.000000,0.248099
TREX-DA: TLARS,sd_FDR,20.000000,0.234813
TREX-DA: TLARS,TPR,20.000000,0.647000
TREX-DA: TLARS,sd_TPR,20.000000,0.274898
TREX-DA: TLARS,Avg_L,20.000000,1.880000
TREX-DA: TLARS,Avg_T,20.000000,29.395000
TREX-DA: TLARS,FDR,25.000000,0.250458
TREX-DA: TLARS,sd_FDR,25.000000,0.230476
TREX-DA: TLARS,TPR,25.000000,0.617000
TREX-DA: TLARS,sd_TPR,25.000000,0.271069
TREX-DA: TLARS,Avg_L,25.000000,1.780000
TREX-DA: TLARS,Avg_T,25.000000,29.490000
TREX-DA: TLARS,FDR,30.000000,0.251071
TREX-DA: TLARS,sd_FDR,30.000000,0.197818
TREX-DA: TLARS,TPR,30.000000,0.699000
TREX-DA: TLARS,sd_TPR,30.000000,0.235534
TREX-DA: TLARS,Avg_L,30.000000,1.900000
TREX-DA: TLARS,Avg_T,30.000000,27.405000
TREX-DA: TLARS,FDR,35.000000,0.268054
TREX-DA: TLARS,sd_FDR,35.000000,0.227670
TREX-DA: TLARS,TPR,35.000000,0.656000
TREX-DA: TLARS,sd_TPR,35.000000,0.256893
TREX-DA: TLARS,Avg_L,35.000000,1.950000
TREX-DA: TLARS,Avg_T,35.000000,24.000000
TREX-DA: TLARS,FDR,40.000000,0.269470
TREX-DA: TLARS,sd_FDR,40.000000,0.231759
TREX-DA: TLARS,TPR,40.000000,0.652000
TREX-DA: TLARS,sd_TPR,40.000000,0.285840
TREX-DA: TLARS,Avg_L,40.000000,1.945000
TREX-DA: TLARS,Avg_T,40.000000,25.795000
TREX-DA: TLARS,FDR,45.000000,0.264063
