solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.128464
TREX-DA: TLARS,sd_FDR,0.000000,0.166089
TREX-DA: TLARS,TPR,0.000000,0.727000
TREX-DA: TLARS,sd_TPR,0.000000,0.263091
TREX-DA: TLARS,Avg_L,0.000000,1.905000
TREX-DA: TLARS,Avg_T,0.000000,29.785000
TREX-DA: TLARS,FDR,0.100000,0.106345
TREX-DA: TLARS,sd_FDR,0.100000,0.162872
TREX-DA: TLARS,TPR,0.100000,0.768000
TREX-DA: TLARS,sd_TPR,0.100000,0.224562
TREX-DA: TLARS,Avg_L,0.100000,1.935000
TREX-DA: TLARS,Avg_T,0.100000,28.635000
TREX-DA: TLARS,FDR,0.200000,0.095762
TREX-DA: TLARS,sd_FDR,0.200000,0.155852
TREX-DA: TLARS,TPR,0.200000,0.759000
TREX-DA: TLARS,sd_TPR,0.200000,0.252264
TREX-DA: TLARS,Avg_L,0.200000,1.860000
TREX-DA: TLARS,Avg_T,0.200000,25.000000
TREX-DA: TLARS,FDR,0.300000,0.124036
TREX-DA: TLARS,sd_FDR,0.300000,0.196569
TREX-DA: TLARS,TPR,0.300000,0.750000
TREX-DA: TLARS,sd_TPR,0.300000,0.264290
TREX-DA: TLARS,Avg_L,0.300000,1.855000
TREX-DA: TLARS,Avg_T,0.300000,25.150000
TREX-DA: TLARS,FDR,0.400000,0.109429
TREX-DA: TLARS,sd_FDR,0.400000,0.167486
TREX-DA: TLARS,TPR,0.400000,0.789000
TREX-DA: TLARS,sd_TPR,0.400000,0.234851
TREX-DA: TLARS,Avg_L,0.400000,1.820000
TREX-DA: TLARS,Avg_T,0.400000,26.085000
TREX-DA: TLARS,FDR,0.500000,0.122238
TREX-DA: TLARS,sd_FDR,0.500000,0.196496
TREX-DA: TLARS,TPR,0.500000,0.797000
TREX-DA: TLARS,sd_TPR,0.500000,0.241001
TREX-DA: TLARS,Avg_L,0.500000,1.810000
TREX-DA: TLARS,Avg_T,0.500000,24.430000
TREX-DA: TLARS,FDR,0.600000,0.128440
TREX-DA: TLARS,sd_FDR,0.600000,0.173901
TREX-DA: TLARS,TPR,0.600000,0.785000
TREX-DA: TLARS,sd_TPR,0.600000,0.240550
TREX-DA: TLARS,Avg_L,0.600000,1.850000
TREX-DA: TLARS,Avg_T,0.600000,22.075000
TREX-DA: TLARS,FDR,0.700000,0.175095
TREX-DA: TLARS,sd_FDR,0.700000,0.211690
TREX-DA: TLARS,TPR,0.700000,0.710000
TREX-DA: TLARS,sd_TPR,0.700000,0.258134
TREX-DA: TLARS,Avg_L,0.700000,1.785000
TREX-DA: TLARS,Avg_T,0.700000,25.045000
TREX-DA: TLARS,FDR,0.800000,0.250750
TREX-DA: TLARS,sd_FDR,0.800000,0.237047
TREX-DA: TLARS,TPR,0.800000,0.648000
TREX-DA: TLARS,sd_TPR,0.800000,0.266931
TREX-DA: TLARS,Avg_L,0.800000,1.695000
TREX-DA: TLARS,Avg_T,0.800000,23.820000
TREX-DA: TLARS,FDR,0.900000,0.330179
TREX-DA: TLARS,sd_FDR,0.900000,0.251557
TREX-DA: TLARS,TPR,0.900000,0.552000
TREX-DA: TLARS,sd_TPR,0.900000,0.260837
TREX-DA: TLARS,Avg_L,0.900000,1.420000
TREX-DA: TLARS,Avg_T,0.900000,24.240000
TREX-DA: TAFS,FDR,0.000000,0.077119
TREX-DA: TAFS,sd_FDR,0.000000,0.139050
TREX-DA: TAFS,TPR,0.000000,0.779000
