solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.070083
TREX-DA: TLARS,sd_FDR,0.000000,0.177467
TREX-DA: TLARS,TPR,0.000000,0.499000
TREX-DA: TLARS,sd_TPR,0.000000,0.284259
TREX-DA: TLARS,Avg_L,0.000000,1.850000
TREX-DA: TLARS,Avg_T,0.000000,33.640000
TREX-DA: TLARS,FDR,0.100000,0.059667
TREX-DA: TLARS,sd_FDR,0.100000,0.168079
TREX-DA: TLARS,TPR,0.100000,0.540000
TREX-DA: TLARS,sd_TPR,0.100000,0.257549
TREX-DA: TLARS,Avg_L,0.100000,1.965000
TREX-DA: TLARS,Avg_T,0.100000,33.960000
TREX-DA: TLARS,FDR,0.200000,0.088583
TREX-DA: TLARS,sd_FDR,0.200000,0.167173
TREX-DA: TLARS,TPR,0.200000,0.549000
TREX-DA: TLARS,sd_TPR,0.200000,0.293307
TREX-DA: TLARS,Avg_L,0.200000,1.820000
TREX-DA: TLARS,Avg_T,0.200000,29.875000
TREX-DA: TLARS,FDR,0.300000,0.083762
TREX-DA: TLARS,sd_FDR,0.300000,0.166584
TREX-DA: TLARS,TPR,0.300000,0.652000
TREX-DA: TLARS,sd_TPR,0.300000,0.296878
TREX-DA: TLARS,Avg_L,0.300000,1.835000
TREX-DA: TLARS,Avg_T,0.300000,28.075000
TREX-DA: TLARS,FDR,0.400000,0.123750
TREX-DA: TLARS,sd_FDR,0.400000,0.194411
TREX-DA: TLARS,TPR,0.400000,0.697000
TREX-DA: TLARS,sd_TPR,0.400000,0.288456
TREX-DA: TLARS,Avg_L,0.400000,1.800000
TREX-DA: TLARS,Avg_T,0.400000,30.535000
TREX-DA: TLARS,FDR,0.500000,0.108583
TREX-DA: TLARS,sd_FDR,0.500000,0.192938
TREX-DA: TLARS,TPR,0.500000,0.758000
TREX-DA: TLARS,sd_TPR,0.500000,0.275345
TREX-DA: TLARS,Avg_L,0.500000,1.830000
TREX-DA: TLARS,Avg_T,0.500000,29.135000
TREX-DA: TLARS,FDR,0.600000,0.120179
TREX-DA: TLARS,sd_FDR,0.600000,0.198001
TREX-DA: TLARS,TPR,0.600000,0.763000
TREX-DA: TLARS,sd_TPR,0.600000,0.272769
TREX-DA: TLARS,Avg_L,0.600000,1.810000
TREX-DA: TLARS,Avg_T,0.600000,25.955000
TREX-DA: TLARS,FDR,0.700000,0.154500
TREX-DA: TLARS,sd_FDR,0.700000,0.245335
TREX-DA: TLARS,TPR,0.700000,0.705000
TREX-DA: TLARS,sd_TPR,0.700000,0.291892
TREX-DA: TLARS,Avg_L,0.700000,1.785000
TREX-DA: TLARS,Avg_T,0.700000,29.785000
TREX-DA: TLARS,FDR,0.800000,0.193298
TREX-DA: TLARS,sd_FDR,0.800000,0.256480
TREX-DA: TLARS,TPR,0.800000,0.646000
TREX-DA: TLARS,sd_TPR,0.800000,0.277614
TREX-DA: TLARS,Avg_L,0.800000,1.720000
TREX-DA: TLARS,Avg_T,0.800000,27.610000
TREX-DA: TLARS,FDR,0.900000,0.279571
TREX-DA: TLARS,sd_FDR,0.900000,0.277396
TREX-DA: TLARS,TPR,0.900000,0.532000
TREX-DA: TLARS,sd_TPR,0.900000,0.270819
TREX-DA: TLARS,Avg_L,0.900000,1.460000
TREX-DA: TLARS,Avg_T,0.900000,27.740000
TREX-DA: TAFS,FDR,0.000000,0.041750
TREX-DA: TAFS,sd_FDR,0.000000,0.125325
TREX-DA: TAFS,TPR,0.000000,0.525000
TREX-DA: TAFS,sd_TPR,0.000000,0.289472
TREX-DA: TAFS,Avg_L,0.000000,1.900000
TREX-DA: TAFS,Avg_T,0.000000,7.505000
TREX-DA: TAFS,FDR,0.100000,0.031250
TREX-DA: TAFS,sd_FDR,0.100000,0.097368
TREX-DA: TAFS,TPR,0.100000,0.567000
TREX-DA: TAFS,sd_TPR,0.100000,0.265828
TREX-DA: TAFS,Avg_L,0.100000,1.970000
TREX-DA: TAFS,Avg_T,0.100000,7.585000
TREX-DA: TAFS,FDR,0.200000,0.042583
TREX-DA: TAFS,sd_FDR,0.200000,0.105789
TREX-DA: TAFS,TPR,0.200000,0.586000
TREX-DA: TAFS,sd_TPR,0.200000,0.289522
TREX-DA: TAFS,Avg_L,0.200000,1.850000
TREX-DA: TAFS,Avg_T,0.200000,7.435000
TREX-DA: TAFS,FDR,0.300000,0.046083
TREX-DA: TAFS,sd_FDR,0.300000,0.115155
TREX-DA: TAFS,TPR,0.300000,0.692000
TREX-DA: TAFS,sd_TPR,0.300000,0.292513
TREX-DA: TAFS,Avg_L,0.300000,1.870000
TREX-DA: TAFS,Avg_T,0.300000,7.500000
TREX-DA: TAFS,FDR,0.400000,0.065250
TREX-DA: TAFS,sd_FDR,0.400000,0.119740
TREX-DA: TAFS,TPR,0.400000,0.724000
TREX-DA: TAFS,sd_TPR,0.400000,0.281103
TREX-DA: TAFS,Avg_L,0.400000,1.780000
TREX-DA: TAFS,Avg_T,0.400000,7.385000
TREX-DA: TAFS,FDR,0.500000,0.067345
TREX-DA: TAFS,sd_FDR,0.500000,0.138536
TREX-DA: TAFS,TPR,0.500000,0.793000
TREX-DA: TAFS,sd_TPR,0.500000,0.238401
TREX-DA: TAFS,Avg_L,0.500000,1.810000
TREX-DA: TAFS,Avg_T,0.500000,7.165000
TREX-DA: TAFS,FDR,0.600000,0.068595
TREX-DA: TAFS,sd_FDR,0.600000,0.117412
TREX-DA: TAFS,TPR,0.600000,0.806000
TREX-DA: TAFS,sd_TPR,0.600000,0.226762
TREX-DA: TAFS,Avg_L,0.600000,1.760000
TREX-DA: TAFS,Avg_T,0.600000,7.010000
TREX-DA: TAFS,FDR,0.700000,0.074250
TREX-DA: TAFS,sd_FDR,0.700000,0.133801
TREX-DA: TAFS,TPR,0.700000,0.794000
TREX-DA: TAFS,sd_TPR,0.700000,0.203398
TREX-DA: TAFS,Avg_L,0.700000,1.765000
TREX-DA: TAFS,Avg_T,0.700000,7.425000
TREX-DA: TAFS,FDR,0.800000,0.090857
TREX-DA: TAFS,sd_FDR,0.800000,0.131043
TREX-DA: TAFS,TPR,0.800000,0.769000
TREX-DA: TAFS,sd_TPR,0.800000,0.194495
TREX-DA: TAFS,Avg_L,0.800000,1.790000
TREX-DA: TAFS,Avg_T,0.800000,7.480000
TREX-DA: TAFS,FDR,0.900000,0.204512
TREX-DA: TAFS,sd_FDR,0.900000,0.199730
TREX-DA: TAFS,TPR,0.900000,0.684000
TREX-DA: TAFS,sd_TPR,0.900000,0.211584
TREX-DA: TAFS,Avg_L,0.900000,1.735000
TREX-DA: TAFS,Avg_T,0.900000,7.640000
TREX-DA: TOMP,FDR,0.000000,0.022833
TREX-DA: TOMP,sd_FDR,0.000000,0.105427
TREX-DA: TOMP,TPR,0.000000,0.582000
TREX-DA: TOMP,sd_TPR,0.000000,0.284395
TREX-DA: TOMP,Avg_L,0.000000,1.950000
TREX-DA: TOMP,Avg_T,0.000000,7.725000
TREX-DA: TOMP,FDR,0.100000,0.031833
TREX-DA: TOMP,sd_FDR,0.100000,0.129339
TREX-DA: TOMP,TPR,0.100000,0.604000
TREX-DA: TOMP,sd_TPR,0.100000,0.263689
TREX-DA: TOMP,Avg_L,0.100000,1.985000
TREX-DA: TOMP,Avg_T,0.100000,7.780000
TREX-DA: TOMP,FDR,0.200000,0.025250
TREX-DA: TOMP,sd_FDR,0.200000,0.080235
TREX-DA: TOMP,TPR,0.200000,0.656000
TREX-DA: TOMP,sd_TPR,0.200000,0.276489
TREX-DA: TOMP,Avg_L,0.200000,1.930000
TREX-DA: TOMP,Avg_T,0.200000,7.720000
TREX-DA: TOMP,FDR,0.300000,0.031750
TREX-DA: TOMP,sd_FDR,0.300000,0.086958
TREX-DA: TOMP,TPR,0.300000,0.769000
TREX-DA: TOMP,sd_TPR,0.300000,0.254485
TREX-DA: TOMP,Avg_L,0.300000,1.895000
TREX-DA: TOMP,Avg_T,0.300000,7.610000
TREX-DA: TOMP,FDR,0.400000,0.044500
TREX-DA: TOMP,sd_FDR,0.400000,0.099062
TREX-DA: TOMP,TPR,0.400000,0.823000
TREX-DA: TOMP,sd_TPR,0.400000,0.264615
TREX-DA: TOMP,Avg_L,0.400000,1.845000
TREX-DA: TOMP,Avg_T,0.400000,7.530000
TREX-DA: TOMP,FDR,0.500000,0.037333
TREX-DA: TOMP,sd_FDR,0.500000,0.083195
TREX-DA: TOMP,TPR,0.500000,0.894000
TREX-DA: TOMP,sd_TPR,0.500000,0.191172
TREX-DA: TOMP,Avg_L,0.500000,1.825000
TREX-DA: TOMP,Avg_T,0.500000,7.495000
TREX-DA: TOMP,FDR,0.600000,0.034250
TREX-DA: TOMP,sd_FDR,0.600000,0.084045
TREX-DA: TOMP,TPR,0.600000,0.936000
TREX-DA: TOMP,sd_TPR,0.600000,0.161351
TREX-DA: TOMP,Avg_L,0.600000,1.900000
TREX-DA: TOMP,Avg_T,0.600000,7.625000
TREX-DA: TOMP,FDR,0.700000,0.033333
TREX-DA: TOMP,sd_FDR,0.700000,0.079414
TREX-DA: TOMP,TPR,0.700000,0.953000
TREX-DA: TOMP,sd_TPR,0.700000,0.123561
TREX-DA: TOMP,Avg_L,0.700000,1.905000
TREX-DA: TOMP,Avg_T,0.700000,7.790000
TREX-DA: TOMP,FDR,0.800000,0.037167
TREX-DA: TOMP,sd_FDR,0.800000,0.080958
TREX-DA: TOMP,TPR,0.800000,0.954000
TREX-DA: TOMP,sd_TPR,0.800000,0.093422
TREX-DA: TOMP,Avg_L,0.800000,1.910000
TREX-DA: TOMP,Avg_T,0.800000,7.910000
TREX-DA: TOMP,FDR,0.900000,0.143667
TREX-DA: TOMP,sd_FDR,0.900000,0.172653
TREX-DA: TOMP,TPR,0.900000,0.855000
TREX-DA: TOMP,sd_TPR,0.900000,0.172405
TREX-DA: TOMP,Avg_L,0.900000,1.920000
TREX-DA: TOMP,Avg_T,0.900000,7.945000
