solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.115631
TREX-DA: TLARS,sd_FDR,0.000000,0.155253
TREX-DA: TLARS,TPR,0.000000,0.782000
TREX-DA: TLARS,sd_TPR,0.000000,0.243253
TREX-DA: TLARS,Avg_L,0.000000,1.910000
TREX-DA: TLARS,Avg_T,0.000000,29.820000
TREX-DA: TLARS,FDR,0.100000,0.127083
TREX-DA: TLARS,sd_FDR,0.100000,0.175331
TREX-DA: TLARS,TPR,0.100000,0.773000
TREX-DA: TLARS,sd_TPR,0.100000,0.246933
TREX-DA: TLARS,Avg_L,0.100000,1.935000
TREX-DA: TLARS,Avg_T,0.100000,29.310000
TREX-DA: TLARS,FDR,0.200000,0.107024
TREX-DA: TLARS,sd_FDR,0.200000,0.158655
TREX-DA: TLARS,TPR,0.200000,0.769000
TREX-DA: TLARS,sd_TPR,0.200000,0.233907
TREX-DA: TLARS,Avg_L,0.200000,1.860000
TREX-DA: TLARS,Avg_T,0.200000,25.030000
TREX-DA: TLARS,FDR,0.300000,0.125512
TREX-DA: TLARS,sd_FDR,0.300000,0.180264
TREX-DA: TLARS,TPR,0.300000,0.801000
TREX-DA: TLARS,sd_TPR,0.300000,0.248410
TREX-DA: TLARS,Avg_L,0.300000,1.885000
TREX-DA: TLARS,Avg_T,0.300000,27.625000
TREX-DA: TLARS,FDR,0.400000,0.145119
TREX-DA: TLARS,sd_FDR,0.400000,0.190582
TREX-DA: TLARS,TPR,0.400000,0.756000
TREX-DA: TLARS,sd_TPR,0.400000,0.252155
TREX-DA: TLARS,Avg_L,0.400000,1.830000
TREX-DA: TLARS,Avg_T,0.400000,23.430000
TREX-DA: TLARS,FDR,0.500000,0.136595
TREX-DA: TLARS,sd_FDR,0.500000,0.173362
TREX-DA: TLARS,TPR,0.500000,0.764000
TREX-DA: TLARS,sd_TPR,0.500000,0.242068
TREX-DA: TLARS,Avg_L,0.500000,1.870000
TREX-DA: TLARS,Avg_T,0.500000,22.315000
TREX-DA: TLARS,FDR,0.600000,0.177827
TREX-DA: TLARS,sd_FDR,0.600000,0.191556
TREX-DA: TLARS,TPR,0.600000,0.712000
TREX-DA: TLARS,sd_TPR,0.600000,0.241136
TREX-DA: TLARS,Avg_L,0.600000,1.835000
TREX-DA: TLARS,Avg_T,0.600000,25.565000
TREX-DA: TLARS,FDR,0.700000,0.202972
TREX-DA: TLARS,sd_FDR,0.700000,0.214912
TREX-DA: TLARS,TPR,0.700000,0.722000
TREX-DA: TLARS,sd_TPR,0.700000,0.246209
TREX-DA: TLARS,Avg_L,0.700000,1.745000
TREX-DA: TLARS,Avg_T,0.700000,27.105000
TREX-DA: TLARS,FDR,0.800000,0.189286
TREX-DA: TLARS,sd_FDR,0.800000,0.213287
TREX-DA: TLARS,TPR,0.800000,0.695000
TREX-DA: TLARS,sd_TPR,0.800000,0.251977
TREX-DA: TLARS,Avg_L,0.800000,1.670000
TREX-DA: TLARS,Avg_T,0.800000,24.435000
TREX-DA: TLARS,FDR,0.900000,0.320280
TREX-DA: TLARS,sd_FDR,0.900000,0.239702
TREX-DA: TLARS,TPR,0.900000,0.591000
TREX-DA: TLARS,sd_TPR,0.900000,0.252264
TREX-DA: TLARS,Avg_L,0.900000,1.465000
TREX-DA: TLARS,Avg_T,0.900000,23.010000
TREX-DA: TAFS,FDR,0.000000,0.072679
TREX-DA: TAFS,sd_FDR,0.000000,0.117826
TREX-DA: TAFS,TPR,0.000000,0.814000
TREX-DA: TAFS,sd_TPR,0.000000,0.239354
TREX-DA: TAFS,Avg_L,0.000000,1.860000
TREX-DA: TAFS,Avg_T,0.000000,7.215000
TREX-DA: TAFS,FDR,0.100000,0.068762
TREX-DA: TAFS,sd_FDR,0.100000,0.109969
TREX-DA: TAFS,TPR,0.100000,0.816000
TREX-DA: TAFS,sd_TPR,0.100000,0.223593
TREX-DA: TAFS,Avg_L,0.100000,1.910000
TREX-DA: TAFS,Avg_T,0.100000,7.230000
TREX-DA: TAFS,FDR,0.200000,0.065845
TREX-DA: TAFS,sd_FDR,0.200000,0.110751
TREX-DA: TAFS,TPR,0.200000,0.825000
TREX-DA: TAFS,sd_TPR,0.200000,0.202435
TREX-DA: TAFS,Avg_L,0.200000,1.885000
TREX-DA: TAFS,Avg_T,0.200000,7.300000
TREX-DA: TAFS,FDR,0.300000,0.080774
TREX-DA: TAFS,sd_FDR,0.300000,0.136413
TREX-DA: TAFS,TPR,0.300000,0.837000
TREX-DA: TAFS,sd_TPR,0.300000,0.209405
TREX-DA: TAFS,Avg_L,0.300000,1.910000
TREX-DA: TAFS,Avg_T,0.300000,7.405000
TREX-DA: TAFS,FDR,0.400000,0.100417
TREX-DA: TAFS,sd_FDR,0.400000,0.149393
TREX-DA: TAFS,TPR,0.400000,0.812000
TREX-DA: TAFS,sd_TPR,0.400000,0.225634
TREX-DA: TAFS,Avg_L,0.400000,1.820000
TREX-DA: TAFS,Avg_T,0.400000,6.915000
TREX-DA: TAFS,FDR,0.500000,0.105137
TREX-DA: TAFS,sd_FDR,0.500000,0.146452
TREX-DA: TAFS,TPR,0.500000,0.792000
TREX-DA: TAFS,sd_TPR,0.500000,0.236252
TREX-DA: TAFS,Avg_L,0.500000,1.815000
TREX-DA: TAFS,Avg_T,0.500000,6.850000
TREX-DA: TAFS,FDR,0.600000,0.106405
TREX-DA: TAFS,sd_FDR,0.600000,0.139244
TREX-DA: TAFS,TPR,0.600000,0.807000
TREX-DA: TAFS,sd_TPR,0.600000,0.210649
TREX-DA: TAFS,Avg_L,0.600000,1.785000
TREX-DA: TAFS,Avg_T,0.600000,7.055000
TREX-DA: TAFS,FDR,0.700000,0.098232
TREX-DA: TAFS,sd_FDR,0.700000,0.136378
TREX-DA: TAFS,TPR,0.700000,0.798000
TREX-DA: TAFS,sd_TPR,0.700000,0.180441
TREX-DA: TAFS,Avg_L,0.700000,1.735000
TREX-DA: TAFS,Avg_T,0.700000,7.465000
TREX-DA: TAFS,FDR,0.800000,0.131893
TREX-DA: TAFS,sd_FDR,0.800000,0.148891
TREX-DA: TAFS,TPR,0.800000,0.787000
TREX-DA: TAFS,sd_TPR,0.800000,0.196530
TREX-DA: TAFS,Avg_L,0.800000,1.765000
