solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.060417
TREX-DA: TLARS,sd_FDR,0.000000,0.149365
TREX-DA: TLARS,TPR,0.000000,0.503000
TREX-DA: TLARS,sd_TPR,0.000000,0.292607
TREX-DA: TLARS,Avg_L,0.000000,1.840000
TREX-DA: TLARS,Avg_T,0.000000,32.915000
TREX-DA: TLARS,FDR,0.100000,0.070167
TREX-DA: TLARS,sd_FDR,0.100000,0.170423
TREX-DA: TLARS,TPR,0.100000,0.529000
TREX-DA: TLARS,sd_TPR,0.100000,0.254327
TREX-DA: TLARS,Avg_L,0.100000,1.930000
TREX-DA: TLARS,Avg_T,0.100000,36.415000
TREX-DA: TLARS,FDR,0.200000,0.075333
TREX-DA: TLARS,sd_FDR,0.200000,0.146158
TREX-DA: TLARS,TPR,0.200000,0.564000
TREX-DA: TLARS,sd_TPR,0.200000,0.281246
TREX-DA: TLARS,Avg_L,0.200000,1.835000
TREX-DA: TLARS,Avg_T,0.200000,30.865000
TREX-DA: TLARS,FDR,0.300000,0.106417
TREX-DA: TLARS,sd_FDR,0.300000,0.183441
TREX-DA: TLARS,TPR,0.300000,0.653000
TREX-DA: TLARS,sd_TPR,0.300000,0.310278
TREX-DA: TLARS,Avg_L,0.300000,1.905000
TREX-DA: TLARS,Avg_T,0.300000,30.550000
TREX-DA: TLARS,FDR,0.400000,0.096167
TREX-DA: TLARS,sd_FDR,0.400000,0.171689
TREX-DA: TLARS,TPR,0.400000,0.693000
TREX-DA: TLARS,sd_TPR,0.400000,0.309240
TREX-DA: TLARS,Avg_L,0.400000,1.775000
TREX-DA: TLARS,Avg_T,0.400000,27.820000
TREX-DA: TLARS,FDR,0.500000,0.138500
TREX-DA: TLARS,sd_FDR,0.500000,0.214458
TREX-DA: TLARS,TPR,0.500000,0.735000
TREX-DA: TLARS,sd_TPR,0.500000,0.263671
TREX-DA: TLARS,Avg_L,0.500000,1.805000
TREX-DA: TLARS,Avg_T,0.500000,27.260000
TREX-DA: TLARS,FDR,0.600000,0.142500
TREX-DA: TLARS,sd_FDR,0.600000,0.214805
TREX-DA: TLARS,TPR,0.600000,0.711000
TREX-DA: TLARS,sd_TPR,0.600000,0.258093
TREX-DA: TLARS,Avg_L,0.600000,1.855000
TREX-DA: TLARS,Avg_T,0.600000,27.610000
TREX-DA: TLARS,FDR,0.700000,0.140857
TREX-DA: TLARS,sd_FDR,0.700000,0.216916
TREX-DA: TLARS,TPR,0.700000,0.731000
TREX-DA: TLARS,sd_TPR,0.700000,0.261113
TREX-DA: TLARS,Avg_L,0.700000,1.835000
TREX-DA: TLARS,Avg_T,0.700000,31.405000
TREX-DA: TLARS,FDR,0.800000,0.177250
TREX-DA: TLARS,sd_FDR,0.800000,0.243412
TREX-DA: TLARS,TPR,0.800000,0.660000
TREX-DA: TLARS,sd_TPR,0.800000,0.278546
TREX-DA: TLARS,Avg_L,0.800000,1.725000
TREX-DA: TLARS,Avg_T,0.800000,29.150000
TREX-DA: TLARS,FDR,0.900000,0.316655
TREX-DA: TLARS,sd_FDR,0.900000,0.281971
TREX-DA: TLARS,TPR,0.900000,0.508000
TREX-DA: TLARS,sd_TPR,0.900000,0.276983
TREX-DA: TLARS,Avg_L,0.900000,1.475000
TREX-DA: TLARS,Avg_T,0.900000,25.870000
TREX-DA: TAFS,FDR,0.000000,0.038917
TREX-DA: TAFS,sd_FDR,0.000000,0.120235
TREX-DA: TAFS,TPR,0.000000,0.508000
TREX-DA: TAFS,sd_TPR,0.000000,0.299306
TREX-DA: TAFS,Avg_L,0.000000,1.835000
TREX-DA: TAFS,Avg_T,0.000000,7.410000
TREX-DA: TAFS,FDR,0.100000,0.033000
TREX-DA: TAFS,sd_FDR,0.100000,0.116169
TREX-DA: TAFS,TPR,0.100000,0.545000
TREX-DA: TAFS,sd_TPR,0.100000,0.273402
TREX-DA: TAFS,Avg_L,0.100000,1.935000
TREX-DA: TAFS,Avg_T,0.100000,7.555000
TREX-DA: TAFS,FDR,0.200000,0.046083
TREX-DA: TAFS,sd_FDR,0.200000,0.108798
TREX-DA: TAFS,TPR,0.200000,0.597000
TREX-DA: TAFS,sd_TPR,0.200000,0.281044
TREX-DA: TAFS,Avg_L,0.200000,1.885000
TREX-DA: TAFS,Avg_T,0.200000,7.505000
TREX-DA: TAFS,FDR,0.300000,0.056583
TREX-DA: TAFS,sd_FDR,0.300000,0.129142
TREX-DA: TAFS,TPR,0.300000,0.684000
TREX-DA: TAFS,sd_TPR,0.300000,0.297636
TREX-DA: TAFS,Avg_L,0.300000,1.875000
TREX-DA: TAFS,Avg_T,0.300000,7.525000
TREX-DA: TAFS,FDR,0.400000,0.074595
TREX-DA: TAFS,sd_FDR,0.400000,0.146966
TREX-DA: TAFS,TPR,0.400000,0.721000
TREX-DA: TAFS,sd_TPR,0.400000,0.286302
TREX-DA: TAFS,Avg_L,0.400000,1.785000
TREX-DA: TAFS,Avg_T,0.400000,6.975000
TREX-DA: TAFS,FDR,0.500000,0.091500
TREX-DA: TAFS,sd_FDR,0.500000,0.156177
TREX-DA: TAFS,TPR,0.500000,0.768000
