solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.055000
TREX-DA: TLARS,sd_FDR,0.100000,0.217923
TREX-DA: TLARS,TPR,0.100000,0.017000
TREX-DA: TLARS,sd_TPR,0.100000,0.065823
TREX-DA: TLARS,Avg_L,0.100000,1.650000
TREX-DA: TLARS,Avg_T,0.100000,9.990000
TREX-DA: TLARS,FDR,0.200000,0.133333
TREX-DA: TLARS,sd_FDR,0.200000,0.270533
TREX-DA: TLARS,TPR,0.200000,0.096000
TREX-DA: TLARS,sd_TPR,0.200000,0.156546
TREX-DA: TLARS,Avg_L,0.200000,2.475000
TREX-DA: TLARS,Avg_T,0.200000,14.795000
TREX-DA: TLARS,FDR,0.500000,0.206345
TREX-DA: TLARS,sd_FDR,0.500000,0.253334
TREX-DA: TLARS,TPR,0.500000,0.389000
TREX-DA: TLARS,sd_TPR,0.500000,0.304207
TREX-DA: TLARS,Avg_L,0.500000,2.365000
TREX-DA: TLARS,Avg_T,0.500000,19.605000
TREX-DA: TLARS,FDR,0.600000,0.236893
TREX-DA: TLARS,sd_FDR,0.600000,0.247204
TREX-DA: TLARS,TPR,0.600000,0.508000
TREX-DA: TLARS,sd_TPR,0.600000,0.264359
TREX-DA: TLARS,Avg_L,0.600000,2.375000
TREX-DA: TLARS,Avg_T,0.600000,25.720000
TREX-DA: TLARS,FDR,1.000000,0.238500
TREX-DA: TLARS,sd_FDR,1.000000,0.233315
TREX-DA: TLARS,TPR,1.000000,0.619000
TREX-DA: TLARS,sd_TPR,1.000000,0.276080
TREX-DA: TLARS,Avg_L,1.000000,1.870000
TREX-DA: TLARS,Avg_T,1.000000,25.730000
TREX-DA: TLARS,FDR,2.000000,0.218095
TREX-DA: TLARS,sd_FDR,2.000000,0.224783
TREX-DA: TLARS,TPR,2.000000,0.662000
TREX-DA: TLARS,sd_TPR,2.000000,0.245883
TREX-DA: TLARS,Avg_L,2.000000,1.625000
TREX-DA: TLARS,Avg_T,2.000000,24.830000
TREX-DA: TLARS,FDR,5.000000,0.215077
TREX-DA: TLARS,sd_FDR,5.000000,0.224401
TREX-DA: TLARS,TPR,5.000000,0.691000
TREX-DA: TLARS,sd_TPR,5.000000,0.271084
TREX-DA: TLARS,Avg_L,5.000000,1.640000
TREX-DA: TLARS,Avg_T,5.000000,25.130000
TREX-DA: TAFS,FDR,0.100000,0.036667
TREX-DA: TAFS,sd_FDR,0.100000,0.178523
TREX-DA: TAFS,TPR,0.100000,0.013000
TREX-DA: TAFS,sd_TPR,0.100000,0.053341
TREX-DA: TAFS,Avg_L,0.100000,1.750000
TREX-DA: TAFS,Avg_T,0.100000,5.420000
TREX-DA: TAFS,FDR,0.200000,0.101000
TREX-DA: TAFS,sd_FDR,0.200000,0.238643
TREX-DA: TAFS,TPR,0.200000,0.103000
TREX-DA: TAFS,sd_TPR,0.200000,0.184829
TREX-DA: TAFS,Avg_L,0.200000,2.510000
TREX-DA: TAFS,Avg_T,0.200000,5.410000
TREX-DA: TAFS,FDR,0.500000,0.161500
TREX-DA: TAFS,sd_FDR,0.500000,0.223316
TREX-DA: TAFS,TPR,0.500000,0.500000
TREX-DA: TAFS,sd_TPR,0.500000,0.328236
TREX-DA: TAFS,Avg_L,0.500000,2.555000
TREX-DA: TAFS,Avg_T,0.500000,6.115000
TREX-DA: TAFS,FDR,0.600000,0.185250
TREX-DA: TAFS,sd_FDR,0.600000,0.208690
TREX-DA: TAFS,TPR,0.600000,0.614000
TREX-DA: TAFS,sd_TPR,0.600000,0.278192
TREX-DA: TAFS,Avg_L,0.600000,2.435000
TREX-DA: TAFS,Avg_T,0.600000,6.505000
TREX-DA: TAFS,FDR,1.000000,0.134726
TREX-DA: TAFS,sd_FDR,1.000000,0.164735
TREX-DA: TAFS,TPR,1.000000,0.800000
TREX-DA: TAFS,sd_TPR,1.000000,0.223269
TREX-DA: TAFS,Avg_L,1.000000,1.920000
TREX-DA: TAFS,Avg_T,1.000000,7.455000
TREX-DA: TAFS,FDR,2.000000,0.123690
TREX-DA: TAFS,sd_FDR,2.000000,0.144087
TREX-DA: TAFS,TPR,2.000000,0.776000
TREX-DA: TAFS,sd_TPR,2.000000,0.192899
TREX-DA: TAFS,Avg_L,2.000000,1.765000
TREX-DA: TAFS,Avg_T,2.000000,7.670000
TREX-DA: TAFS,FDR,5.000000,0.145726
TREX-DA: TAFS,sd_FDR,5.000000,0.171628
TREX-DA: TAFS,TPR,5.000000,0.685000
TREX-DA: TAFS,sd_TPR,5.000000,0.182046
TREX-DA: TAFS,Avg_L,5.000000,1.580000
TREX-DA: TAFS,Avg_T,5.000000,7.295000
TREX-DA: TOMP,FDR,0.100000,0.070000
TREX-DA: TOMP,sd_FDR,0.100000,0.245768
TREX-DA: TOMP,TPR,0.100000,0.022000
TREX-DA: TOMP,sd_TPR,0.100000,0.077109
TREX-DA: TOMP,Avg_L,0.100000,1.965000
TREX-DA: TOMP,Avg_T,0.100000,6.305000
TREX-DA: TOMP,FDR,0.200000,0.106000
TREX-DA: TOMP,sd_FDR,0.200000,0.252304
TREX-DA: TOMP,TPR,0.200000,0.114000
TREX-DA: TOMP,sd_TPR,0.200000,0.176521
TREX-DA: TOMP,Avg_L,0.200000,2.800000
TREX-DA: TOMP,Avg_T,0.200000,6.225000
TREX-DA: TOMP,FDR,0.500000,0.166417
TREX-DA: TOMP,sd_FDR,0.500000,0.207955
TREX-DA: TOMP,TPR,0.500000,0.569000
