solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.033333
TREX-DA: TLARS,sd_FDR,0.100000,0.158511
TREX-DA: TLARS,TPR,0.100000,0.020000
TREX-DA: TLARS,sd_TPR,0.100000,0.072292
TREX-DA: TLARS,Avg_L,0.100000,1.780000
TREX-DA: TLARS,Avg_T,0.100000,10.420000
TREX-DA: TLARS,FDR,0.200000,0.121500
TREX-DA: TLARS,sd_FDR,0.200000,0.280143
TREX-DA: TLARS,TPR,0.200000,0.070000
TREX-DA: TLARS,sd_TPR,0.200000,0.145623
TREX-DA: TLARS,Avg_L,0.200000,2.320000
TREX-DA: TLARS,Avg_T,0.200000,15.530000
TREX-DA: TLARS,FDR,0.500000,0.168310
TREX-DA: TLARS,sd_FDR,0.500000,0.255539
TREX-DA: TLARS,TPR,0.500000,0.339000
TREX-DA: TLARS,sd_TPR,0.500000,0.301552
TREX-DA: TLARS,Avg_L,0.500000,2.365000
TREX-DA: TLARS,Avg_T,0.500000,28.300000
TREX-DA: TLARS,FDR,0.600000,0.203083
TREX-DA: TLARS,sd_FDR,0.600000,0.252055
TREX-DA: TLARS,TPR,0.600000,0.451000
TREX-DA: TLARS,sd_TPR,0.600000,0.296036
TREX-DA: TLARS,Avg_L,0.600000,2.285000
TREX-DA: TLARS,Avg_T,0.600000,26.555000
TREX-DA: TLARS,FDR,1.000000,0.184845
TREX-DA: TLARS,sd_FDR,1.000000,0.243486
TREX-DA: TLARS,TPR,1.000000,0.575000
TREX-DA: TLARS,sd_TPR,1.000000,0.294634
TREX-DA: TLARS,Avg_L,1.000000,1.920000
TREX-DA: TLARS,Avg_T,1.000000,31.395000
TREX-DA: TLARS,FDR,2.000000,0.202833
TREX-DA: TLARS,sd_FDR,2.000000,0.259545
TREX-DA: TLARS,TPR,2.000000,0.636000
TREX-DA: TLARS,sd_TPR,2.000000,0.284797
TREX-DA: TLARS,Avg_L,2.000000,1.640000
TREX-DA: TLARS,Avg_T,2.000000,28.470000
TREX-DA: TLARS,FDR,5.000000,0.202012
TREX-DA: TLARS,sd_FDR,5.000000,0.262612
TREX-DA: TLARS,TPR,5.000000,0.653000
TREX-DA: TLARS,sd_TPR,5.000000,0.297039
TREX-DA: TLARS,Avg_L,5.000000,1.630000
TREX-DA: TLARS,Avg_T,5.000000,28.055000
TREX-DA: TAFS,FDR,0.100000,0.037500
TREX-DA: TAFS,sd_FDR,0.100000,0.173187
TREX-DA: TAFS,TPR,0.100000,0.018000
TREX-DA: TAFS,sd_TPR,0.100000,0.060782
TREX-DA: TAFS,Avg_L,0.100000,1.735000
TREX-DA: TAFS,Avg_T,0.100000,5.425000
TREX-DA: TAFS,FDR,0.200000,0.101000
TREX-DA: TAFS,sd_FDR,0.200000,0.243850
TREX-DA: TAFS,TPR,0.200000,0.088000
TREX-DA: TAFS,sd_TPR,0.200000,0.173222
TREX-DA: TAFS,Avg_L,0.200000,2.360000
TREX-DA: TAFS,Avg_T,0.200000,5.380000
TREX-DA: TAFS,FDR,0.500000,0.157250
TREX-DA: TAFS,sd_FDR,0.500000,0.221017
TREX-DA: TAFS,TPR,0.500000,0.476000
TREX-DA: TAFS,sd_TPR,0.500000,0.334640
TREX-DA: TAFS,Avg_L,0.500000,2.450000
TREX-DA: TAFS,Avg_T,0.500000,6.375000
TREX-DA: TAFS,FDR,0.600000,0.167583
TREX-DA: TAFS,sd_FDR,0.600000,0.211395
TREX-DA: TAFS,TPR,0.600000,0.591000
TREX-DA: TAFS,sd_TPR,0.600000,0.290068
TREX-DA: TAFS,Avg_L,0.600000,2.325000
TREX-DA: TAFS,Avg_T,0.600000,6.740000
TREX-DA: TAFS,FDR,1.000000,0.112000
TREX-DA: TAFS,sd_FDR,1.000000,0.176298
TREX-DA: TAFS,TPR,1.000000,0.764000
TREX-DA: TAFS,sd_TPR,1.000000,0.254219
TREX-DA: TAFS,Avg_L,1.000000,1.925000
TREX-DA: TAFS,Avg_T,1.000000,7.590000
TREX-DA: TAFS,FDR,2.000000,0.098774
TREX-DA: TAFS,sd_FDR,2.000000,0.148922
TREX-DA: TAFS,TPR,2.000000,0.770000
TREX-DA: TAFS,sd_TPR,2.000000,0.204227
TREX-DA: TAFS,Avg_L,2.000000,1.775000
TREX-DA: TAFS,Avg_T,2.000000,7.690000
TREX-DA: TAFS,FDR,5.000000,0.132179
TREX-DA: TAFS,sd_FDR,5.000000,0.163024
TREX-DA: TAFS,TPR,5.000000,0.653000
TREX-DA: TAFS,sd_TPR,5.000000,0.186453
TREX-DA: TAFS,Avg_L,5.000000,1.565000
TREX-DA: TAFS,Avg_T,5.000000,7.450000
TREX-DA: TOMP,FDR,0.100000,0.042500
TREX-DA: TOMP,sd_FDR,0.100000,0.186056
TREX-DA: TOMP,TPR,0.100000,0.021000
TREX-DA: TOMP,sd_TPR,0.100000,0.070597
TREX-DA: TOMP,Avg_L,0.100000,1.940000
TREX-DA: TOMP,Avg_T,0.100000,6.355000
TREX-DA: TOMP,FDR,0.200000,0.112833
TREX-DA: TOMP,sd_FDR,0.200000,0.272049
TREX-DA: TOMP,TPR,0.200000,0.098000
TREX-DA: TOMP,sd_TPR,0.200000,0.174782
TREX-DA: TOMP,Avg_L,0.200000,2.640000
TREX-DA: TOMP,Avg_T,0.200000,6.380000
TREX-DA: TOMP,FDR,0.500000,0.170500
TREX-DA: TOMP,sd_FDR,0.500000,0.220582
TREX-DA: TOMP,TPR,0.500000,0.549000
TREX-DA: TOMP,sd_TPR,0.500000,0.302750
TREX-DA: TOMP,Avg_L,0.500000,2.630000
TREX-DA: TOMP,Avg_T,0.500000,7.055000
TREX-DA: TOMP,FDR,0.600000,0.150000
TREX-DA: TOMP,sd_FDR,0.600000,0.187523
TREX-DA: TOMP,TPR,0.600000,0.642000
TREX-DA: TOMP,sd_TPR,0.600000,0.281839
TREX-DA: TOMP,Avg_L,0.600000,2.485000
TREX-DA: TOMP,Avg_T,0.600000,6.820000
TREX-DA: TOMP,FDR,1.000000,0.100833
TREX-DA: TOMP,sd_FDR,1.000000,0.142911
TREX-DA: TOMP,TPR,1.000000,0.866000
TREX-DA: TOMP,sd_TPR,1.000000,0.169077
TREX-DA: TOMP,Avg_L,1.000000,2.130000
TREX-DA: TOMP,Avg_T,1.000000,7.690000
TREX-DA: TOMP,FDR,2.000000,0.055667
TREX-DA: TOMP,sd_FDR,2.000000,0.109354
TREX-DA: TOMP,TPR,2.000000,0.937000
TREX-DA: TOMP,sd_TPR,2.000000,0.119593
TREX-DA: TOMP,Avg_L,2.000000,1.895000
TREX-DA: TOMP,Avg_T,2.000000,7.930000
TREX-DA: TOMP,FDR,5.000000,0.024667
TREX-DA: TOMP,sd_FDR,5.000000,0.067911
TREX-DA: TOMP,TPR,5.000000,0.966000
TREX-DA: TOMP,sd_TPR,5.000000,0.092122
TREX-DA: TOMP,Avg_L,5.000000,1.895000
TREX-DA: TOMP,Avg_T,5.000000,7.875000
