solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.089500
TREX-DA: TLARS,sd_FDR,0.100000,0.261552
TREX-DA: TLARS,TPR,0.100000,0.047000
TREX-DA: TLARS,sd_TPR,0.100000,0.129905
TREX-DA: TLARS,Avg_L,0.100000,2.075000
TREX-DA: TLARS,Avg_T,0.100000,14.150000
TREX-DA: TLARS,FDR,0.200000,0.129333
TREX-DA: TLARS,sd_FDR,0.200000,0.255472
TREX-DA: TLARS,TPR,0.200000,0.156000
TREX-DA: TLARS,sd_TPR,0.200000,0.224311
TREX-DA: TLARS,Avg_L,0.200000,2.515000
TREX-DA: TLARS,Avg_T,0.200000,14.090000
TREX-DA: TLARS,FDR,0.500000,0.210244
TREX-DA: TLARS,sd_FDR,0.500000,0.250365
TREX-DA: TLARS,TPR,0.500000,0.456000
TREX-DA: TLARS,sd_TPR,0.500000,0.304842
TREX-DA: TLARS,Avg_L,0.500000,2.375000
TREX-DA: TLARS,Avg_T,0.500000,23.555000
TREX-DA: TLARS,FDR,0.600000,0.224649
TREX-DA: TLARS,sd_FDR,0.600000,0.245526
TREX-DA: TLARS,TPR,0.600000,0.533000
TREX-DA: TLARS,sd_TPR,0.600000,0.308849
TREX-DA: TLARS,Avg_L,0.600000,2.305000
TREX-DA: TLARS,Avg_T,0.600000,26.180000
TREX-DA: TLARS,FDR,1.000000,0.222327
TREX-DA: TLARS,sd_FDR,1.000000,0.225942
TREX-DA: TLARS,TPR,1.000000,0.665000
TREX-DA: TLARS,sd_TPR,1.000000,0.276327
TREX-DA: TLARS,Avg_L,1.000000,1.825000
TREX-DA: TLARS,Avg_T,1.000000,25.935000
TREX-DA: TLARS,FDR,2.000000,0.232371
TREX-DA: TLARS,sd_FDR,2.000000,0.200903
TREX-DA: TLARS,TPR,2.000000,0.663000
TREX-DA: TLARS,sd_TPR,2.000000,0.246852
TREX-DA: TLARS,Avg_L,2.000000,1.650000
TREX-DA: TLARS,Avg_T,2.000000,24.805000
TREX-DA: TLARS,FDR,5.000000,0.266893
TREX-DA: TLARS,sd_FDR,5.000000,0.234018
TREX-DA: TLARS,TPR,5.000000,0.638000
TREX-DA: TLARS,sd_TPR,5.000000,0.250740
TREX-DA: TLARS,Avg_L,5.000000,1.600000
TREX-DA: TLARS,Avg_T,5.000000,23.820000
TREX-DA: TAFS,FDR,0.100000,0.050000
TREX-DA: TAFS,sd_FDR,0.100000,0.195568
TREX-DA: TAFS,TPR,0.100000,0.033000
TREX-DA: TAFS,sd_TPR,0.100000,0.093567
TREX-DA: TAFS,Avg_L,0.100000,1.930000
TREX-DA: TAFS,Avg_T,0.100000,5.525000
TREX-DA: TAFS,FDR,0.200000,0.158417
TREX-DA: TAFS,sd_FDR,0.200000,0.293047
TREX-DA: TAFS,TPR,0.200000,0.148000
TREX-DA: TAFS,sd_TPR,0.200000,0.216170
TREX-DA: TAFS,Avg_L,0.200000,2.610000
TREX-DA: TAFS,Avg_T,0.200000,5.365000
TREX-DA: TAFS,FDR,0.500000,0.173500
TREX-DA: TAFS,sd_FDR,0.500000,0.224331
TREX-DA: TAFS,TPR,0.500000,0.549000
TREX-DA: TAFS,sd_TPR,0.500000,0.334903
TREX-DA: TAFS,Avg_L,0.500000,2.355000
