solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.072917
TREX-DA: TLARS,sd_FDR,0.100000,0.246689
TREX-DA: TLARS,TPR,0.100000,0.024000
TREX-DA: TLARS,sd_TPR,0.100000,0.090914
TREX-DA: TLARS,Avg_L,0.100000,1.915000
TREX-DA: TLARS,Avg_T,0.100000,12.750000
TREX-DA: TLARS,FDR,0.200000,0.140667
TREX-DA: TLARS,sd_FDR,0.200000,0.288620
TREX-DA: TLARS,TPR,0.200000,0.132000
TREX-DA: TLARS,sd_TPR,0.200000,0.203921
TREX-DA: TLARS,Avg_L,0.200000,2.495000
TREX-DA: TLARS,Avg_T,0.200000,16.780000
TREX-DA: TLARS,FDR,0.500000,0.191726
TREX-DA: TLARS,sd_FDR,0.500000,0.254759
TREX-DA: TLARS,TPR,0.500000,0.424000
TREX-DA: TLARS,sd_TPR,0.500000,0.310331
TREX-DA: TLARS,Avg_L,0.500000,2.345000
TREX-DA: TLARS,Avg_T,0.500000,28.490000
TREX-DA: TLARS,FDR,0.600000,0.195333
TREX-DA: TLARS,sd_FDR,0.600000,0.265208
TREX-DA: TLARS,TPR,0.600000,0.471000
TREX-DA: TLARS,sd_TPR,0.600000,0.313128
TREX-DA: TLARS,Avg_L,0.600000,2.060000
TREX-DA: TLARS,Avg_T,0.600000,27.320000
TREX-DA: TLARS,FDR,1.000000,0.196095
TREX-DA: TLARS,sd_FDR,1.000000,0.250448
TREX-DA: TLARS,TPR,1.000000,0.613000
TREX-DA: TLARS,sd_TPR,1.000000,0.304788
TREX-DA: TLARS,Avg_L,1.000000,1.865000
TREX-DA: TLARS,Avg_T,1.000000,30.520000
TREX-DA: TLARS,FDR,2.000000,0.183984
TREX-DA: TLARS,sd_FDR,2.000000,0.227066
TREX-DA: TLARS,TPR,2.000000,0.625000
TREX-DA: TLARS,sd_TPR,2.000000,0.273402
TREX-DA: TLARS,Avg_L,2.000000,1.645000
TREX-DA: TLARS,Avg_T,2.000000,29.045000
TREX-DA: TLARS,FDR,5.000000,0.205202
TREX-DA: TLARS,sd_FDR,5.000000,0.255320
TREX-DA: TLARS,TPR,5.000000,0.626000
TREX-DA: TLARS,sd_TPR,5.000000,0.272940
TREX-DA: TLARS,Avg_L,5.000000,1.610000
TREX-DA: TLARS,Avg_T,5.000000,29.410000
TREX-DA: TAFS,FDR,0.100000,0.050000
TREX-DA: TAFS,sd_FDR,0.100000,0.201197
TREX-DA: TAFS,TPR,0.100000,0.027000
TREX-DA: TAFS,sd_TPR,0.100000,0.086652
TREX-DA: TAFS,Avg_L,0.100000,1.860000
TREX-DA: TAFS,Avg_T,0.100000,5.485000
