solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.122417
TREX-DA: TLARS,sd_FDR,0.050000,0.198912
TREX-DA: TLARS,TPR,0.050000,0.576000
TREX-DA: TLARS,sd_TPR,0.050000,0.314194
TREX-DA: TLARS,Avg_L,0.050000,4.810000
TREX-DA: TLARS,Avg_T,0.050000,25.490000
TREX-DA: TLARS,FDR,0.100000,0.159226
TREX-DA: TLARS,sd_FDR,0.100000,0.209417
TREX-DA: TLARS,TPR,0.100000,0.581000
TREX-DA: TLARS,sd_TPR,0.100000,0.319923
TREX-DA: TLARS,Avg_L,0.100000,2.700000
TREX-DA: TLARS,Avg_T,0.100000,21.670000
TREX-DA: TLARS,FDR,0.150000,0.180619
TREX-DA: TLARS,sd_FDR,0.150000,0.199647
TREX-DA: TLARS,TPR,0.150000,0.606000
TREX-DA: TLARS,sd_TPR,0.150000,0.280638
TREX-DA: TLARS,Avg_L,0.150000,1.985000
TREX-DA: TLARS,Avg_T,0.150000,25.185000
TREX-DA: TLARS,FDR,0.200000,0.241042
TREX-DA: TLARS,sd_FDR,0.200000,0.221393
TREX-DA: TLARS,TPR,0.200000,0.688000
TREX-DA: TLARS,sd_TPR,0.200000,0.239463
TREX-DA: TLARS,Avg_L,0.200000,1.700000
TREX-DA: TLARS,Avg_T,0.200000,24.565000
TREX-DA: TLARS,FDR,0.250000,0.248345
TREX-DA: TLARS,sd_FDR,0.250000,0.215149
TREX-DA: TLARS,TPR,0.250000,0.690000
TREX-DA: TLARS,sd_TPR,0.250000,0.251028
TREX-DA: TLARS,Avg_L,0.250000,1.255000
TREX-DA: TLARS,Avg_T,0.250000,18.020000
TREX-DA: TLARS,FDR,0.300000,0.331173
TREX-DA: TLARS,sd_FDR,0.300000,0.230169
TREX-DA: TLARS,TPR,0.300000,0.670000
TREX-DA: TLARS,sd_TPR,0.300000,0.284790
TREX-DA: TLARS,Avg_L,0.300000,1.090000
TREX-DA: TLARS,Avg_T,0.300000,16.935000
TREX-DA: TLARS,FDR,0.350000,0.307655
TREX-DA: TLARS,sd_FDR,0.350000,0.196639
TREX-DA: TLARS,TPR,0.350000,0.780000
TREX-DA: TLARS,sd_TPR,0.350000,0.271234
TREX-DA: TLARS,Avg_L,0.350000,1.025000
TREX-DA: TLARS,Avg_T,0.350000,14.800000
TREX-DA: TLARS,FDR,0.400000,0.356800
TREX-DA: TLARS,sd_FDR,0.400000,0.214620
TREX-DA: TLARS,TPR,0.400000,0.781000
TREX-DA: TLARS,sd_TPR,0.400000,0.287493
TREX-DA: TLARS,Avg_L,0.400000,1.010000
TREX-DA: TLARS,Avg_T,0.400000,16.355000
TREX-DA: TLARS,FDR,0.450000,0.332542
TREX-DA: TLARS,sd_FDR,0.450000,0.162888
TREX-DA: TLARS,TPR,0.450000,0.919000
TREX-DA: TLARS,sd_TPR,0.450000,0.191369
TREX-DA: TLARS,Avg_L,0.450000,1.000000
TREX-DA: TLARS,Avg_T,0.450000,14.535000
TREX-DA: TLARS,FDR,0.500000,0.373456
TREX-DA: TLARS,sd_FDR,0.500000,0.142681
TREX-DA: TLARS,TPR,0.500000,0.936000
TREX-DA: TLARS,sd_TPR,0.500000,0.161351
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,17.540000
TREX-DA: TAFS,FDR,0.050000,0.070000
TREX-DA: TAFS,sd_FDR,0.050000,0.131053
TREX-DA: TAFS,TPR,0.050000,0.665000
TREX-DA: TAFS,sd_TPR,0.050000,0.289124
TREX-DA: TAFS,Avg_L,0.050000,4.950000
TREX-DA: TAFS,Avg_T,0.050000,7.815000
TREX-DA: TAFS,FDR,0.100000,0.061583
