solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.092583
TREX-DA: TLARS,sd_FDR,0.050000,0.186176
TREX-DA: TLARS,TPR,0.050000,0.496000
TREX-DA: TLARS,sd_TPR,0.050000,0.345515
TREX-DA: TLARS,Avg_L,0.050000,4.460000
TREX-DA: TLARS,Avg_T,0.050000,26.165000
TREX-DA: TLARS,FDR,0.100000,0.109167
TREX-DA: TLARS,sd_FDR,0.100000,0.189616
TREX-DA: TLARS,TPR,0.100000,0.526000
TREX-DA: TLARS,sd_TPR,0.100000,0.341036
TREX-DA: TLARS,Avg_L,0.100000,2.625000
TREX-DA: TLARS,Avg_T,0.100000,21.555000
TREX-DA: TLARS,FDR,0.150000,0.150345
TREX-DA: TLARS,sd_FDR,0.150000,0.230426
TREX-DA: TLARS,TPR,0.150000,0.485000
TREX-DA: TLARS,sd_TPR,0.150000,0.333965
TREX-DA: TLARS,Avg_L,0.150000,1.850000
TREX-DA: TLARS,Avg_T,0.150000,26.920000
TREX-DA: TLARS,FDR,0.200000,0.186375
TREX-DA: TLARS,sd_FDR,0.200000,0.239814
TREX-DA: TLARS,TPR,0.200000,0.653000
TREX-DA: TLARS,sd_TPR,0.200000,0.273799
TREX-DA: TLARS,Avg_L,0.200000,1.690000
TREX-DA: TLARS,Avg_T,0.200000,29.775000
TREX-DA: TLARS,FDR,0.250000,0.213286
TREX-DA: TLARS,sd_FDR,0.250000,0.250934
TREX-DA: TLARS,TPR,0.250000,0.626000
TREX-DA: TLARS,sd_TPR,0.250000,0.283063
TREX-DA: TLARS,Avg_L,0.250000,1.270000
TREX-DA: TLARS,Avg_T,0.250000,20.680000
TREX-DA: TLARS,FDR,0.300000,0.214929
TREX-DA: TLARS,sd_FDR,0.300000,0.231259
TREX-DA: TLARS,TPR,0.300000,0.676000
TREX-DA: TLARS,sd_TPR,0.300000,0.274592
TREX-DA: TLARS,Avg_L,0.300000,1.075000
TREX-DA: TLARS,Avg_T,0.300000,18.925000
TREX-DA: TLARS,FDR,0.350000,0.250911
TREX-DA: TLARS,sd_FDR,0.350000,0.261860
TREX-DA: TLARS,TPR,0.350000,0.736000
TREX-DA: TLARS,sd_TPR,0.350000,0.318135
TREX-DA: TLARS,Avg_L,0.350000,1.030000
TREX-DA: TLARS,Avg_T,0.350000,17.450000
TREX-DA: TLARS,FDR,0.400000,0.268829
TREX-DA: TLARS,sd_FDR,0.400000,0.226996
TREX-DA: TLARS,TPR,0.400000,0.793000
TREX-DA: TLARS,sd_TPR,0.400000,0.303002
TREX-DA: TLARS,Avg_L,0.400000,1.020000
TREX-DA: TLARS,Avg_T,0.400000,18.950000
TREX-DA: TLARS,FDR,0.450000,0.248616
TREX-DA: TLARS,sd_FDR,0.450000,0.187398
TREX-DA: TLARS,TPR,0.450000,0.904000
TREX-DA: TLARS,sd_TPR,0.450000,0.235502
TREX-DA: TLARS,Avg_L,0.450000,1.000000
TREX-DA: TLARS,Avg_T,0.450000,16.960000
TREX-DA: TLARS,FDR,0.500000,0.305018
TREX-DA: TLARS,sd_FDR,0.500000,0.134494
TREX-DA: TLARS,TPR,0.500000,0.962000
TREX-DA: TLARS,sd_TPR,0.500000,0.128993
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,18.590000
TREX-DA: TAFS,FDR,0.050000,0.054500
TREX-DA: TAFS,sd_FDR,0.050000,0.117349
TREX-DA: TAFS,TPR,0.050000,0.603000
TREX-DA: TAFS,sd_TPR,0.050000,0.309629
TREX-DA: TAFS,Avg_L,0.050000,4.820000
TREX-DA: TAFS,Avg_T,0.050000,7.815000
TREX-DA: TAFS,FDR,0.100000,0.062250
TREX-DA: TAFS,sd_FDR,0.100000,0.123648
TREX-DA: TAFS,TPR,0.100000,0.600000
TREX-DA: TAFS,sd_TPR,0.100000,0.315113
TREX-DA: TAFS,Avg_L,0.100000,2.695000
TREX-DA: TAFS,Avg_T,0.100000,7.665000
TREX-DA: TAFS,FDR,0.150000,0.098083
TREX-DA: TAFS,sd_FDR,0.150000,0.157372
TREX-DA: TAFS,TPR,0.150000,0.615000
TREX-DA: TAFS,sd_TPR,0.150000,0.295995
TREX-DA: TAFS,Avg_L,0.150000,1.925000
TREX-DA: TAFS,Avg_T,0.150000,7.745000
TREX-DA: TAFS,FDR,0.200000,0.097333
TREX-DA: TAFS,sd_FDR,0.200000,0.142282
TREX-DA: TAFS,TPR,0.200000,0.789000
TREX-DA: TAFS,sd_TPR,0.200000,0.194598
TREX-DA: TAFS,Avg_L,0.200000,1.785000
TREX-DA: TAFS,Avg_T,0.200000,7.755000
TREX-DA: TAFS,FDR,0.250000,0.133542
TREX-DA: TAFS,sd_FDR,0.250000,0.169771
TREX-DA: TAFS,TPR,0.250000,0.739000
TREX-DA: TAFS,sd_TPR,0.250000,0.211430
TREX-DA: TAFS,Avg_L,0.250000,1.300000
TREX-DA: TAFS,Avg_T,0.250000,7.595000
TREX-DA: TAFS,FDR,0.300000,0.158649
TREX-DA: TAFS,sd_FDR,0.300000,0.158924
TREX-DA: TAFS,TPR,0.300000,0.803000
TREX-DA: TAFS,sd_TPR,0.300000,0.200980
TREX-DA: TAFS,Avg_L,0.300000,1.080000
TREX-DA: TAFS,Avg_T,0.300000,7.540000
TREX-DA: TAFS,FDR,0.350000,0.165774
TREX-DA: TAFS,sd_FDR,0.350000,0.159063
TREX-DA: TAFS,TPR,0.350000,0.862000
TREX-DA: TAFS,sd_TPR,0.350000,0.214443
TREX-DA: TAFS,Avg_L,0.350000,1.020000
TREX-DA: TAFS,Avg_T,0.350000,7.400000
TREX-DA: TAFS,FDR,0.400000,0.180280
TREX-DA: TAFS,sd_FDR,0.400000,0.131135
TREX-DA: TAFS,TPR,0.400000,0.925000
TREX-DA: TAFS,sd_TPR,0.400000,0.160949
TREX-DA: TAFS,Avg_L,0.400000,1.000000
TREX-DA: TAFS,Avg_T,0.400000,7.565000
TREX-DA: TAFS,FDR,0.450000,0.190006
TREX-DA: TAFS,sd_FDR,0.450000,0.116787
TREX-DA: TAFS,TPR,0.450000,0.974000
TREX-DA: TAFS,sd_TPR,0.450000,0.083419
TREX-DA: TAFS,Avg_L,0.450000,1.005000
TREX-DA: TAFS,Avg_T,0.450000,7.545000
TREX-DA: TAFS,FDR,0.500000,0.225185
TREX-DA: TAFS,sd_FDR,0.500000,0.116482
TREX-DA: TAFS,TPR,0.500000,0.978000
TREX-DA: TAFS,sd_TPR,0.500000,0.071706
TREX-DA: TAFS,Avg_L,0.500000,1.000000
TREX-DA: TAFS,Avg_T,0.500000,7.655000
TREX-DA: TOMP,FDR,0.050000,0.046333
TREX-DA: TOMP,sd_FDR,0.050000,0.101691
TREX-DA: TOMP,TPR,0.050000,0.843000
TREX-DA: TOMP,sd_TPR,0.050000,0.295274
TREX-DA: TOMP,Avg_L,0.050000,5.165000
TREX-DA: TOMP,Avg_T,0.050000,7.905000
TREX-DA: TOMP,FDR,0.100000,0.037583
TREX-DA: TOMP,sd_FDR,0.100000,0.091134
TREX-DA: TOMP,TPR,0.100000,0.860000
TREX-DA: TOMP,sd_TPR,0.100000,0.290555
TREX-DA: TOMP,Avg_L,0.100000,2.865000
TREX-DA: TOMP,Avg_T,0.100000,7.780000
TREX-DA: TOMP,FDR,0.150000,0.051833
TREX-DA: TOMP,sd_FDR,0.150000,0.105380
TREX-DA: TOMP,TPR,0.150000,0.845000
TREX-DA: TOMP,sd_TPR,0.150000,0.303704
TREX-DA: TOMP,Avg_L,0.150000,1.925000
TREX-DA: TOMP,Avg_T,0.150000,7.745000
TREX-DA: TOMP,FDR,0.200000,0.056583
TREX-DA: TOMP,sd_FDR,0.200000,0.097797
TREX-DA: TOMP,TPR,0.200000,0.942000
TREX-DA: TOMP,sd_TPR,0.200000,0.107208
TREX-DA: TOMP,Avg_L,0.200000,1.885000
TREX-DA: TOMP,Avg_T,0.200000,7.845000
TREX-DA: TOMP,FDR,0.250000,0.055083
TREX-DA: TOMP,sd_FDR,0.250000,0.109287
TREX-DA: TOMP,TPR,0.250000,0.941000
TREX-DA: TOMP,sd_TPR,0.250000,0.114826
TREX-DA: TOMP,Avg_L,0.250000,1.480000
TREX-DA: TOMP,Avg_T,0.250000,7.630000
TREX-DA: TOMP,FDR,0.300000,0.073679
TREX-DA: TOMP,sd_FDR,0.300000,0.122693
TREX-DA: TOMP,TPR,0.300000,0.934000
TREX-DA: TOMP,sd_TPR,0.300000,0.122142
TREX-DA: TOMP,Avg_L,0.300000,1.040000
TREX-DA: TOMP,Avg_T,0.300000,7.500000
TREX-DA: TOMP,FDR,0.350000,0.075333
TREX-DA: TOMP,sd_FDR,0.350000,0.119240
TREX-DA: TOMP,TPR,0.350000,0.938000
TREX-DA: TOMP,sd_TPR,0.350000,0.127425
TREX-DA: TOMP,Avg_L,0.350000,1.030000
TREX-DA: TOMP,Avg_T,0.350000,7.700000
TREX-DA: TOMP,FDR,0.400000,0.091762
TREX-DA: TOMP,sd_FDR,0.400000,0.120807
TREX-DA: TOMP,TPR,0.400000,0.953000
TREX-DA: TOMP,sd_TPR,0.400000,0.107932
TREX-DA: TOMP,Avg_L,0.400000,1.010000
TREX-DA: TOMP,Avg_T,0.400000,7.770000
TREX-DA: TOMP,FDR,0.450000,0.092095
TREX-DA: TOMP,sd_FDR,0.450000,0.110952
TREX-DA: TOMP,TPR,0.450000,0.964000
TREX-DA: TOMP,sd_TPR,0.450000,0.084497
TREX-DA: TOMP,Avg_L,0.450000,1.010000
TREX-DA: TOMP,Avg_T,0.450000,7.870000
TREX-DA: TOMP,FDR,0.500000,0.128554
TREX-DA: TOMP,sd_FDR,0.500000,0.129356
TREX-DA: TOMP,TPR,0.500000,0.960000
TREX-DA: TOMP,sd_TPR,0.500000,0.098225
TREX-DA: TOMP,Avg_L,0.500000,1.000000
TREX-DA: TOMP,Avg_T,0.500000,7.885000
