solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.121667
TREX-DA: TLARS,sd_FDR,0.050000,0.181831
TREX-DA: TLARS,TPR,0.050000,0.593000
TREX-DA: TLARS,sd_TPR,0.050000,0.324155
TREX-DA: TLARS,Avg_L,0.050000,5.015000
TREX-DA: TLARS,Avg_T,0.050000,25.255000
TREX-DA: TLARS,FDR,0.100000,0.142417
TREX-DA: TLARS,sd_FDR,0.100000,0.182335
TREX-DA: TLARS,TPR,0.100000,0.578000
TREX-DA: TLARS,sd_TPR,0.100000,0.303937
TREX-DA: TLARS,Avg_L,0.100000,2.680000
TREX-DA: TLARS,Avg_T,0.100000,22.595000
TREX-DA: TLARS,FDR,0.150000,0.168107
TREX-DA: TLARS,sd_FDR,0.150000,0.198199
TREX-DA: TLARS,TPR,0.150000,0.657000
TREX-DA: TLARS,sd_TPR,0.150000,0.278097
TREX-DA: TLARS,Avg_L,0.150000,2.090000
TREX-DA: TLARS,Avg_T,0.150000,26.625000
TREX-DA: TLARS,FDR,0.200000,0.205958
TREX-DA: TLARS,sd_FDR,0.200000,0.231018
TREX-DA: TLARS,TPR,0.200000,0.683000
TREX-DA: TLARS,sd_TPR,0.200000,0.256985
TREX-DA: TLARS,Avg_L,0.200000,1.650000
TREX-DA: TLARS,Avg_T,0.200000,22.850000
TREX-DA: TLARS,FDR,0.250000,0.229690
TREX-DA: TLARS,sd_FDR,0.250000,0.229063
TREX-DA: TLARS,TPR,0.250000,0.709000
TREX-DA: TLARS,sd_TPR,0.250000,0.258171
TREX-DA: TLARS,Avg_L,0.250000,1.275000
TREX-DA: TLARS,Avg_T,0.250000,18.435000
TREX-DA: TLARS,FDR,0.300000,0.291904
TREX-DA: TLARS,sd_FDR,0.300000,0.224888
TREX-DA: TLARS,TPR,0.300000,0.694000
TREX-DA: TLARS,sd_TPR,0.300000,0.272646
TREX-DA: TLARS,Avg_L,0.300000,1.070000
TREX-DA: TLARS,Avg_T,0.300000,16.605000
TREX-DA: TLARS,FDR,0.350000,0.324444
TREX-DA: TLARS,sd_FDR,0.350000,0.212520
TREX-DA: TLARS,TPR,0.350000,0.739000
TREX-DA: TLARS,sd_TPR,0.350000,0.277966
TREX-DA: TLARS,Avg_L,0.350000,1.020000
TREX-DA: TLARS,Avg_T,0.350000,14.735000
TREX-DA: TLARS,FDR,0.400000,0.332281
TREX-DA: TLARS,sd_FDR,0.400000,0.206588
TREX-DA: TLARS,TPR,0.400000,0.830000
TREX-DA: TLARS,sd_TPR,0.400000,0.255787
TREX-DA: TLARS,Avg_L,0.400000,1.010000
TREX-DA: TLARS,Avg_T,0.400000,17.130000
TREX-DA: TLARS,FDR,0.450000,0.318927
TREX-DA: TLARS,sd_FDR,0.450000,0.171698
TREX-DA: TLARS,TPR,0.450000,0.917000
TREX-DA: TLARS,sd_TPR,0.450000,0.187314
TREX-DA: TLARS,Avg_L,0.450000,1.005000
TREX-DA: TLARS,Avg_T,0.450000,15.750000
TREX-DA: TLARS,FDR,0.500000,0.371536
TREX-DA: TLARS,sd_FDR,0.500000,0.142827
TREX-DA: TLARS,TPR,0.500000,0.936000
TREX-DA: TLARS,sd_TPR,0.500000,0.168660
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,18.185000
TREX-DA: TAFS,FDR,0.050000,0.070083
TREX-DA: TAFS,sd_FDR,0.050000,0.126669
TREX-DA: TAFS,TPR,0.050000,0.653000
TREX-DA: TAFS,sd_TPR,0.050000,0.280328
TREX-DA: TAFS,Avg_L,0.050000,5.105000
TREX-DA: TAFS,Avg_T,0.050000,7.665000
TREX-DA: TAFS,FDR,0.100000,0.076095
TREX-DA: TAFS,sd_FDR,0.100000,0.125362
TREX-DA: TAFS,TPR,0.100000,0.645000
TREX-DA: TAFS,sd_TPR,0.100000,0.287381
TREX-DA: TAFS,Avg_L,0.100000,2.725000
TREX-DA: TAFS,Avg_T,0.100000,7.740000
TREX-DA: TAFS,FDR,0.150000,0.108548
TREX-DA: TAFS,sd_FDR,0.150000,0.151084
TREX-DA: TAFS,TPR,0.150000,0.681000
