solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.081875
TREX-DA: TLARS,sd_FDR,0.100000,0.258927
TREX-DA: TLARS,TPR,0.100000,0.006500
TREX-DA: TLARS,sd_TPR,0.100000,0.028492
TREX-DA: TLARS,Avg_L,0.100000,1.810000
TREX-DA: TLARS,Avg_T,0.100000,9.145000
TREX-DA: TLARS,FDR,0.200000,0.196204
TREX-DA: TLARS,sd_FDR,0.200000,0.325563
TREX-DA: TLARS,TPR,0.200000,0.055000
TREX-DA: TLARS,sd_TPR,0.200000,0.098097
TREX-DA: TLARS,Avg_L,0.200000,2.275000
TREX-DA: TLARS,Avg_T,0.200000,6.590000
TREX-DA: TLARS,FDR,0.500000,0.396999
TREX-DA: TLARS,sd_FDR,0.500000,0.242113
TREX-DA: TLARS,TPR,0.500000,0.421000
TREX-DA: TLARS,sd_TPR,0.500000,0.211382
TREX-DA: TLARS,Avg_L,0.500000,2.210000
TREX-DA: TLARS,Avg_T,0.500000,12.280000
TREX-DA: TLARS,FDR,1.000000,0.402754
TREX-DA: TLARS,sd_FDR,1.000000,0.163851
TREX-DA: TLARS,TPR,1.000000,0.731000
TREX-DA: TLARS,sd_TPR,1.000000,0.158317
TREX-DA: TLARS,Avg_L,1.000000,1.405000
TREX-DA: TLARS,Avg_T,1.000000,13.010000
TREX-DA: TLARS,FDR,2.000000,0.389704
TREX-DA: TLARS,sd_FDR,2.000000,0.156237
TREX-DA: TLARS,TPR,2.000000,0.835000
TREX-DA: TLARS,sd_TPR,2.000000,0.165566
TREX-DA: TLARS,Avg_L,2.000000,1.070000
TREX-DA: TLARS,Avg_T,2.000000,8.585000
TREX-DA: TLARS,FDR,5.000000,0.367084
TREX-DA: TLARS,sd_FDR,5.000000,0.171352
TREX-DA: TLARS,TPR,5.000000,0.843500
TREX-DA: TLARS,sd_TPR,5.000000,0.153216
TREX-DA: TLARS,Avg_L,5.000000,1.005000
TREX-DA: TLARS,Avg_T,5.000000,7.110000
TREX-DA: TAFS,FDR,0.100000,0.069167
TREX-DA: TAFS,sd_FDR,0.100000,0.244583
TREX-DA: TAFS,TPR,0.100000,0.006000
TREX-DA: TAFS,sd_TPR,0.100000,0.027710
TREX-DA: TAFS,Avg_L,0.100000,1.825000
TREX-DA: TAFS,Avg_T,0.100000,6.205000
TREX-DA: TAFS,FDR,0.200000,0.137250
TREX-DA: TAFS,sd_FDR,0.200000,0.300298
TREX-DA: TAFS,TPR,0.200000,0.035500
TREX-DA: TAFS,sd_TPR,0.200000,0.067918
TREX-DA: TAFS,Avg_L,0.200000,2.490000
TREX-DA: TAFS,Avg_T,0.200000,5.595000
TREX-DA: TAFS,FDR,0.500000,0.180500
TREX-DA: TAFS,sd_FDR,0.500000,0.190629
TREX-DA: TAFS,TPR,0.500000,0.322500
TREX-DA: TAFS,sd_TPR,0.500000,0.178333
TREX-DA: TAFS,Avg_L,0.500000,2.695000
TREX-DA: TAFS,Avg_T,0.500000,6.020000
TREX-DA: TAFS,FDR,1.000000,0.118643
TREX-DA: TAFS,sd_FDR,1.000000,0.113803
TREX-DA: TAFS,TPR,1.000000,0.771000
TREX-DA: TAFS,sd_TPR,1.000000,0.168526
TREX-DA: TAFS,Avg_L,1.000000,1.605000
TREX-DA: TAFS,Avg_T,1.000000,6.335000
TREX-DA: TAFS,FDR,2.000000,0.084180
TREX-DA: TAFS,sd_FDR,2.000000,0.069457
TREX-DA: TAFS,TPR,2.000000,0.963500
TREX-DA: TAFS,sd_TPR,2.000000,0.089205
TREX-DA: TAFS,Avg_L,2.000000,1.040000
TREX-DA: TAFS,Avg_T,2.000000,6.835000
TREX-DA: TAFS,FDR,5.000000,0.117908
TREX-DA: TAFS,sd_FDR,5.000000,0.062769
TREX-DA: TAFS,TPR,5.000000,0.966000
TREX-DA: TAFS,sd_TPR,5.000000,0.077291
TREX-DA: TAFS,Avg_L,5.000000,1.000000
TREX-DA: TAFS,Avg_T,5.000000,6.910000
TREX-DA: TOMP,FDR,0.100000,0.065000
TREX-DA: TOMP,sd_FDR,0.100000,0.247144
TREX-DA: TOMP,TPR,0.100000,0.004000
TREX-DA: TOMP,sd_TPR,0.100000,0.024227
TREX-DA: TOMP,Avg_L,0.100000,1.820000
TREX-DA: TOMP,Avg_T,0.100000,7.290000
TREX-DA: TOMP,FDR,0.200000,0.100000
TREX-DA: TOMP,sd_FDR,0.200000,0.273019
TREX-DA: TOMP,TPR,0.200000,0.021000
TREX-DA: TOMP,sd_TPR,0.200000,0.051695
TREX-DA: TOMP,Avg_L,0.200000,2.420000
TREX-DA: TOMP,Avg_T,0.200000,6.945000
TREX-DA: TOMP,FDR,0.500000,0.128155
TREX-DA: TOMP,sd_FDR,0.500000,0.199602
TREX-DA: TOMP,TPR,0.500000,0.239500
TREX-DA: TOMP,sd_TPR,0.500000,0.152334
TREX-DA: TOMP,Avg_L,0.500000,2.905000
TREX-DA: TOMP,Avg_T,0.500000,6.955000
TREX-DA: TOMP,FDR,1.000000,0.086074
TREX-DA: TOMP,sd_FDR,1.000000,0.110287
TREX-DA: TOMP,TPR,1.000000,0.702000
TREX-DA: TOMP,sd_TPR,1.000000,0.192304
TREX-DA: TOMP,Avg_L,1.000000,1.805000
TREX-DA: TOMP,Avg_T,1.000000,6.570000
TREX-DA: TOMP,FDR,2.000000,0.057806
TREX-DA: TOMP,sd_FDR,2.000000,0.063813
TREX-DA: TOMP,TPR,2.000000,0.971500
TREX-DA: TOMP,sd_TPR,2.000000,0.083502
TREX-DA: TOMP,Avg_L,2.000000,1.030000
TREX-DA: TOMP,Avg_T,2.000000,7.200000
TREX-DA: TOMP,FDR,5.000000,0.059616
TREX-DA: TOMP,sd_FDR,5.000000,0.055699
TREX-DA: TOMP,TPR,5.000000,0.987500
TREX-DA: TOMP,sd_TPR,5.000000,0.051057
TREX-DA: TOMP,Avg_L,5.000000,1.015000
TREX-DA: TOMP,Avg_T,5.000000,7.680000
