solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.030000
TREX-DA: TLARS,sd_FDR,1.000000,0.119041
TREX-DA: TLARS,TPR,1.000000,0.800000
TREX-DA: TLARS,sd_TPR,1.000000,0.401004
TREX-DA: TLARS,Avg_L,1.000000,4.215000
TREX-DA: TLARS,Avg_T,1.000000,26.105000
TREX-DA: TLARS,FDR,3.000000,0.047107
TREX-DA: TLARS,sd_FDR,3.000000,0.119607
TREX-DA: TLARS,TPR,3.000000,0.808333
TREX-DA: TLARS,sd_TPR,3.000000,0.227720
TREX-DA: TLARS,Avg_L,3.000000,2.130000
TREX-DA: TLARS,Avg_T,3.000000,18.140000
TREX-DA: TLARS,FDR,5.000000,0.063899
TREX-DA: TLARS,sd_FDR,5.000000,0.120864
TREX-DA: TLARS,TPR,5.000000,0.773000
TREX-DA: TLARS,sd_TPR,5.000000,0.219343
TREX-DA: TLARS,Avg_L,5.000000,1.805000
TREX-DA: TLARS,Avg_T,5.000000,12.900000
TREX-DA: TLARS,FDR,10.000000,0.169439
TREX-DA: TLARS,sd_FDR,10.000000,0.182132
TREX-DA: TLARS,TPR,10.000000,0.386000
TREX-DA: TLARS,sd_TPR,10.000000,0.192325
TREX-DA: TLARS,Avg_L,10.000000,2.495000
TREX-DA: TLARS,Avg_T,10.000000,6.260000
TREX-DA: TLARS,FDR,15.000000,0.159403
TREX-DA: TLARS,sd_FDR,15.000000,0.215497
TREX-DA: TLARS,TPR,15.000000,0.180000
TREX-DA: TLARS,sd_TPR,15.000000,0.134501
TREX-DA: TLARS,Avg_L,15.000000,2.995000
TREX-DA: TLARS,Avg_T,15.000000,5.685000
TREX-DA: TLARS,FDR,20.000000,0.207240
TREX-DA: TLARS,sd_FDR,20.000000,0.287608
TREX-DA: TLARS,TPR,20.000000,0.078500
TREX-DA: TLARS,sd_TPR,20.000000,0.088612
TREX-DA: TLARS,Avg_L,20.000000,3.025000
TREX-DA: TLARS,Avg_T,20.000000,5.470000
TREX-DA: TLARS,FDR,30.000000,0.149210
TREX-DA: TLARS,sd_FDR,30.000000,0.275691
TREX-DA: TLARS,TPR,30.000000,0.032667
TREX-DA: TLARS,sd_TPR,30.000000,0.048651
TREX-DA: TLARS,Avg_L,30.000000,3.110000
TREX-DA: TLARS,Avg_T,30.000000,4.865000
TREX-DA: TAFS,FDR,1.000000,0.032500
TREX-DA: TAFS,sd_FDR,1.000000,0.174200
TREX-DA: TAFS,TPR,1.000000,0.010000
TREX-DA: TAFS,sd_TPR,1.000000,0.099748
TREX-DA: TAFS,Avg_L,1.000000,1.160000
TREX-DA: TAFS,Avg_T,1.000000,7.065000
TREX-DA: TAFS,FDR,3.000000,0.029167
TREX-DA: TAFS,sd_FDR,3.000000,0.094425
TREX-DA: TAFS,TPR,3.000000,0.673333
TREX-DA: TAFS,sd_TPR,3.000000,0.188917
TREX-DA: TAFS,Avg_L,3.000000,2.115000
TREX-DA: TAFS,Avg_T,3.000000,7.325000
TREX-DA: TAFS,FDR,5.000000,0.083583
TREX-DA: TAFS,sd_FDR,5.000000,0.125129
TREX-DA: TAFS,TPR,5.000000,0.886000
TREX-DA: TAFS,sd_TPR,5.000000,0.154673
TREX-DA: TAFS,Avg_L,5.000000,1.535000
TREX-DA: TAFS,Avg_T,5.000000,6.710000
TREX-DA: TAFS,FDR,10.000000,0.164126
TREX-DA: TAFS,sd_FDR,10.000000,0.170811
TREX-DA: TAFS,TPR,10.000000,0.529500
TREX-DA: TAFS,sd_TPR,10.000000,0.241394
TREX-DA: TAFS,Avg_L,10.000000,1.845000
TREX-DA: TAFS,Avg_T,10.000000,6.395000
TREX-DA: TAFS,FDR,15.000000,0.155098
TREX-DA: TAFS,sd_FDR,15.000000,0.203306
TREX-DA: TAFS,TPR,15.000000,0.199000
TREX-DA: TAFS,sd_TPR,15.000000,0.147864
TREX-DA: TAFS,Avg_L,15.000000,2.540000
TREX-DA: TAFS,Avg_T,15.000000,6.130000
TREX-DA: TAFS,FDR,20.000000,0.201268
TREX-DA: TAFS,sd_FDR,20.000000,0.286126
TREX-DA: TAFS,TPR,20.000000,0.079750
TREX-DA: TAFS,sd_TPR,20.000000,0.082684
TREX-DA: TAFS,Avg_L,20.000000,2.995000
TREX-DA: TAFS,Avg_T,20.000000,5.660000
TREX-DA: TAFS,FDR,30.000000,0.164583
TREX-DA: TAFS,sd_FDR,30.000000,0.315792
TREX-DA: TAFS,TPR,30.000000,0.022667
TREX-DA: TAFS,sd_TPR,30.000000,0.035327
TREX-DA: TAFS,Avg_L,30.000000,2.965000
TREX-DA: TAFS,Avg_T,30.000000,4.770000
TREX-DA: TOMP,FDR,1.000000,0.020833
TREX-DA: TOMP,sd_FDR,1.000000,0.102913
TREX-DA: TOMP,TPR,1.000000,0.995000
TREX-DA: TOMP,sd_TPR,1.000000,0.070711
TREX-DA: TOMP,Avg_L,1.000000,4.885000
TREX-DA: TOMP,Avg_T,1.000000,7.950000
TREX-DA: TOMP,FDR,3.000000,0.037000
TREX-DA: TOMP,sd_FDR,3.000000,0.096276
TREX-DA: TOMP,TPR,3.000000,0.988333
TREX-DA: TOMP,sd_TPR,3.000000,0.069917
TREX-DA: TOMP,Avg_L,3.000000,2.005000
TREX-DA: TOMP,Avg_T,3.000000,7.825000
TREX-DA: TOMP,FDR,5.000000,0.058738
TREX-DA: TOMP,sd_FDR,5.000000,0.102024
TREX-DA: TOMP,TPR,5.000000,0.945000
TREX-DA: TOMP,sd_TPR,5.000000,0.115070
TREX-DA: TOMP,Avg_L,5.000000,1.155000
TREX-DA: TOMP,Avg_T,5.000000,6.975000
TREX-DA: TOMP,FDR,10.000000,0.166135
TREX-DA: TOMP,sd_FDR,10.000000,0.195221
TREX-DA: TOMP,TPR,10.000000,0.516500
TREX-DA: TOMP,sd_TPR,10.000000,0.260610
TREX-DA: TOMP,Avg_L,10.000000,1.580000
TREX-DA: TOMP,Avg_T,10.000000,6.295000
TREX-DA: TOMP,FDR,15.000000,0.146903
TREX-DA: TOMP,sd_FDR,15.000000,0.228210
TREX-DA: TOMP,TPR,15.000000,0.150000
TREX-DA: TOMP,sd_TPR,15.000000,0.129035
TREX-DA: TOMP,Avg_L,15.000000,2.655000
TREX-DA: TOMP,Avg_T,15.000000,6.965000
TREX-DA: TOMP,FDR,20.000000,0.222524
TREX-DA: TOMP,sd_FDR,20.000000,0.341724
TREX-DA: TOMP,TPR,20.000000,0.054250
TREX-DA: TOMP,sd_TPR,20.000000,0.063952
TREX-DA: TOMP,Avg_L,20.000000,3.005000
TREX-DA: TOMP,Avg_T,20.000000,6.715000
TREX-DA: TOMP,FDR,30.000000,0.148667
TREX-DA: TOMP,sd_FDR,30.000000,0.303811
TREX-DA: TOMP,TPR,30.000000,0.019833
TREX-DA: TOMP,sd_TPR,30.000000,0.029342
TREX-DA: TOMP,Avg_L,30.000000,3.210000
TREX-DA: TOMP,Avg_T,30.000000,6.850000
