solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.027500
TREX-DA: TLARS,sd_FDR,1.000000,0.134477
TREX-DA: TLARS,TPR,1.000000,0.810000
TREX-DA: TLARS,sd_TPR,1.000000,0.393285
TREX-DA: TLARS,Avg_L,1.000000,4.260000
TREX-DA: TLARS,Avg_T,1.000000,25.535000
TREX-DA: TLARS,FDR,3.000000,0.058274
TREX-DA: TLARS,sd_FDR,3.000000,0.127552
TREX-DA: TLARS,TPR,3.000000,0.820000
TREX-DA: TLARS,sd_TPR,3.000000,0.223769
TREX-DA: TLARS,Avg_L,3.000000,2.100000
TREX-DA: TLARS,Avg_T,3.000000,15.275000
TREX-DA: TLARS,FDR,5.000000,0.084278
TREX-DA: TLARS,sd_FDR,5.000000,0.135772
TREX-DA: TLARS,TPR,5.000000,0.784000
TREX-DA: TLARS,sd_TPR,5.000000,0.206780
TREX-DA: TLARS,Avg_L,5.000000,1.850000
TREX-DA: TLARS,Avg_T,5.000000,11.310000
TREX-DA: TLARS,FDR,10.000000,0.177439
TREX-DA: TLARS,sd_FDR,10.000000,0.195832
TREX-DA: TLARS,TPR,10.000000,0.384500
TREX-DA: TLARS,sd_TPR,10.000000,0.199521
TREX-DA: TLARS,Avg_L,10.000000,2.340000
TREX-DA: TLARS,Avg_T,10.000000,6.070000
TREX-DA: TLARS,FDR,15.000000,0.180220
TREX-DA: TLARS,sd_FDR,15.000000,0.231414
TREX-DA: TLARS,TPR,15.000000,0.182333
TREX-DA: TLARS,sd_TPR,15.000000,0.140904
TREX-DA: TLARS,Avg_L,15.000000,3.050000
TREX-DA: TLARS,Avg_T,15.000000,6.195000
TREX-DA: TLARS,FDR,20.000000,0.206181
TREX-DA: TLARS,sd_FDR,20.000000,0.289012
TREX-DA: TLARS,TPR,20.000000,0.085250
TREX-DA: TLARS,sd_TPR,20.000000,0.092942
TREX-DA: TLARS,Avg_L,20.000000,3.145000
TREX-DA: TLARS,Avg_T,20.000000,6.595000
TREX-DA: TLARS,FDR,30.000000,0.163526
TREX-DA: TLARS,sd_FDR,30.000000,0.284032
TREX-DA: TLARS,TPR,30.000000,0.032333
TREX-DA: TLARS,sd_TPR,30.000000,0.046534
TREX-DA: TLARS,Avg_L,30.000000,3.040000
TREX-DA: TLARS,Avg_T,30.000000,4.615000
TREX-DA: TAFS,FDR,1.000000,0.072500
TREX-DA: TAFS,sd_FDR,1.000000,0.252612
TREX-DA: TAFS,TPR,1.000000,0.030000
TREX-DA: TAFS,sd_TPR,1.000000,0.171015
TREX-DA: TAFS,Avg_L,1.000000,1.340000
TREX-DA: TAFS,Avg_T,1.000000,6.880000
TREX-DA: TAFS,FDR,3.000000,0.043333
TREX-DA: TAFS,sd_FDR,3.000000,0.110504
TREX-DA: TAFS,TPR,3.000000,0.683333
TREX-DA: TAFS,sd_TPR,3.000000,0.191237
TREX-DA: TAFS,Avg_L,3.000000,2.100000
TREX-DA: TAFS,Avg_T,3.000000,7.345000
