solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.020000
TREX-DA: TLARS,sd_FDR,1.000000,0.110276
TREX-DA: TLARS,TPR,1.000000,0.805000
TREX-DA: TLARS,sd_TPR,1.000000,0.397195
TREX-DA: TLARS,Avg_L,1.000000,4.265000
TREX-DA: TLARS,Avg_T,1.000000,27.265000
TREX-DA: TLARS,FDR,3.000000,0.012417
TREX-DA: TLARS,sd_FDR,3.000000,0.061844
TREX-DA: TLARS,TPR,3.000000,0.806667
TREX-DA: TLARS,sd_TPR,3.000000,0.246381
TREX-DA: TLARS,Avg_L,3.000000,2.150000
TREX-DA: TLARS,Avg_T,3.000000,22.390000
TREX-DA: TLARS,FDR,5.000000,0.028750
TREX-DA: TLARS,sd_FDR,5.000000,0.078547
TREX-DA: TLARS,TPR,5.000000,0.763000
TREX-DA: TLARS,sd_TPR,5.000000,0.246444
TREX-DA: TLARS,Avg_L,5.000000,1.945000
TREX-DA: TLARS,Avg_T,5.000000,21.380000
TREX-DA: TLARS,FDR,10.000000,0.095972
TREX-DA: TLARS,sd_FDR,10.000000,0.153841
TREX-DA: TLARS,TPR,10.000000,0.341500
TREX-DA: TLARS,sd_TPR,10.000000,0.197796
TREX-DA: TLARS,Avg_L,10.000000,2.540000
TREX-DA: TLARS,Avg_T,10.000000,5.995000
TREX-DA: TLARS,FDR,15.000000,0.129562
TREX-DA: TLARS,sd_FDR,15.000000,0.204377
TREX-DA: TLARS,TPR,15.000000,0.163667
TREX-DA: TLARS,sd_TPR,15.000000,0.133299
TREX-DA: TLARS,Avg_L,15.000000,2.955000
TREX-DA: TLARS,Avg_T,15.000000,5.325000
TREX-DA: TLARS,FDR,20.000000,0.175853
TREX-DA: TLARS,sd_FDR,20.000000,0.274731
TREX-DA: TLARS,TPR,20.000000,0.075250
TREX-DA: TLARS,sd_TPR,20.000000,0.085507
TREX-DA: TLARS,Avg_L,20.000000,3.070000
TREX-DA: TLARS,Avg_T,20.000000,6.150000
TREX-DA: TLARS,FDR,30.000000,0.136091
TREX-DA: TLARS,sd_FDR,30.000000,0.261914
TREX-DA: TLARS,TPR,30.000000,0.033667
TREX-DA: TLARS,sd_TPR,30.000000,0.049225
TREX-DA: TLARS,Avg_L,30.000000,3.060000
TREX-DA: TLARS,Avg_T,30.000000,5.160000
TREX-DA: TAFS,FDR,1.000000,0.005000
TREX-DA: TAFS,sd_FDR,1.000000,0.070711
TREX-DA: TAFS,TPR,1.000000,0.000000
TREX-DA: TAFS,sd_TPR,1.000000,0.000000
TREX-DA: TAFS,Avg_L,1.000000,1.055000
TREX-DA: TAFS,Avg_T,1.000000,7.155000
TREX-DA: TAFS,FDR,3.000000,0.014500
TREX-DA: TAFS,sd_FDR,3.000000,0.073542
TREX-DA: TAFS,TPR,3.000000,0.646667
TREX-DA: TAFS,sd_TPR,3.000000,0.228216
TREX-DA: TAFS,Avg_L,3.000000,2.110000
TREX-DA: TAFS,Avg_T,3.000000,7.445000
TREX-DA: TAFS,FDR,5.000000,0.053929
TREX-DA: TAFS,sd_FDR,5.000000,0.101949
TREX-DA: TAFS,TPR,5.000000,0.882000
TREX-DA: TAFS,sd_TPR,5.000000,0.175012
TREX-DA: TAFS,Avg_L,5.000000,1.675000
TREX-DA: TAFS,Avg_T,5.000000,6.280000
TREX-DA: TAFS,FDR,10.000000,0.141652
TREX-DA: TAFS,sd_FDR,10.000000,0.174894
TREX-DA: TAFS,TPR,10.000000,0.515000
TREX-DA: TAFS,sd_TPR,10.000000,0.233339
TREX-DA: TAFS,Avg_L,10.000000,1.990000
TREX-DA: TAFS,Avg_T,10.000000,6.525000
TREX-DA: TAFS,FDR,15.000000,0.138205
TREX-DA: TAFS,sd_FDR,15.000000,0.201152
TREX-DA: TAFS,TPR,15.000000,0.184333
TREX-DA: TAFS,sd_TPR,15.000000,0.150484
TREX-DA: TAFS,Avg_L,15.000000,2.605000
TREX-DA: TAFS,Avg_T,15.000000,6.450000
TREX-DA: TAFS,FDR,20.000000,0.199488
TREX-DA: TAFS,sd_FDR,20.000000,0.297762
TREX-DA: TAFS,TPR,20.000000,0.070000
TREX-DA: TAFS,sd_TPR,20.000000,0.076184
TREX-DA: TAFS,Avg_L,20.000000,3.000000
TREX-DA: TAFS,Avg_T,20.000000,5.500000
TREX-DA: TAFS,FDR,30.000000,0.131815
TREX-DA: TAFS,sd_FDR,30.000000,0.270957
TREX-DA: TAFS,TPR,30.000000,0.025000
TREX-DA: TAFS,sd_TPR,30.000000,0.038065
TREX-DA: TAFS,Avg_L,30.000000,3.020000
TREX-DA: TAFS,Avg_T,30.000000,5.055000
TREX-DA: TOMP,FDR,1.000000,0.007500
TREX-DA: TOMP,sd_FDR,1.000000,0.060929
TREX-DA: TOMP,TPR,1.000000,0.995000
TREX-DA: TOMP,sd_TPR,1.000000,0.070711
TREX-DA: TOMP,Avg_L,1.000000,4.920000
TREX-DA: TOMP,Avg_T,1.000000,7.560000
TREX-DA: TOMP,FDR,3.000000,0.020000
TREX-DA: TOMP,sd_FDR,3.000000,0.075300
TREX-DA: TOMP,TPR,3.000000,0.986667
TREX-DA: TOMP,sd_TPR,3.000000,0.073517
TREX-DA: TOMP,Avg_L,3.000000,2.110000
TREX-DA: TOMP,Avg_T,3.000000,7.815000
TREX-DA: TOMP,FDR,5.000000,0.050643
TREX-DA: TOMP,sd_FDR,5.000000,0.098853
TREX-DA: TOMP,TPR,5.000000,0.942000
TREX-DA: TOMP,sd_TPR,5.000000,0.129304
TREX-DA: TOMP,Avg_L,5.000000,1.395000
TREX-DA: TOMP,Avg_T,5.000000,6.455000
TREX-DA: TOMP,FDR,10.000000,0.136516
TREX-DA: TOMP,sd_FDR,10.000000,0.169993
TREX-DA: TOMP,TPR,10.000000,0.502000
TREX-DA: TOMP,sd_TPR,10.000000,0.271782
TREX-DA: TOMP,Avg_L,10.000000,1.790000
TREX-DA: TOMP,Avg_T,10.000000,6.450000
TREX-DA: TOMP,FDR,15.000000,0.144982
TREX-DA: TOMP,sd_FDR,15.000000,0.218576
TREX-DA: TOMP,TPR,15.000000,0.148000
TREX-DA: TOMP,sd_TPR,15.000000,0.124885
TREX-DA: TOMP,Avg_L,15.000000,2.735000
TREX-DA: TOMP,Avg_T,15.000000,6.515000
TREX-DA: TOMP,FDR,20.000000,0.210750
TREX-DA: TOMP,sd_FDR,20.000000,0.339174
TREX-DA: TOMP,TPR,20.000000,0.057000
TREX-DA: TOMP,sd_TPR,20.000000,0.062010
TREX-DA: TOMP,Avg_L,20.000000,3.035000
TREX-DA: TOMP,Avg_T,20.000000,6.735000
TREX-DA: TOMP,FDR,30.000000,0.136500
TREX-DA: TOMP,sd_FDR,30.000000,0.297249
