solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.094167
TREX-DA: TLARS,sd_FDR,1.000000,0.216939
TREX-DA: TLARS,TPR,1.000000,0.790000
TREX-DA: TLARS,sd_TPR,1.000000,0.408330
TREX-DA: TLARS,Avg_L,1.000000,3.890000
TREX-DA: TLARS,Avg_T,1.000000,23.655000
TREX-DA: TLARS,FDR,3.000000,0.052083
TREX-DA: TLARS,sd_FDR,3.000000,0.134043
TREX-DA: TLARS,TPR,3.000000,0.781667
TREX-DA: TLARS,sd_TPR,3.000000,0.266494
TREX-DA: TLARS,Avg_L,3.000000,2.160000
TREX-DA: TLARS,Avg_T,3.000000,21.770000
TREX-DA: TLARS,FDR,5.000000,0.042976
TREX-DA: TLARS,sd_FDR,5.000000,0.117313
TREX-DA: TLARS,TPR,5.000000,0.764000
TREX-DA: TLARS,sd_TPR,5.000000,0.224848
TREX-DA: TLARS,Avg_L,5.000000,1.865000
TREX-DA: TLARS,Avg_T,5.000000,18.420000
TREX-DA: TLARS,FDR,10.000000,0.111175
TREX-DA: TLARS,sd_FDR,10.000000,0.161599
TREX-DA: TLARS,TPR,10.000000,0.400000
TREX-DA: TLARS,sd_TPR,10.000000,0.219410
TREX-DA: TLARS,Avg_L,10.000000,2.305000
TREX-DA: TLARS,Avg_T,10.000000,6.800000
TREX-DA: TLARS,FDR,15.000000,0.108540
TREX-DA: TLARS,sd_FDR,15.000000,0.171871
TREX-DA: TLARS,TPR,15.000000,0.203667
TREX-DA: TLARS,sd_TPR,15.000000,0.152727
TREX-DA: TLARS,Avg_L,15.000000,2.815000
TREX-DA: TLARS,Avg_T,15.000000,5.930000
TREX-DA: TLARS,FDR,20.000000,0.179595
TREX-DA: TLARS,sd_FDR,20.000000,0.286070
TREX-DA: TLARS,TPR,20.000000,0.082500
TREX-DA: TLARS,sd_TPR,20.000000,0.100094
TREX-DA: TLARS,Avg_L,20.000000,2.800000
TREX-DA: TLARS,Avg_T,20.000000,5.735000
TREX-DA: TLARS,FDR,30.000000,0.179173
TREX-DA: TLARS,sd_FDR,30.000000,0.298821
TREX-DA: TLARS,TPR,30.000000,0.037333
TREX-DA: TLARS,sd_TPR,30.000000,0.051614
TREX-DA: TLARS,Avg_L,30.000000,2.855000
TREX-DA: TLARS,Avg_T,30.000000,5.940000
TREX-DA: TAFS,FDR,1.000000,0.107500
TREX-DA: TAFS,sd_FDR,1.000000,0.308496
TREX-DA: TAFS,TPR,1.000000,0.005000
TREX-DA: TAFS,sd_TPR,1.000000,0.070711
TREX-DA: TAFS,Avg_L,1.000000,1.325000
TREX-DA: TAFS,Avg_T,1.000000,6.350000
TREX-DA: TAFS,FDR,3.000000,0.041583
TREX-DA: TAFS,sd_FDR,3.000000,0.106699
TREX-DA: TAFS,TPR,3.000000,0.671667
TREX-DA: TAFS,sd_TPR,3.000000,0.239760
TREX-DA: TAFS,Avg_L,3.000000,2.020000
TREX-DA: TAFS,Avg_T,3.000000,6.705000
TREX-DA: TAFS,FDR,5.000000,0.076786
TREX-DA: TAFS,sd_FDR,5.000000,0.138668
TREX-DA: TAFS,TPR,5.000000,0.863000
TREX-DA: TAFS,sd_TPR,5.000000,0.200078
TREX-DA: TAFS,Avg_L,5.000000,1.605000
TREX-DA: TAFS,Avg_T,5.000000,6.555000
TREX-DA: TAFS,FDR,10.000000,0.141282
TREX-DA: TAFS,sd_FDR,10.000000,0.154669
TREX-DA: TAFS,TPR,10.000000,0.596500
TREX-DA: TAFS,sd_TPR,10.000000,0.287491
TREX-DA: TAFS,Avg_L,10.000000,1.760000
TREX-DA: TAFS,Avg_T,10.000000,6.160000
TREX-DA: TAFS,FDR,15.000000,0.162785
TREX-DA: TAFS,sd_FDR,15.000000,0.214778
TREX-DA: TAFS,TPR,15.000000,0.267000
TREX-DA: TAFS,sd_TPR,15.000000,0.188147
TREX-DA: TAFS,Avg_L,15.000000,2.555000
TREX-DA: TAFS,Avg_T,15.000000,7.060000
TREX-DA: TAFS,FDR,20.000000,0.200748
TREX-DA: TAFS,sd_FDR,20.000000,0.274632
TREX-DA: TAFS,TPR,20.000000,0.094500
TREX-DA: TAFS,sd_TPR,20.000000,0.097814
TREX-DA: TAFS,Avg_L,20.000000,2.795000
TREX-DA: TAFS,Avg_T,20.000000,6.205000
TREX-DA: TAFS,FDR,30.000000,0.176048
TREX-DA: TAFS,sd_FDR,30.000000,0.309903
TREX-DA: TAFS,TPR,30.000000,0.032000
TREX-DA: TAFS,sd_TPR,30.000000,0.041313
TREX-DA: TAFS,Avg_L,30.000000,2.970000
TREX-DA: TAFS,Avg_T,30.000000,5.655000
TREX-DA: TOMP,FDR,1.000000,0.109167
TREX-DA: TOMP,sd_FDR,1.000000,0.209755
TREX-DA: TOMP,TPR,1.000000,0.975000
TREX-DA: TOMP,sd_TPR,1.000000,0.156517
TREX-DA: TOMP,Avg_L,1.000000,4.395000
TREX-DA: TOMP,Avg_T,1.000000,7.565000
TREX-DA: TOMP,FDR,3.000000,0.073250
TREX-DA: TOMP,sd_FDR,3.000000,0.130860
TREX-DA: TOMP,TPR,3.000000,0.986667
TREX-DA: TOMP,sd_TPR,3.000000,0.080756
TREX-DA: TOMP,Avg_L,3.000000,2.100000
TREX-DA: TOMP,Avg_T,3.000000,7.645000
TREX-DA: TOMP,FDR,5.000000,0.080369
TREX-DA: TOMP,sd_FDR,5.000000,0.121214
TREX-DA: TOMP,TPR,5.000000,0.931000
TREX-DA: TOMP,sd_TPR,5.000000,0.153482
TREX-DA: TOMP,Avg_L,5.000000,1.350000
TREX-DA: TOMP,Avg_T,5.000000,6.270000
TREX-DA: TOMP,FDR,10.000000,0.160214
TREX-DA: TOMP,sd_FDR,10.000000,0.184163
TREX-DA: TOMP,TPR,10.000000,0.577000
TREX-DA: TOMP,sd_TPR,10.000000,0.294115
TREX-DA: TOMP,Avg_L,10.000000,1.730000
TREX-DA: TOMP,Avg_T,10.000000,6.045000
TREX-DA: TOMP,FDR,15.000000,0.199449
TREX-DA: TOMP,sd_FDR,15.000000,0.272580
TREX-DA: TOMP,TPR,15.000000,0.195667
TREX-DA: TOMP,sd_TPR,15.000000,0.160829
TREX-DA: TOMP,Avg_L,15.000000,2.530000
TREX-DA: TOMP,Avg_T,15.000000,6.910000
TREX-DA: TOMP,FDR,20.000000,0.212907
TREX-DA: TOMP,sd_FDR,20.000000,0.320792
TREX-DA: TOMP,TPR,20.000000,0.068500
TREX-DA: TOMP,sd_TPR,20.000000,0.078188
TREX-DA: TOMP,Avg_L,20.000000,2.780000
TREX-DA: TOMP,Avg_T,20.000000,6.560000
TREX-DA: TOMP,FDR,30.000000,0.177667
TREX-DA: TOMP,sd_FDR,30.000000,0.320827
TREX-DA: TOMP,TPR,30.000000,0.024167
TREX-DA: TOMP,sd_TPR,30.000000,0.031867
TREX-DA: TOMP,Avg_L,30.000000,3.105000
TREX-DA: TOMP,Avg_T,30.000000,6.955000
