solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.035726
TREX-DA: TLARS,sd_FDR,5.000000,0.093785
TREX-DA: TLARS,TPR,5.000000,0.720000
TREX-DA: TLARS,sd_TPR,5.000000,0.243096
TREX-DA: TLARS,Avg_L,5.000000,1.920000
TREX-DA: TLARS,Avg_T,5.000000,18.585000
TREX-DA: TLARS,FDR,10.000000,0.054000
TREX-DA: TLARS,sd_FDR,10.000000,0.113017
TREX-DA: TLARS,TPR,10.000000,0.761000
TREX-DA: TLARS,sd_TPR,10.000000,0.208076
TREX-DA: TLARS,Avg_L,10.000000,1.930000
TREX-DA: TLARS,Avg_T,10.000000,22.240000
TREX-DA: TLARS,FDR,15.000000,0.075583
TREX-DA: TLARS,sd_FDR,15.000000,0.168614
TREX-DA: TLARS,TPR,15.000000,0.720000
TREX-DA: TLARS,sd_TPR,15.000000,0.262956
TREX-DA: TLARS,Avg_L,15.000000,1.940000
TREX-DA: TLARS,Avg_T,15.000000,26.815000
TREX-DA: TLARS,FDR,20.000000,0.075488
TREX-DA: TLARS,sd_FDR,20.000000,0.163927
TREX-DA: TLARS,TPR,20.000000,0.736000
TREX-DA: TLARS,sd_TPR,20.000000,0.239564
TREX-DA: TLARS,Avg_L,20.000000,1.960000
TREX-DA: TLARS,Avg_T,20.000000,30.195000
TREX-DA: TLARS,FDR,25.000000,0.078762
TREX-DA: TLARS,sd_FDR,25.000000,0.159911
TREX-DA: TLARS,TPR,25.000000,0.724000
TREX-DA: TLARS,sd_TPR,25.000000,0.249268
TREX-DA: TLARS,Avg_L,25.000000,2.005000
TREX-DA: TLARS,Avg_T,25.000000,37.050000
TREX-DA: TLARS,FDR,30.000000,0.076512
TREX-DA: TLARS,sd_FDR,30.000000,0.140381
TREX-DA: TLARS,TPR,30.000000,0.738000
TREX-DA: TLARS,sd_TPR,30.000000,0.237567
TREX-DA: TLARS,Avg_L,30.000000,1.850000
TREX-DA: TLARS,Avg_T,30.000000,27.080000
TREX-DA: TLARS,FDR,35.000000,0.089798
TREX-DA: TLARS,sd_FDR,35.000000,0.184259
TREX-DA: TLARS,TPR,35.000000,0.726000
TREX-DA: TLARS,sd_TPR,35.000000,0.266230
TREX-DA: TLARS,Avg_L,35.000000,1.955000
TREX-DA: TLARS,Avg_T,35.000000,29.110000
TREX-DA: TLARS,FDR,40.000000,0.105929
TREX-DA: TLARS,sd_FDR,40.000000,0.181519
TREX-DA: TLARS,TPR,40.000000,0.710000
TREX-DA: TLARS,sd_TPR,40.000000,0.259687
TREX-DA: TLARS,Avg_L,40.000000,2.160000
TREX-DA: TLARS,Avg_T,40.000000,26.230000
TREX-DA: TLARS,FDR,45.000000,0.120262
TREX-DA: TLARS,sd_FDR,45.000000,0.190017
TREX-DA: TLARS,TPR,45.000000,0.688000
TREX-DA: TLARS,sd_TPR,45.000000,0.277563
TREX-DA: TLARS,Avg_L,45.000000,1.995000
TREX-DA: TLARS,Avg_T,45.000000,28.635000
TREX-DA: TLARS,FDR,50.000000,0.119732
TREX-DA: TLARS,sd_FDR,50.000000,0.201114
TREX-DA: TLARS,TPR,50.000000,0.716000
TREX-DA: TLARS,sd_TPR,50.000000,0.256266
TREX-DA: TLARS,Avg_L,50.000000,2.025000
TREX-DA: TLARS,Avg_T,50.000000,28.430000
TREX-DA: TAFS,FDR,5.000000,0.070333
TREX-DA: TAFS,sd_FDR,5.000000,0.116794
TREX-DA: TAFS,TPR,5.000000,0.859000
TREX-DA: TAFS,sd_TPR,5.000000,0.183541
TREX-DA: TAFS,Avg_L,5.000000,1.680000
TREX-DA: TAFS,Avg_T,5.000000,6.505000
TREX-DA: TAFS,FDR,10.000000,0.063583
TREX-DA: TAFS,sd_FDR,10.000000,0.128058
TREX-DA: TAFS,TPR,10.000000,0.871000
TREX-DA: TAFS,sd_TPR,10.000000,0.175823
TREX-DA: TAFS,Avg_L,10.000000,1.785000
TREX-DA: TAFS,Avg_T,10.000000,6.400000
TREX-DA: TAFS,FDR,15.000000,0.084976
TREX-DA: TAFS,sd_FDR,15.000000,0.133219
TREX-DA: TAFS,TPR,15.000000,0.851000
TREX-DA: TAFS,sd_TPR,15.000000,0.194391
TREX-DA: TAFS,Avg_L,15.000000,1.820000
TREX-DA: TAFS,Avg_T,15.000000,6.500000
TREX-DA: TAFS,FDR,20.000000,0.066833
TREX-DA: TAFS,sd_FDR,20.000000,0.123530
TREX-DA: TAFS,TPR,20.000000,0.867000
TREX-DA: TAFS,sd_TPR,20.000000,0.188384
TREX-DA: TAFS,Avg_L,20.000000,1.720000
TREX-DA: TAFS,Avg_T,20.000000,6.440000
TREX-DA: TAFS,FDR,25.000000,0.073083
TREX-DA: TAFS,sd_FDR,25.000000,0.133078
TREX-DA: TAFS,TPR,25.000000,0.859000
TREX-DA: TAFS,sd_TPR,25.000000,0.205255
TREX-DA: TAFS,Avg_L,25.000000,1.760000
TREX-DA: TAFS,Avg_T,25.000000,6.465000
TREX-DA: TAFS,FDR,30.000000,0.069000
TREX-DA: TAFS,sd_FDR,30.000000,0.124980
TREX-DA: TAFS,TPR,30.000000,0.872000
TREX-DA: TAFS,sd_TPR,30.000000,0.178255
TREX-DA: TAFS,Avg_L,30.000000,1.705000
TREX-DA: TAFS,Avg_T,30.000000,6.970000
TREX-DA: TAFS,FDR,35.000000,0.077750
TREX-DA: TAFS,sd_FDR,35.000000,0.135784
TREX-DA: TAFS,TPR,35.000000,0.858000
TREX-DA: TAFS,sd_TPR,35.000000,0.199083
TREX-DA: TAFS,Avg_L,35.000000,1.850000
TREX-DA: TAFS,Avg_T,35.000000,7.100000
TREX-DA: TAFS,FDR,40.000000,0.086417
TREX-DA: TAFS,sd_FDR,40.000000,0.141866
TREX-DA: TAFS,TPR,40.000000,0.833000
TREX-DA: TAFS,sd_TPR,40.000000,0.224864
TREX-DA: TAFS,Avg_L,40.000000,1.960000
TREX-DA: TAFS,Avg_T,40.000000,7.200000
TREX-DA: TAFS,FDR,45.000000,0.068750
TREX-DA: TAFS,sd_FDR,45.000000,0.122440
TREX-DA: TAFS,TPR,45.000000,0.832000
TREX-DA: TAFS,sd_TPR,45.000000,0.236762
TREX-DA: TAFS,Avg_L,45.000000,1.965000
TREX-DA: TAFS,Avg_T,45.000000,7.160000
TREX-DA: TAFS,FDR,50.000000,0.083012
TREX-DA: TAFS,sd_FDR,50.000000,0.142314
TREX-DA: TAFS,TPR,50.000000,0.851000
TREX-DA: TAFS,sd_TPR,50.000000,0.192312
TREX-DA: TAFS,Avg_L,50.000000,1.990000
TREX-DA: TAFS,Avg_T,50.000000,7.280000
TREX-DA: TOMP,FDR,5.000000,0.056595
TREX-DA: TOMP,sd_FDR,5.000000,0.109295
TREX-DA: TOMP,TPR,5.000000,0.931000
TREX-DA: TOMP,sd_TPR,5.000000,0.133898
TREX-DA: TOMP,Avg_L,5.000000,1.380000
TREX-DA: TOMP,Avg_T,5.000000,6.410000
TREX-DA: TOMP,FDR,10.000000,0.053917
TREX-DA: TOMP,sd_FDR,10.000000,0.096012
TREX-DA: TOMP,TPR,10.000000,0.940000
TREX-DA: TOMP,sd_TPR,10.000000,0.126809
TREX-DA: TOMP,Avg_L,10.000000,1.465000
TREX-DA: TOMP,Avg_T,10.000000,6.015000
TREX-DA: TOMP,FDR,15.000000,0.065833
TREX-DA: TOMP,sd_FDR,15.000000,0.108730
TREX-DA: TOMP,TPR,15.000000,0.922000
TREX-DA: TOMP,sd_TPR,15.000000,0.131156
TREX-DA: TOMP,Avg_L,15.000000,1.565000
TREX-DA: TOMP,Avg_T,15.000000,6.190000
TREX-DA: TOMP,FDR,20.000000,0.050583
TREX-DA: TOMP,sd_FDR,20.000000,0.102759
TREX-DA: TOMP,TPR,20.000000,0.925000
TREX-DA: TOMP,sd_TPR,20.000000,0.132145
TREX-DA: TOMP,Avg_L,20.000000,1.530000
TREX-DA: TOMP,Avg_T,20.000000,5.650000
TREX-DA: TOMP,FDR,25.000000,0.059000
TREX-DA: TOMP,sd_FDR,25.000000,0.114192
TREX-DA: TOMP,TPR,25.000000,0.922000
TREX-DA: TOMP,sd_TPR,25.000000,0.141478
TREX-DA: TOMP,Avg_L,25.000000,1.450000
TREX-DA: TOMP,Avg_T,25.000000,4.990000
TREX-DA: TOMP,FDR,30.000000,0.048250
TREX-DA: TOMP,sd_FDR,30.000000,0.093230
TREX-DA: TOMP,TPR,30.000000,0.933000
TREX-DA: TOMP,sd_TPR,30.000000,0.119088
TREX-DA: TOMP,Avg_L,30.000000,1.490000
TREX-DA: TOMP,Avg_T,30.000000,6.240000
