solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.131363
TREX-DA: TLARS,sd_FDR,5.000000,0.167109
TREX-DA: TLARS,TPR,5.000000,0.745000
TREX-DA: TLARS,sd_TPR,5.000000,0.223213
TREX-DA: TLARS,Avg_L,5.000000,1.810000
TREX-DA: TLARS,Avg_T,5.000000,9.010000
TREX-DA: TLARS,FDR,10.000000,0.144012
TREX-DA: TLARS,sd_FDR,10.000000,0.166562
TREX-DA: TLARS,TPR,10.000000,0.767000
TREX-DA: TLARS,sd_TPR,10.000000,0.210075
TREX-DA: TLARS,Avg_L,10.000000,1.695000
TREX-DA: TLARS,Avg_T,10.000000,11.270000
TREX-DA: TLARS,FDR,15.000000,0.144115
TREX-DA: TLARS,sd_FDR,15.000000,0.152725
TREX-DA: TLARS,TPR,15.000000,0.779000
TREX-DA: TLARS,sd_TPR,15.000000,0.209711
TREX-DA: TLARS,Avg_L,15.000000,1.635000
TREX-DA: TLARS,Avg_T,15.000000,10.810000
TREX-DA: TLARS,FDR,20.000000,0.176589
TREX-DA: TLARS,sd_FDR,20.000000,0.169756
TREX-DA: TLARS,TPR,20.000000,0.788000
TREX-DA: TLARS,sd_TPR,20.000000,0.209944
TREX-DA: TLARS,Avg_L,20.000000,1.705000
TREX-DA: TLARS,Avg_T,20.000000,15.095000
TREX-DA: TLARS,FDR,25.000000,0.150679
TREX-DA: TLARS,sd_FDR,25.000000,0.171953
TREX-DA: TLARS,TPR,25.000000,0.781000
TREX-DA: TLARS,sd_TPR,25.000000,0.222003
TREX-DA: TLARS,Avg_L,25.000000,1.690000
TREX-DA: TLARS,Avg_T,25.000000,14.550000
TREX-DA: TLARS,FDR,30.000000,0.162970
TREX-DA: TLARS,sd_FDR,30.000000,0.168323
TREX-DA: TLARS,TPR,30.000000,0.765000
TREX-DA: TLARS,sd_TPR,30.000000,0.214488
TREX-DA: TLARS,Avg_L,30.000000,1.680000
TREX-DA: TLARS,Avg_T,30.000000,18.585000
TREX-DA: TLARS,FDR,35.000000,0.184432
TREX-DA: TLARS,sd_FDR,35.000000,0.207635
TREX-DA: TLARS,TPR,35.000000,0.780000
TREX-DA: TLARS,sd_TPR,35.000000,0.238926
TREX-DA: TLARS,Avg_L,35.000000,1.680000
TREX-DA: TLARS,Avg_T,35.000000,19.110000
TREX-DA: TLARS,FDR,40.000000,0.193431
TREX-DA: TLARS,sd_FDR,40.000000,0.206802
TREX-DA: TLARS,TPR,40.000000,0.752000
TREX-DA: TLARS,sd_TPR,40.000000,0.250619
TREX-DA: TLARS,Avg_L,40.000000,1.665000
TREX-DA: TLARS,Avg_T,40.000000,20.460000
TREX-DA: TLARS,FDR,45.000000,0.185734
TREX-DA: TLARS,sd_FDR,45.000000,0.206751
TREX-DA: TLARS,TPR,45.000000,0.755000
TREX-DA: TLARS,sd_TPR,45.000000,0.235909
TREX-DA: TLARS,Avg_L,45.000000,1.785000
TREX-DA: TLARS,Avg_T,45.000000,18.755000
TREX-DA: TLARS,FDR,50.000000,0.216335
TREX-DA: TLARS,sd_FDR,50.000000,0.188305
TREX-DA: TLARS,TPR,50.000000,0.749000
TREX-DA: TLARS,sd_TPR,50.000000,0.225061
TREX-DA: TLARS,Avg_L,50.000000,1.875000
TREX-DA: TLARS,Avg_T,50.000000,17.995000
TREX-DA: TAFS,FDR,5.000000,0.142558
TREX-DA: TAFS,sd_FDR,5.000000,0.153110
TREX-DA: TAFS,TPR,5.000000,0.852000
TREX-DA: TAFS,sd_TPR,5.000000,0.179603
TREX-DA: TAFS,Avg_L,5.000000,1.455000
TREX-DA: TAFS,Avg_T,5.000000,5.850000
TREX-DA: TAFS,FDR,10.000000,0.146653
TREX-DA: TAFS,sd_FDR,10.000000,0.151277
TREX-DA: TAFS,TPR,10.000000,0.870000
TREX-DA: TAFS,sd_TPR,10.000000,0.162580
TREX-DA: TAFS,Avg_L,10.000000,1.420000
TREX-DA: TAFS,Avg_T,10.000000,6.620000
TREX-DA: TAFS,FDR,15.000000,0.126575
TREX-DA: TAFS,sd_FDR,15.000000,0.136560
TREX-DA: TAFS,TPR,15.000000,0.867000
TREX-DA: TAFS,sd_TPR,15.000000,0.180761
TREX-DA: TAFS,Avg_L,15.000000,1.425000
TREX-DA: TAFS,Avg_T,15.000000,6.555000
TREX-DA: TAFS,FDR,20.000000,0.144040
TREX-DA: TAFS,sd_FDR,20.000000,0.150427
TREX-DA: TAFS,TPR,20.000000,0.861000
TREX-DA: TAFS,sd_TPR,20.000000,0.167988
TREX-DA: TAFS,Avg_L,20.000000,1.395000
TREX-DA: TAFS,Avg_T,20.000000,6.580000
TREX-DA: TAFS,FDR,25.000000,0.140995
TREX-DA: TAFS,sd_FDR,25.000000,0.161894
TREX-DA: TAFS,TPR,25.000000,0.869000
TREX-DA: TAFS,sd_TPR,25.000000,0.192938
TREX-DA: TAFS,Avg_L,25.000000,1.525000
TREX-DA: TAFS,Avg_T,25.000000,6.795000
TREX-DA: TAFS,FDR,30.000000,0.144688
TREX-DA: TAFS,sd_FDR,30.000000,0.149734
TREX-DA: TAFS,TPR,30.000000,0.859000
TREX-DA: TAFS,sd_TPR,30.000000,0.183541
TREX-DA: TAFS,Avg_L,30.000000,1.430000
TREX-DA: TAFS,Avg_T,30.000000,6.595000
TREX-DA: TAFS,FDR,35.000000,0.149935
TREX-DA: TAFS,sd_FDR,35.000000,0.177321
TREX-DA: TAFS,TPR,35.000000,0.878000
TREX-DA: TAFS,sd_TPR,35.000000,0.188930
TREX-DA: TAFS,Avg_L,35.000000,1.425000
TREX-DA: TAFS,Avg_T,35.000000,6.810000
TREX-DA: TAFS,FDR,40.000000,0.145159
TREX-DA: TAFS,sd_FDR,40.000000,0.161986
TREX-DA: TAFS,TPR,40.000000,0.866000
TREX-DA: TAFS,sd_TPR,40.000000,0.177203
TREX-DA: TAFS,Avg_L,40.000000,1.495000
TREX-DA: TAFS,Avg_T,40.000000,7.180000
TREX-DA: TAFS,FDR,45.000000,0.127250
TREX-DA: TAFS,sd_FDR,45.000000,0.148334
TREX-DA: TAFS,TPR,45.000000,0.889000
TREX-DA: TAFS,sd_TPR,45.000000,0.158761
TREX-DA: TAFS,Avg_L,45.000000,1.665000
TREX-DA: TAFS,Avg_T,45.000000,7.215000
TREX-DA: TAFS,FDR,50.000000,0.159827
TREX-DA: TAFS,sd_FDR,50.000000,0.155399
TREX-DA: TAFS,TPR,50.000000,0.864000
TREX-DA: TAFS,sd_TPR,50.000000,0.171027
TREX-DA: TAFS,Avg_L,50.000000,1.775000
TREX-DA: TAFS,Avg_T,50.000000,7.005000
TREX-DA: TOMP,FDR,5.000000,0.161234
TREX-DA: TOMP,sd_FDR,5.000000,0.167835
TREX-DA: TOMP,TPR,5.000000,0.920000
TREX-DA: TOMP,sd_TPR,5.000000,0.166549
