solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.051095
TREX-DA: TLARS,sd_FDR,5.000000,0.124611
TREX-DA: TLARS,TPR,5.000000,0.722000
TREX-DA: TLARS,sd_TPR,5.000000,0.233643
TREX-DA: TLARS,Avg_L,5.000000,1.845000
TREX-DA: TLARS,Avg_T,5.000000,15.250000
TREX-DA: TLARS,FDR,10.000000,0.064512
TREX-DA: TLARS,sd_FDR,10.000000,0.131862
TREX-DA: TLARS,TPR,10.000000,0.732000
TREX-DA: TLARS,sd_TPR,10.000000,0.249977
TREX-DA: TLARS,Avg_L,10.000000,1.860000
TREX-DA: TLARS,Avg_T,10.000000,20.875000
TREX-DA: TLARS,FDR,15.000000,0.063220
TREX-DA: TLARS,sd_FDR,15.000000,0.112912
TREX-DA: TLARS,TPR,15.000000,0.746000
TREX-DA: TLARS,sd_TPR,15.000000,0.241195
TREX-DA: TLARS,Avg_L,15.000000,1.890000
TREX-DA: TLARS,Avg_T,15.000000,20.915000
TREX-DA: TLARS,FDR,20.000000,0.084500
TREX-DA: TLARS,sd_FDR,20.000000,0.154691
TREX-DA: TLARS,TPR,20.000000,0.738000
TREX-DA: TLARS,sd_TPR,20.000000,0.238412
TREX-DA: TLARS,Avg_L,20.000000,1.960000
TREX-DA: TLARS,Avg_T,20.000000,35.380000
TREX-DA: TLARS,FDR,25.000000,0.090357
TREX-DA: TLARS,sd_FDR,25.000000,0.151373
TREX-DA: TLARS,TPR,25.000000,0.731000
TREX-DA: TLARS,sd_TPR,25.000000,0.234336
TREX-DA: TLARS,Avg_L,25.000000,1.980000
TREX-DA: TLARS,Avg_T,25.000000,38.270000
TREX-DA: TLARS,FDR,30.000000,0.087375
TREX-DA: TLARS,sd_FDR,30.000000,0.147676
TREX-DA: TLARS,TPR,30.000000,0.735000
TREX-DA: TLARS,sd_TPR,30.000000,0.225899
TREX-DA: TLARS,Avg_L,30.000000,1.890000
TREX-DA: TLARS,Avg_T,30.000000,35.030000
TREX-DA: TLARS,FDR,35.000000,0.102488
TREX-DA: TLARS,sd_FDR,35.000000,0.188900
TREX-DA: TLARS,TPR,35.000000,0.744000
TREX-DA: TLARS,sd_TPR,35.000000,0.235673
TREX-DA: TLARS,Avg_L,35.000000,1.895000
TREX-DA: TLARS,Avg_T,35.000000,28.985000
TREX-DA: TLARS,FDR,40.000000,0.114833
TREX-DA: TLARS,sd_FDR,40.000000,0.193731
TREX-DA: TLARS,TPR,40.000000,0.683000
TREX-DA: TLARS,sd_TPR,40.000000,0.274386
TREX-DA: TLARS,Avg_L,40.000000,1.925000
TREX-DA: TLARS,Avg_T,40.000000,30.455000
TREX-DA: TLARS,FDR,45.000000,0.118488
TREX-DA: TLARS,sd_FDR,45.000000,0.207136
TREX-DA: TLARS,TPR,45.000000,0.695000
TREX-DA: TLARS,sd_TPR,45.000000,0.279941
TREX-DA: TLARS,Avg_L,45.000000,1.990000
TREX-DA: TLARS,Avg_T,45.000000,25.550000
TREX-DA: TLARS,FDR,50.000000,0.140776
TREX-DA: TLARS,sd_FDR,50.000000,0.183354
TREX-DA: TLARS,TPR,50.000000,0.665000
TREX-DA: TLARS,sd_TPR,50.000000,0.263671
TREX-DA: TLARS,Avg_L,50.000000,2.020000
TREX-DA: TLARS,Avg_T,50.000000,29.555000
TREX-DA: TAFS,FDR,5.000000,0.094423
TREX-DA: TAFS,sd_FDR,5.000000,0.133743
TREX-DA: TAFS,TPR,5.000000,0.842000
TREX-DA: TAFS,sd_TPR,5.000000,0.203082
TREX-DA: TAFS,Avg_L,5.000000,1.640000
TREX-DA: TAFS,Avg_T,5.000000,6.280000
TREX-DA: TAFS,FDR,10.000000,0.090274
TREX-DA: TAFS,sd_FDR,10.000000,0.126396
TREX-DA: TAFS,TPR,10.000000,0.856000
TREX-DA: TAFS,sd_TPR,10.000000,0.166742
TREX-DA: TAFS,Avg_L,10.000000,1.650000
TREX-DA: TAFS,Avg_T,10.000000,6.455000
TREX-DA: TAFS,FDR,15.000000,0.077984
TREX-DA: TAFS,sd_FDR,15.000000,0.138077
TREX-DA: TAFS,TPR,15.000000,0.855000
TREX-DA: TAFS,sd_TPR,15.000000,0.198423
TREX-DA: TAFS,Avg_L,15.000000,1.685000
TREX-DA: TAFS,Avg_T,15.000000,6.470000
TREX-DA: TAFS,FDR,20.000000,0.090750
TREX-DA: TAFS,sd_FDR,20.000000,0.131650
TREX-DA: TAFS,TPR,20.000000,0.833000
TREX-DA: TAFS,sd_TPR,20.000000,0.182421
TREX-DA: TAFS,Avg_L,20.000000,1.775000
TREX-DA: TAFS,Avg_T,20.000000,6.610000
TREX-DA: TAFS,FDR,25.000000,0.089000
TREX-DA: TAFS,sd_FDR,25.000000,0.142957
TREX-DA: TAFS,TPR,25.000000,0.837000
TREX-DA: TAFS,sd_TPR,25.000000,0.210362
TREX-DA: TAFS,Avg_L,25.000000,1.715000
TREX-DA: TAFS,Avg_T,25.000000,6.675000
TREX-DA: TAFS,FDR,30.000000,0.080012
TREX-DA: TAFS,sd_FDR,30.000000,0.125955
TREX-DA: TAFS,TPR,30.000000,0.832000
TREX-DA: TAFS,sd_TPR,30.000000,0.187488
TREX-DA: TAFS,Avg_L,30.000000,1.695000
TREX-DA: TAFS,Avg_T,30.000000,6.895000
TREX-DA: TAFS,FDR,35.000000,0.102250
TREX-DA: TAFS,sd_FDR,35.000000,0.156532
TREX-DA: TAFS,TPR,35.000000,0.837000
TREX-DA: TAFS,sd_TPR,35.000000,0.201579
TREX-DA: TAFS,Avg_L,35.000000,1.780000
TREX-DA: TAFS,Avg_T,35.000000,7.415000
TREX-DA: TAFS,FDR,40.000000,0.084833
TREX-DA: TAFS,sd_FDR,40.000000,0.138051
TREX-DA: TAFS,TPR,40.000000,0.839000
TREX-DA: TAFS,sd_TPR,40.000000,0.200198
TREX-DA: TAFS,Avg_L,40.000000,1.825000
TREX-DA: TAFS,Avg_T,40.000000,7.390000
TREX-DA: TAFS,FDR,45.000000,0.076845
TREX-DA: TAFS,sd_FDR,45.000000,0.133109
TREX-DA: TAFS,TPR,45.000000,0.841000
TREX-DA: TAFS,sd_TPR,45.000000,0.219911
TREX-DA: TAFS,Avg_L,45.000000,1.975000
TREX-DA: TAFS,Avg_T,45.000000,7.465000
TREX-DA: TAFS,FDR,50.000000,0.099179
TREX-DA: TAFS,sd_FDR,50.000000,0.140265
TREX-DA: TAFS,TPR,50.000000,0.826000
TREX-DA: TAFS,sd_TPR,50.000000,0.207701
TREX-DA: TAFS,Avg_L,50.000000,1.955000
TREX-DA: TAFS,Avg_T,50.000000,7.215000
TREX-DA: TOMP,FDR,5.000000,0.109560
TREX-DA: TOMP,sd_FDR,5.000000,0.137455
TREX-DA: TOMP,TPR,5.000000,0.917000
TREX-DA: TOMP,sd_TPR,5.000000,0.166884
TREX-DA: TOMP,Avg_L,5.000000,1.320000
TREX-DA: TOMP,Avg_T,5.000000,6.300000
TREX-DA: TOMP,FDR,10.000000,0.086875
TREX-DA: TOMP,sd_FDR,10.000000,0.119493
TREX-DA: TOMP,TPR,10.000000,0.928000
TREX-DA: TOMP,sd_TPR,10.000000,0.133058
TREX-DA: TOMP,Avg_L,10.000000,1.445000
TREX-DA: TOMP,Avg_T,10.000000,6.205000
TREX-DA: TOMP,FDR,15.000000,0.076643
TREX-DA: TOMP,sd_FDR,15.000000,0.124704
TREX-DA: TOMP,TPR,15.000000,0.929000
TREX-DA: TOMP,sd_TPR,15.000000,0.152563
TREX-DA: TOMP,Avg_L,15.000000,1.530000
TREX-DA: TOMP,Avg_T,15.000000,6.070000
TREX-DA: TOMP,FDR,20.000000,0.064452
TREX-DA: TOMP,sd_FDR,20.000000,0.113745
TREX-DA: TOMP,TPR,20.000000,0.921000
TREX-DA: TOMP,sd_TPR,20.000000,0.156465
TREX-DA: TOMP,Avg_L,20.000000,1.525000
TREX-DA: TOMP,Avg_T,20.000000,6.195000
TREX-DA: TOMP,FDR,25.000000,0.077000
TREX-DA: TOMP,sd_FDR,25.000000,0.113919
TREX-DA: TOMP,TPR,25.000000,0.910000
TREX-DA: TOMP,sd_TPR,25.000000,0.162580
TREX-DA: TOMP,Avg_L,25.000000,1.520000
TREX-DA: TOMP,Avg_T,25.000000,5.850000
TREX-DA: TOMP,FDR,30.000000,0.072524
TREX-DA: TOMP,sd_FDR,30.000000,0.115885
TREX-DA: TOMP,TPR,30.000000,0.913000
TREX-DA: TOMP,sd_TPR,30.000000,0.153456
TREX-DA: TOMP,Avg_L,30.000000,1.485000
TREX-DA: TOMP,Avg_T,30.000000,6.785000
TREX-DA: TOMP,FDR,35.000000,0.079000
TREX-DA: TOMP,sd_FDR,35.000000,0.130189
TREX-DA: TOMP,TPR,35.000000,0.918000
TREX-DA: TOMP,sd_TPR,35.000000,0.164350
TREX-DA: TOMP,Avg_L,35.000000,1.680000
TREX-DA: TOMP,Avg_T,35.000000,7.480000
TREX-DA: TOMP,FDR,40.000000,0.063262
TREX-DA: TOMP,sd_FDR,40.000000,0.106440
TREX-DA: TOMP,TPR,40.000000,0.925000
TREX-DA: TOMP,sd_TPR,40.000000,0.154578
TREX-DA: TOMP,Avg_L,40.000000,1.785000
TREX-DA: TOMP,Avg_T,40.000000,7.535000
TREX-DA: TOMP,FDR,45.000000,0.058292
TREX-DA: TOMP,sd_FDR,45.000000,0.123234
TREX-DA: TOMP,TPR,45.000000,0.928000
TREX-DA: TOMP,sd_TPR,45.000000,0.154061
TREX-DA: TOMP,Avg_L,45.000000,1.955000
TREX-DA: TOMP,Avg_T,45.000000,7.750000
TREX-DA: TOMP,FDR,50.000000,0.078833
TREX-DA: TOMP,sd_FDR,50.000000,0.128934
TREX-DA: TOMP,TPR,50.000000,0.901000
TREX-DA: TOMP,sd_TPR,50.000000,0.166546
TREX-DA: TOMP,Avg_L,50.000000,1.955000
TREX-DA: TOMP,Avg_T,50.000000,7.730000
