solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.069565
TREX-DA: TLARS,sd_FDR,0.000000,0.106658
TREX-DA: TLARS,TPR,0.000000,0.905000
TREX-DA: TLARS,sd_TPR,0.000000,0.191201
TREX-DA: TLARS,Avg_L,0.000000,2.085000
TREX-DA: TLARS,Avg_T,0.000000,14.095000
TREX-DA: TLARS,FDR,0.100000,0.075325
TREX-DA: TLARS,sd_FDR,0.100000,0.111904
TREX-DA: TLARS,TPR,0.100000,0.918000
TREX-DA: TLARS,sd_TPR,0.100000,0.188290
TREX-DA: TLARS,Avg_L,0.100000,2.050000
TREX-DA: TLARS,Avg_T,0.100000,13.740000
TREX-DA: TLARS,FDR,0.200000,0.068217
TREX-DA: TLARS,sd_FDR,0.200000,0.107256
TREX-DA: TLARS,TPR,0.200000,0.933000
TREX-DA: TLARS,sd_TPR,0.200000,0.144969
TREX-DA: TLARS,Avg_L,0.200000,2.065000
TREX-DA: TLARS,Avg_T,0.200000,11.100000
TREX-DA: TLARS,FDR,0.300000,0.053125
TREX-DA: TLARS,sd_FDR,0.300000,0.099999
TREX-DA: TLARS,TPR,0.300000,0.924000
TREX-DA: TLARS,sd_TPR,0.300000,0.143971
TREX-DA: TLARS,Avg_L,0.300000,1.995000
TREX-DA: TLARS,Avg_T,0.300000,12.250000
TREX-DA: TLARS,FDR,0.400000,0.070692
TREX-DA: TLARS,sd_FDR,0.400000,0.111473
TREX-DA: TLARS,TPR,0.400000,0.918000
TREX-DA: TLARS,sd_TPR,0.400000,0.146229
TREX-DA: TLARS,Avg_L,0.400000,1.935000
TREX-DA: TLARS,Avg_T,0.400000,10.250000
TREX-DA: TLARS,FDR,0.500000,0.066542
TREX-DA: TLARS,sd_FDR,0.500000,0.109911
TREX-DA: TLARS,TPR,0.500000,0.902000
TREX-DA: TLARS,sd_TPR,0.500000,0.152685
TREX-DA: TLARS,Avg_L,0.500000,1.830000
TREX-DA: TLARS,Avg_T,0.500000,10.040000
TREX-DA: TLARS,FDR,0.600000,0.071161
TREX-DA: TLARS,sd_FDR,0.600000,0.117830
TREX-DA: TLARS,TPR,0.600000,0.894000
TREX-DA: TLARS,sd_TPR,0.600000,0.157761
TREX-DA: TLARS,Avg_L,0.600000,1.850000
TREX-DA: TLARS,Avg_T,0.600000,12.030000
TREX-DA: TLARS,FDR,0.700000,0.078835
TREX-DA: TLARS,sd_FDR,0.700000,0.125524
TREX-DA: TLARS,TPR,0.700000,0.836000
TREX-DA: TLARS,sd_TPR,0.700000,0.197227
TREX-DA: TLARS,Avg_L,0.700000,1.750000
TREX-DA: TLARS,Avg_T,0.700000,10.355000
TREX-DA: TLARS,FDR,0.800000,0.083083
TREX-DA: TLARS,sd_FDR,0.800000,0.125121
TREX-DA: TLARS,TPR,0.800000,0.772000
TREX-DA: TLARS,sd_TPR,0.800000,0.184897
TREX-DA: TLARS,Avg_L,0.800000,1.780000
TREX-DA: TLARS,Avg_T,0.800000,10.930000
TREX-DA: TLARS,FDR,0.900000,0.097375
TREX-DA: TLARS,sd_FDR,0.900000,0.171705
TREX-DA: TLARS,TPR,0.900000,0.637000
TREX-DA: TLARS,sd_TPR,0.900000,0.234748
TREX-DA: TLARS,Avg_L,0.900000,1.800000
TREX-DA: TLARS,Avg_T,0.900000,12.780000
TREX-DA: TAFS,FDR,0.000000,0.059780
TREX-DA: TAFS,sd_FDR,0.000000,0.095236
TREX-DA: TAFS,TPR,0.000000,0.947000
TREX-DA: TAFS,sd_TPR,0.000000,0.177620
TREX-DA: TAFS,Avg_L,0.000000,1.960000
TREX-DA: TAFS,Avg_T,0.000000,6.890000
TREX-DA: TAFS,FDR,0.100000,0.057994
