solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.022500
TREX-DA: TLARS,sd_FDR,0.100000,0.144388
TREX-DA: TLARS,TPR,0.100000,0.002000
TREX-DA: TLARS,sd_TPR,0.100000,0.019950
TREX-DA: TLARS,Avg_L,0.100000,1.490000
TREX-DA: TLARS,Avg_T,0.100000,7.775000
TREX-DA: TLARS,FDR,0.200000,0.063333
TREX-DA: TLARS,sd_FDR,0.200000,0.231254
TREX-DA: TLARS,TPR,0.200000,0.023000
TREX-DA: TLARS,sd_TPR,0.200000,0.069968
TREX-DA: TLARS,Avg_L,0.200000,2.105000
TREX-DA: TLARS,Avg_T,0.200000,7.915000
TREX-DA: TLARS,FDR,0.500000,0.109917
TREX-DA: TLARS,sd_FDR,0.500000,0.235957
TREX-DA: TLARS,TPR,0.500000,0.219000
TREX-DA: TLARS,sd_TPR,0.500000,0.207979
TREX-DA: TLARS,Avg_L,0.500000,3.480000
TREX-DA: TLARS,Avg_T,0.500000,6.940000
TREX-DA: TLARS,FDR,0.600000,0.078167
TREX-DA: TLARS,sd_FDR,0.600000,0.175673
TREX-DA: TLARS,TPR,0.600000,0.286000
TREX-DA: TLARS,sd_TPR,0.600000,0.230804
TREX-DA: TLARS,Avg_L,0.600000,3.125000
TREX-DA: TLARS,Avg_T,0.600000,7.355000
TREX-DA: TLARS,FDR,1.000000,0.109472
TREX-DA: TLARS,sd_FDR,1.000000,0.172205
TREX-DA: TLARS,TPR,1.000000,0.575000
TREX-DA: TLARS,sd_TPR,1.000000,0.246330
TREX-DA: TLARS,Avg_L,1.000000,2.460000
TREX-DA: TLARS,Avg_T,1.000000,8.045000
TREX-DA: TLARS,FDR,2.000000,0.062125
TREX-DA: TLARS,sd_FDR,2.000000,0.115962
TREX-DA: TLARS,TPR,2.000000,0.759000
TREX-DA: TLARS,sd_TPR,2.000000,0.218075
TREX-DA: TLARS,Avg_L,2.000000,1.785000
TREX-DA: TLARS,Avg_T,2.000000,12.775000
TREX-DA: TLARS,FDR,5.000000,0.072560
TREX-DA: TLARS,sd_FDR,5.000000,0.125110
TREX-DA: TLARS,TPR,5.000000,0.806000
TREX-DA: TLARS,sd_TPR,5.000000,0.187991
TREX-DA: TLARS,Avg_L,5.000000,1.630000
TREX-DA: TLARS,Avg_T,5.000000,18.240000
TREX-DA: TAFS,FDR,0.100000,0.012500
TREX-DA: TAFS,sd_FDR,0.100000,0.105591
TREX-DA: TAFS,TPR,0.100000,0.005000
TREX-DA: TAFS,sd_TPR,0.100000,0.031303
TREX-DA: TAFS,Avg_L,0.100000,1.580000
TREX-DA: TAFS,Avg_T,0.100000,5.740000
TREX-DA: TAFS,FDR,0.200000,0.050000
TREX-DA: TAFS,sd_FDR,0.200000,0.212664
TREX-DA: TAFS,TPR,0.200000,0.022000
TREX-DA: TAFS,sd_TPR,0.200000,0.068845
TREX-DA: TAFS,Avg_L,0.200000,2.145000
TREX-DA: TAFS,Avg_T,0.200000,5.320000
TREX-DA: TAFS,FDR,0.500000,0.136167
TREX-DA: TAFS,sd_FDR,0.500000,0.251928
TREX-DA: TAFS,TPR,0.500000,0.256000
TREX-DA: TAFS,sd_TPR,0.500000,0.233961
TREX-DA: TAFS,Avg_L,0.500000,3.425000
TREX-DA: TAFS,Avg_T,0.500000,5.570000
TREX-DA: TAFS,FDR,0.600000,0.118667
