solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.027500
TREX-DA: TLARS,sd_FDR,0.100000,0.160068
TREX-DA: TLARS,TPR,0.100000,0.005000
TREX-DA: TLARS,sd_TPR,0.100000,0.031303
TREX-DA: TLARS,Avg_L,0.100000,1.470000
TREX-DA: TLARS,Avg_T,0.100000,7.125000
TREX-DA: TLARS,FDR,0.200000,0.058333
TREX-DA: TLARS,sd_FDR,0.200000,0.227106
TREX-DA: TLARS,TPR,0.200000,0.022000
TREX-DA: TLARS,sd_TPR,0.200000,0.068845
TREX-DA: TLARS,Avg_L,0.200000,2.045000
TREX-DA: TLARS,Avg_T,0.200000,6.495000
TREX-DA: TLARS,FDR,0.500000,0.102583
TREX-DA: TLARS,sd_FDR,0.500000,0.235839
TREX-DA: TLARS,TPR,0.500000,0.213000
TREX-DA: TLARS,sd_TPR,0.500000,0.213210
TREX-DA: TLARS,Avg_L,0.500000,3.300000
TREX-DA: TLARS,Avg_T,0.500000,6.405000
TREX-DA: TLARS,FDR,0.600000,0.100786
TREX-DA: TLARS,sd_FDR,0.600000,0.194834
TREX-DA: TLARS,TPR,0.600000,0.292000
TREX-DA: TLARS,sd_TPR,0.600000,0.236252
TREX-DA: TLARS,Avg_L,0.600000,3.110000
TREX-DA: TLARS,Avg_T,0.600000,6.860000
TREX-DA: TLARS,FDR,1.000000,0.116673
TREX-DA: TLARS,sd_FDR,1.000000,0.184524
TREX-DA: TLARS,TPR,1.000000,0.582000
TREX-DA: TLARS,sd_TPR,1.000000,0.262336
TREX-DA: TLARS,Avg_L,1.000000,2.435000
TREX-DA: TLARS,Avg_T,1.000000,8.000000
TREX-DA: TLARS,FDR,2.000000,0.087994
TREX-DA: TLARS,sd_FDR,2.000000,0.128346
TREX-DA: TLARS,TPR,2.000000,0.771000
TREX-DA: TLARS,sd_TPR,2.000000,0.201898
TREX-DA: TLARS,Avg_L,2.000000,1.820000
TREX-DA: TLARS,Avg_T,2.000000,11.990000
TREX-DA: TLARS,FDR,5.000000,0.068321
TREX-DA: TLARS,sd_FDR,5.000000,0.115139
TREX-DA: TLARS,TPR,5.000000,0.816000
TREX-DA: TLARS,sd_TPR,5.000000,0.178616
TREX-DA: TLARS,Avg_L,5.000000,1.590000
TREX-DA: TLARS,Avg_T,5.000000,17.605000
TREX-DA: TAFS,FDR,0.100000,0.017500
TREX-DA: TAFS,sd_FDR,0.100000,0.126585
TREX-DA: TAFS,TPR,0.100000,0.005000
