solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.025000
TREX-DA: TLARS,sd_FDR,0.100000,0.156517
TREX-DA: TLARS,TPR,0.100000,0.004000
TREX-DA: TLARS,sd_TPR,0.100000,0.028070
TREX-DA: TLARS,Avg_L,0.100000,1.395000
TREX-DA: TLARS,Avg_T,0.100000,13.210000
TREX-DA: TLARS,FDR,0.200000,0.045833
TREX-DA: TLARS,sd_FDR,0.200000,0.203910
TREX-DA: TLARS,TPR,0.200000,0.018000
TREX-DA: TLARS,sd_TPR,0.200000,0.064004
TREX-DA: TLARS,Avg_L,0.200000,2.005000
TREX-DA: TLARS,Avg_T,0.200000,8.225000
TREX-DA: TLARS,FDR,0.500000,0.073667
TREX-DA: TLARS,sd_FDR,0.500000,0.207618
TREX-DA: TLARS,TPR,0.500000,0.206000
TREX-DA: TLARS,sd_TPR,0.500000,0.214930
TREX-DA: TLARS,Avg_L,0.500000,3.330000
TREX-DA: TLARS,Avg_T,0.500000,9.480000
TREX-DA: TLARS,FDR,0.600000,0.053250
TREX-DA: TLARS,sd_FDR,0.600000,0.140149
TREX-DA: TLARS,TPR,0.600000,0.273000
TREX-DA: TLARS,sd_TPR,0.600000,0.229640
TREX-DA: TLARS,Avg_L,0.600000,3.000000
TREX-DA: TLARS,Avg_T,0.600000,8.445000
TREX-DA: TLARS,FDR,1.000000,0.059250
TREX-DA: TLARS,sd_FDR,1.000000,0.143126
TREX-DA: TLARS,TPR,1.000000,0.550000
TREX-DA: TLARS,sd_TPR,1.000000,0.272528
TREX-DA: TLARS,Avg_L,1.000000,2.520000
TREX-DA: TLARS,Avg_T,1.000000,10.720000
TREX-DA: TLARS,FDR,2.000000,0.036429
TREX-DA: TLARS,sd_FDR,2.000000,0.087607
TREX-DA: TLARS,TPR,2.000000,0.749000
TREX-DA: TLARS,sd_TPR,2.000000,0.224166
TREX-DA: TLARS,Avg_L,2.000000,1.835000
TREX-DA: TLARS,Avg_T,2.000000,18.550000
TREX-DA: TLARS,FDR,5.000000,0.016417
TREX-DA: TLARS,sd_FDR,5.000000,0.067177
TREX-DA: TLARS,TPR,5.000000,0.816000
TREX-DA: TLARS,sd_TPR,5.000000,0.196819
TREX-DA: TLARS,Avg_L,5.000000,1.725000
TREX-DA: TLARS,Avg_T,5.000000,26.410000
TREX-DA: TAFS,FDR,0.100000,0.005000
TREX-DA: TAFS,sd_FDR,0.100000,0.070711
TREX-DA: TAFS,TPR,0.100000,0.004000
TREX-DA: TAFS,sd_TPR,0.100000,0.028070
TREX-DA: TAFS,Avg_L,0.100000,1.465000
TREX-DA: TAFS,Avg_T,0.100000,6.060000
TREX-DA: TAFS,FDR,0.200000,0.057500
TREX-DA: TAFS,sd_FDR,0.200000,0.230672
TREX-DA: TAFS,TPR,0.200000,0.017000
TREX-DA: TAFS,sd_TPR,0.200000,0.059402
TREX-DA: TAFS,Avg_L,0.200000,2.105000
TREX-DA: TAFS,Avg_T,0.200000,5.795000
TREX-DA: TAFS,FDR,0.500000,0.118083
TREX-DA: TAFS,sd_FDR,0.500000,0.243937
TREX-DA: TAFS,TPR,0.500000,0.234000
TREX-DA: TAFS,sd_TPR,0.500000,0.226052
TREX-DA: TAFS,Avg_L,0.500000,3.330000
TREX-DA: TAFS,Avg_T,0.500000,5.275000
TREX-DA: TAFS,FDR,0.600000,0.103833
TREX-DA: TAFS,sd_FDR,0.600000,0.196456
TREX-DA: TAFS,TPR,0.600000,0.328000
TREX-DA: TAFS,sd_TPR,0.600000,0.266781
TREX-DA: TAFS,Avg_L,0.600000,2.860000
TREX-DA: TAFS,Avg_T,0.600000,4.770000
TREX-DA: TAFS,FDR,1.000000,0.097690
TREX-DA: TAFS,sd_FDR,1.000000,0.159381
TREX-DA: TAFS,TPR,1.000000,0.678000
TREX-DA: TAFS,sd_TPR,1.000000,0.276947
TREX-DA: TAFS,Avg_L,1.000000,2.145000
TREX-DA: TAFS,Avg_T,1.000000,5.855000
TREX-DA: TAFS,FDR,2.000000,0.070702
TREX-DA: TAFS,sd_FDR,2.000000,0.123244
TREX-DA: TAFS,TPR,2.000000,0.849000
TREX-DA: TAFS,sd_TPR,2.000000,0.211715
TREX-DA: TAFS,Avg_L,2.000000,1.630000
TREX-DA: TAFS,Avg_T,2.000000,6.550000
TREX-DA: TAFS,FDR,5.000000,0.023452
TREX-DA: TAFS,sd_FDR,5.000000,0.073938
TREX-DA: TAFS,TPR,5.000000,0.833000
TREX-DA: TAFS,sd_TPR,5.000000,0.141460
TREX-DA: TAFS,Avg_L,5.000000,1.565000
TREX-DA: TAFS,Avg_T,5.000000,7.045000
TREX-DA: TOMP,FDR,0.100000,0.020000
TREX-DA: TOMP,sd_FDR,0.100000,0.140351
TREX-DA: TOMP,TPR,0.100000,0.006000
TREX-DA: TOMP,sd_TPR,0.100000,0.034203
TREX-DA: TOMP,Avg_L,0.100000,1.580000
TREX-DA: TOMP,Avg_T,0.100000,7.230000
TREX-DA: TOMP,FDR,0.200000,0.067500
TREX-DA: TOMP,sd_FDR,0.200000,0.249006
TREX-DA: TOMP,TPR,0.200000,0.020000
TREX-DA: TOMP,sd_TPR,0.200000,0.060151
TREX-DA: TOMP,Avg_L,0.200000,2.400000
TREX-DA: TOMP,Avg_T,0.200000,7.280000
TREX-DA: TOMP,FDR,0.500000,0.149083
TREX-DA: TOMP,sd_FDR,0.500000,0.282493
TREX-DA: TOMP,TPR,0.500000,0.240000
TREX-DA: TOMP,sd_TPR,0.500000,0.215014
TREX-DA: TOMP,Avg_L,0.500000,3.430000
TREX-DA: TOMP,Avg_T,0.500000,6.595000
TREX-DA: TOMP,FDR,0.600000,0.112833
TREX-DA: TOMP,sd_FDR,0.600000,0.207822
TREX-DA: TOMP,TPR,0.600000,0.341000
TREX-DA: TOMP,sd_TPR,0.600000,0.248653
TREX-DA: TOMP,Avg_L,0.600000,3.035000
TREX-DA: TOMP,Avg_T,0.600000,6.675000
TREX-DA: TOMP,FDR,1.000000,0.114333
TREX-DA: TOMP,sd_FDR,1.000000,0.176312
TREX-DA: TOMP,TPR,1.000000,0.720000
TREX-DA: TOMP,sd_TPR,1.000000,0.251228
TREX-DA: TOMP,Avg_L,1.000000,1.940000
TREX-DA: TOMP,Avg_T,1.000000,6.525000
TREX-DA: TOMP,FDR,2.000000,0.075071
TREX-DA: TOMP,sd_FDR,2.000000,0.135737
TREX-DA: TOMP,TPR,2.000000,0.925000
TREX-DA: TOMP,sd_TPR,2.000000,0.157158
TREX-DA: TOMP,Avg_L,2.000000,1.305000
TREX-DA: TOMP,Avg_T,2.000000,6.145000
TREX-DA: TOMP,FDR,5.000000,0.029452
TREX-DA: TOMP,sd_FDR,5.000000,0.076832
TREX-DA: TOMP,TPR,5.000000,0.985000
TREX-DA: TOMP,sd_TPR,5.000000,0.056489
TREX-DA: TOMP,Avg_L,5.000000,1.260000
TREX-DA: TOMP,Avg_T,5.000000,6.120000
