solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.023083
TREX-DA: TLARS,sd_FDR,0.050000,0.079302
TREX-DA: TLARS,TPR,0.050000,0.626000
TREX-DA: TLARS,sd_TPR,0.050000,0.267736
TREX-DA: TLARS,Avg_L,0.050000,6.510000
TREX-DA: TLARS,Avg_T,0.050000,11.755000
TREX-DA: TLARS,FDR,0.100000,0.034321
TREX-DA: TLARS,sd_FDR,0.100000,0.107572
TREX-DA: TLARS,TPR,0.100000,0.725000
TREX-DA: TLARS,sd_TPR,0.100000,0.232476
TREX-DA: TLARS,Avg_L,0.100000,3.470000
TREX-DA: TLARS,Avg_T,0.100000,13.380000
TREX-DA: TLARS,FDR,0.150000,0.047000
TREX-DA: TLARS,sd_FDR,0.150000,0.103764
TREX-DA: TLARS,TPR,0.150000,0.729000
TREX-DA: TLARS,sd_TPR,0.150000,0.217706
TREX-DA: TLARS,Avg_L,0.150000,2.345000
TREX-DA: TLARS,Avg_T,0.150000,11.905000
TREX-DA: TLARS,FDR,0.200000,0.051643
TREX-DA: TLARS,sd_FDR,0.200000,0.109176
TREX-DA: TLARS,TPR,0.200000,0.767000
TREX-DA: TLARS,sd_TPR,0.200000,0.194164
TREX-DA: TLARS,Avg_L,0.200000,1.830000
TREX-DA: TLARS,Avg_T,0.200000,10.570000
TREX-DA: TLARS,FDR,0.250000,0.087508
TREX-DA: TLARS,sd_FDR,0.250000,0.140392
TREX-DA: TLARS,TPR,0.250000,0.769000
TREX-DA: TLARS,sd_TPR,0.250000,0.193458
TREX-DA: TLARS,Avg_L,0.250000,1.255000
TREX-DA: TLARS,Avg_T,0.250000,8.355000
TREX-DA: TLARS,FDR,0.300000,0.116530
TREX-DA: TLARS,sd_FDR,0.300000,0.157522
TREX-DA: TLARS,TPR,0.300000,0.774000
TREX-DA: TLARS,sd_TPR,0.300000,0.206731
TREX-DA: TLARS,Avg_L,0.300000,1.070000
TREX-DA: TLARS,Avg_T,0.300000,8.135000
TREX-DA: TLARS,FDR,0.350000,0.161357
TREX-DA: TLARS,sd_FDR,0.350000,0.177962
TREX-DA: TLARS,TPR,0.350000,0.791000
TREX-DA: TLARS,sd_TPR,0.350000,0.206719
TREX-DA: TLARS,Avg_L,0.350000,1.045000
TREX-DA: TLARS,Avg_T,0.350000,11.410000
TREX-DA: TLARS,FDR,0.400000,0.242725
TREX-DA: TLARS,sd_FDR,0.400000,0.186171
TREX-DA: TLARS,TPR,0.400000,0.802000
TREX-DA: TLARS,sd_TPR,0.400000,0.223260
TREX-DA: TLARS,Avg_L,0.400000,1.015000
TREX-DA: TLARS,Avg_T,0.400000,12.190000
TREX-DA: TLARS,FDR,0.450000,0.297908
TREX-DA: TLARS,sd_FDR,0.450000,0.179527
TREX-DA: TLARS,TPR,0.450000,0.872000
TREX-DA: TLARS,sd_TPR,0.450000,0.188130
TREX-DA: TLARS,Avg_L,0.450000,1.005000
TREX-DA: TLARS,Avg_T,0.450000,15.905000
TREX-DA: TLARS,FDR,0.500000,0.364456
TREX-DA: TLARS,sd_FDR,0.500000,0.160889
TREX-DA: TLARS,TPR,0.500000,0.916000
TREX-DA: TLARS,sd_TPR,0.500000,0.164558
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,21.210000
TREX-DA: TAFS,FDR,0.050000,0.054500
TREX-DA: TAFS,sd_FDR,0.050000,0.112553
TREX-DA: TAFS,TPR,0.050000,0.792000
TREX-DA: TAFS,sd_TPR,0.050000,0.229345
TREX-DA: TAFS,Avg_L,0.050000,5.230000
TREX-DA: TAFS,Avg_T,0.050000,6.610000
TREX-DA: TAFS,FDR,0.100000,0.044143
TREX-DA: TAFS,sd_FDR,0.100000,0.092820
TREX-DA: TAFS,TPR,0.100000,0.826000
TREX-DA: TAFS,sd_TPR,0.100000,0.201811
TREX-DA: TAFS,Avg_L,0.100000,2.770000
TREX-DA: TAFS,Avg_T,0.100000,6.360000
TREX-DA: TAFS,FDR,0.150000,0.069250
TREX-DA: TAFS,sd_FDR,0.150000,0.117568
TREX-DA: TAFS,TPR,0.150000,0.842000
TREX-DA: TAFS,sd_TPR,0.150000,0.187649
TREX-DA: TAFS,Avg_L,0.150000,2.080000
TREX-DA: TAFS,Avg_T,0.150000,6.300000
TREX-DA: TAFS,FDR,0.200000,0.069524
TREX-DA: TAFS,sd_FDR,0.200000,0.120392
TREX-DA: TAFS,TPR,0.200000,0.889000
TREX-DA: TAFS,sd_TPR,0.200000,0.153613
TREX-DA: TAFS,Avg_L,0.200000,1.540000
TREX-DA: TAFS,Avg_T,0.200000,6.690000
TREX-DA: TAFS,FDR,0.250000,0.105131
TREX-DA: TAFS,sd_FDR,0.250000,0.137389
TREX-DA: TAFS,TPR,0.250000,0.848000
TREX-DA: TAFS,sd_TPR,0.250000,0.170415
TREX-DA: TAFS,Avg_L,0.250000,1.060000
TREX-DA: TAFS,Avg_T,0.250000,6.600000
TREX-DA: TAFS,FDR,0.300000,0.145839
TREX-DA: TAFS,sd_FDR,0.300000,0.152405
TREX-DA: TAFS,TPR,0.300000,0.872000
TREX-DA: TAFS,sd_TPR,0.300000,0.171356
TREX-DA: TAFS,Avg_L,0.300000,1.035000
TREX-DA: TAFS,Avg_T,0.300000,6.700000
TREX-DA: TAFS,FDR,0.350000,0.188158
TREX-DA: TAFS,sd_FDR,0.350000,0.163598
TREX-DA: TAFS,TPR,0.350000,0.914000
TREX-DA: TAFS,sd_TPR,0.350000,0.169552
TREX-DA: TAFS,Avg_L,0.350000,1.005000
TREX-DA: TAFS,Avg_T,0.350000,7.585000
TREX-DA: TAFS,FDR,0.400000,0.226098
TREX-DA: TAFS,sd_FDR,0.400000,0.141653
TREX-DA: TAFS,TPR,0.400000,0.922000
TREX-DA: TAFS,sd_TPR,0.400000,0.151096
TREX-DA: TAFS,Avg_L,0.400000,1.005000
TREX-DA: TAFS,Avg_T,0.400000,8.005000
TREX-DA: TAFS,FDR,0.450000,0.290218
TREX-DA: TAFS,sd_FDR,0.450000,0.135719
TREX-DA: TAFS,TPR,0.450000,0.940000
TREX-DA: TAFS,sd_TPR,0.450000,0.115180
TREX-DA: TAFS,Avg_L,0.450000,1.000000
TREX-DA: TAFS,Avg_T,0.450000,8.500000
TREX-DA: TAFS,FDR,0.500000,0.320959
TREX-DA: TAFS,sd_FDR,0.500000,0.138918
TREX-DA: TAFS,TPR,0.500000,0.934000
TREX-DA: TAFS,sd_TPR,0.500000,0.143341
TREX-DA: TAFS,Avg_L,0.500000,1.000000
TREX-DA: TAFS,Avg_T,0.500000,8.550000
TREX-DA: TOMP,FDR,0.050000,0.052667
TREX-DA: TOMP,sd_FDR,0.050000,0.107461
TREX-DA: TOMP,TPR,0.050000,0.922000
TREX-DA: TOMP,sd_TPR,0.050000,0.153734
TREX-DA: TOMP,Avg_L,0.050000,4.535000
TREX-DA: TOMP,Avg_T,0.050000,7.610000
TREX-DA: TOMP,FDR,0.100000,0.053095
TREX-DA: TOMP,sd_FDR,0.100000,0.106320
TREX-DA: TOMP,TPR,0.100000,0.926000
TREX-DA: TOMP,sd_TPR,0.100000,0.158270
TREX-DA: TOMP,Avg_L,0.100000,2.365000
TREX-DA: TOMP,Avg_T,0.100000,7.130000
TREX-DA: TOMP,FDR,0.150000,0.056524
TREX-DA: TOMP,sd_FDR,0.150000,0.097851
TREX-DA: TOMP,TPR,0.150000,0.944000
TREX-DA: TOMP,sd_TPR,0.150000,0.117186
TREX-DA: TOMP,Avg_L,0.150000,2.060000
TREX-DA: TOMP,Avg_T,0.150000,7.405000
TREX-DA: TOMP,FDR,0.200000,0.068464
TREX-DA: TOMP,sd_FDR,0.200000,0.112417
TREX-DA: TOMP,TPR,0.200000,0.946000
TREX-DA: TOMP,sd_TPR,0.200000,0.111111
TREX-DA: TOMP,Avg_L,0.200000,1.140000
TREX-DA: TOMP,Avg_T,0.200000,6.835000
TREX-DA: TOMP,FDR,0.250000,0.101238
TREX-DA: TOMP,sd_FDR,0.250000,0.131445
TREX-DA: TOMP,TPR,0.250000,0.942000
TREX-DA: TOMP,sd_TPR,0.250000,0.133887
TREX-DA: TOMP,Avg_L,0.250000,1.040000
TREX-DA: TOMP,Avg_T,0.250000,7.530000
TREX-DA: TOMP,FDR,0.300000,0.126893
TREX-DA: TOMP,sd_FDR,0.300000,0.153238
TREX-DA: TOMP,TPR,0.300000,0.931000
TREX-DA: TOMP,sd_TPR,0.300000,0.138328
TREX-DA: TOMP,Avg_L,0.300000,1.015000
TREX-DA: TOMP,Avg_T,0.300000,7.465000
TREX-DA: TOMP,FDR,0.350000,0.169784
TREX-DA: TOMP,sd_FDR,0.350000,0.132293
TREX-DA: TOMP,TPR,0.350000,0.954000
TREX-DA: TOMP,sd_TPR,0.350000,0.124747
TREX-DA: TOMP,Avg_L,0.350000,1.015000
TREX-DA: TOMP,Avg_T,0.350000,7.925000
TREX-DA: TOMP,FDR,0.400000,0.182081
TREX-DA: TOMP,sd_FDR,0.400000,0.142270
TREX-DA: TOMP,TPR,0.400000,0.957000
TREX-DA: TOMP,sd_TPR,0.400000,0.103947
TREX-DA: TOMP,Avg_L,0.400000,1.010000
TREX-DA: TOMP,Avg_T,0.400000,8.110000
TREX-DA: TOMP,FDR,0.450000,0.214810
TREX-DA: TOMP,sd_FDR,0.450000,0.152439
TREX-DA: TOMP,TPR,0.450000,0.960000
TREX-DA: TOMP,sd_TPR,0.450000,0.087397
TREX-DA: TOMP,Avg_L,0.450000,1.000000
TREX-DA: TOMP,Avg_T,0.450000,8.180000
TREX-DA: TOMP,FDR,0.500000,0.214855
TREX-DA: TOMP,sd_FDR,0.500000,0.153164
TREX-DA: TOMP,TPR,0.500000,0.940000
TREX-DA: TOMP,sd_TPR,0.500000,0.118619
TREX-DA: TOMP,Avg_L,0.500000,1.005000
TREX-DA: TOMP,Avg_T,0.500000,8.180000
