solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.030583
TREX-DA: TLARS,sd_FDR,0.050000,0.087345
TREX-DA: TLARS,TPR,0.050000,0.628000
TREX-DA: TLARS,sd_TPR,0.050000,0.271264
TREX-DA: TLARS,Avg_L,0.050000,6.450000
TREX-DA: TLARS,Avg_T,0.050000,11.770000
TREX-DA: TLARS,FDR,0.100000,0.039310
TREX-DA: TLARS,sd_FDR,0.100000,0.116293
TREX-DA: TLARS,TPR,0.100000,0.733000
TREX-DA: TLARS,sd_TPR,0.100000,0.234919
TREX-DA: TLARS,Avg_L,0.100000,3.435000
TREX-DA: TLARS,Avg_T,0.100000,12.645000
TREX-DA: TLARS,FDR,0.150000,0.060560
TREX-DA: TLARS,sd_FDR,0.150000,0.116444
TREX-DA: TLARS,TPR,0.150000,0.762000
TREX-DA: TLARS,sd_TPR,0.150000,0.206809
TREX-DA: TLARS,Avg_L,0.150000,2.400000
TREX-DA: TLARS,Avg_T,0.150000,11.945000
TREX-DA: TLARS,FDR,0.200000,0.071786
TREX-DA: TLARS,sd_FDR,0.200000,0.121595
TREX-DA: TLARS,TPR,0.200000,0.791000
TREX-DA: TLARS,sd_TPR,0.200000,0.193666
TREX-DA: TLARS,Avg_L,0.200000,1.860000
TREX-DA: TLARS,Avg_T,0.200000,10.445000
TREX-DA: TLARS,FDR,0.250000,0.104113
TREX-DA: TLARS,sd_FDR,0.250000,0.139305
TREX-DA: TLARS,TPR,0.250000,0.796000
TREX-DA: TLARS,sd_TPR,0.250000,0.180407
TREX-DA: TLARS,Avg_L,0.250000,1.295000
TREX-DA: TLARS,Avg_T,0.250000,8.675000
TREX-DA: TLARS,FDR,0.300000,0.135030
TREX-DA: TLARS,sd_FDR,0.300000,0.154728
TREX-DA: TLARS,TPR,0.300000,0.785000
TREX-DA: TLARS,sd_TPR,0.300000,0.205392
TREX-DA: TLARS,Avg_L,0.300000,1.075000
TREX-DA: TLARS,Avg_T,0.300000,8.520000
TREX-DA: TLARS,FDR,0.350000,0.187584
TREX-DA: TLARS,sd_FDR,0.350000,0.182929
TREX-DA: TLARS,TPR,0.350000,0.800000
TREX-DA: TLARS,sd_TPR,0.350000,0.200502
TREX-DA: TLARS,Avg_L,0.350000,1.040000
TREX-DA: TLARS,Avg_T,0.350000,10.375000
TREX-DA: TLARS,FDR,0.400000,0.241806
TREX-DA: TLARS,sd_FDR,0.400000,0.185041
TREX-DA: TLARS,TPR,0.400000,0.824000
TREX-DA: TLARS,sd_TPR,0.400000,0.219236
TREX-DA: TLARS,Avg_L,0.400000,1.020000
TREX-DA: TLARS,Avg_T,0.400000,10.520000
TREX-DA: TLARS,FDR,0.450000,0.321733
TREX-DA: TLARS,sd_FDR,0.450000,0.174040
TREX-DA: TLARS,TPR,0.450000,0.890000
TREX-DA: TLARS,sd_TPR,0.450000,0.165034
TREX-DA: TLARS,Avg_L,0.450000,1.005000
TREX-DA: TLARS,Avg_T,0.450000,16.050000
TREX-DA: TLARS,FDR,0.500000,0.383473
TREX-DA: TLARS,sd_FDR,0.500000,0.163138
TREX-DA: TLARS,TPR,0.500000,0.910000
TREX-DA: TLARS,sd_TPR,0.500000,0.174506
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,20.145000
TREX-DA: TAFS,FDR,0.050000,0.063107
TREX-DA: TAFS,sd_FDR,0.050000,0.120135
TREX-DA: TAFS,TPR,0.050000,0.778000
TREX-DA: TAFS,sd_TPR,0.050000,0.236210
TREX-DA: TAFS,Avg_L,0.050000,5.360000
TREX-DA: TAFS,Avg_T,0.050000,6.510000
TREX-DA: TAFS,FDR,0.100000,0.046190
TREX-DA: TAFS,sd_FDR,0.100000,0.097180
TREX-DA: TAFS,TPR,0.100000,0.833000
TREX-DA: TAFS,sd_TPR,0.100000,0.203267
TREX-DA: TAFS,Avg_L,0.100000,2.785000
