solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.017667
TREX-DA: TLARS,sd_FDR,0.050000,0.073015
TREX-DA: TLARS,TPR,0.050000,0.591000
TREX-DA: TLARS,sd_TPR,0.050000,0.279481
TREX-DA: TLARS,Avg_L,0.050000,6.625000
TREX-DA: TLARS,Avg_T,0.050000,12.000000
TREX-DA: TLARS,FDR,0.100000,0.019417
TREX-DA: TLARS,sd_FDR,0.100000,0.090977
TREX-DA: TLARS,TPR,0.100000,0.714000
TREX-DA: TLARS,sd_TPR,0.100000,0.235118
TREX-DA: TLARS,Avg_L,0.100000,3.580000
TREX-DA: TLARS,Avg_T,0.100000,20.060000
TREX-DA: TLARS,FDR,0.150000,0.019083
TREX-DA: TLARS,sd_FDR,0.150000,0.063852
TREX-DA: TLARS,TPR,0.150000,0.714000
TREX-DA: TLARS,sd_TPR,0.150000,0.236821
TREX-DA: TLARS,Avg_L,0.150000,2.430000
TREX-DA: TLARS,Avg_T,0.150000,20.320000
TREX-DA: TLARS,FDR,0.200000,0.020333
TREX-DA: TLARS,sd_FDR,0.200000,0.068995
TREX-DA: TLARS,TPR,0.200000,0.769000
TREX-DA: TLARS,sd_TPR,0.200000,0.203583
TREX-DA: TLARS,Avg_L,0.200000,1.875000
TREX-DA: TLARS,Avg_T,0.200000,15.500000
TREX-DA: TLARS,FDR,0.250000,0.037292
TREX-DA: TLARS,sd_FDR,0.250000,0.097627
TREX-DA: TLARS,TPR,0.250000,0.791000
TREX-DA: TLARS,sd_TPR,0.250000,0.192625
TREX-DA: TLARS,Avg_L,0.250000,1.405000
TREX-DA: TLARS,Avg_T,0.250000,14.865000
TREX-DA: TLARS,FDR,0.300000,0.045262
TREX-DA: TLARS,sd_FDR,0.300000,0.092644
TREX-DA: TLARS,TPR,0.300000,0.767000
TREX-DA: TLARS,sd_TPR,0.300000,0.216670
TREX-DA: TLARS,Avg_L,0.300000,1.115000
TREX-DA: TLARS,Avg_T,0.300000,14.995000
TREX-DA: TLARS,FDR,0.350000,0.075577
TREX-DA: TLARS,sd_FDR,0.350000,0.114495
TREX-DA: TLARS,TPR,0.350000,0.795000
TREX-DA: TLARS,sd_TPR,0.350000,0.209750
TREX-DA: TLARS,Avg_L,0.350000,1.070000
TREX-DA: TLARS,Avg_T,0.350000,15.915000
TREX-DA: TLARS,FDR,0.400000,0.148341
TREX-DA: TLARS,sd_FDR,0.400000,0.140136
TREX-DA: TLARS,TPR,0.400000,0.806000
TREX-DA: TLARS,sd_TPR,0.400000,0.217718
