solver,metric,tFDR,value
TREX-DA: TLARS,FDR,0.050000,0.025417
TREX-DA: TLARS,sd_FDR,0.050000,0.110894
TREX-DA: TLARS,TPR,0.050000,0.617000
TREX-DA: TLARS,sd_TPR,0.050000,0.275482
TREX-DA: TLARS,Avg_L,0.050000,6.270000
TREX-DA: TLARS,Avg_T,0.050000,12.165000
TREX-DA: TLARS,FDR,0.100000,0.027542
TREX-DA: TLARS,sd_FDR,0.100000,0.081804
TREX-DA: TLARS,TPR,0.100000,0.722000
TREX-DA: TLARS,sd_TPR,0.100000,0.209128
TREX-DA: TLARS,Avg_L,0.100000,3.475000
TREX-DA: TLARS,Avg_T,0.100000,18.945000
TREX-DA: TLARS,FDR,0.150000,0.041917
TREX-DA: TLARS,sd_FDR,0.150000,0.131796
TREX-DA: TLARS,TPR,0.150000,0.731000
TREX-DA: TLARS,sd_TPR,0.150000,0.225596
TREX-DA: TLARS,Avg_L,0.150000,2.385000
TREX-DA: TLARS,Avg_T,0.150000,20.430000
TREX-DA: TLARS,FDR,0.200000,0.054429
TREX-DA: TLARS,sd_FDR,0.200000,0.119281
TREX-DA: TLARS,TPR,0.200000,0.775000
TREX-DA: TLARS,sd_TPR,0.200000,0.218664
TREX-DA: TLARS,Avg_L,0.200000,1.815000
TREX-DA: TLARS,Avg_T,0.200000,17.075000
TREX-DA: TLARS,FDR,0.250000,0.051065
TREX-DA: TLARS,sd_FDR,0.250000,0.099528
TREX-DA: TLARS,TPR,0.250000,0.758000
TREX-DA: TLARS,sd_TPR,0.250000,0.220178
TREX-DA: TLARS,Avg_L,0.250000,1.375000
TREX-DA: TLARS,Avg_T,0.250000,15.375000
TREX-DA: TLARS,FDR,0.300000,0.073601
TREX-DA: TLARS,sd_FDR,0.300000,0.109681
TREX-DA: TLARS,TPR,0.300000,0.791000
TREX-DA: TLARS,sd_TPR,0.300000,0.213417
TREX-DA: TLARS,Avg_L,0.300000,1.140000
TREX-DA: TLARS,Avg_T,0.300000,13.605000
TREX-DA: TLARS,FDR,0.350000,0.140054
TREX-DA: TLARS,sd_FDR,0.350000,0.147415
TREX-DA: TLARS,TPR,0.350000,0.795000
TREX-DA: TLARS,sd_TPR,0.350000,0.246738
TREX-DA: TLARS,Avg_L,0.350000,1.075000
TREX-DA: TLARS,Avg_T,0.350000,17.545000
TREX-DA: TLARS,FDR,0.400000,0.183893
TREX-DA: TLARS,sd_FDR,0.400000,0.155089
TREX-DA: TLARS,TPR,0.400000,0.826000
TREX-DA: TLARS,sd_TPR,0.400000,0.218087
TREX-DA: TLARS,Avg_L,0.400000,1.045000
TREX-DA: TLARS,Avg_T,0.400000,17.225000
TREX-DA: TLARS,FDR,0.450000,0.231681
TREX-DA: TLARS,sd_FDR,0.450000,0.147763
TREX-DA: TLARS,TPR,0.450000,0.907000
TREX-DA: TLARS,sd_TPR,0.450000,0.169987
TREX-DA: TLARS,Avg_L,0.450000,1.000000
TREX-DA: TLARS,Avg_T,0.450000,20.330000
TREX-DA: TLARS,FDR,0.500000,0.295595
TREX-DA: TLARS,sd_FDR,0.500000,0.136062
TREX-DA: TLARS,TPR,0.500000,0.951000
TREX-DA: TLARS,sd_TPR,0.500000,0.121130
TREX-DA: TLARS,Avg_L,0.500000,1.000000
TREX-DA: TLARS,Avg_T,0.500000,27.145000
TREX-DA: TAFS,FDR,0.050000,0.059429
TREX-DA: TAFS,sd_FDR,0.050000,0.123389
TREX-DA: TAFS,TPR,0.050000,0.780000
TREX-DA: TAFS,sd_TPR,0.050000,0.235536
TREX-DA: TAFS,Avg_L,0.050000,5.345000
TREX-DA: TAFS,Avg_T,0.050000,6.120000
TREX-DA: TAFS,FDR,0.100000,0.055167
TREX-DA: TAFS,sd_FDR,0.100000,0.105401
TREX-DA: TAFS,TPR,0.100000,0.819000
TREX-DA: TAFS,sd_TPR,0.100000,0.189787
TREX-DA: TAFS,Avg_L,0.100000,2.945000
TREX-DA: TAFS,Avg_T,0.100000,6.630000
TREX-DA: TAFS,FDR,0.150000,0.069667
TREX-DA: TAFS,sd_FDR,0.150000,0.144122
TREX-DA: TAFS,TPR,0.150000,0.810000
TREX-DA: TAFS,sd_TPR,0.150000,0.213843
TREX-DA: TAFS,Avg_L,0.150000,2.150000
TREX-DA: TAFS,Avg_T,0.150000,6.785000
TREX-DA: TAFS,FDR,0.200000,0.090798
TREX-DA: TAFS,sd_FDR,0.200000,0.134477
TREX-DA: TAFS,TPR,0.200000,0.887000
TREX-DA: TAFS,sd_TPR,0.200000,0.162366
TREX-DA: TAFS,Avg_L,0.200000,1.560000
TREX-DA: TAFS,Avg_T,0.200000,6.435000
TREX-DA: TAFS,FDR,0.250000,0.097204
TREX-DA: TAFS,sd_FDR,0.250000,0.124515
TREX-DA: TAFS,TPR,0.250000,0.846000
TREX-DA: TAFS,sd_TPR,0.250000,0.180128
TREX-DA: TAFS,Avg_L,0.250000,1.135000
TREX-DA: TAFS,Avg_T,0.250000,6.305000
TREX-DA: TAFS,FDR,0.300000,0.127216
TREX-DA: TAFS,sd_FDR,0.300000,0.155581
TREX-DA: TAFS,TPR,0.300000,0.888000
TREX-DA: TAFS,sd_TPR,0.300000,0.156134
TREX-DA: TAFS,Avg_L,0.300000,1.055000
TREX-DA: TAFS,Avg_T,0.300000,6.735000
TREX-DA: TAFS,FDR,0.350000,0.190651
TREX-DA: TAFS,sd_FDR,0.350000,0.158756
TREX-DA: TAFS,TPR,0.350000,0.901000
TREX-DA: TAFS,sd_TPR,0.350000,0.183760
TREX-DA: TAFS,Avg_L,0.350000,1.045000
TREX-DA: TAFS,Avg_T,0.350000,7.430000
TREX-DA: TAFS,FDR,0.400000,0.237488
TREX-DA: TAFS,sd_FDR,0.400000,0.138510
TREX-DA: TAFS,TPR,0.400000,0.916000
TREX-DA: TAFS,sd_TPR,0.400000,0.163332
TREX-DA: TAFS,Avg_L,0.400000,1.015000
TREX-DA: TAFS,Avg_T,0.400000,7.845000
TREX-DA: TAFS,FDR,0.450000,0.245040
TREX-DA: TAFS,sd_FDR,0.450000,0.141453
TREX-DA: TAFS,TPR,0.450000,0.949000
TREX-DA: TAFS,sd_TPR,0.450000,0.100246
TREX-DA: TAFS,Avg_L,0.450000,1.000000
TREX-DA: TAFS,Avg_T,0.450000,8.170000
TREX-DA: TAFS,FDR,0.500000,0.296901
TREX-DA: TAFS,sd_FDR,0.500000,0.133755
TREX-DA: TAFS,TPR,0.500000,0.943000
TREX-DA: TAFS,sd_TPR,0.500000,0.115836
TREX-DA: TAFS,Avg_L,0.500000,1.000000
TREX-DA: TAFS,Avg_T,0.500000,8.500000
TREX-DA: TOMP,FDR,0.050000,0.069607
TREX-DA: TOMP,sd_FDR,0.050000,0.123362
TREX-DA: TOMP,TPR,0.050000,0.892000
TREX-DA: TOMP,sd_TPR,0.050000,0.213927
TREX-DA: TOMP,Avg_L,0.050000,4.825000
TREX-DA: TOMP,Avg_T,0.050000,6.655000
TREX-DA: TOMP,FDR,0.100000,0.066821
TREX-DA: TOMP,sd_FDR,0.100000,0.107826
TREX-DA: TOMP,TPR,0.100000,0.916000
TREX-DA: TOMP,sd_TPR,0.100000,0.178616
TREX-DA: TOMP,Avg_L,0.100000,2.485000
TREX-DA: TOMP,Avg_T,0.100000,6.375000
TREX-DA: TOMP,FDR,0.150000,0.073262
TREX-DA: TOMP,sd_FDR,0.150000,0.121205
