solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.144417
TREX-DA: TLARS,sd_FDR,1.000000,0.261696
TREX-DA: TLARS,TPR,1.000000,0.800000
TREX-DA: TLARS,sd_TPR,1.000000,0.401004
TREX-DA: TLARS,Avg_L,1.000000,3.880000
TREX-DA: TLARS,Avg_T,1.000000,21.100000
TREX-DA: TLARS,FDR,3.000000,0.103881
TREX-DA: TLARS,sd_FDR,3.000000,0.186138
TREX-DA: TLARS,TPR,3.000000,0.798333
TREX-DA: TLARS,sd_TPR,3.000000,0.245330
TREX-DA: TLARS,Avg_L,3.000000,2.075000
TREX-DA: TLARS,Avg_T,3.000000,14.395000
TREX-DA: TLARS,FDR,5.000000,0.109714
TREX-DA: TLARS,sd_FDR,5.000000,0.163897
TREX-DA: TLARS,TPR,5.000000,0.753000
TREX-DA: TLARS,sd_TPR,5.000000,0.203465
TREX-DA: TLARS,Avg_L,5.000000,1.700000
TREX-DA: TLARS,Avg_T,5.000000,13.230000
TREX-DA: TLARS,FDR,10.000000,0.205570
TREX-DA: TLARS,sd_FDR,10.000000,0.186372
TREX-DA: TLARS,TPR,10.000000,0.433500
TREX-DA: TLARS,sd_TPR,10.000000,0.210354
TREX-DA: TLARS,Avg_L,10.000000,2.265000
TREX-DA: TLARS,Avg_T,10.000000,7.450000
TREX-DA: TLARS,FDR,15.000000,0.184833
TREX-DA: TLARS,sd_FDR,15.000000,0.224142
TREX-DA: TLARS,TPR,15.000000,0.228000
TREX-DA: TLARS,sd_TPR,15.000000,0.155791
TREX-DA: TLARS,Avg_L,15.000000,2.800000
TREX-DA: TLARS,Avg_T,15.000000,5.955000
TREX-DA: TLARS,FDR,20.000000,0.221444
TREX-DA: TLARS,sd_FDR,20.000000,0.283090
TREX-DA: TLARS,TPR,20.000000,0.085500
TREX-DA: TLARS,sd_TPR,20.000000,0.095316
TREX-DA: TLARS,Avg_L,20.000000,2.940000
TREX-DA: TLARS,Avg_T,20.000000,6.020000
TREX-DA: TLARS,FDR,30.000000,0.229721
TREX-DA: TLARS,sd_FDR,30.000000,0.314873
TREX-DA: TLARS,TPR,30.000000,0.042833
TREX-DA: TLARS,sd_TPR,30.000000,0.057820
TREX-DA: TLARS,Avg_L,30.000000,2.995000
TREX-DA: TLARS,Avg_T,30.000000,6.070000
TREX-DA: TAFS,FDR,1.000000,0.110000
TREX-DA: TAFS,sd_FDR,1.000000,0.309644
TREX-DA: TAFS,TPR,1.000000,0.010000
TREX-DA: TAFS,sd_TPR,1.000000,0.099748
TREX-DA: TAFS,Avg_L,1.000000,1.360000
TREX-DA: TAFS,Avg_T,1.000000,5.895000
TREX-DA: TAFS,FDR,3.000000,0.109565
TREX-DA: TAFS,sd_FDR,3.000000,0.176611
TREX-DA: TAFS,TPR,3.000000,0.691667
TREX-DA: TAFS,sd_TPR,3.000000,0.216406
TREX-DA: TAFS,Avg_L,3.000000,2.060000
TREX-DA: TAFS,Avg_T,3.000000,6.825000
TREX-DA: TAFS,FDR,5.000000,0.107877
TREX-DA: TAFS,sd_FDR,5.000000,0.149965
TREX-DA: TAFS,TPR,5.000000,0.863000
TREX-DA: TAFS,sd_TPR,5.000000,0.175456
TREX-DA: TAFS,Avg_L,5.000000,1.455000
TREX-DA: TAFS,Avg_T,5.000000,6.125000
TREX-DA: TAFS,FDR,10.000000,0.180639
TREX-DA: TAFS,sd_FDR,10.000000,0.161190
TREX-DA: TAFS,TPR,10.000000,0.613500
TREX-DA: TAFS,sd_TPR,10.000000,0.275221
TREX-DA: TAFS,Avg_L,10.000000,1.635000
TREX-DA: TAFS,Avg_T,10.000000,6.495000
TREX-DA: TAFS,FDR,15.000000,0.216865
TREX-DA: TAFS,sd_FDR,15.000000,0.248994
TREX-DA: TAFS,TPR,15.000000,0.270667
TREX-DA: TAFS,sd_TPR,15.000000,0.196524
TREX-DA: TAFS,Avg_L,15.000000,2.375000
TREX-DA: TAFS,Avg_T,15.000000,7.340000
TREX-DA: TAFS,FDR,20.000000,0.220113
TREX-DA: TAFS,sd_FDR,20.000000,0.284158
TREX-DA: TAFS,TPR,20.000000,0.096500
TREX-DA: TAFS,sd_TPR,20.000000,0.105800
TREX-DA: TAFS,Avg_L,20.000000,2.755000
TREX-DA: TAFS,Avg_T,20.000000,5.645000
TREX-DA: TAFS,FDR,30.000000,0.188845
TREX-DA: TAFS,sd_FDR,30.000000,0.313225
TREX-DA: TAFS,TPR,30.000000,0.032333
TREX-DA: TAFS,sd_TPR,30.000000,0.040915
TREX-DA: TAFS,Avg_L,30.000000,3.010000
TREX-DA: TAFS,Avg_T,30.000000,5.510000
TREX-DA: TOMP,FDR,1.000000,0.123333
TREX-DA: TOMP,sd_FDR,1.000000,0.217365
TREX-DA: TOMP,TPR,1.000000,0.995000
TREX-DA: TOMP,sd_TPR,1.000000,0.070711
TREX-DA: TOMP,Avg_L,1.000000,4.470000
TREX-DA: TOMP,Avg_T,1.000000,7.650000
TREX-DA: TOMP,FDR,3.000000,0.120357
TREX-DA: TOMP,sd_FDR,3.000000,0.159982
TREX-DA: TOMP,TPR,3.000000,0.988333
TREX-DA: TOMP,sd_TPR,3.000000,0.069917
TREX-DA: TOMP,Avg_L,3.000000,2.005000
TREX-DA: TOMP,Avg_T,3.000000,7.765000
TREX-DA: TOMP,FDR,5.000000,0.117532
TREX-DA: TOMP,sd_FDR,5.000000,0.135180
TREX-DA: TOMP,TPR,5.000000,0.938000
TREX-DA: TOMP,sd_TPR,5.000000,0.146504
TREX-DA: TOMP,Avg_L,5.000000,1.165000
TREX-DA: TOMP,Avg_T,5.000000,6.690000
TREX-DA: TOMP,FDR,10.000000,0.187101
TREX-DA: TOMP,sd_FDR,10.000000,0.188430
