solver,metric,M,value
TREX-DA: TLARS,FDR,1.000000,0.139417
TREX-DA: TLARS,sd_FDR,1.000000,0.255957
TREX-DA: TLARS,TPR,1.000000,0.800000
TREX-DA: TLARS,sd_TPR,1.000000,0.401004
TREX-DA: TLARS,Avg_L,1.000000,3.890000
TREX-DA: TLARS,Avg_T,1.000000,21.595000
TREX-DA: TLARS,FDR,3.000000,0.108875
TREX-DA: TLARS,sd_FDR,3.000000,0.178212
TREX-DA: TLARS,TPR,3.000000,0.800000
TREX-DA: TLARS,sd_TPR,3.000000,0.238645
TREX-DA: TLARS,Avg_L,3.000000,2.060000
TREX-DA: TLARS,Avg_T,3.000000,12.465000
TREX-DA: TLARS,FDR,5.000000,0.112607
TREX-DA: TLARS,sd_FDR,5.000000,0.172345
TREX-DA: TLARS,TPR,5.000000,0.759000
TREX-DA: TLARS,sd_TPR,5.000000,0.210572
TREX-DA: TLARS,Avg_L,5.000000,1.615000
TREX-DA: TLARS,Avg_T,5.000000,12.110000
TREX-DA: TLARS,FDR,10.000000,0.202601
TREX-DA: TLARS,sd_FDR,10.000000,0.194443
TREX-DA: TLARS,TPR,10.000000,0.441000
TREX-DA: TLARS,sd_TPR,10.000000,0.221731
TREX-DA: TLARS,Avg_L,10.000000,2.265000
TREX-DA: TLARS,Avg_T,10.000000,6.740000
TREX-DA: TLARS,FDR,15.000000,0.177751
TREX-DA: TLARS,sd_FDR,15.000000,0.213305
TREX-DA: TLARS,TPR,15.000000,0.229667
TREX-DA: TLARS,sd_TPR,15.000000,0.161193
TREX-DA: TLARS,Avg_L,15.000000,2.705000
TREX-DA: TLARS,Avg_T,15.000000,5.685000
TREX-DA: TLARS,FDR,20.000000,0.223736
TREX-DA: TLARS,sd_FDR,20.000000,0.275918
TREX-DA: TLARS,TPR,20.000000,0.095000
TREX-DA: TLARS,sd_TPR,20.000000,0.107624
TREX-DA: TLARS,Avg_L,20.000000,2.900000
TREX-DA: TLARS,Avg_T,20.000000,5.545000
TREX-DA: TLARS,FDR,30.000000,0.237500
TREX-DA: TLARS,sd_FDR,30.000000,0.323978
