solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.073786
TREX-DA: TLARS,sd_FDR,5.000000,0.126873
TREX-DA: TLARS,TPR,5.000000,0.723000
TREX-DA: TLARS,sd_TPR,5.000000,0.243655
TREX-DA: TLARS,Avg_L,5.000000,1.885000
TREX-DA: TLARS,Avg_T,5.000000,12.855000
TREX-DA: TLARS,FDR,10.000000,0.110690
TREX-DA: TLARS,sd_FDR,10.000000,0.144439
TREX-DA: TLARS,TPR,10.000000,0.781000
TREX-DA: TLARS,sd_TPR,10.000000,0.200098
TREX-DA: TLARS,Avg_L,10.000000,1.785000
TREX-DA: TLARS,Avg_T,10.000000,14.775000
TREX-DA: TLARS,FDR,15.000000,0.131185
TREX-DA: TLARS,sd_FDR,15.000000,0.186675
TREX-DA: TLARS,TPR,15.000000,0.743000
TREX-DA: TLARS,sd_TPR,15.000000,0.235005
TREX-DA: TLARS,Avg_L,15.000000,1.845000
TREX-DA: TLARS,Avg_T,15.000000,16.670000
TREX-DA: TLARS,FDR,20.000000,0.123317
TREX-DA: TLARS,sd_FDR,20.000000,0.157764
TREX-DA: TLARS,TPR,20.000000,0.775000
TREX-DA: TLARS,sd_TPR,20.000000,0.206368
TREX-DA: TLARS,Avg_L,20.000000,1.730000
TREX-DA: TLARS,Avg_T,20.000000,17.020000
TREX-DA: TLARS,FDR,25.000000,0.110548
TREX-DA: TLARS,sd_FDR,25.000000,0.155919
TREX-DA: TLARS,TPR,25.000000,0.771000
TREX-DA: TLARS,sd_TPR,25.000000,0.223627
TREX-DA: TLARS,Avg_L,25.000000,1.850000
TREX-DA: TLARS,Avg_T,25.000000,22.210000
TREX-DA: TLARS,FDR,30.000000,0.119637
TREX-DA: TLARS,sd_FDR,30.000000,0.149966
TREX-DA: TLARS,TPR,30.000000,0.786000
TREX-DA: TLARS,sd_TPR,30.000000,0.204973
TREX-DA: TLARS,Avg_L,30.000000,1.805000
TREX-DA: TLARS,Avg_T,30.000000,25.760000
TREX-DA: TLARS,FDR,35.000000,0.138821
TREX-DA: TLARS,sd_FDR,35.000000,0.186905
TREX-DA: TLARS,TPR,35.000000,0.783000
TREX-DA: TLARS,sd_TPR,35.000000,0.245381
TREX-DA: TLARS,Avg_L,35.000000,1.765000
TREX-DA: TLARS,Avg_T,35.000000,19.235000
TREX-DA: TLARS,FDR,40.000000,0.126220
TREX-DA: TLARS,sd_FDR,40.000000,0.162976
TREX-DA: TLARS,TPR,40.000000,0.763000
TREX-DA: TLARS,sd_TPR,40.000000,0.222437
TREX-DA: TLARS,Avg_L,40.000000,1.800000
TREX-DA: TLARS,Avg_T,40.000000,18.685000
TREX-DA: TLARS,FDR,45.000000,0.147798
TREX-DA: TLARS,sd_FDR,45.000000,0.170097
TREX-DA: TLARS,TPR,45.000000,0.753000
TREX-DA: TLARS,sd_TPR,45.000000,0.238907
TREX-DA: TLARS,Avg_L,45.000000,1.865000
TREX-DA: TLARS,Avg_T,45.000000,18.485000
TREX-DA: TLARS,FDR,50.000000,0.154464
TREX-DA: TLARS,sd_FDR,50.000000,0.173589
TREX-DA: TLARS,TPR,50.000000,0.770000
TREX-DA: TLARS,sd_TPR,50.000000,0.211954
TREX-DA: TLARS,Avg_L,50.000000,1.875000
TREX-DA: TLARS,Avg_T,50.000000,18.845000
TREX-DA: TAFS,FDR,5.000000,0.096958
TREX-DA: TAFS,sd_FDR,5.000000,0.133305
TREX-DA: TAFS,TPR,5.000000,0.851000
TREX-DA: TAFS,sd_TPR,5.000000,0.193354
TREX-DA: TAFS,Avg_L,5.000000,1.565000
TREX-DA: TAFS,Avg_T,5.000000,6.700000
TREX-DA: TAFS,FDR,10.000000,0.093149
TREX-DA: TAFS,sd_FDR,10.000000,0.125190
TREX-DA: TAFS,TPR,10.000000,0.879000
TREX-DA: TAFS,sd_TPR,10.000000,0.161522
TREX-DA: TAFS,Avg_L,10.000000,1.540000
TREX-DA: TAFS,Avg_T,10.000000,6.415000
TREX-DA: TAFS,FDR,15.000000,0.110024
TREX-DA: TAFS,sd_FDR,15.000000,0.134308
TREX-DA: TAFS,TPR,15.000000,0.870000
TREX-DA: TAFS,sd_TPR,15.000000,0.169836
TREX-DA: TAFS,Avg_L,15.000000,1.575000
TREX-DA: TAFS,Avg_T,15.000000,6.740000
TREX-DA: TAFS,FDR,20.000000,0.102881
TREX-DA: TAFS,sd_FDR,20.000000,0.126050
TREX-DA: TAFS,TPR,20.000000,0.876000
TREX-DA: TAFS,sd_TPR,20.000000,0.182181
TREX-DA: TAFS,Avg_L,20.000000,1.530000
TREX-DA: TAFS,Avg_T,20.000000,6.665000
TREX-DA: TAFS,FDR,25.000000,0.106536
TREX-DA: TAFS,sd_FDR,25.000000,0.143871
TREX-DA: TAFS,TPR,25.000000,0.868000
TREX-DA: TAFS,sd_TPR,25.000000,0.199940
TREX-DA: TAFS,Avg_L,25.000000,1.550000
TREX-DA: TAFS,Avg_T,25.000000,6.940000
TREX-DA: TAFS,FDR,30.000000,0.098250
TREX-DA: TAFS,sd_FDR,30.000000,0.137436
TREX-DA: TAFS,TPR,30.000000,0.897000
TREX-DA: TAFS,sd_TPR,30.000000,0.162861
TREX-DA: TAFS,Avg_L,30.000000,1.590000
