solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.096542
TREX-DA: TLARS,sd_FDR,5.000000,0.137613
TREX-DA: TLARS,TPR,5.000000,0.722000
TREX-DA: TLARS,sd_TPR,5.000000,0.239589
TREX-DA: TLARS,Avg_L,5.000000,1.840000
TREX-DA: TLARS,Avg_T,5.000000,12.900000
TREX-DA: TLARS,FDR,10.000000,0.120040
TREX-DA: TLARS,sd_FDR,10.000000,0.145319
TREX-DA: TLARS,TPR,10.000000,0.799000
TREX-DA: TLARS,sd_TPR,10.000000,0.188618
TREX-DA: TLARS,Avg_L,10.000000,1.770000
TREX-DA: TLARS,Avg_T,10.000000,13.035000
TREX-DA: TLARS,FDR,15.000000,0.142298
TREX-DA: TLARS,sd_FDR,15.000000,0.169932
TREX-DA: TLARS,TPR,15.000000,0.762000
TREX-DA: TLARS,sd_TPR,15.000000,0.210661
TREX-DA: TLARS,Avg_L,15.000000,1.810000
TREX-DA: TLARS,Avg_T,15.000000,13.910000
TREX-DA: TLARS,FDR,20.000000,0.144345
TREX-DA: TLARS,sd_FDR,20.000000,0.165604
TREX-DA: TLARS,TPR,20.000000,0.778000
TREX-DA: TLARS,sd_TPR,20.000000,0.208165
TREX-DA: TLARS,Avg_L,20.000000,1.730000
TREX-DA: TLARS,Avg_T,20.000000,14.205000
TREX-DA: TLARS,FDR,25.000000,0.132145
TREX-DA: TLARS,sd_FDR,25.000000,0.158378
TREX-DA: TLARS,TPR,25.000000,0.770000
TREX-DA: TLARS,sd_TPR,25.000000,0.219410
TREX-DA: TLARS,Avg_L,25.000000,1.840000
TREX-DA: TLARS,Avg_T,25.000000,19.190000
TREX-DA: TLARS,FDR,30.000000,0.128810
TREX-DA: TLARS,sd_FDR,30.000000,0.159460
TREX-DA: TLARS,TPR,30.000000,0.797000
TREX-DA: TLARS,sd_TPR,30.000000,0.205920
TREX-DA: TLARS,Avg_L,30.000000,1.730000
TREX-DA: TLARS,Avg_T,30.000000,22.360000
TREX-DA: TLARS,FDR,35.000000,0.150625
TREX-DA: TLARS,sd_FDR,35.000000,0.187573
TREX-DA: TLARS,TPR,35.000000,0.797000
TREX-DA: TLARS,sd_TPR,35.000000,0.240165
TREX-DA: TLARS,Avg_L,35.000000,1.740000
TREX-DA: TLARS,Avg_T,35.000000,18.250000
TREX-DA: TLARS,FDR,40.000000,0.128593
TREX-DA: TLARS,sd_FDR,40.000000,0.162463
TREX-DA: TLARS,TPR,40.000000,0.778000
TREX-DA: TLARS,sd_TPR,40.000000,0.224875
TREX-DA: TLARS,Avg_L,40.000000,1.710000
TREX-DA: TLARS,Avg_T,40.000000,17.275000
TREX-DA: TLARS,FDR,45.000000,0.155806
TREX-DA: TLARS,sd_FDR,45.000000,0.182033
TREX-DA: TLARS,TPR,45.000000,0.764000
TREX-DA: TLARS,sd_TPR,45.000000,0.219419
TREX-DA: TLARS,Avg_L,45.000000,1.895000
TREX-DA: TLARS,Avg_T,45.000000,17.805000
TREX-DA: TLARS,FDR,50.000000,0.165437
TREX-DA: TLARS,sd_FDR,50.000000,0.169070
TREX-DA: TLARS,TPR,50.000000,0.779000
TREX-DA: TLARS,sd_TPR,50.000000,0.204863
TREX-DA: TLARS,Avg_L,50.000000,1.715000
TREX-DA: TLARS,Avg_T,50.000000,15.775000
TREX-DA: TAFS,FDR,5.000000,0.098869
TREX-DA: TAFS,sd_FDR,5.000000,0.129852
TREX-DA: TAFS,TPR,5.000000,0.857000
TREX-DA: TAFS,sd_TPR,5.000000,0.194784
TREX-DA: TAFS,Avg_L,5.000000,1.575000
TREX-DA: TAFS,Avg_T,5.000000,6.795000
TREX-DA: TAFS,FDR,10.000000,0.098661
TREX-DA: TAFS,sd_FDR,10.000000,0.127781
TREX-DA: TAFS,TPR,10.000000,0.886000
TREX-DA: TAFS,sd_TPR,10.000000,0.157250
TREX-DA: TAFS,Avg_L,10.000000,1.485000
TREX-DA: TAFS,Avg_T,10.000000,6.855000
TREX-DA: TAFS,FDR,15.000000,0.119952
TREX-DA: TAFS,sd_FDR,15.000000,0.146765
TREX-DA: TAFS,TPR,15.000000,0.874000
TREX-DA: TAFS,sd_TPR,15.000000,0.164497
TREX-DA: TAFS,Avg_L,15.000000,1.570000
TREX-DA: TAFS,Avg_T,15.000000,6.880000
TREX-DA: TAFS,FDR,20.000000,0.101417
TREX-DA: TAFS,sd_FDR,20.000000,0.128973
TREX-DA: TAFS,TPR,20.000000,0.884000
TREX-DA: TAFS,sd_TPR,20.000000,0.177487
TREX-DA: TAFS,Avg_L,20.000000,1.495000
TREX-DA: TAFS,Avg_T,20.000000,7.025000
TREX-DA: TAFS,FDR,25.000000,0.111500
TREX-DA: TAFS,sd_FDR,25.000000,0.145305
TREX-DA: TAFS,TPR,25.000000,0.873000
TREX-DA: TAFS,sd_TPR,25.000000,0.196632
TREX-DA: TAFS,Avg_L,25.000000,1.555000
TREX-DA: TAFS,Avg_T,25.000000,6.960000
TREX-DA: TAFS,FDR,30.000000,0.093988
TREX-DA: TAFS,sd_FDR,30.000000,0.136006
TREX-DA: TAFS,TPR,30.000000,0.896000
TREX-DA: TAFS,sd_TPR,30.000000,0.165289
TREX-DA: TAFS,Avg_L,30.000000,1.505000
TREX-DA: TAFS,Avg_T,30.000000,7.255000
TREX-DA: TAFS,FDR,35.000000,0.116046
TREX-DA: TAFS,sd_FDR,35.000000,0.159016
TREX-DA: TAFS,TPR,35.000000,0.885000
TREX-DA: TAFS,sd_TPR,35.000000,0.193811
TREX-DA: TAFS,Avg_L,35.000000,1.535000
TREX-DA: TAFS,Avg_T,35.000000,6.840000
TREX-DA: TAFS,FDR,40.000000,0.119863
TREX-DA: TAFS,sd_FDR,40.000000,0.152331
TREX-DA: TAFS,TPR,40.000000,0.866000
TREX-DA: TAFS,sd_TPR,40.000000,0.200612
TREX-DA: TAFS,Avg_L,40.000000,1.645000
TREX-DA: TAFS,Avg_T,40.000000,6.880000
TREX-DA: TAFS,FDR,45.000000,0.122851
TREX-DA: TAFS,sd_FDR,45.000000,0.165021
TREX-DA: TAFS,TPR,45.000000,0.890000
TREX-DA: TAFS,sd_TPR,45.000000,0.179054
TREX-DA: TAFS,Avg_L,45.000000,1.725000
TREX-DA: TAFS,Avg_T,45.000000,6.735000
TREX-DA: TAFS,FDR,50.000000,0.113881
TREX-DA: TAFS,sd_FDR,50.000000,0.132292
TREX-DA: TAFS,TPR,50.000000,0.886000
TREX-DA: TAFS,sd_TPR,50.000000,0.154673
TREX-DA: TAFS,Avg_L,50.000000,1.730000
TREX-DA: TAFS,Avg_T,50.000000,6.870000
TREX-DA: TOMP,FDR,5.000000,0.075798
TREX-DA: TOMP,sd_FDR,5.000000,0.116445
TREX-DA: TOMP,TPR,5.000000,0.934000
TREX-DA: TOMP,sd_TPR,5.000000,0.133164
TREX-DA: TOMP,Avg_L,5.000000,1.190000
TREX-DA: TOMP,Avg_T,5.000000,7.235000
TREX-DA: TOMP,FDR,10.000000,0.077560
TREX-DA: TOMP,sd_FDR,10.000000,0.123864
TREX-DA: TOMP,TPR,10.000000,0.949000
TREX-DA: TOMP,sd_TPR,10.000000,0.111630
TREX-DA: TOMP,Avg_L,10.000000,1.140000
TREX-DA: TOMP,Avg_T,10.000000,7.060000
TREX-DA: TOMP,FDR,15.000000,0.089268
TREX-DA: TOMP,sd_FDR,15.000000,0.117603
TREX-DA: TOMP,TPR,15.000000,0.929000
TREX-DA: TOMP,sd_TPR,15.000000,0.129781
TREX-DA: TOMP,Avg_L,15.000000,1.205000
TREX-DA: TOMP,Avg_T,15.000000,7.140000
TREX-DA: TOMP,FDR,20.000000,0.068905
TREX-DA: TOMP,sd_FDR,20.000000,0.115413
TREX-DA: TOMP,TPR,20.000000,0.937000
TREX-DA: TOMP,sd_TPR,20.000000,0.121262
TREX-DA: TOMP,Avg_L,20.000000,1.140000
TREX-DA: TOMP,Avg_T,20.000000,7.340000
TREX-DA: TOMP,FDR,25.000000,0.082369
TREX-DA: TOMP,sd_FDR,25.000000,0.129736
TREX-DA: TOMP,TPR,25.000000,0.932000
TREX-DA: TOMP,sd_TPR,25.000000,0.129071
TREX-DA: TOMP,Avg_L,25.000000,1.230000
TREX-DA: TOMP,Avg_T,25.000000,7.385000
TREX-DA: TOMP,FDR,30.000000,0.062869
TREX-DA: TOMP,sd_FDR,30.000000,0.098600
TREX-DA: TOMP,TPR,30.000000,0.952000
TREX-DA: TOMP,sd_TPR,30.000000,0.092405
TREX-DA: TOMP,Avg_L,30.000000,1.170000
TREX-DA: TOMP,Avg_T,30.000000,7.435000
TREX-DA: TOMP,FDR,35.000000,0.065137
TREX-DA: TOMP,sd_FDR,35.000000,0.109446
TREX-DA: TOMP,TPR,35.000000,0.946000
TREX-DA: TOMP,sd_TPR,35.000000,0.119816
TREX-DA: TOMP,Avg_L,35.000000,1.310000
TREX-DA: TOMP,Avg_T,35.000000,7.615000
TREX-DA: TOMP,FDR,40.000000,0.068345
TREX-DA: TOMP,sd_FDR,40.000000,0.110401
TREX-DA: TOMP,TPR,40.000000,0.936000
TREX-DA: TOMP,sd_TPR,40.000000,0.132635
TREX-DA: TOMP,Avg_L,40.000000,1.455000
TREX-DA: TOMP,Avg_T,40.000000,7.640000
TREX-DA: TOMP,FDR,45.000000,0.066702
TREX-DA: TOMP,sd_FDR,45.000000,0.119300
TREX-DA: TOMP,TPR,45.000000,0.953000
TREX-DA: TOMP,sd_TPR,45.000000,0.118580
TREX-DA: TOMP,Avg_L,45.000000,1.640000
TREX-DA: TOMP,Avg_T,45.000000,7.580000
TREX-DA: TOMP,FDR,50.000000,0.067915
TREX-DA: TOMP,sd_FDR,50.000000,0.119873
TREX-DA: TOMP,TPR,50.000000,0.948000
TREX-DA: TOMP,sd_TPR,50.000000,0.117324
