solver,metric,Q,value
TREX-DA: TLARS,FDR,5.000000,0.115470
TREX-DA: TLARS,sd_FDR,5.000000,0.169473
TREX-DA: TLARS,TPR,5.000000,0.732000
TREX-DA: TLARS,sd_TPR,5.000000,0.220041
TREX-DA: TLARS,Avg_L,5.000000,1.840000
TREX-DA: TLARS,Avg_T,5.000000,9.020000
TREX-DA: TLARS,FDR,10.000000,0.137561
TREX-DA: TLARS,sd_FDR,10.000000,0.172577
TREX-DA: TLARS,TPR,10.000000,0.739000
TREX-DA: TLARS,sd_TPR,10.000000,0.231402
TREX-DA: TLARS,Avg_L,10.000000,1.695000
TREX-DA: TLARS,Avg_T,10.000000,11.745000
TREX-DA: TLARS,FDR,15.000000,0.128764
TREX-DA: TLARS,sd_FDR,15.000000,0.152102
TREX-DA: TLARS,TPR,15.000000,0.772000
TREX-DA: TLARS,sd_TPR,15.000000,0.217838
TREX-DA: TLARS,Avg_L,15.000000,1.745000
TREX-DA: TLARS,Avg_T,15.000000,12.470000
TREX-DA: TLARS,FDR,20.000000,0.154583
TREX-DA: TLARS,sd_FDR,20.000000,0.170171
TREX-DA: TLARS,TPR,20.000000,0.776000
TREX-DA: TLARS,sd_TPR,20.000000,0.214603
TREX-DA: TLARS,Avg_L,20.000000,1.790000
TREX-DA: TLARS,Avg_T,20.000000,20.005000
TREX-DA: TLARS,FDR,25.000000,0.157913
TREX-DA: TLARS,sd_FDR,25.000000,0.169544
TREX-DA: TLARS,TPR,25.000000,0.758000
TREX-DA: TLARS,sd_TPR,25.000000,0.233471
TREX-DA: TLARS,Avg_L,25.000000,1.730000
TREX-DA: TLARS,Avg_T,25.000000,18.315000
TREX-DA: TLARS,FDR,30.000000,0.154363
TREX-DA: TLARS,sd_FDR,30.000000,0.176375
TREX-DA: TLARS,TPR,30.000000,0.773000
TREX-DA: TLARS,sd_TPR,30.000000,0.220258
TREX-DA: TLARS,Avg_L,30.000000,1.755000
TREX-DA: TLARS,Avg_T,30.000000,23.485000
TREX-DA: TLARS,FDR,35.000000,0.162583
TREX-DA: TLARS,sd_FDR,35.000000,0.192497
TREX-DA: TLARS,TPR,35.000000,0.779000
TREX-DA: TLARS,sd_TPR,35.000000,0.234165
TREX-DA: TLARS,Avg_L,35.000000,1.740000
TREX-DA: TLARS,Avg_T,35.000000,21.985000
TREX-DA: TLARS,FDR,40.000000,0.182871
TREX-DA: TLARS,sd_FDR,40.000000,0.212663
TREX-DA: TLARS,TPR,40.000000,0.746000
TREX-DA: TLARS,sd_TPR,40.000000,0.259656
TREX-DA: TLARS,Avg_L,40.000000,1.710000
TREX-DA: TLARS,Avg_T,40.000000,19.935000
TREX-DA: TLARS,FDR,45.000000,0.168282
TREX-DA: TLARS,sd_FDR,45.000000,0.193483
TREX-DA: TLARS,TPR,45.000000,0.755000
TREX-DA: TLARS,sd_TPR,45.000000,0.237607
TREX-DA: TLARS,Avg_L,45.000000,1.910000
TREX-DA: TLARS,Avg_T,45.000000,22.235000
TREX-DA: TLARS,FDR,50.000000,0.212643
TREX-DA: TLARS,sd_FDR,50.000000,0.188127
TREX-DA: TLARS,TPR,50.000000,0.728000
TREX-DA: TLARS,sd_TPR,50.000000,0.232997
TREX-DA: TLARS,Avg_L,50.000000,1.860000
TREX-DA: TLARS,Avg_T,50.000000,19.230000
TREX-DA: TAFS,FDR,5.000000,0.144946
TREX-DA: TAFS,sd_FDR,5.000000,0.165855
TREX-DA: TAFS,TPR,5.000000,0.845000
TREX-DA: TAFS,sd_TPR,5.000000,0.187485
TREX-DA: TAFS,Avg_L,5.000000,1.475000
TREX-DA: TAFS,Avg_T,5.000000,6.090000
TREX-DA: TAFS,FDR,10.000000,0.143810
TREX-DA: TAFS,sd_FDR,10.000000,0.150528
TREX-DA: TAFS,TPR,10.000000,0.868000
TREX-DA: TAFS,sd_TPR,10.000000,0.158435
TREX-DA: TAFS,Avg_L,10.000000,1.480000
TREX-DA: TAFS,Avg_T,10.000000,6.315000
TREX-DA: TAFS,FDR,15.000000,0.138437
TREX-DA: TAFS,sd_FDR,15.000000,0.140768
TREX-DA: TAFS,TPR,15.000000,0.869000
TREX-DA: TAFS,sd_TPR,15.000000,0.173173
TREX-DA: TAFS,Avg_L,15.000000,1.555000
TREX-DA: TAFS,Avg_T,15.000000,6.670000
TREX-DA: TAFS,FDR,20.000000,0.145105
TREX-DA: TAFS,sd_FDR,20.000000,0.154184
TREX-DA: TAFS,TPR,20.000000,0.860000
TREX-DA: TAFS,sd_TPR,20.000000,0.174793
TREX-DA: TAFS,Avg_L,20.000000,1.530000
TREX-DA: TAFS,Avg_T,20.000000,6.845000
TREX-DA: TAFS,FDR,25.000000,0.143387
TREX-DA: TAFS,sd_FDR,25.000000,0.163157
TREX-DA: TAFS,TPR,25.000000,0.847000
TREX-DA: TAFS,sd_TPR,25.000000,0.206407
TREX-DA: TAFS,Avg_L,25.000000,1.515000
TREX-DA: TAFS,Avg_T,25.000000,6.840000
TREX-DA: TAFS,FDR,30.000000,0.137482
TREX-DA: TAFS,sd_FDR,30.000000,0.149907
TREX-DA: TAFS,TPR,30.000000,0.859000
TREX-DA: TAFS,sd_TPR,30.000000,0.184633
TREX-DA: TAFS,Avg_L,30.000000,1.485000
TREX-DA: TAFS,Avg_T,30.000000,6.885000
TREX-DA: TAFS,FDR,35.000000,0.150355
TREX-DA: TAFS,sd_FDR,35.000000,0.178360
TREX-DA: TAFS,TPR,35.000000,0.869000
TREX-DA: TAFS,sd_TPR,35.000000,0.196039
TREX-DA: TAFS,Avg_L,35.000000,1.550000
TREX-DA: TAFS,Avg_T,35.000000,7.040000
TREX-DA: TAFS,FDR,40.000000,0.135532
TREX-DA: TAFS,sd_FDR,40.000000,0.159078
TREX-DA: TAFS,TPR,40.000000,0.859000
TREX-DA: TAFS,sd_TPR,40.000000,0.189999
TREX-DA: TAFS,Avg_L,40.000000,1.545000
TREX-DA: TAFS,Avg_T,40.000000,7.070000
TREX-DA: TAFS,FDR,45.000000,0.123054
TREX-DA: TAFS,sd_FDR,45.000000,0.146968
TREX-DA: TAFS,TPR,45.000000,0.884000
TREX-DA: TAFS,sd_TPR,45.000000,0.168183
TREX-DA: TAFS,Avg_L,45.000000,1.740000
TREX-DA: TAFS,Avg_T,45.000000,7.100000
TREX-DA: TAFS,FDR,50.000000,0.152411
TREX-DA: TAFS,sd_FDR,50.000000,0.147368
TREX-DA: TAFS,TPR,50.000000,0.855000
TREX-DA: TAFS,sd_TPR,50.000000,0.181493
TREX-DA: TAFS,Avg_L,50.000000,1.825000
TREX-DA: TAFS,Avg_T,50.000000,6.840000
TREX-DA: TOMP,FDR,5.000000,0.156167
TREX-DA: TOMP,sd_FDR,5.000000,0.163590
TREX-DA: TOMP,TPR,5.000000,0.920000
TREX-DA: TOMP,sd_TPR,5.000000,0.166549
TREX-DA: TOMP,Avg_L,5.000000,1.190000
TREX-DA: TOMP,Avg_T,5.000000,6.680000
TREX-DA: TOMP,FDR,10.000000,0.141460
TREX-DA: TOMP,sd_FDR,10.000000,0.147846
TREX-DA: TOMP,TPR,10.000000,0.934000
TREX-DA: TOMP,sd_TPR,10.000000,0.126983
TREX-DA: TOMP,Avg_L,10.000000,1.180000
TREX-DA: TOMP,Avg_T,10.000000,6.540000
TREX-DA: TOMP,FDR,15.000000,0.118321
TREX-DA: TOMP,sd_FDR,15.000000,0.132869
TREX-DA: TOMP,TPR,15.000000,0.934000
TREX-DA: TOMP,sd_TPR,15.000000,0.147488
TREX-DA: TOMP,Avg_L,15.000000,1.195000
TREX-DA: TOMP,Avg_T,15.000000,6.595000
TREX-DA: TOMP,FDR,20.000000,0.122653
TREX-DA: TOMP,sd_FDR,20.000000,0.145734
TREX-DA: TOMP,TPR,20.000000,0.937000
TREX-DA: TOMP,sd_TPR,20.000000,0.153456
TREX-DA: TOMP,Avg_L,20.000000,1.220000
TREX-DA: TOMP,Avg_T,20.000000,6.690000
TREX-DA: TOMP,FDR,25.000000,0.132560
TREX-DA: TOMP,sd_FDR,25.000000,0.132983
TREX-DA: TOMP,TPR,25.000000,0.926000
TREX-DA: TOMP,sd_TPR,25.000000,0.151787
TREX-DA: TOMP,Avg_L,25.000000,1.220000
TREX-DA: TOMP,Avg_T,25.000000,7.015000
TREX-DA: TOMP,FDR,30.000000,0.114609
TREX-DA: TOMP,sd_FDR,30.000000,0.134287
TREX-DA: TOMP,TPR,30.000000,0.932000
TREX-DA: TOMP,sd_TPR,30.000000,0.140980
TREX-DA: TOMP,Avg_L,30.000000,1.205000
TREX-DA: TOMP,Avg_T,30.000000,7.235000
TREX-DA: TOMP,FDR,35.000000,0.131508
TREX-DA: TOMP,sd_FDR,35.000000,0.152472
TREX-DA: TOMP,TPR,35.000000,0.931000
TREX-DA: TOMP,sd_TPR,35.000000,0.162391
TREX-DA: TOMP,Avg_L,35.000000,1.335000
TREX-DA: TOMP,Avg_T,35.000000,7.510000
TREX-DA: TOMP,FDR,40.000000,0.102381
TREX-DA: TOMP,sd_FDR,40.000000,0.133340
TREX-DA: TOMP,TPR,40.000000,0.948000
TREX-DA: TOMP,sd_TPR,40.000000,0.133360
TREX-DA: TOMP,Avg_L,40.000000,1.465000
TREX-DA: TOMP,Avg_T,40.000000,7.560000
TREX-DA: TOMP,FDR,45.000000,0.101244
TREX-DA: TOMP,sd_FDR,45.000000,0.143933
TREX-DA: TOMP,TPR,45.000000,0.942000
TREX-DA: TOMP,sd_TPR,45.000000,0.148141
TREX-DA: TOMP,Avg_L,45.000000,1.700000
TREX-DA: TOMP,Avg_T,45.000000,7.445000
TREX-DA: TOMP,FDR,50.000000,0.117923
TREX-DA: TOMP,sd_FDR,50.000000,0.139094
TREX-DA: TOMP,TPR,50.000000,0.935000
TREX-DA: TOMP,sd_TPR,50.000000,0.123496
TREX-DA: TOMP,Avg_L,50.000000,1.745000
TREX-DA: TOMP,Avg_T,50.000000,7.635000
