solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.063071
TREX-DA: TLARS,sd_FDR,0.000000,0.101590
TREX-DA: TLARS,TPR,0.000000,0.895000
TREX-DA: TLARS,sd_TPR,0.000000,0.206368
TREX-DA: TLARS,Avg_L,0.000000,2.120000
TREX-DA: TLARS,Avg_T,0.000000,17.130000
TREX-DA: TLARS,FDR,0.100000,0.068589
TREX-DA: TLARS,sd_FDR,0.100000,0.106811
TREX-DA: TLARS,TPR,0.100000,0.922000
TREX-DA: TLARS,sd_TPR,0.100000,0.191046
TREX-DA: TLARS,Avg_L,0.100000,2.140000
TREX-DA: TLARS,Avg_T,0.100000,17.550000
TREX-DA: TLARS,FDR,0.200000,0.063315
TREX-DA: TLARS,sd_FDR,0.200000,0.105086
TREX-DA: TLARS,TPR,0.200000,0.919000
TREX-DA: TLARS,sd_TPR,0.200000,0.180560
TREX-DA: TLARS,Avg_L,0.200000,2.055000
TREX-DA: TLARS,Avg_T,0.200000,14.370000
TREX-DA: TLARS,FDR,0.300000,0.052871
TREX-DA: TLARS,sd_FDR,0.300000,0.097617
TREX-DA: TLARS,TPR,0.300000,0.926000
TREX-DA: TLARS,sd_TPR,0.300000,0.137910
TREX-DA: TLARS,Avg_L,0.300000,2.015000
TREX-DA: TLARS,Avg_T,0.300000,11.820000
TREX-DA: TLARS,FDR,0.400000,0.074397
TREX-DA: TLARS,sd_FDR,0.400000,0.113988
TREX-DA: TLARS,TPR,0.400000,0.912000
TREX-DA: TLARS,sd_TPR,0.400000,0.166114
TREX-DA: TLARS,Avg_L,0.400000,1.925000
TREX-DA: TLARS,Avg_T,0.400000,12.055000
TREX-DA: TLARS,FDR,0.500000,0.068423
TREX-DA: TLARS,sd_FDR,0.500000,0.115482
TREX-DA: TLARS,TPR,0.500000,0.898000
TREX-DA: TLARS,sd_TPR,0.500000,0.162876
TREX-DA: TLARS,Avg_L,0.500000,1.885000
TREX-DA: TLARS,Avg_T,0.500000,12.215000
TREX-DA: TLARS,FDR,0.600000,0.067643
TREX-DA: TLARS,sd_FDR,0.600000,0.111956
TREX-DA: TLARS,TPR,0.600000,0.892000
TREX-DA: TLARS,sd_TPR,0.600000,0.163922
TREX-DA: TLARS,Avg_L,0.600000,1.845000
TREX-DA: TLARS,Avg_T,0.600000,15.155000
TREX-DA: TLARS,FDR,0.700000,0.066877
TREX-DA: TLARS,sd_FDR,0.700000,0.117605
TREX-DA: TLARS,TPR,0.700000,0.824000
TREX-DA: TLARS,sd_TPR,0.700000,0.203052
TREX-DA: TLARS,Avg_L,0.700000,1.810000
TREX-DA: TLARS,Avg_T,0.700000,10.920000
TREX-DA: TLARS,FDR,0.800000,0.082351
TREX-DA: TLARS,sd_FDR,0.800000,0.129997
TREX-DA: TLARS,TPR,0.800000,0.760000
TREX-DA: TLARS,sd_TPR,0.800000,0.192315
TREX-DA: TLARS,Avg_L,0.800000,1.775000
TREX-DA: TLARS,Avg_T,0.800000,12.870000
TREX-DA: TLARS,FDR,0.900000,0.108615
TREX-DA: TLARS,sd_FDR,0.900000,0.183083
TREX-DA: TLARS,TPR,0.900000,0.640000
TREX-DA: TLARS,sd_TPR,0.900000,0.236388
TREX-DA: TLARS,Avg_L,0.900000,1.830000
TREX-DA: TLARS,Avg_T,0.900000,13.115000
TREX-DA: TAFS,FDR,0.000000,0.067405
TREX-DA: TAFS,sd_FDR,0.000000,0.104386
TREX-DA: TAFS,TPR,0.000000,0.940000
TREX-DA: TAFS,sd_TPR,0.000000,0.174793
TREX-DA: TAFS,Avg_L,0.000000,1.985000
TREX-DA: TAFS,Avg_T,0.000000,6.910000
TREX-DA: TAFS,FDR,0.100000,0.054167
TREX-DA: TAFS,sd_FDR,0.100000,0.086535
TREX-DA: TAFS,TPR,0.100000,0.934000
TREX-DA: TAFS,sd_TPR,0.100000,0.196563
TREX-DA: TAFS,Avg_L,0.100000,1.940000
TREX-DA: TAFS,Avg_T,0.100000,6.925000
TREX-DA: TAFS,FDR,0.200000,0.058798
TREX-DA: TAFS,sd_FDR,0.200000,0.096074
TREX-DA: TAFS,TPR,0.200000,0.958000
TREX-DA: TAFS,sd_TPR,0.200000,0.135380
TREX-DA: TAFS,Avg_L,0.200000,2.005000
TREX-DA: TAFS,Avg_T,0.200000,6.945000
TREX-DA: TAFS,FDR,0.300000,0.044530
TREX-DA: TAFS,sd_FDR,0.300000,0.087260
TREX-DA: TAFS,TPR,0.300000,0.961000
TREX-DA: TAFS,sd_TPR,0.300000,0.131015
TREX-DA: TAFS,Avg_L,0.300000,1.890000
TREX-DA: TAFS,Avg_T,0.300000,6.480000
TREX-DA: TAFS,FDR,0.400000,0.059675
TREX-DA: TAFS,sd_FDR,0.400000,0.102655
TREX-DA: TAFS,TPR,0.400000,0.955000
TREX-DA: TAFS,sd_TPR,0.400000,0.142395
TREX-DA: TAFS,Avg_L,0.400000,1.720000
TREX-DA: TAFS,Avg_T,0.400000,6.635000
TREX-DA: TAFS,FDR,0.500000,0.048024
TREX-DA: TAFS,sd_FDR,0.500000,0.094358
TREX-DA: TAFS,TPR,0.500000,0.952000
TREX-DA: TAFS,sd_TPR,0.500000,0.133360
TREX-DA: TAFS,Avg_L,0.500000,1.650000
TREX-DA: TAFS,Avg_T,0.500000,6.690000
TREX-DA: TAFS,FDR,0.600000,0.059181
TREX-DA: TAFS,sd_FDR,0.600000,0.102118
TREX-DA: TAFS,TPR,0.600000,0.949000
TREX-DA: TAFS,sd_TPR,0.600000,0.148693
TREX-DA: TAFS,Avg_L,0.600000,1.545000
TREX-DA: TAFS,Avg_T,0.600000,6.695000
TREX-DA: TAFS,FDR,0.700000,0.054179
TREX-DA: TAFS,sd_FDR,0.700000,0.095827
TREX-DA: TAFS,TPR,0.700000,0.923000
TREX-DA: TAFS,sd_TPR,0.700000,0.153587
TREX-DA: TAFS,Avg_L,0.700000,1.520000
TREX-DA: TAFS,Avg_T,0.700000,6.480000
TREX-DA: TAFS,FDR,0.800000,0.083095
TREX-DA: TAFS,sd_FDR,0.800000,0.114775
TREX-DA: TAFS,TPR,0.800000,0.889000
TREX-DA: TAFS,sd_TPR,0.800000,0.163747
TREX-DA: TAFS,Avg_L,0.800000,1.485000
TREX-DA: TAFS,Avg_T,0.800000,6.480000
