solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.020333
TREX-DA: TLARS,sd_FDR,0.000000,0.080914
TREX-DA: TLARS,TPR,0.000000,0.555000
TREX-DA: TLARS,sd_TPR,0.000000,0.254754
TREX-DA: TLARS,Avg_L,0.000000,2.150000
TREX-DA: TLARS,Avg_T,0.000000,21.930000
TREX-DA: TLARS,FDR,0.100000,0.026333
TREX-DA: TLARS,sd_FDR,0.100000,0.087849
TREX-DA: TLARS,TPR,0.100000,0.592000
TREX-DA: TLARS,sd_TPR,0.100000,0.268882
TREX-DA: TLARS,Avg_L,0.100000,2.165000
TREX-DA: TLARS,Avg_T,0.100000,24.320000
TREX-DA: TLARS,FDR,0.200000,0.034333
TREX-DA: TLARS,sd_FDR,0.200000,0.094261
TREX-DA: TLARS,TPR,0.200000,0.647000
TREX-DA: TLARS,sd_TPR,0.200000,0.263702
TREX-DA: TLARS,Avg_L,0.200000,2.105000
TREX-DA: TLARS,Avg_T,0.200000,22.660000
TREX-DA: TLARS,FDR,0.300000,0.021333
TREX-DA: TLARS,sd_FDR,0.300000,0.070516
TREX-DA: TLARS,TPR,0.300000,0.702000
TREX-DA: TLARS,sd_TPR,0.300000,0.240594
TREX-DA: TLARS,Avg_L,0.300000,2.125000
TREX-DA: TLARS,Avg_T,0.300000,18.600000
TREX-DA: TLARS,FDR,0.400000,0.018667
TREX-DA: TLARS,sd_FDR,0.400000,0.059157
TREX-DA: TLARS,TPR,0.400000,0.811000
TREX-DA: TLARS,sd_TPR,0.400000,0.217059
TREX-DA: TLARS,Avg_L,0.400000,2.005000
TREX-DA: TLARS,Avg_T,0.400000,19.625000
TREX-DA: TLARS,FDR,0.500000,0.020929
TREX-DA: TLARS,sd_FDR,0.500000,0.064566
TREX-DA: TLARS,TPR,0.500000,0.860000
TREX-DA: TLARS,sd_TPR,0.500000,0.194394
TREX-DA: TLARS,Avg_L,0.500000,1.905000
TREX-DA: TLARS,Avg_T,0.500000,16.565000
TREX-DA: TLARS,FDR,0.600000,0.022042
TREX-DA: TLARS,sd_FDR,0.600000,0.069098
TREX-DA: TLARS,TPR,0.600000,0.871000
TREX-DA: TLARS,sd_TPR,0.600000,0.185827
TREX-DA: TLARS,Avg_L,0.600000,1.900000
TREX-DA: TLARS,Avg_T,0.600000,20.375000
TREX-DA: TLARS,FDR,0.700000,0.025667
TREX-DA: TLARS,sd_FDR,0.700000,0.073987
TREX-DA: TLARS,TPR,0.700000,0.820000
TREX-DA: TLARS,sd_TPR,0.700000,0.208368
TREX-DA: TLARS,Avg_L,0.700000,1.955000
TREX-DA: TLARS,Avg_T,0.700000,16.965000
TREX-DA: TLARS,FDR,0.800000,0.032262
TREX-DA: TLARS,sd_FDR,0.800000,0.078676
TREX-DA: TLARS,TPR,0.800000,0.765000
TREX-DA: TLARS,sd_TPR,0.800000,0.204902
