solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.138159
TREX-DA: TLARS,sd_FDR,0.000000,0.160513
TREX-DA: TLARS,TPR,0.000000,0.909000
TREX-DA: TLARS,sd_TPR,0.000000,0.186798
TREX-DA: TLARS,Avg_L,0.000000,2.135000
TREX-DA: TLARS,Avg_T,0.000000,11.555000
TREX-DA: TLARS,FDR,0.100000,0.107472
TREX-DA: TLARS,sd_FDR,0.100000,0.130252
TREX-DA: TLARS,TPR,0.100000,0.916000
TREX-DA: TLARS,sd_TPR,0.100000,0.192691
TREX-DA: TLARS,Avg_L,0.100000,2.025000
TREX-DA: TLARS,Avg_T,0.100000,12.660000
TREX-DA: TLARS,FDR,0.200000,0.112591
TREX-DA: TLARS,sd_FDR,0.200000,0.154897
TREX-DA: TLARS,TPR,0.200000,0.912000
TREX-DA: TLARS,sd_TPR,0.200000,0.197105
TREX-DA: TLARS,Avg_L,0.200000,2.000000
TREX-DA: TLARS,Avg_T,0.200000,11.795000
TREX-DA: TLARS,FDR,0.300000,0.111958
TREX-DA: TLARS,sd_FDR,0.300000,0.156528
TREX-DA: TLARS,TPR,0.300000,0.922000
TREX-DA: TLARS,sd_TPR,0.300000,0.162629
TREX-DA: TLARS,Avg_L,0.300000,1.905000
TREX-DA: TLARS,Avg_T,0.300000,11.095000
TREX-DA: TLARS,FDR,0.400000,0.103506
TREX-DA: TLARS,sd_FDR,0.400000,0.151943
TREX-DA: TLARS,TPR,0.400000,0.906000
TREX-DA: TLARS,sd_TPR,0.400000,0.185840
TREX-DA: TLARS,Avg_L,0.400000,1.830000
TREX-DA: TLARS,Avg_T,0.400000,11.305000
TREX-DA: TLARS,FDR,0.500000,0.121633
TREX-DA: TLARS,sd_FDR,0.500000,0.128971
TREX-DA: TLARS,TPR,0.500000,0.920000
TREX-DA: TLARS,sd_TPR,0.500000,0.147338
TREX-DA: TLARS,Avg_L,0.500000,1.760000
TREX-DA: TLARS,Avg_T,0.500000,11.630000
TREX-DA: TLARS,FDR,0.600000,0.119067
TREX-DA: TLARS,sd_FDR,0.600000,0.150237
TREX-DA: TLARS,TPR,0.600000,0.868000
TREX-DA: TLARS,sd_TPR,0.600000,0.202933
TREX-DA: TLARS,Avg_L,0.600000,1.770000
TREX-DA: TLARS,Avg_T,0.600000,9.865000
TREX-DA: TLARS,FDR,0.700000,0.097321
TREX-DA: TLARS,sd_FDR,0.700000,0.138082
TREX-DA: TLARS,TPR,0.700000,0.824000
TREX-DA: TLARS,sd_TPR,0.700000,0.199053
TREX-DA: TLARS,Avg_L,0.700000,1.660000
TREX-DA: TLARS,Avg_T,0.700000,11.165000
TREX-DA: TLARS,FDR,0.800000,0.098712
TREX-DA: TLARS,sd_FDR,0.800000,0.146129
TREX-DA: TLARS,TPR,0.800000,0.783000
TREX-DA: TLARS,sd_TPR,0.800000,0.199273
TREX-DA: TLARS,Avg_L,0.800000,1.760000
TREX-DA: TLARS,Avg_T,0.800000,9.705000
TREX-DA: TLARS,FDR,0.900000,0.128238
TREX-DA: TLARS,sd_FDR,0.900000,0.176309
TREX-DA: TLARS,TPR,0.900000,0.635000
TREX-DA: TLARS,sd_TPR,0.900000,0.225453
TREX-DA: TLARS,Avg_L,0.900000,1.830000
TREX-DA: TLARS,Avg_T,0.900000,11.180000
TREX-DA: TAFS,FDR,0.000000,0.125145
TREX-DA: TAFS,sd_FDR,0.000000,0.134806
TREX-DA: TAFS,TPR,0.000000,0.940000
TREX-DA: TAFS,sd_TPR,0.000000,0.172478
TREX-DA: TAFS,Avg_L,0.000000,1.895000
TREX-DA: TAFS,Avg_T,0.000000,6.200000
TREX-DA: TAFS,FDR,0.100000,0.121589
TREX-DA: TAFS,sd_FDR,0.100000,0.129515
TREX-DA: TAFS,TPR,0.100000,0.949000
TREX-DA: TAFS,sd_TPR,0.100000,0.177076
TREX-DA: TAFS,Avg_L,0.100000,1.885000
TREX-DA: TAFS,Avg_T,0.100000,6.405000
TREX-DA: TAFS,FDR,0.200000,0.108071
TREX-DA: TAFS,sd_FDR,0.200000,0.141968
TREX-DA: TAFS,TPR,0.200000,0.947000
TREX-DA: TAFS,sd_TPR,0.200000,0.162242
TREX-DA: TAFS,Avg_L,0.200000,1.880000
TREX-DA: TAFS,Avg_T,0.200000,6.655000
TREX-DA: TAFS,FDR,0.300000,0.111174
TREX-DA: TAFS,sd_FDR,0.300000,0.139026
TREX-DA: TAFS,TPR,0.300000,0.968000
TREX-DA: TAFS,sd_TPR,0.300000,0.130619
TREX-DA: TAFS,Avg_L,0.300000,1.755000
TREX-DA: TAFS,Avg_T,0.300000,6.455000
TREX-DA: TAFS,FDR,0.400000,0.096147
TREX-DA: TAFS,sd_FDR,0.400000,0.123742
TREX-DA: TAFS,TPR,0.400000,0.936000
TREX-DA: TAFS,sd_TPR,0.400000,0.168660
TREX-DA: TAFS,Avg_L,0.400000,1.650000
TREX-DA: TAFS,Avg_T,0.400000,6.255000
TREX-DA: TAFS,FDR,0.500000,0.108143
TREX-DA: TAFS,sd_FDR,0.500000,0.121859
TREX-DA: TAFS,TPR,0.500000,0.960000
TREX-DA: TAFS,sd_TPR,0.500000,0.107974
TREX-DA: TAFS,Avg_L,0.500000,1.555000
TREX-DA: TAFS,Avg_T,0.500000,6.235000
TREX-DA: TAFS,FDR,0.600000,0.117222
TREX-DA: TAFS,sd_FDR,0.600000,0.144394
TREX-DA: TAFS,TPR,0.600000,0.934000
TREX-DA: TAFS,sd_TPR,0.600000,0.164253
TREX-DA: TAFS,Avg_L,0.600000,1.450000
TREX-DA: TAFS,Avg_T,0.600000,6.145000
