solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.139002
TREX-DA: TLARS,sd_FDR,0.000000,0.149154
TREX-DA: TLARS,TPR,0.000000,0.920000
TREX-DA: TLARS,sd_TPR,0.000000,0.168946
TREX-DA: TLARS,Avg_L,0.000000,2.055000
TREX-DA: TLARS,Avg_T,0.000000,10.390000
TREX-DA: TLARS,FDR,0.100000,0.115175
TREX-DA: TLARS,sd_FDR,0.100000,0.137784
TREX-DA: TLARS,TPR,0.100000,0.929000
TREX-DA: TLARS,sd_TPR,0.100000,0.165213
TREX-DA: TLARS,Avg_L,0.100000,2.030000
TREX-DA: TLARS,Avg_T,0.100000,12.955000
TREX-DA: TLARS,FDR,0.200000,0.114175
TREX-DA: TLARS,sd_FDR,0.200000,0.158282
TREX-DA: TLARS,TPR,0.200000,0.921000
TREX-DA: TLARS,sd_TPR,0.200000,0.175823
TREX-DA: TLARS,Avg_L,0.200000,1.985000
TREX-DA: TLARS,Avg_T,0.200000,10.550000
TREX-DA: TLARS,FDR,0.300000,0.112613
TREX-DA: TLARS,sd_FDR,0.300000,0.151183
TREX-DA: TLARS,TPR,0.300000,0.933000
TREX-DA: TLARS,sd_TPR,0.300000,0.150413
TREX-DA: TLARS,Avg_L,0.300000,1.920000
TREX-DA: TLARS,Avg_T,0.300000,10.120000
TREX-DA: TLARS,FDR,0.400000,0.103216
TREX-DA: TLARS,sd_FDR,0.400000,0.139918
TREX-DA: TLARS,TPR,0.400000,0.916000
TREX-DA: TLARS,sd_TPR,0.400000,0.179737
TREX-DA: TLARS,Avg_L,0.400000,1.890000
TREX-DA: TLARS,Avg_T,0.400000,11.415000
TREX-DA: TLARS,FDR,0.500000,0.117166
TREX-DA: TLARS,sd_FDR,0.500000,0.134232
TREX-DA: TLARS,TPR,0.500000,0.916000
TREX-DA: TLARS,sd_TPR,0.500000,0.158333
TREX-DA: TLARS,Avg_L,0.500000,1.680000
TREX-DA: TLARS,Avg_T,0.500000,9.400000
TREX-DA: TLARS,FDR,0.600000,0.125097
TREX-DA: TLARS,sd_FDR,0.600000,0.158619
TREX-DA: TLARS,TPR,0.600000,0.877000
TREX-DA: TLARS,sd_TPR,0.600000,0.197143
TREX-DA: TLARS,Avg_L,0.600000,1.670000
TREX-DA: TLARS,Avg_T,0.600000,10.830000
TREX-DA: TLARS,FDR,0.700000,0.119883
TREX-DA: TLARS,sd_FDR,0.700000,0.144833
TREX-DA: TLARS,TPR,0.700000,0.830000
TREX-DA: TLARS,sd_TPR,0.700000,0.189948
TREX-DA: TLARS,Avg_L,0.700000,1.670000
TREX-DA: TLARS,Avg_T,0.700000,10.085000
TREX-DA: TLARS,FDR,0.800000,0.112962
TREX-DA: TLARS,sd_FDR,0.800000,0.144294
TREX-DA: TLARS,TPR,0.800000,0.782000
TREX-DA: TLARS,sd_TPR,0.800000,0.190413
TREX-DA: TLARS,Avg_L,0.800000,1.715000
TREX-DA: TLARS,Avg_T,0.800000,9.835000
TREX-DA: TLARS,FDR,0.900000,0.137841
TREX-DA: TLARS,sd_FDR,0.900000,0.177224
TREX-DA: TLARS,TPR,0.900000,0.630000
TREX-DA: TLARS,sd_TPR,0.900000,0.230141
TREX-DA: TLARS,Avg_L,0.900000,1.800000
TREX-DA: TLARS,Avg_T,0.900000,11.250000
TREX-DA: TAFS,FDR,0.000000,0.117940
TREX-DA: TAFS,sd_FDR,0.000000,0.140551
TREX-DA: TAFS,TPR,0.000000,0.942000
TREX-DA: TAFS,sd_TPR,0.000000,0.183314
TREX-DA: TAFS,Avg_L,0.000000,1.885000
TREX-DA: TAFS,Avg_T,0.000000,5.965000
TREX-DA: TAFS,FDR,0.100000,0.122097
TREX-DA: TAFS,sd_FDR,0.100000,0.136449
TREX-DA: TAFS,TPR,0.100000,0.950000
TREX-DA: TAFS,sd_TPR,0.100000,0.166247
TREX-DA: TAFS,Avg_L,0.100000,1.855000
TREX-DA: TAFS,Avg_T,0.100000,6.570000
TREX-DA: TAFS,FDR,0.200000,0.109135
TREX-DA: TAFS,sd_FDR,0.200000,0.137585
TREX-DA: TAFS,TPR,0.200000,0.945000
TREX-DA: TAFS,sd_TPR,0.200000,0.171236
TREX-DA: TAFS,Avg_L,0.200000,1.920000
TREX-DA: TAFS,Avg_T,0.200000,6.680000
TREX-DA: TAFS,FDR,0.300000,0.118244
TREX-DA: TAFS,sd_FDR,0.300000,0.151340
TREX-DA: TAFS,TPR,0.300000,0.967000
TREX-DA: TAFS,sd_TPR,0.300000,0.149743
TREX-DA: TAFS,Avg_L,0.300000,1.760000
TREX-DA: TAFS,Avg_T,0.300000,6.230000
TREX-DA: TAFS,FDR,0.400000,0.091992
TREX-DA: TAFS,sd_FDR,0.400000,0.130974
TREX-DA: TAFS,TPR,0.400000,0.942000
TREX-DA: TAFS,sd_TPR,0.400000,0.158625
TREX-DA: TAFS,Avg_L,0.400000,1.675000
TREX-DA: TAFS,Avg_T,0.400000,6.365000
TREX-DA: TAFS,FDR,0.500000,0.107605
TREX-DA: TAFS,sd_FDR,0.500000,0.124072
TREX-DA: TAFS,TPR,0.500000,0.958000
TREX-DA: TAFS,sd_TPR,0.500000,0.109066
TREX-DA: TAFS,Avg_L,0.500000,1.465000
TREX-DA: TAFS,Avg_T,0.500000,6.140000
TREX-DA: TAFS,FDR,0.600000,0.112706
TREX-DA: TAFS,sd_FDR,0.600000,0.135940
TREX-DA: TAFS,TPR,0.600000,0.932000
TREX-DA: TAFS,sd_TPR,0.600000,0.170651
TREX-DA: TAFS,Avg_L,0.600000,1.465000
TREX-DA: TAFS,Avg_T,0.600000,6.415000
TREX-DA: TAFS,FDR,0.700000,0.114629
TREX-DA: TAFS,sd_FDR,0.700000,0.149409
TREX-DA: TAFS,TPR,0.700000,0.904000
TREX-DA: TAFS,sd_TPR,0.700000,0.175894
TREX-DA: TAFS,Avg_L,0.700000,1.425000
TREX-DA: TAFS,Avg_T,0.700000,6.375000
TREX-DA: TAFS,FDR,0.800000,0.125401
TREX-DA: TAFS,sd_FDR,0.800000,0.157872
TREX-DA: TAFS,TPR,0.800000,0.888000
TREX-DA: TAFS,sd_TPR,0.800000,0.139835
TREX-DA: TAFS,Avg_L,0.800000,1.480000
TREX-DA: TAFS,Avg_T,0.800000,6.290000
TREX-DA: TAFS,FDR,0.900000,0.204331
TREX-DA: TAFS,sd_FDR,0.900000,0.180777
TREX-DA: TAFS,TPR,0.900000,0.754000
TREX-DA: TAFS,sd_TPR,0.900000,0.189906
TREX-DA: TAFS,Avg_L,0.900000,1.395000
TREX-DA: TAFS,Avg_T,0.900000,6.360000
TREX-DA: TOMP,FDR,0.000000,0.125202
TREX-DA: TOMP,sd_FDR,0.000000,0.136219
TREX-DA: TOMP,TPR,0.000000,0.959000
TREX-DA: TOMP,sd_TPR,0.000000,0.151770
TREX-DA: TOMP,Avg_L,0.000000,1.810000
TREX-DA: TOMP,Avg_T,0.000000,7.340000
TREX-DA: TOMP,FDR,0.100000,0.109458
TREX-DA: TOMP,sd_FDR,0.100000,0.122656
TREX-DA: TOMP,TPR,0.100000,0.961000
TREX-DA: TOMP,sd_TPR,0.100000,0.141347
TREX-DA: TOMP,Avg_L,0.100000,1.780000
TREX-DA: TOMP,Avg_T,0.100000,7.305000
TREX-DA: TOMP,FDR,0.200000,0.101899
TREX-DA: TOMP,sd_FDR,0.200000,0.124205
TREX-DA: TOMP,TPR,0.200000,0.963000
TREX-DA: TOMP,sd_TPR,0.200000,0.136101
TREX-DA: TOMP,Avg_L,0.200000,1.755000
TREX-DA: TOMP,Avg_T,0.200000,7.270000
TREX-DA: TOMP,FDR,0.300000,0.115595
TREX-DA: TOMP,sd_FDR,0.300000,0.130932
TREX-DA: TOMP,TPR,0.300000,0.975000
TREX-DA: TOMP,sd_TPR,0.300000,0.120197
