solver,metric,Rho,value
TREX-DA: TLARS,FDR,0.000000,0.057679
TREX-DA: TLARS,sd_FDR,0.000000,0.127738
TREX-DA: TLARS,TPR,0.000000,0.567000
TREX-DA: TLARS,sd_TPR,0.000000,0.266583
TREX-DA: TLARS,Avg_L,0.000000,2.125000
TREX-DA: TLARS,Avg_T,0.000000,22.595000
TREX-DA: TLARS,FDR,0.100000,0.064262
TREX-DA: TLARS,sd_FDR,0.100000,0.132159
TREX-DA: TLARS,TPR,0.100000,0.582000
TREX-DA: TLARS,sd_TPR,0.100000,0.265383
TREX-DA: TLARS,Avg_L,0.100000,2.115000
TREX-DA: TLARS,Avg_T,0.100000,20.895000
TREX-DA: TLARS,FDR,0.200000,0.066667
TREX-DA: TLARS,sd_FDR,0.200000,0.150951
TREX-DA: TLARS,TPR,0.200000,0.658000
TREX-DA: TLARS,sd_TPR,0.200000,0.268695
TREX-DA: TLARS,Avg_L,0.200000,2.100000
TREX-DA: TLARS,Avg_T,0.200000,19.315000
TREX-DA: TLARS,FDR,0.300000,0.050083
TREX-DA: TLARS,sd_FDR,0.300000,0.114481
TREX-DA: TLARS,TPR,0.300000,0.712000
TREX-DA: TLARS,sd_TPR,0.300000,0.246902
TREX-DA: TLARS,Avg_L,0.300000,2.070000
TREX-DA: TLARS,Avg_T,0.300000,16.865000
TREX-DA: TLARS,FDR,0.400000,0.030071
TREX-DA: TLARS,sd_FDR,0.400000,0.078814
TREX-DA: TLARS,TPR,0.400000,0.811000
TREX-DA: TLARS,sd_TPR,0.400000,0.233993
TREX-DA: TLARS,Avg_L,0.400000,1.895000
TREX-DA: TLARS,Avg_T,0.400000,17.770000
TREX-DA: TLARS,FDR,0.500000,0.055167
TREX-DA: TLARS,sd_FDR,0.500000,0.093648
TREX-DA: TLARS,TPR,0.500000,0.845000
TREX-DA: TLARS,sd_TPR,0.500000,0.205881
TREX-DA: TLARS,Avg_L,0.500000,1.800000
TREX-DA: TLARS,Avg_T,0.500000,18.320000
TREX-DA: TLARS,FDR,0.600000,0.046887
TREX-DA: TLARS,sd_FDR,0.600000,0.097400
TREX-DA: TLARS,TPR,0.600000,0.861000
TREX-DA: TLARS,sd_TPR,0.600000,0.226130
TREX-DA: TLARS,Avg_L,0.600000,1.840000
TREX-DA: TLARS,Avg_T,0.600000,16.845000
TREX-DA: TLARS,FDR,0.700000,0.039417
TREX-DA: TLARS,sd_FDR,0.700000,0.107976
TREX-DA: TLARS,TPR,0.700000,0.815000
TREX-DA: TLARS,sd_TPR,0.700000,0.215889
TREX-DA: TLARS,Avg_L,0.700000,1.840000
TREX-DA: TLARS,Avg_T,0.700000,16.830000
TREX-DA: TLARS,FDR,0.800000,0.049750
TREX-DA: TLARS,sd_FDR,0.800000,0.106365
TREX-DA: TLARS,TPR,0.800000,0.769000
TREX-DA: TLARS,sd_TPR,0.800000,0.212284
TREX-DA: TLARS,Avg_L,0.800000,1.850000
TREX-DA: TLARS,Avg_T,0.800000,16.065000
TREX-DA: TLARS,FDR,0.900000,0.087726
TREX-DA: TLARS,sd_FDR,0.900000,0.163535
TREX-DA: TLARS,TPR,0.900000,0.623000
TREX-DA: TLARS,sd_TPR,0.900000,0.240751
TREX-DA: TLARS,Avg_L,0.900000,1.870000
TREX-DA: TLARS,Avg_T,0.900000,17.165000
TREX-DA: TAFS,FDR,0.000000,0.067345
TREX-DA: TAFS,sd_FDR,0.000000,0.127091
TREX-DA: TAFS,TPR,0.000000,0.590000
TREX-DA: TAFS,sd_TPR,0.000000,0.260460
TREX-DA: TAFS,Avg_L,0.000000,2.020000
TREX-DA: TAFS,Avg_T,0.000000,6.655000
TREX-DA: TAFS,FDR,0.100000,0.072179
TREX-DA: TAFS,sd_FDR,0.100000,0.134739
TREX-DA: TAFS,TPR,0.100000,0.612000
TREX-DA: TAFS,sd_TPR,0.100000,0.283297
TREX-DA: TAFS,Avg_L,0.100000,1.925000
TREX-DA: TAFS,Avg_T,0.100000,6.845000
TREX-DA: TAFS,FDR,0.200000,0.058000
TREX-DA: TAFS,sd_FDR,0.200000,0.127412
TREX-DA: TAFS,TPR,0.200000,0.691000
TREX-DA: TAFS,sd_TPR,0.200000,0.278400
TREX-DA: TAFS,Avg_L,0.200000,1.970000
TREX-DA: TAFS,Avg_T,0.200000,6.785000
TREX-DA: TAFS,FDR,0.300000,0.070470
TREX-DA: TAFS,sd_FDR,0.300000,0.132290
TREX-DA: TAFS,TPR,0.300000,0.766000
TREX-DA: TAFS,sd_TPR,0.300000,0.237330
TREX-DA: TAFS,Avg_L,0.300000,1.895000
TREX-DA: TAFS,Avg_T,0.300000,6.730000
TREX-DA: TAFS,FDR,0.400000,0.045026
TREX-DA: TAFS,sd_FDR,0.400000,0.101830
TREX-DA: TAFS,TPR,0.400000,0.837000
TREX-DA: TAFS,sd_TPR,0.400000,0.219710
TREX-DA: TAFS,Avg_L,0.400000,1.750000
TREX-DA: TAFS,Avg_T,0.400000,6.255000
TREX-DA: TAFS,FDR,0.500000,0.051899
TREX-DA: TAFS,sd_FDR,0.500000,0.087034
TREX-DA: TAFS,TPR,0.500000,0.909000
TREX-DA: TAFS,sd_TPR,0.500000,0.181338
TREX-DA: TAFS,Avg_L,0.500000,1.625000
TREX-DA: TAFS,Avg_T,0.500000,6.365000
