solver,metric,SNR,value
TREX-DA: TLARS,FDR,0.100000,0.144286
TREX-DA: TLARS,sd_FDR,0.100000,0.344162
TREX-DA: TLARS,TPR,0.100000,0.008000
TREX-DA: TLARS,sd_TPR,0.100000,0.039290
TREX-DA: TLARS,Avg_L,0.100000,2.005000
TREX-DA: TLARS,Avg_T,0.100000,7.565000
TREX-DA: TLARS,FDR,0.200000,0.184333
TREX-DA: TLARS,sd_FDR,0.200000,0.366974
TREX-DA: TLARS,TPR,0.200000,0.039000
TREX-DA: TLARS,sd_TPR,0.200000,0.095523
TREX-DA: TLARS,Avg_L,0.200000,2.490000
TREX-DA: TLARS,Avg_T,0.200000,6.010000
TREX-DA: TLARS,FDR,0.500000,0.140119
TREX-DA: TLARS,sd_FDR,0.500000,0.251658
TREX-DA: TLARS,TPR,0.500000,0.287000
TREX-DA: TLARS,sd_TPR,0.500000,0.248475
TREX-DA: TLARS,Avg_L,0.500000,2.880000
TREX-DA: TLARS,Avg_T,0.500000,7.105000
TREX-DA: TLARS,FDR,0.600000,0.182661
TREX-DA: TLARS,sd_FDR,0.600000,0.275887
TREX-DA: TLARS,TPR,0.600000,0.377000
TREX-DA: TLARS,sd_TPR,0.600000,0.281545
TREX-DA: TLARS,Avg_L,0.600000,2.935000
TREX-DA: TLARS,Avg_T,0.600000,6.855000
TREX-DA: TLARS,FDR,1.000000,0.119544
TREX-DA: TLARS,sd_FDR,1.000000,0.189425
TREX-DA: TLARS,TPR,1.000000,0.605000
TREX-DA: TLARS,sd_TPR,1.000000,0.281016
TREX-DA: TLARS,Avg_L,1.000000,2.270000
TREX-DA: TLARS,Avg_T,1.000000,9.755000
TREX-DA: TLARS,FDR,2.000000,0.112353
TREX-DA: TLARS,sd_FDR,2.000000,0.143899
TREX-DA: TLARS,TPR,2.000000,0.788000
TREX-DA: TLARS,sd_TPR,2.000000,0.197105
TREX-DA: TLARS,Avg_L,2.000000,1.715000
TREX-DA: TLARS,Avg_T,2.000000,11.560000
TREX-DA: TLARS,FDR,5.000000,0.107585
